"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-1.81937607436853,1.74971139456948,0.0840069605502139,"Converged",FALSE,5,72,3,20,0.99,0.01
1,0.9,"CC",-1.96583374148546,2.26725564715111,0.0848199394669822,"Converged",FALSE,5,72,3,20,0.99,0.01
1,0.9,"BCC",-1.77439493163052,1.66375914177015,0.0837265394874183,"Converged",FALSE,5,45,2,48,0.99,0.01
1,0.9,"RESID",-1.93721896590401,2.01060050297057,0.0850312439562347,"Converged",FALSE,28,28,17,27,0.99,0.01
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,22,28,0,50,0.99,0.01
1,0.9,"OPTMLE",-1.94717306017984,2.0443861021585,0.0848094531346785,"Converged",FALSE,45,18,17,20,0.99,0.01
2,0.9,"SRS",-2.49404884758948,3.27348425840712,0.116501516026849,"Converged",FALSE,1,64,4,31,0.99,0.01
2,0.9,"CC",-2.52119719266467,3.34700342601978,0.119689935463819,"Converged",FALSE,1,64,4,31,0.99,0.01
2,0.9,"BCC",-2.37775404895988,2.84199888636247,0.11820356934685,"Converged",FALSE,3,47,4,46,0.99,0.01
2,0.9,"RESID",-2.46873961707439,3.16314895312669,0.120737523750005,"Converged",FALSE,26,26,23,25,0.99,0.01
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,17,33,0,50,0.99,0.01
2,0.9,"OPTMLE",-2.36723380897292,2.83536053509585,0.118275301372021,"Converged",FALSE,33,19,23,25,0.99,0.01
3,0.9,"SRS",-1.57892576736043,0.445006639297727,0.128588547850035,"Converged",FALSE,6,61,2,31,0.99,0.01
3,0.9,"CC",-1.58789895760343,0.465685475455587,0.128499084448388,"Converged",FALSE,6,61,2,31,0.99,0.01
3,0.9,"BCC",-1.65821951995242,0.725777370722053,0.128559421558288,"Converged",FALSE,6,44,7,43,0.99,0.01
3,0.9,"RESID",-1.65481749236971,0.704694985751019,0.128991980946046,"Converged",FALSE,25,25,25,25,0.99,0.01
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,8,42,2,48,0.99,0.01
3,0.9,"OPTMLE",-1.80804030247618,1.1693936853409,0.128842124977014,"Converged",FALSE,51,10,29,10,0.99,0.01
4,0.9,"SRS",-1.4456197796579,0.823813598572808,0.0831591316476932,"Converged",FALSE,6,61,2,31,0.99,0.01
4,0.9,"CC",-1.48272775192663,0.92464574545164,0.0842009291108536,"Converged",FALSE,6,61,2,31,0.99,0.01
4,0.9,"BCC",-1.43250397940271,0.734273902926821,0.0834291792699532,"Converged",FALSE,5,45,4,46,0.99,0.01
4,0.9,"RESID",-1.44252611431193,0.77404428105945,0.0841418410021933,"Converged",FALSE,27,26,21,26,0.99,0.01
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,6,44,1,49,0.99,0.01
4,0.9,"OPTMLE",-1.3383794188135,0.473806984644835,0.0832816011650209,"Converged",FALSE,53,13,21,13,0.99,0.01
5,0.9,"SRS",-1.61764979332821,1.00581199266213,0.105458221119612,"Converged",FALSE,6,65,4,25,0.99,0.01
5,0.9,"CC",-1.68652188438675,1.18788856062562,0.104873611565628,"Converged",FALSE,6,65,4,25,0.99,0.01
5,0.9,"BCC",-1.60700473900126,0.945313501617518,0.104643320546109,"Converged",FALSE,5,45,5,45,0.99,0.01
5,0.9,"RESID",-1.57697719889864,0.914993444525891,0.104448833744474,"Converged",FALSE,25,25,25,25,0.99,0.01
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,15,35,1,49,0.99,0.01
5,0.9,"OPTMLE",-1.55305344383952,0.803376241829134,0.105228927023106,"Converged",FALSE,48,11,28,13,0.99,0.01
6,0.9,"SRS",-1.91488906905468,2.54747110897899,0.0643862844016081,"Converged",FALSE,7,56,2,35,0.99,0.01
6,0.9,"CC",-2.08090120358897,3.02045375403518,0.0644775746187404,"Converged",FALSE,7,56,2,35,0.99,0.01
6,0.9,"BCC",-1.81952881516236,2.34333631184941,0.0635508140648577,"Converged",FALSE,4,46,9,41,0.99,0.01
6,0.9,"RESID",-1.82806077285696,2.37610861240697,0.0651120987722136,"Converged",FALSE,25,25,25,25,0.99,0.01
6,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,33,17,0,50,0.99,0.01
6,0.9,"OPTMLE",-2.03312334904531,2.86990627907024,0.0629655900037948,"Converged",FALSE,47,10,33,10,0.99,0.01
7,0.9,"SRS",-2.17845571259294,2.45956008915355,0.102619971761692,"Converged",FALSE,3,75,3,19,0.99,0.01
7,0.9,"CC",-2.22805061284324,2.61171703308541,0.102214765033573,"Converged",FALSE,3,75,3,19,0.99,0.01
7,0.9,"BCC",-2.20103669981289,2.46215008050371,0.10331708827055,"Converged",FALSE,3,47,5,45,0.99,0.01
7,0.9,"RESID",-2.17963760242625,2.4702102728122,0.102764304184506,"Converged",FALSE,25,25,25,25,0.99,0.01
7,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,23,27,0,50,0.99,0.01
7,0.9,"OPTMLE",-2.1447831180149,2.28285244527684,0.102563336629993,"Converged",FALSE,36,17,29,18,0.99,0.01
8,0.9,"SRS",-1.56893820737078,0.639280883920992,0.116668797784021,"Converged",FALSE,4,71,1,24,0.99,0.01
8,0.9,"CC",-1.70832646226375,1.07531348784106,0.117797958494407,"Converged",FALSE,4,71,1,24,0.99,0.01
8,0.9,"BCC",-1.35880629524963,-0.0112682550165394,0.115508319582877,"Converged",FALSE,3,47,3,47,0.99,0.01
8,0.9,"RESID",-1.70757031521811,1.05806142836792,0.11772642934283,"Converged",FALSE,27,26,21,26,0.99,0.01
8,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,4,46,0,50,0.99,0.01
8,0.9,"OPTMLE",-1.51582863271461,0.465892811945629,0.116310843489475,"Converged",FALSE,36,21,21,22,0.99,0.01
9,0.9,"SRS",-2.55273002815907,3.35914074625388,0.137600371116272,"Converged",FALSE,4,71,3,22,0.99,0.01
9,0.9,"CC",-2.43566715262375,2.97395426917657,0.136178060077473,"Converged",FALSE,4,71,3,22,0.99,0.01
9,0.9,"BCC",-2.14569366664757,2.2910224301465,0.133282203940294,"Converged",FALSE,3,47,7,43,0.99,0.01
9,0.9,"RESID",-2.33926527454268,2.78359038045418,0.135891200680913,"Converged",FALSE,25,25,25,25,0.99,0.01
9,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,19,31,0,50,0.99,0.01
9,0.9,"OPTMLE",NA,NA,NA,"B-spline error",FALSE,35,18,28,19,0.99,0.01
10,0.9,"SRS",-1.82498332685093,1.29495156735298,0.117468822117001,"Converged",FALSE,6,69,4,21,0.99,0.01
10,0.9,"CC",-1.8739954036054,1.40700133115545,0.11741904642963,"Converged",FALSE,6,69,4,21,0.99,0.01
10,0.9,"BCC",-1.83558927955949,1.21778448354407,0.116018676585568,"Converged",FALSE,6,44,6,44,0.99,0.01
10,0.9,"RESID",-1.81886408196242,1.22573252098279,0.116616633457529,"Converged",FALSE,25,25,25,25,0.99,0.01
