"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-2.08370021093601,2.20220785038465,0.101661682779197,"Converged",FALSE,5,66,1,28,0.95,0.05
1,0.9,"CC",-1.94888359226855,1.71909559067769,0.101862641652947,"Converged",FALSE,5,66,1,28,0.95,0.05
1,0.9,"BCC",-1.92350006629744,1.63137938037866,0.102866406932994,"Converged",FALSE,4,46,4,46,0.95,0.05
1,0.9,"RESID",-1.94561853870462,1.75213673008115,0.10264367012089,"Converged",FALSE,26,25,24,25,0.95,0.05
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,12,38,0,50,0.95,0.05
1,0.9,"OPTMLE",-1.87218559259228,1.33777293307184,0.102009813408095,"Converged",FALSE,49,12,24,15,0.95,0.05
2,0.9,"SRS",-1.01304653783598,-0.399864853317363,0.0717335458692734,"Converged",FALSE,1,76,2,21,0.95,0.05
2,0.9,"CC",-1.37265428008192,0.715833748043839,0.0718614905905612,"Converged",FALSE,1,76,2,21,0.95,0.05
2,0.9,"BCC",-1.3285142730507,0.614195225258245,0.0718419591833059,"Converged",FALSE,4,46,5,45,0.95,0.05
2,0.9,"RESID",-1.74907388945233,1.74375884118427,0.0761118613409951,"Converged",FALSE,25,25,25,25,0.95,0.05
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,2,48,10,40,0.95,0.05
2,0.9,"OPTMLE",-1.43901753710725,0.919392247138131,0.0720347772266044,"Converged",FALSE,42,16,27,15,0.95,0.05
3,0.9,"SRS",-1.7573001420825,1.7082117256393,0.0814967850435084,"Converged",FALSE,2,67,3,28,0.95,0.05
3,0.9,"CC",-1.44806962362732,0.709741378882624,0.0818645454859872,"Converged",FALSE,2,67,3,28,0.95,0.05
3,0.9,"BCC",-1.43707634463268,0.665506346294451,0.0818158992128049,"Converged",FALSE,6,44,6,44,0.95,0.05
3,0.9,"RESID",-1.79284872871528,1.81233781373491,0.0841957682582259,"Converged",FALSE,25,25,25,25,0.95,0.05
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,11,39,1,49,0.95,0.05
3,0.9,"OPTMLE",-1.34005500439218,0.375972461605663,0.0819434298595647,"Converged",FALSE,47,12,28,13,0.95,0.05
4,0.9,"SRS",-2.17458632316648,2.76424715610573,0.0729257651146251,"Converged",FALSE,5,81,0,14,0.95,0.05
4,0.9,"CC",-2.02109134796197,2.40698574157309,0.0714286969971274,"Converged",FALSE,5,81,0,14,0.95,0.05
4,0.9,"BCC",-1.76320042707581,1.5283554250966,0.0688099628322666,"Converged",FALSE,2,48,3,47,0.95,0.05
4,0.9,"RESID",-1.94470559943339,2.05046794437923,0.0740696685012036,"Converged",FALSE,26,26,23,25,0.95,0.05
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,27,23,0,50,0.95,0.05
4,0.9,"OPTMLE",NA,NA,NA,"B-spline error",FALSE,43,17,23,17,0.95,0.05
5,0.9,"SRS",-1.7546107000264,1.82588725575453,0.0586656802566397,"Converged",FALSE,5,62,1,32,0.95,0.05
5,0.9,"CC",-2.10560760096851,2.94119702819897,0.0567508309504702,"Converged",FALSE,5,62,1,32,0.95,0.05
5,0.9,"BCC",-1.60969971116094,1.37251150554433,0.0597977565448719,"Converged",FALSE,2,48,2,48,0.95,0.05
5,0.9,"RESID",-1.75083791087236,1.78522167265777,0.0590979866166952,"Converged",FALSE,26,25,24,25,0.95,0.05
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,26,24,0,50,0.95,0.05
5,0.9,"OPTMLE",-1.61782765498943,1.3678447229085,0.0589594464749463,"Converged",FALSE,45,15,24,16,0.95,0.05
6,0.9,"SRS",-1.90874791463411,1.84384160692866,0.101033268901592,"Converged",FALSE,7,63,1,29,0.95,0.05
6,0.9,"CC",-1.88074841314995,1.63353946387578,0.103667338482875,"Converged",FALSE,7,63,1,29,0.95,0.05
6,0.9,"BCC",-1.8364546085103,1.46286930802227,0.100374523265061,"Converged",FALSE,4,46,4,46,0.95,0.05
6,0.9,"RESID",-1.80470166752419,1.41761682558324,0.101393094739787,"Converged",FALSE,27,27,20,26,0.95,0.05
6,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,14,36,1,49,0.95,0.05
6,0.9,"OPTMLE",-1.70670229160718,1.06743469726778,0.100578529331849,"Converged",FALSE,55,12,20,13,0.95,0.05
7,0.9,"SRS",-1.61551728309115,0.491328991301943,0.107538207946337,"Converged",FALSE,3,73,1,23,0.95,0.05
7,0.9,"CC",-1.37941408271617,-0.302918868340476,0.107467651576627,"Converged",FALSE,3,73,1,23,0.95,0.05
7,0.9,"BCC",-1.40388034826518,-0.202495736913179,0.107448478562528,"Converged",FALSE,2,48,5,45,0.95,0.05
7,0.9,"RESID",-1.36475744442976,-0.335572464862524,0.106973135978349,"Converged",FALSE,25,25,25,25,0.95,0.05
7,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,8,42,2,48,0.95,0.05
7,0.9,"OPTMLE",-1.58304141439126,0.352122144897592,0.107041438469357,"Converged",FALSE,47,12,29,12,0.95,0.05
8,0.9,"SRS",-2.01786812155252,1.78257183923919,0.100674880479908,"Converged",FALSE,4,64,2,30,0.95,0.05
8,0.9,"CC",-2.09953182579598,2.06226323871912,0.103032252651115,"Converged",FALSE,4,64,2,30,0.95,0.05
8,0.9,"BCC",-1.94780029631696,1.57928201796896,0.100451322061928,"Converged",FALSE,1,49,6,44,0.95,0.05
8,0.9,"RESID",-2.1033110420669,2.08828834288703,0.102087826204971,"Converged",FALSE,25,25,25,25,0.95,0.05
8,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,15,35,0,50,0.95,0.05
8,0.9,"OPTMLE",-1.67311692916348,0.758310783172631,0.10107220965011,"Converged",FALSE,52,11,25,12,0.95,0.05
9,0.9,"SRS",-1.54446946701715,1.7516685858777,0.0398600891917002,"Converged",FALSE,4,68,2,26,0.95,0.05
