"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-2.31059317244293,3.48829335834497,0.0763815971091633,"Converged",FALSE,5,64,2,29,0.5,0.5
1,0.9,"CC",-2.02436072087682,2.41412126839149,0.073104457949365,"Converged",FALSE,5,64,2,29,0.5,0.5
1,0.9,"BCC",-1.92233996628834,2.30335111893657,0.0726113927882032,"Converged",FALSE,7,43,1,49,0.5,0.5
1,0.9,"RESID",-2.98391861281539,5.46854289538666,0.0813990750078686,"Converged",FALSE,27,27,20,26,0.5,0.5
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,2,48,11,39,0.5,0.5
2,0.9,"SRS",-3.23907742449848,5.36099766492711,0.125023047338796,"Converged",FALSE,9,67,1,23,0.5,0.5
2,0.9,"CC",-3.13589637290853,5.28671950073461,0.1333320102077,"Converged",FALSE,9,67,1,23,0.5,0.5
2,0.9,"BCC",-1.2699349865211,-0.723108853934376,0.123033972729371,"Converged",FALSE,3,47,4,46,0.5,0.5
2,0.9,"RESID",-2.04945264644302,1.89495902201878,0.124211738696258,"Converged",FALSE,28,27,18,27,0.5,0.5
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,5,45,0,50,0.5,0.5
3,0.9,"SRS",-0.529179205151432,-2.1878759613328,0.071433599464129,"Converged",FALSE,9,63,4,24,0.5,0.5
3,0.9,"CC",-0.862482349363064,-1.08955850894301,0.070488110544877,"Converged",FALSE,9,63,4,24,0.5,0.5
3,0.9,"BCC",-0.760525712176364,-1.2893367899658,0.0689980758578732,"Converged",FALSE,4,46,3,47,0.5,0.5
3,0.9,"RESID",-1.33492429698714,0.457538099434953,0.0692544339714207,"Converged",FALSE,25,25,25,25,0.5,0.5
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,21,29,0,50,0.5,0.5
4,0.9,"SRS",-2.29832481043973,3.76850876642057,0.0615041959009334,"Converged",FALSE,7,57,2,34,0.5,0.5
4,0.9,"CC",-2.44275382598613,4.19479320618247,0.0579374819881062,"Converged",FALSE,7,57,2,34,0.5,0.5
4,0.9,"BCC",-2.18864040202675,3.65094316910701,0.0570372844689617,"Converged",FALSE,5,45,3,47,0.5,0.5
4,0.9,"RESID",-1.71915062313278,2.17661267249048,0.0553897522844161,"Converged",FALSE,27,26,21,26,0.5,0.5
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,5,45,1,49,0.5,0.5
5,0.9,"SRS",-1.45210655817738,0.287687539953886,0.125111029683583,"Converged",FALSE,5,60,2,33,0.5,0.5
5,0.9,"CC",-1.80025971272423,1.35217548363655,0.124172666109159,"Converged",FALSE,5,60,2,33,0.5,0.5
5,0.9,"BCC",-2.98982145947748,4.78063410238557,0.131126962437433,"Converged",FALSE,3,47,4,46,0.5,0.5
5,0.9,"RESID",-2.34252546144655,2.96057486110736,0.127131033426208,"Converged",FALSE,25,25,25,25,0.5,0.5
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,3,47,3,47,0.5,0.5
6,0.9,"SRS",-2.4100422405537,3.83831950897196,0.0824229332429581,"Converged",FALSE,6,65,4,25,0.5,0.5
6,0.9,"CC",-2.13197938983823,2.99226266746213,0.0744782865492673,"Converged",FALSE,6,65,4,25,0.5,0.5
6,0.9,"BCC",-1.95172208634248,2.31178949950113,0.076287720003725,"Converged",FALSE,3,47,10,40,0.5,0.5
6,0.9,"RESID",-2.64818978367796,4.64784602284027,0.0792829592811644,"Converged",FALSE,25,25,25,25,0.5,0.5
6,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,8,42,1,49,0.5,0.5
7,0.9,"SRS",-1.84878663703408,1.67412183852839,0.115488623223687,"Converged",FALSE,8,67,2,23,0.5,0.5
7,0.9,"CC",-1.93335924866384,1.91141239070225,0.117191053139325,"Converged",FALSE,8,67,2,23,0.5,0.5
7,0.9,"BCC",-2.13816411002496,2.51495278179946,0.117462708799958,"Converged",FALSE,5,45,6,44,0.5,0.5
7,0.9,"RESID",-1.95980788713826,2.12408919456178,0.115064240139591,"Converged",FALSE,25,25,25,25,0.5,0.5
7,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,5,45,11,39,0.5,0.5
8,0.9,"SRS",-1.55370689972169,0.981740228108024,0.0664523350807013,"Converged",FALSE,3,67,5,25,0.5,0.5
8,0.9,"CC",-1.88770810998296,2.16363314641714,0.0652274873449227,"Converged",FALSE,3,67,5,25,0.5,0.5
8,0.9,"BCC",-2.40972096370653,3.49837468776936,0.0736992612850563,"Converged",FALSE,2,48,5,45,0.5,0.5
8,0.9,"RESID",-1.65097028857573,1.2582544967344,0.0672059781152909,"Converged",FALSE,25,25,25,25,0.5,0.5
8,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,15,35,3,47,0.5,0.5
9,0.9,"SRS",-1.03798340470795,-0.636710013688006,0.0947024358699174,"Converged",FALSE,7,69,2,22,0.5,0.5
9,0.9,"CC",-3.01186777928121,5.47384785446209,0.0993595100399988,"Converged",FALSE,7,69,2,22,0.5,0.5
9,0.9,"BCC",-2.04189778954397,2.50616731375234,0.0976463084508132,"Converged",FALSE,8,42,3,47,0.5,0.5
9,0.9,"RESID",-1.61180264724434,1.2338010014223,0.0953123226106768,"Converged",FALSE,25,25,25,25,0.5,0.5
9,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,2,48,15,35,0.5,0.5
10,0.9,"SRS",-0.927939657341555,-1.23882879256799,0.0922506666235008,"Converged",FALSE,5,66,4,25,0.5,0.5
10,0.9,"CC",-1.47060950532762,0.453871713923241,0.0927308345676837,"Converged",FALSE,5,66,4,25,0.5,0.5
10,0.9,"BCC",-2.50317984602424,3.61318036992637,0.097643060708565,"Converged",FALSE,2,48,7,43,0.5,0.5
10,0.9,"RESID",-2.76775422195184,4.3550458600918,0.0960811134526438,"Converged",FALSE,27,27,20,26,0.5,0.5
10,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,8,42,0,50,0.5,0.5
11,0.9,"SRS",-2.66906665067672,3.99724915746751,0.0960469433345924,"Converged",FALSE,5,66,5,24,0.5,0.5
11,0.9,"CC",-1.25385298776764,-0.347672346797392,0.0948902344671682,"Converged",FALSE,5,66,5,24,0.5,0.5
11,0.9,"BCC",-2.9541751073678,4.86791788021255,0.102608861354507,"Converged",FALSE,6,44,5,45,0.5,0.5
11,0.9,"RESID",-2.54899464041088,3.69938742287299,0.0964028411784535,"Converged",FALSE,25,25,25,25,0.5,0.5
11,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,2,48,3,47,0.5,0.5
12,0.9,"SRS",-3.02302357897212,5.19083557763767,0.105707579760596,"Converged",FALSE,4,64,5,27,0.5,0.5
12,0.9,"CC",-2.40560033996822,3.29550869358348,0.100188449301847,"Converged",FALSE,4,64,5,27,0.5,0.5
12,0.9,"BCC",-1.83098530951071,1.64442697698755,0.100140142623507,"Converged",FALSE,5,45,6,44,0.5,0.5
12,0.9,"RESID",-1.52050683930861,0.615171490948651,0.0985020502462255,"Converged",FALSE,26,26,23,25,0.5,0.5
12,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,10,40,1,49,0.5,0.5
13,0.9,"SRS",-3.05075779992792,5.67540942709577,0.0935599827886645,"Converged",FALSE,4,65,2,29,0.5,0.5
13,0.9,"CC",-1.60674309796095,1.26695740674048,0.0868391710212585,"Converged",FALSE,4,65,2,29,0.5,0.5
13,0.9,"BCC",-1.53238314020035,1.0827737441517,0.0852766642155433,"Converged",FALSE,4,46,6,44,0.5,0.5
13,0.9,"RESID",-2.47639120795792,4.08609121890395,0.0867474892755264,"Converged",FALSE,27,26,21,26,0.5,0.5
13,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,2,48,2,48,0.5,0.5
