"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-2.41994653220532,3.61360696125371,0.0891673619988273,"Converged",FALSE,11,66,2,21,0.5,0.5
1,0.9,"CC",-2.02153586782968,2.40260652155704,0.0848834487924589,"Converged",FALSE,11,66,2,21,0.5,0.5
1,0.9,"BCC",-1.62781168711929,1.10175367680208,0.0838749191552735,"Converged",FALSE,7,43,1,49,0.5,0.5
1,0.9,"RESID",-1.54887577171142,0.913482433224912,0.0835572211922008,"Converged",FALSE,25,25,25,25,0.5,0.5
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,9,41,1,49,0.5,0.5
2,0.9,"SRS",-1.13704307853168,-0.597212336865922,0.0816763907428017,"Converged",FALSE,8,67,4,21,0.5,0.5
2,0.9,"CC",-1.94452162769579,2.03288621216456,0.0829794647837247,"Converged",FALSE,8,67,4,21,0.5,0.5
2,0.9,"BCC",-2.22204425333637,2.86961028297638,0.0812416511917145,"Converged",FALSE,2,48,6,44,0.5,0.5
2,0.9,"RESID",-2.59170884124396,4.20958907678292,0.0836678019237534,"Converged",FALSE,25,25,25,25,0.5,0.5
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,19,31,0,50,0.5,0.5
3,0.9,"SRS",-2.72955075155921,3.80168754882487,0.132655952495892,"Converged",FALSE,1,63,3,33,0.5,0.5
3,0.9,"CC",-0.881561507094231,-1.7513055060927,0.126573557235307,"Converged",FALSE,1,63,3,33,0.5,0.5
3,0.9,"BCC",-2.96152942331189,4.40996807060974,0.140932204280535,"Converged",FALSE,3,47,3,47,0.5,0.5
3,0.9,"RESID",-3.09654975437504,5.04912132803719,0.132804397646377,"Converged",FALSE,25,25,25,25,0.5,0.5
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,4,46,0,50,0.5,0.5
4,0.9,"SRS",-1.98437722275309,2.63752934127079,0.0626650108963651,"Converged",FALSE,9,58,2,31,0.5,0.5
4,0.9,"CC",-2.29403055477072,3.82173049095664,0.0682463978368434,"Converged",FALSE,9,58,2,31,0.5,0.5
4,0.9,"BCC",NA,NA,NA,"B-spline error",FALSE,4,46,1,49,0.5,0.5
4,0.9,"RESID",-1.76899763868856,1.88199049347356,0.0655856411402702,"Converged",FALSE,25,25,25,25,0.5,0.5
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,5,45,2,48,0.5,0.5
5,0.9,"SRS",-3.36984820968238,5.88326792380871,0.119729104864163,"Converged",FALSE,5,72,2,21,0.5,0.5
5,0.9,"CC",-1.47917893599864,0.465910873361248,0.104315448603502,"Converged",FALSE,5,72,2,21,0.5,0.5
5,0.9,"BCC",-2.84852076798615,4.5367954094991,0.106564701736882,"Converged",FALSE,7,43,2,48,0.5,0.5
5,0.9,"RESID",-4.02566895571321,7.80630696860572,0.121695046300998,"Converged",FALSE,29,28,15,28,0.5,0.5
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,0,50,6,44,0.5,0.5
6,0.9,"SRS",-3.33198391350465,6.50039644806817,0.103301404191762,"Converged",FALSE,3,60,5,32,0.5,0.5
6,0.9,"CC",-2.20572981911169,3.07775605677391,0.0950302455393702,"Converged",FALSE,3,60,5,32,0.5,0.5
6,0.9,"BCC",-3.32973474012351,5.96670707744523,0.108120558404058,"Converged",FALSE,3,47,7,43,0.5,0.5
6,0.9,"RESID",-2.60214126352773,4.31900093811245,0.0969446797807823,"Converged",FALSE,25,25,25,25,0.5,0.5
6,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,13,37,0,50,0.5,0.5
7,0.9,"SRS",-2.67131942257456,3.81778747464737,0.106113346706852,"Converged",FALSE,7,65,2,26,0.5,0.5
7,0.9,"CC",-1.8744745133024,1.62661442896226,0.105442627853069,"Converged",FALSE,7,65,2,26,0.5,0.5
7,0.9,"BCC",-1.43976469081472,0.228780456568223,0.102715231668944,"Converged",FALSE,2,48,3,47,0.5,0.5
7,0.9,"RESID",-1.76617197669289,1.2187307281811,0.103720464183838,"Converged",FALSE,28,27,18,27,0.5,0.5
7,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,2,48,9,41,0.5,0.5
8,0.9,"SRS",-1.85221676956666,2.22961644249381,0.082067016531312,"Converged",FALSE,11,59,1,29,0.5,0.5
8,0.9,"CC",-1.72457403798653,1.63872645178946,0.0845590016788324,"Converged",FALSE,11,59,1,29,0.5,0.5
8,0.9,"BCC",-1.63361087152961,1.42609064484138,0.0811197972352931,"Converged",FALSE,5,45,7,43,0.5,0.5
8,0.9,"RESID",-2.30518553732618,3.46080961007643,0.0863020162768022,"Converged",FALSE,25,25,25,25,0.5,0.5
8,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,5,45,7,43,0.5,0.5
9,0.9,"SRS",-1.78425866152691,1.13930325775121,0.0859661682483224,"Converged",FALSE,8,61,3,28,0.5,0.5
9,0.9,"CC",-1.94440222642643,1.60985328795994,0.0863262025365172,"Converged",FALSE,8,61,3,28,0.5,0.5
9,0.9,"BCC",-1.33782246580262,-0.255076571905664,0.0854640081734761,"Converged",FALSE,7,43,7,43,0.5,0.5
9,0.9,"RESID",-1.22180857477485,-0.629932424589788,0.0859428204891556,"Converged",FALSE,28,27,18,27,0.5,0.5
9,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,4,46,5,45,0.5,0.5
10,0.9,"SRS",-2.5198682143191,2.58535536029752,0.209933733511364,"Converged",FALSE,5,65,0,30,0.5,0.5
10,0.9,"CC",-3.49383148403737,5.39305619201,0.221777246973962,"Converged",FALSE,5,65,0,30,0.5,0.5
10,0.9,"BCC",-2.70692893268154,3.03375727853513,0.20981552288716,"Converged",FALSE,4,46,4,46,0.5,0.5
10,0.9,"RESID",-2.48110130308091,2.35347435288961,0.20682057528638,"Converged",FALSE,27,27,19,27,0.5,0.5
10,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,3,47,2,48,0.5,0.5
11,0.9,"SRS",-0.756588419007349,-1.5748720817155,0.0958480366107725,"Converged",FALSE,5,65,3,27,0.5,0.5
11,0.9,"CC",-1.55412696509233,1.04889615240673,0.0972159388395074,"Converged",FALSE,5,65,3,27,0.5,0.5
11,0.9,"BCC",-1.92373659142938,2.122244549366,0.0986811791796316,"Converged",FALSE,0,50,6,44,0.5,0.5
11,0.9,"RESID",-2.31498227427702,3.32227656036957,0.0997069109730153,"Converged",FALSE,26,25,24,25,0.5,0.5
11,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,0,50,9,41,0.5,0.5
12,0.9,"SRS",-2.12401032586806,2.93389034125244,0.070457839059642,"Converged",FALSE,3,69,2,26,0.5,0.5
12,0.9,"CC",-1.52875572330471,1.22646850394395,0.0715776990564065,"Converged",FALSE,3,69,2,26,0.5,0.5
12,0.9,"BCC",-1.52887892173988,1.240797407266,0.0719983683036798,"Converged",FALSE,2,48,4,46,0.5,0.5
12,0.9,"RESID",-0.907308012880684,-0.698600902852096,0.0707724331464818,"Converged",FALSE,25,25,25,25,0.5,0.5
12,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,7,43,1,49,0.5,0.5
13,0.9,"SRS",-2.71285958404607,3.58935863587657,0.128511908399181,"Converged",FALSE,4,69,2,25,0.5,0.5
13,0.9,"CC",-2.98552324786188,4.48463699115721,0.1270111389974,"Converged",FALSE,4,69,2,25,0.5,0.5
13,0.9,"BCC",-1.27408553746407,-0.803221850153761,0.123037815537336,"Converged",FALSE,5,45,2,48,0.5,0.5
13,0.9,"RESID",-3.51974816569525,5.96594221669566,0.134682251225737,"Converged",FALSE,29,29,14,28,0.5,0.5
13,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,0,50,9,41,0.5,0.5
14,0.9,"SRS",-0.673406331209458,-1.52106358399899,0.04074895720181,"Converged",FALSE,4,65,1,30,0.5,0.5
14,0.9,"CC",-3.62682923925961,8.116931906435,0.053313291944986,"Converged",FALSE,4,65,1,30,0.5,0.5
14,0.9,"BCC",-0.848542090753504,-0.862078709484256,0.0427124513707546,"Converged",FALSE,2,48,5,45,0.5,0.5
14,0.9,"RESID",-1.93852466711303,2.67737816933452,0.0430714864408011,"Converged",FALSE,28,27,18,27,0.5,0.5
14,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,15,35,0,50,0.5,0.5
15,0.9,"SRS",-1.96534121207096,2.24993260614011,0.0749901079738114,"Converged",FALSE,4,68,3,25,0.5,0.5
15,0.9,"CC",-2.25026847915164,3.36848743815675,0.0748470178854763,"Converged",FALSE,4,68,3,25,0.5,0.5
15,0.9,"BCC",-1.86752713657826,1.91842473409537,0.0721804486275444,"Converged",FALSE,4,46,2,48,0.5,0.5
15,0.9,"RESID",-1.53860363884799,1.09698257041126,0.072162886891932,"Converged",FALSE,25,25,25,25,0.5,0.5
15,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,2,48,8,42,0.5,0.5
16,0.9,"SRS",-4.41878194700211,8.39264694721099,0.116244372384124,"Converged",FALSE,9,66,1,24,0.5,0.5
16,0.9,"CC",-2.28887844202888,2.31197687416268,0.104615243352321,"Converged",FALSE,9,66,1,24,0.5,0.5
16,0.9,"BCC",-1.3746838043987,-0.5543741316765,0.102834065808367,"Converged",FALSE,4,46,2,48,0.5,0.5
16,0.9,"RESID",-1.56311524043648,0.0783440230283108,0.102718213320053,"Converged",FALSE,28,28,17,27,0.5,0.5
16,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,9,41,5,45,0.5,0.5
17,0.9,"SRS",-0.911280661432134,-2.44656933248427,0.145432216273944,"Converged",FALSE,5,73,0,22,0.5,0.5
17,0.9,"CC",-2.23805107757654,2.0051119036331,0.140117886329009,"Converged",FALSE,5,73,0,22,0.5,0.5
17,0.9,"BCC",-1.69886992470752,0.272636273341308,0.140407269029344,"Converged",FALSE,4,46,2,48,0.5,0.5
17,0.9,"RESID",-2.0253165793403,1.22664359959815,0.140045053763015,"Converged",FALSE,29,29,14,28,0.5,0.5
17,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,1,49,5,45,0.5,0.5
18,0.9,"SRS",-2.45236053228815,3.68624413204763,0.1004700480477,"Converged",FALSE,5,63,4,28,0.5,0.5
18,0.9,"CC",-1.62754058154065,1.32899252407077,0.0929807342159417,"Converged",FALSE,5,63,4,28,0.5,0.5
