"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr","design"
1,-1.59848263843547,1.51853889612347,-0.014747855402627,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.72425048344346,2.25453662180435,-0.0172232848358204,"Converged",FALSE,-2.90169478845644,5.96499390748854,-0.017180133349177,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5,"optMLE"
2,-2.03363798741009,1.05133266732285,0.00060126750990463,"Converged",FALSE,-1.84194279945971,0.505277923437983,0.000438788307063262,"Converged",FALSE,-2.29795176588283,1.92074566023342,0.000347438740039609,"Converged",FALSE,-1.9274815546885,0.755570089068583,0.000421963105570324,"Converged",FALSE,-1.87029023807082,0.547278480552699,0.000686894847903675,"Converged",FALSE,0.5,0.5,"optMLE"
3,-2.52085761315821,2.01624059568732,0.00263269944878659,"Converged",FALSE,-2.66459337907324,2.32548472136555,0.00369340080925562,"Converged",FALSE,-2.25459212570374,1.04906155826113,0.00235639077576328,"Converged",FALSE,-2.12137363210708,0.570210483063073,0.00260334591875039,"Converged",FALSE,-2.41125193064553,1.50101954889282,0.00271887013744747,"Converged",FALSE,0.5,0.5,"optMLE"
4,-2.01818147411656,1.10874357359546,-0.000932261807998909,"Converged",FALSE,-2.75585729200465,3.24796196033391,-0.000131108541610548,"Converged",FALSE,-1.49702446951624,-0.597655699016643,-0.000594788852310224,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.04655753678706,1.21788569991149,-0.000794730760043575,"Converged",FALSE,0.5,0.5,"optMLE"
5,-2.00741682654544,2.18358367497643,-0.00778379624188057,"Converged",FALSE,-2.2411819364149,3.0090516416662,-0.0076063536046296,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.90619852117345,1.96385776950553,-0.00757874074425767,"Converged",FALSE,0.5,0.5,"optMLE"
6,-1.32353215501423,0.584175040249273,-0.0091031339170264,"Converged",FALSE,-1.74462523374864,1.81364683820374,-0.00864183508557231,"Converged",FALSE,-0.81272657922423,-1.11668496660034,-0.0091836155441396,"Converged",FALSE,-1.22573841906996,0.229091198881459,-0.00912537108122632,"Converged",FALSE,-1.62578867998963,1.51884924176259,-0.00891799744929854,"Converged",FALSE,0.5,0.5,"optMLE"
7,-0.321821406372717,-0.496012118261622,-0.0240134784397377,"Converged",FALSE,0.258819696757105,-2.42008930446099,-0.0235507977735832,"Converged",FALSE,-0.320487010119824,-0.530256153306349,-0.0238654102864048,"Converged",FALSE,-0.144044837694168,-0.982597250165105,-0.0246800085166982,"Converged",FALSE,-0.997792446594657,1.74531824102943,-0.024753825102728,"Converged",FALSE,0.5,0.5,"optMLE"
8,0.460426527111288,-0.789337843177994,-0.0422885352625531,"Converged",FALSE,-0.264220258756614,1.77729698427713,-0.0427994357736997,"Converged",FALSE,0.136295566634117,0.311562163202433,-0.0425209979666807,"Converged",FALSE,-0.188835069483356,1.35471514525378,-0.0430887434385046,"Converged",FALSE,0.539637026920525,-1.04729213274567,-0.0423238050127843,"Converged",FALSE,0.5,0.5,"optMLE"
9,-0.960757615363303,0.550260117000042,-0.018319858685908,"Converged",FALSE,-1.15594184437783,1.26654635879228,-0.0187598973210912,"Converged",FALSE,-1.66102012816288,2.76185350006548,-0.0188790172038637,"Converged",FALSE,-1.04514094789632,0.916232338858839,-0.0186048111585765,"Converged",FALSE,-0.139745013716415,-2.1628341723362,-0.0182094437011561,"Converged",FALSE,0.5,0.5,"optMLE"
10,-0.565299969930997,-1.58200957903823,-0.0173185051207989,"Converged",FALSE,-1.00449504348717,-0.177296994572801,-0.0171621260011724,"Converged",FALSE,-1.31339254358174,0.793109659100938,-0.0173357606266631,"Converged",FALSE,-1.49639631584933,1.27897306194172,-0.0173318026734871,"Converged",FALSE,-0.704126991979291,-1.05156761182466,-0.0176079738652755,"Converged",FALSE,0.5,0.5,"optMLE"
11,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.3595152313519,3.62178950535883,-0.0357800998927634,"Converged",FALSE,0.455999910539064,-2.01942552720399,-0.0344788803024161,"Converged",FALSE,0.410862251804188,-2.09317459244916,-0.0345753705029089,"Converged",FALSE,0.5,0.5,"optMLE"
12,-2.00095913802303,4.16869739542177,-0.0227486794246691,"Converged",FALSE,-1.11837793765216,1.03972836109367,-0.0219614759382919,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.82563572580958,3.78385492602205,-0.0229568834857765,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5,"optMLE"
13,-0.213759666330448,-1.70136899086246,-0.0168792538919814,"Converged",FALSE,-1.53988322472098,2.62466686325639,-0.017369351844071,"Converged",FALSE,-1.76939629320492,3.11013789557033,-0.0172117624273279,"Converged",FALSE,-0.00627114123021071,-2.12588789215413,-0.0167175216698732,"Converged",FALSE,-1.12557036028409,1.16939733437737,-0.0164252489167007,"Converged",FALSE,0.5,0.5,"optMLE"
14,-1.68539786826289,0.341563316618896,-0.00384868628758498,"Converged",FALSE,-2.79349711425431,3.94868258408058,-0.00475788998229093,"Converged",FALSE,-2.11403697072032,1.6730699528953,-0.00404697145601062,"Converged",FALSE,-1.70018975003424,0.39971403224441,-0.00395525020420927,"Converged",FALSE,-1.0704871877115,-1.71870094637071,-0.00376563663255064,"Converged",FALSE,0.5,0.5,"optMLE"
15,-0.493320166668078,-0.131846459515301,-0.0230666585117373,"Converged",FALSE,0.0087365644560184,-1.67950958969026,-0.0229919172189021,"Converged",FALSE,-0.292725155173569,-0.785895153569003,-0.0231055398019909,"Converged",FALSE,-0.244337642867776,-0.867352656471859,-0.0231071932425918,"Converged",FALSE,-0.647523486839497,0.413303143804099,-0.0231974825920002,"Converged",FALSE,0.5,0.5,"optMLE"
16,-0.893386152610557,2.37395664012248,-0.0395828286468471,"Converged",FALSE,-1.23695271496115,3.55822385367936,-0.0404788832893431,"Converged",FALSE,-0.684275557376198,1.84444268590903,-0.0390503581948496,"Converged",FALSE,-0.291293153099545,0.445565999202906,-0.0384065839312827,"Converged",FALSE,-0.603253506364923,1.50991284140519,-0.0390620782561519,"Converged",FALSE,0.5,0.5,"optMLE"
17,-0.902337773770048,0.019689860295449,-0.013337899911426,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-2.10762639066407,4.13051516757238,-0.0141313054262894,"Converged",FALSE,-0.358339020023413,-1.74054246003165,-0.013559054731392,"Converged",FALSE,-0.416173244563396,-1.47149575968979,-0.013341414189542,"Converged",FALSE,0.5,0.5,"optMLE"
18,-2.720623263032,3.50768615253793,-0.000304733041205541,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-2.53962262991113,3.0334005196207,-0.00119730782544586,"Converged",FALSE,-1.17749745090858,-1.33222356307405,-0.000894997722011441,"Converged",FALSE,-1.61966425345378,0.000336567622578564,-0.000523967840884571,"Converged",FALSE,0.5,0.5,"optMLE"
19,-2.82383600801613,2.58085300681737,0.00430176980065095,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-3.24304412005935,3.85929248626641,0.0038849774075769,"Converged",FALSE,-3.03202016583366,3.7506626343114,0.00282175880017968,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5,"optMLE"
20,-1.58634869413821,0.97073527565701,-0.00836058734768963,"Converged",FALSE,-2.21476761139032,2.81798658235289,-0.00945123261348229,"Converged",FALSE,-1.14320774325754,-0.489852092438022,-0.00835045097973048,"Converged",FALSE,-2.42900583279532,3.60474768325459,-0.00808752007948615,"Converged",FALSE,-1.65727961375425,1.14706308196845,-0.00848195756740487,"Converged",FALSE,0.5,0.5,"optMLE"
21,-1.7632698578506,-0.349900930007276,0.00420810860946994,"Converged",FALSE,-2.72930347726957,2.617942680565,0.00322368205818452,"Converged",FALSE,-1.86185928535709,-0.0219373941500937,0.00411536197479699,"Converged",FALSE,-2.69977956864037,2.56445551219216,0.0041067477264607,"Converged",FALSE,-3.35034421495125,4.6249322021552,0.00496483974508584,"Converged",FALSE,0.5,0.5,"optMLE"
22,-1.76708223294691,-2.09987566656811,0.0144798049556757,"Converged",FALSE,-2.26285259328023,-0.220610863098849,0.0140599374406356,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.99713157492766,-1.10456480836937,0.0143401804788335,"Converged",FALSE,-2.82613039065369,1.64080632570774,0.0142556824778858,"Converged",FALSE,0.5,0.5,"optMLE"
23,0.470550192596016,-0.962095802630253,-0.0419147598090722,"Converged",FALSE,0.7771880109288,-1.77308915449617,-0.0421640043600071,"Converged",FALSE,0.0460391553931538,0.337514466645705,-0.041784143981736,"Converged",FALSE,1.25074475972231,-3.39359259065209,-0.043388426814573,"Converged",FALSE,0.725917824506945,-1.77739707282987,-0.0418951425994632,"Converged",FALSE,0.5,0.5,"optMLE"
24,-1.0345746543821,-0.871319372111254,-0.00858392891957655,"Converged",FALSE,-1.16290654633335,-0.437819945710863,-0.00841670008590622,"Converged",FALSE,-0.813776079092468,-1.48629629056796,-0.00845151317753416,"Converged",FALSE,-1.7625217150098,1.38603024025292,-0.00774022142901832,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5,"optMLE"
25,0.314123223259718,-4.14479480483609,-0.015143092467222,"Converged",FALSE,-1.49073556267769,1.09657857595916,-0.0140861015713963,"Converged",FALSE,-0.392372670239846,-2.50947442446409,-0.0142095811187949,"Converged",FALSE,-1.03467889502775,-0.313190291197673,-0.0141130754107302,"Converged",FALSE,-1.2597507107226,0.463282670815036,-0.0142084459955502,"Converged",FALSE,0.5,0.5,"optMLE"
26,-1.07800922062051,1.2232649256548,-0.0218635672240446,"Converged",FALSE,-1.0985580640162,1.21277078379799,-0.0214003317372414,"Converged",FALSE,-0.996243341921132,0.88083004434906,-0.0217759765631008,"Converged",FALSE,-0.0491803885318687,-2.08264130901289,-0.021909275415986,"Converged",FALSE,-0.266077986483893,-1.40333912801685,-0.0216942750441382,"Converged",FALSE,0.5,0.5,"optMLE"
27,-2.45107657809956,2.47866243083101,-0.00219992073934206,"Converged",FALSE,-2.75594154140257,3.60695488456357,-0.00184007762304845,"Converged",FALSE,-1.72671443562415,0.308806675818991,-0.00208563270244155,"Converged",FALSE,-2.48121937465129,2.48965919802731,-0.00193804312600439,"Converged",FALSE,-2.81013262655302,3.81694881590088,-0.00137747099598444,"Converged",FALSE,0.5,0.5,"optMLE"
28,-1.65960539636933,1.7739519915125,-0.0149722837293668,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.14550653152714,3.06485693794722,-0.0145172663199887,"Converged",FALSE,-0.544325913652893,-1.58425385230622,-0.0147761479184555,"Converged",FALSE,-1.53345144698669,1.41152691766248,-0.0147641839400946,"Converged",FALSE,0.5,0.5,"optMLE"
29,-0.379503083251681,-1.69517766864594,-0.0168033098603944,"Converged",FALSE,-0.183302104334795,-2.5962568364582,-0.015987984622279,"Converged",FALSE,-1.83511839253223,2.8256009569476,-0.017079236599348,"Converged",FALSE,-1.44237912519879,1.71007336721909,-0.0162364294041297,"Converged",FALSE,-1.05989075099345,0.404426244901074,-0.0162897833257717,"Converged",FALSE,0.5,0.5,"optMLE"
30,-1.65137642356729,0.811069035004782,-0.00708777822060315,"Converged",FALSE,-1.82849270018588,1.40083547993254,-0.00782284340191401,"Converged",FALSE,-3.00034845682194,5.1811891897621,-0.00715039149382945,"Converged",FALSE,-1.83772246374547,1.38672194846384,-0.00713577115986025,"Converged",FALSE,-0.893284008469346,-1.54766015417609,-0.00719172987249077,"Converged",FALSE,0.5,0.5,"optMLE"
31,-3.59179789883739,4.55229331525363,0.00510430626736477,"Converged",FALSE,-1.96430846169193,-0.522473763031226,0.00482368962457233,"Converged",FALSE,-2.82384150182571,2.15970710366688,0.00429699043849578,"Converged",FALSE,-3.24679702868991,3.1858531914552,0.0068656665556804,"Converged",FALSE,-2.41746149005901,0.856637678274517,0.00500227482444263,"Converged",FALSE,0.5,0.5,"optMLE"
