"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,-1.84186022935128,0.012056237258744,0.106193729556492,"Converged",FALSE,44,7,43,6,"MLE",0.99,0.01
1,0.25,-1.89755326934459,0.0286452654110455,0.106354791635739,"Converged",FALSE,20,28,18,34,"MLE",0.99,0.01
1,0.5,-1.74587231635425,-0.0192332203661601,0.106082946241551,"Converged",FALSE,41,12,35,12,"MLE",0.99,0.01
1,0.75,-1.78705018377013,-0.00593008941789846,0.106288609397754,"Converged",FALSE,2,50,1,47,"MLE",0.99,0.01
1,0.9,-1.55847401359175,-0.0738771875701622,0.105523006233174,"Converged",FALSE,53,22,3,22,"CC",0.99,0.01
2,0.1,-1.75592365775346,0.0539242992719814,0.0597406247921297,"Converged",FALSE,44,4,47,5,"MLE",0.99,0.01
2,0.25,-1.69214766020986,0.0322241211753555,0.0596800518550585,"Converged",FALSE,23,26,21,30,"MLE",0.99,0.01
2,0.5,-1.75410227413262,0.0489285075222701,0.0597613867118545,"Converged",FALSE,43,12,33,12,"MLE",0.99,0.01
2,0.75,-1.91555659125186,0.098800494411794,0.0597472312815841,"Converged",FALSE,41,32,1,26,"CC",0.99,0.01
2,0.9,-1.72810901178319,0.0446130296806083,0.059674152165453,"Converged",FALSE,37,21,22,20,"MLE",0.99,0.01
3,0.1,-1.74437190382386,-0.0456021830256191,0.0900583917070358,"Converged",FALSE,18,30,29,23,"MLE",0.99,0.01
3,0.25,-1.70431727760752,-0.0599709439145742,0.090299887704129,"Converged",FALSE,16,36,24,24,"MLE",0.99,0.01
3,0.5,-1.73643169335487,-0.049225100840219,0.0899935875094532,"Converged",FALSE,40,12,35,13,"MLE",0.99,0.01
3,0.75,-1.74929852022717,-0.0445994354908134,0.0899659602880285,"Converged",FALSE,35,18,28,19,"MLE",0.99,0.01
3,0.9,-1.81485453089743,-0.0218733539500853,0.0899498624736959,"Converged",FALSE,51,24,3,22,"CC",0.99,0.01
4,0.1,-2.41677688811361,0.0965525409888656,0.154927099353778,"Converged",FALSE,44,5,46,5,"MLE",0.99,0.01
4,0.25,-2.20863884928623,0.0255825388216099,0.156261271433132,"Converged",FALSE,22,24,21,33,"MLE",0.99,0.01
4,0.5,-2.2576360907549,0.0441251340447802,0.155811090288787,"Converged",FALSE,40,12,36,12,"MLE",0.99,0.01
4,0.75,NA,NA,NA,"MAX_ITER reached",FALSE,31,22,25,22,"MLE",0.99,0.01
4,0.9,-2.29809202645124,0.0598048651052396,0.15510926961474,"Converged",FALSE,52,23,4,21,"CC",0.99,0.01
5,0.1,NA,NA,NA,"B-spline error",FALSE,47,3,44,6,"MLE",0.99,0.01
5,0.25,-1.5218718885622,-0.123933969821403,0.0924444625574782,"Converged",FALSE,19,37,24,20,"MLE",0.99,0.01
5,0.5,-1.70439791117879,-0.0683046732389727,0.0914894212238689,"Converged",FALSE,39,12,37,12,"MLE",0.99,0.01
5,0.75,-1.39156482273369,-0.160182731029579,0.0929081498712017,"Converged",FALSE,25,26,23,26,"MLE",0.99,0.01
5,0.9,-1.59201405992293,-0.100616837373643,0.0920913313734714,"Converged",FALSE,7,45,14,34,"CC",0.99,0.01
6,0.1,-2.41975515709861,0.00988277417548616,0.185784195771001,"Converged",FALSE,20,28,22,30,"MLE",0.99,0.01
6,0.25,-2.52335810887746,0.042586017196173,0.185741842585719,"Converged",FALSE,21,28,21,30,"MLE",0.99,0.01
6,0.5,-2.35376708495583,-0.0104398958659442,0.185754333810005,"Converged",FALSE,35,12,41,12,"MLE",0.99,0.01
6,0.75,-2.55583910285261,0.0536139105746314,0.185616387623288,"Converged",FALSE,48,19,13,20,"CC",0.99,0.01
6,0.9,NA,NA,NA,"Singular information",FALSE,NA,NA,NA,NA,NA,0.99,0.01
7,0.1,-2.00748810553345,0.0358161788810887,0.0877241940808993,"Converged",FALSE,21,28,20,31,"MLE",0.99,0.01
7,0.25,-1.81191858535715,-0.0267053007223103,0.0876355349678557,"Converged",FALSE,20,32,18,30,"MLE",0.99,0.01
7,0.5,-2.12338897589688,0.0743130617950408,0.0880297811366209,"Converged",FALSE,44,12,32,12,"MLE",0.99,0.01
7,0.75,-1.83194613702658,-0.0225408673427724,0.0876999587013472,"Converged",FALSE,27,23,27,23,"CC",0.99,0.01
7,0.9,NA,NA,NA,"B-spline error",FALSE,0,75,0,25,"CC",0.99,0.01
8,0.1,-2.41632983711267,0.219063550854729,0.0835334456447328,"Converged",FALSE,47,3,40,10,"MLE",0.99,0.01
8,0.25,NA,NA,NA,"B-spline error",FALSE,21,23,20,36,"MLE",0.99,0.01
8,0.5,-2.51349194949877,0.246276196859033,0.0830449385747363,"Converged",FALSE,47,12,29,12,"MLE",0.99,0.01
8,0.75,-2.27023547967452,0.181176511277802,0.0836996217901827,"Converged",FALSE,36,18,27,19,"MLE",0.99,0.01
8,0.9,-2.38548384050187,0.207964018313232,0.081558279120699,"Converged",FALSE,4,71,1,24,"CC",0.99,0.01
9,0.1,-2.2966869397449,0.0964678959940224,0.113701931556666,"Converged",FALSE,20,31,21,28,"MLE",0.99,0.01
9,0.25,-2.60543141634936,0.192252376633124,0.114485006661865,"Converged",FALSE,17,28,19,36,"MLE",0.99,0.01
9,0.5,NA,NA,NA,"MAX_ITER reached",FALSE,42,12,30,16,"MLE",0.99,0.01
9,0.75,-2.33132930110587,0.109868454679019,0.113274186360617,"Converged",FALSE,33,21,24,22,"MLE",0.99,0.01
9,0.9,-2.5515341340591,0.170533167574177,0.115593961471707,"Converged",FALSE,35,23,19,23,"MLE",0.99,0.01
10,0.1,-2.01901013937797,-0.0135665668148496,0.13972721806856,"Converged",FALSE,21,26,21,32,"MLE",0.99,0.01
10,0.25,-2.14725687760741,0.02668910618725,0.139804335406541,"Converged",FALSE,23,25,21,31,"MLE",0.99,0.01
10,0.5,-2.06965739518094,0.00288466664865181,0.139668983325639,"Converged",FALSE,40,12,35,13,"MLE",0.99,0.01
10,0.75,-2.25082296934129,0.0586355737457147,0.139707719528253,"Converged",FALSE,29,24,24,23,"MLE",0.99,0.01
10,0.9,-2.07039673132721,0.00309657614027133,0.139686278181902,"Converged",FALSE,6,23,16,55,"CC",0.99,0.01
11,0.1,-2.00890675744586,0.0319383406777071,0.113743096123866,"Converged",FALSE,20,26,21,33,"MLE",0.99,0.01
11,0.25,-1.9708037303709,0.0196365187741459,0.113851114514996,"Converged",FALSE,19,31,19,31,"MLE",0.99,0.01
11,0.5,-1.93048548262521,0.00733064868684944,0.113893479523697,"Converged",FALSE,41,12,35,12,"MLE",0.99,0.01
11,0.75,-1.90271077603922,-0.0017656499666224,0.113945230110991,"Converged",FALSE,23,26,25,26,"MLE",0.99,0.01
11,0.9,-1.97898688170067,0.0233420797901359,0.113921539626865,"Converged",FALSE,52,23,3,22,"CC",0.99,0.01
12,0.1,-1.96351553351297,0.137593133964072,0.0467351360764568,"Converged",FALSE,22,25,21,32,"MLE",0.99,0.01
12,0.25,-1.80370101165425,0.0844979148830016,0.0467061759157967,"Converged",FALSE,19,29,19,33,"MLE",0.99,0.01
12,0.5,-1.83880323353609,0.0921067745736772,0.0464987745232215,"Converged",FALSE,39,12,32,17,"MLE",0.99,0.01
12,0.75,-1.88458106858476,0.108755686651023,0.046259075608056,"Converged",FALSE,35,22,25,18,"MLE",0.99,0.01
12,0.9,-1.82304165456933,0.0940224191843615,0.0471535582677645,"Converged",FALSE,2,47,1,50,"MLE",0.99,0.01
13,0.1,NA,NA,NA,"B-spline error",FALSE,21,29,21,29,"MLE",0.99,0.01
13,0.25,-2.17323004498939,0.101090028719315,0.106021997500472,"Converged",FALSE,20,27,18,35,"MLE",0.99,0.01
13,0.5,-1.95758778891404,0.0329093812688583,0.106829222248819,"Converged",FALSE,39,12,37,12,"MLE",0.99,0.01
13,0.75,-1.86521136435241,0.00253900881760616,0.107027874624766,"Converged",FALSE,29,20,31,20,"MLE",0.99,0.01
13,0.9,-1.77757358387397,-0.0251698755249937,0.107357324264743,"Converged",FALSE,34,25,19,22,"MLE",0.99,0.01
14,0.1,-2.08971997525716,0.0911917599565581,0.0978349259718744,"Converged",FALSE,64,2,31,3,"CC",0.99,0.01
14,0.25,-2.19386875046703,0.131702796175341,0.098861820209918,"Converged",FALSE,26,20,22,32,"MLE",0.99,0.01
14,0.5,-2.33097464235174,0.160206236731575,0.0984947891778512,"Converged",FALSE,39,12,37,12,"MLE",0.99,0.01
14,0.75,-2.18245501659507,0.11827721836314,0.0966020733755382,"Converged",FALSE,32,21,28,19,"MLE",0.99,0.01
14,0.9,NA,NA,NA,"Singular information",FALSE,NA,NA,NA,NA,NA,0.99,0.01
15,0.1,-2.16256766717152,0.0641133972644742,0.0830921527292242,"Converged",FALSE,43,6,46,5,"MLE",0.99,0.01
15,0.25,-2.13642970200423,0.0537933531778796,0.0834085808533503,"Converged",FALSE,18,30,17,35,"MLE",0.99,0.01
15,0.5,-2.18952488557835,0.071548587409271,0.0834145180979558,"Converged",FALSE,43,12,33,12,"MLE",0.99,0.01
15,0.75,-2.01540600500315,0.0154345643613677,0.0830965714801958,"Converged",FALSE,31,23,25,21,"MLE",0.99,0.01
15,0.9,NA,NA,NA,"Singular information",FALSE,NA,NA,NA,NA,NA,0.99,0.01
16,0.1,-2.19560629406237,0.150041347392712,0.0970419221783917,"Converged",FALSE,39,10,35,16,"MLE",0.99,0.01
16,0.25,-2.04874546326711,0.103501702847971,0.0979253724342872,"Converged",FALSE,19,24,19,38,"MLE",0.99,0.01
16,0.5,-2.1658162539796,0.143385506442352,0.0973854797730585,"Converged",FALSE,40,12,36,12,"MLE",0.99,0.01
16,0.75,-2.1016791585766,0.12250427306788,0.0962912834946092,"Converged",FALSE,3,22,33,42,"CC",0.99,0.01
16,0.9,-2.03956471762994,0.0999449660698888,0.0976234221893323,"Converged",FALSE,1,25,3,71,"CC",0.99,0.01
17,0.1,-1.8772804311363,-0.0700330652400292,0.139213682281438,"Converged",FALSE,38,11,48,3,"MLE",0.99,0.01
17,0.25,-2.09572247869477,-0.00391470199437078,0.139438051834177,"Converged",FALSE,22,33,20,25,"MLE",0.99,0.01
17,0.5,NA,NA,NA,"MAX_ITER reached",FALSE,35,12,41,12,"MLE",0.99,0.01
17,0.75,-1.97555868704359,-0.0420629992466693,0.138563228953888,"Converged",FALSE,31,22,25,22,"MLE",0.99,0.01
17,0.9,-1.79681669285112,-0.0943192603614388,0.139048595930152,"Converged",FALSE,3,58,15,24,"CC",0.99,0.01
18,0.1,-1.4893021958581,-0.0604139982831301,0.0740259999778971,"Converged",FALSE,21,30,22,27,"MLE",0.99,0.01
18,0.25,-1.30282643249287,-0.117638571325718,0.073205662250471,"Converged",FALSE,34,17,46,3,"MLE",0.99,0.01
18,0.5,-1.74938952689086,0.0253044130559488,0.0737668911312524,"Converged",FALSE,37,12,39,12,"MLE",0.99,0.01
18,0.75,-1.59094051778495,-0.0242791275299296,0.0736586462138829,"Converged",FALSE,22,29,17,32,"MLE",0.99,0.01
18,0.9,-1.41074923822883,-0.0893700948052607,0.0738002943674936,"Converged",FALSE,50,25,1,24,"CC",0.99,0.01
19,0.1,-1.7776720934148,0.00765761570511287,0.109705146363215,"Converged",FALSE,45,4,44,7,"MLE",0.99,0.01
19,0.25,-1.53282904816651,-0.0709242797030604,0.110087173433012,"Converged",FALSE,19,30,18,33,"MLE",0.99,0.01
19,0.5,-1.8023025606072,0.0156147833924697,0.109714895558976,"Converged",FALSE,31,12,45,12,"MLE",0.99,0.01
19,0.75,-1.5927448518495,-0.0541875623944397,0.109917152793655,"Converged",FALSE,35,19,25,21,"MLE",0.99,0.01
19,0.9,-1.52603388402434,-0.0733037606907584,0.110560868329646,"Converged",FALSE,39,22,19,20,"CC",0.99,0.01
20,0.1,-2.09084009669325,0.126440573265208,0.0737119401839821,"Converged",FALSE,48,4,41,7,"MLE",0.99,0.01
20,0.25,-1.98432040498735,0.0796521793792691,0.0740291636091118,"Converged",FALSE,20,28,18,34,"MLE",0.99,0.01
20,0.5,-1.94446579548222,0.0732170598649735,0.0747346992170009,"Converged",FALSE,38,12,25,25,"MLE",0.99,0.01
20,0.75,-2.15152693855807,0.133295220008999,0.0746314776989784,"Converged",FALSE,32,21,24,23,"MLE",0.99,0.01
20,0.9,-1.9477405263033,0.0748174413599757,0.0741156526664522,"Converged",FALSE,19,23,21,37,"CC",0.99,0.01
21,0.1,NA,NA,NA,"B-spline error",FALSE,44,3,49,4,"MLE",0.99,0.01
21,0.25,-1.8546758727008,-0.0334345241326053,0.097545051880244,"Converged",FALSE,39,9,45,7,"MLE",0.99,0.01
21,0.5,-1.72335849997478,-0.0753684380755026,0.0976481786032954,"Converged",FALSE,35,12,41,12,"MLE",0.99,0.01
21,0.75,-1.68884430551629,-0.0913323952107133,0.0968002737583774,"Converged",FALSE,33,23,24,20,"MLE",0.99,0.01
21,0.9,-1.87742528059462,-0.0250284386397869,0.0974040023787246,"Converged",FALSE,38,24,13,25,"MLE",0.99,0.01
22,0.1,-2.10923069288674,0.14520363919109,0.0632218361212526,"Converged",FALSE,22,27,22,29,"MLE",0.99,0.01
22,0.25,-2.01118796831334,0.106439833394466,0.0632970359262483,"Converged",FALSE,20,30,19,31,"MLE",0.99,0.01
22,0.5,NA,NA,NA,"MAX_ITER reached",FALSE,39,12,37,12,"MLE",0.99,0.01
22,0.75,-2.07300415645908,0.125917269024947,0.0643944037298656,"Converged",FALSE,34,22,24,20,"MLE",0.99,0.01
22,0.9,NA,NA,NA,"Tie for minimum",FALSE,NA,NA,NA,NA,NA,0.99,0.01
23,0.1,-1.39987103689187,-0.111216090688405,0.0905454047930696,"Converged",FALSE,27,21,47,5,"MLE",0.99,0.01
23,0.25,-1.41541842095786,-0.103802693926664,0.0899553409449073,"Converged",FALSE,23,26,41,10,"MLE",0.99,0.01
