"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,-2.71572421351009,0.18346989940593,0.158980858622092,"Converged",FALSE,25,25,28,22,"MLE",0.5,0.5
1,0.25,-1.38945201259187,-0.250153763070977,0.164049826638377,"Converged",FALSE,37,12,44,7,"MLE",0.5,0.5
1,0.5,-2.51177581368986,0.121397424202918,0.159653529155325,"Converged",FALSE,13,37,16,34,"MLE",0.5,0.5
1,0.75,-1.48317635762438,-0.222290387402559,0.164298895693624,"Converged",FALSE,17,21,29,33,"MLE",0.5,0.5
1,0.9,-2.65631310239099,0.179728270293214,0.159168991376195,"Converged",FALSE,4,21,18,57,"CC",0.5,0.5
2,0.1,-2.14069823463252,0.0061480015124287,0.162945590403872,"Converged",FALSE,28,27,26,19,"MLE",0.5,0.5
2,0.25,-3.0580890379103,0.295620578355215,0.172440323332069,"Converged",FALSE,44,5,45,6,"MLE",0.5,0.5
2,0.5,-1.35304241449495,-0.258433806607412,0.166528134883008,"Converged",FALSE,35,12,38,15,"MLE",0.5,0.5
2,0.75,-2.54053082216375,0.142341216691538,0.16424879573121,"Converged",FALSE,6,25,3,66,"MLE",0.5,0.5
2,0.9,-1.28084228880198,-0.261314854697364,0.162581251696596,"Converged",FALSE,4,63,1,32,"CC",0.5,0.5
3,0.1,-2.29525309200864,0.0855091893143901,0.118214152046404,"Converged",FALSE,49,2,48,1,"MLE",0.5,0.5
3,0.25,-1.61452788895069,-0.122327526203304,0.117888265629263,"Converged",FALSE,41,8,43,8,"MLE",0.5,0.5
3,0.5,-2.80123152578341,0.256761624922403,0.122335251446511,"Converged",FALSE,41,12,33,14,"MLE",0.5,0.5
3,0.75,-2.92376905351808,0.296716811274477,0.118058436563516,"Converged",FALSE,6,40,4,50,"MLE",0.5,0.5
3,0.9,-2.33977391588415,0.10102160741045,0.118588487904209,"Converged",FALSE,2,33,2,63,"MLE",0.5,0.5
4,0.1,-2.4204576256585,0.0569985409734432,0.135697898173886,"Converged",FALSE,43,5,46,6,"MLE",0.5,0.5
4,0.25,-2.34480270401197,0.0336765082236822,0.134834944850294,"Converged",FALSE,49,4,41,6,"MLE",0.5,0.5
4,0.5,-1.58879419368635,-0.222316164710126,0.136801185349312,"Converged",FALSE,14,30,13,43,"MLE",0.5,0.5
4,0.75,-1.73637977090934,-0.16816623334971,0.136059575773531,"Converged",FALSE,6,39,4,51,"MLE",0.5,0.5
4,0.9,-2.62213232786777,0.12268501552985,0.135273123788858,"Converged",FALSE,2,23,0,75,"CC",0.5,0.5
5,0.1,-2.80215878035477,0.342380183918749,0.0847113093446507,"Converged",FALSE,45,4,47,4,"MLE",0.5,0.5
5,0.25,-1.6593756043115,-0.046888107937897,0.0893982151882457,"Converged",FALSE,46,8,39,7,"MLE",0.5,0.5
5,0.5,-1.66360254771127,-0.0492702221777858,0.0894743937715228,"Converged",FALSE,35,12,39,14,"MLE",0.5,0.5
5,0.75,-2.43291771956964,0.216261902978335,0.0874721548404024,"Converged",FALSE,3,65,3,29,"MLE",0.5,0.5
5,0.9,-2.04218041479722,0.0781534550545179,0.0884736093033944,"Converged",FALSE,3,22,1,74,"CC",0.5,0.5
