"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,-1.84999931456222,0.0142341539285065,0.106285593369974,"Converged",FALSE,23,26,22,29,"MLE",0.95,0.05
1,0.25,-1.99485840663004,0.0655137392865605,0.106498708350876,"Converged",FALSE,21,27,18,34,"MLE",0.95,0.05
1,0.5,-2.03526811273872,0.0753537279226382,0.105995872965479,"Converged",FALSE,39,12,37,12,"MLE",0.95,0.05
1,0.75,-1.68012628964113,-0.0404938350136583,0.106322633839281,"Converged",FALSE,24,19,34,23,"CC",0.95,0.05
1,0.9,-1.85076916511561,0.0147867926948208,0.106212101543537,"Converged",FALSE,43,21,14,22,"MLE",0.95,0.05
2,0.1,-1.98953629565343,0.131146784813698,0.0640157351695803,"Converged",FALSE,60,2,37,1,"CC",0.95,0.05
2,0.25,-1.65370466779496,0.0240513254994534,0.0637871429280367,"Converged",FALSE,24,21,22,33,"MLE",0.95,0.05
2,0.5,-1.91477546245113,0.105848493149352,0.064343074181948,"Converged",FALSE,38,12,38,12,"MLE",0.95,0.05
2,0.75,-2.0484857896357,0.143426620996353,0.0647664093977564,"Converged",FALSE,39,22,20,19,"MLE",0.95,0.05
2,0.9,-1.83930322402722,0.081580705632041,0.0639062848678625,"Converged",FALSE,42,21,13,24,"MLE",0.95,0.05
3,0.1,-1.57736769143971,-0.0929888641572497,0.0867474756912915,"Converged",FALSE,19,30,22,29,"MLE",0.95,0.05
3,0.25,-1.76602656619654,-0.0254925563384545,0.0864468737011028,"Converged",FALSE,18,30,22,30,"MLE",0.95,0.05
3,0.5,-1.79656405206245,-0.0128367289504432,0.0862692579675738,"Converged",FALSE,38,12,38,12,"MLE",0.95,0.05
3,0.75,-1.77890831128957,-0.0192593304560448,0.0864255878542398,"Converged",FALSE,31,20,28,21,"MLE",0.95,0.05
3,0.9,-1.71768929053128,-0.0392640696114224,0.0864364430705832,"Converged",FALSE,38,23,18,21,"CC",0.95,0.05
4,0.1,-2.08781183287758,-0.0072614345577553,0.154061635644152,"Converged",FALSE,21,27,24,28,"MLE",0.95,0.05
4,0.25,-2.22973416001887,0.0376048747623952,0.154760400502308,"Converged",FALSE,38,10,46,6,"MLE",0.95,0.05
4,0.5,-2.19454905717288,0.0262977801555355,0.154434941869018,"Converged",FALSE,38,12,38,12,"MLE",0.95,0.05
4,0.75,-2.35909625378153,0.0769737393883106,0.155283280111652,"Converged",FALSE,8,38,5,49,"MLE",0.95,0.05
4,0.9,-2.17163292069328,0.0191576749859296,0.154545632411373,"Converged",FALSE,51,24,2,23,"CC",0.95,0.05
5,0.1,-1.87096318243842,-0.0264716754317088,0.0962908076396876,"Converged",FALSE,45,5,48,2,"MLE",0.95,0.05
5,0.25,-1.49773843431098,-0.156727547131611,0.095398907566557,"Converged",FALSE,33,11,48,8,"MLE",0.95,0.05
5,0.5,-1.58481032699088,-0.118586326850501,0.0958863430364589,"Converged",FALSE,37,12,39,12,"MLE",0.95,0.05
5,0.75,-1.68837637433192,-0.0893977943520902,0.0960330036850773,"Converged",FALSE,36,21,25,18,"MLE",0.95,0.05
