"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,-2.4699663571145,2.57184510484604,0.135742963554226,"Converged",FALSE,22,27,22,29,"MLE",0.5,0.5
1,0.25,-1.07285182283644,-1.68665049365348,0.128174739826052,"Converged",FALSE,41,8,42,9,"MLE",0.5,0.5
1,0.5,-3.63377277233144,5.92464127007014,0.150488382475017,"Converged",FALSE,13,41,19,27,"MLE",0.5,0.5
1,0.75,-1.73833428558929,0.430557192226942,0.129379842989961,"Converged",FALSE,34,20,24,22,"MLE",0.5,0.5
1,0.9,-1.16978565874807,-1.44444732759116,0.131312185698756,"Converged",FALSE,4,71,2,23,"CC",0.5,0.5
2,0.1,-2.63190064964611,3.89631607468448,0.111533252589479,"Converged",FALSE,24,27,24,25,"MLE",0.5,0.5
2,0.25,-2.01090081756322,1.99619667894591,0.108671143160867,"Converged",FALSE,41,4,52,3,"MLE",0.5,0.5
2,0.5,-2.73901752007695,4.17921235085468,0.107943154511642,"Converged",FALSE,39,12,36,13,"MLE",0.5,0.5
2,0.75,-4.32579278645856,8.47121195374985,0.146606803808489,"Converged",FALSE,4,54,6,36,"MLE",0.5,0.5
2,0.9,-1.30874868714468,-0.156624751402944,0.106434853196494,"Converged",FALSE,1,51,3,45,"MLE",0.5,0.5
3,0.1,-1.46406152547974,0.240018411854833,0.110808095671841,"Converged",FALSE,23,27,21,29,"MLE",0.5,0.5
3,0.25,-1.43840206547965,0.153167565782314,0.11071275289362,"Converged",FALSE,18,34,15,33,"MLE",0.5,0.5
3,0.5,-1.8923759063977,1.59163257766081,0.111643722136024,"Converged",FALSE,36,12,31,21,"MLE",0.5,0.5
3,0.75,-2.35190454841922,2.92083846389451,0.112488909746562,"Converged",FALSE,34,22,23,21,"MLE",0.5,0.5
3,0.9,-2.02458669602371,1.98718577104395,0.112085512429815,"Converged",FALSE,1,74,1,24,"CC",0.5,0.5
4,0.1,-2.56394312175713,2.97850946426336,0.14537404007005,"Converged",FALSE,43,3,52,2,"MLE",0.5,0.5
4,0.25,-2.8475071933268,3.9516018553299,0.151240476365324,"Converged",FALSE,20,27,18,35,"MLE",0.5,0.5
4,0.5,-2.63793378285488,3.17050740534876,0.149817973585747,"Converged",FALSE,13,37,13,37,"MLE",0.5,0.5
4,0.75,-3.98128647384031,6.64092430652397,0.169319440497593,"Converged",FALSE,6,48,8,38,"MLE",0.5,0.5
4,0.9,-2.79202422872349,3.45152616834893,0.149202002137271,"Converged",FALSE,4,57,2,37,"MLE",0.5,0.5
5,0.1,-1.96569749173306,0.831388509801971,0.170671282351161,"Converged",FALSE,45,2,46,7,"MLE",0.5,0.5
5,0.25,-3.61631392606425,5.61995470465781,0.182150122227712,"Converged",FALSE,19,21,18,42,"MLE",0.5,0.5
5,0.5,NA,NA,NA,"B-spline error",FALSE,42,12,34,12,"MLE",0.5,0.5
5,0.75,-0.587397019866618,-3.49890257568909,0.174792659926169,"Converged",FALSE,20,18,42,20,"MLE",0.5,0.5
5,0.9,-2.73061719378618,3.21622237310185,0.172264981287559,"Converged",FALSE,3,48,4,45,"MLE",0.5,0.5
6,0.1,-1.22494981407211,-0.227623914797548,0.0901096539323047,"Converged",FALSE,40,2,57,1,"MLE",0.5,0.5
6,0.25,-0.842223296172483,-1.40532612051553,0.0904225795842629,"Converged",FALSE,19,32,24,25,"MLE",0.5,0.5
6,0.5,-1.07067417719935,-0.697266879789371,0.0903119657359372,"Converged",FALSE,36,13,39,12,"MLE",0.5,0.5
6,0.75,-1.96917562205186,2.31381374557226,0.0924969586648023,"Converged",FALSE,5,57,6,32,"MLE",0.5,0.5
6,0.9,-1.82367721481033,1.7456589171401,0.0892073246935496,"Converged",FALSE,38,22,19,21,"MLE",0.5,0.5
7,0.1,-2.3562785482439,2.22191118810002,0.170420968739262,"Converged",FALSE,39,4,51,6,"MLE",0.5,0.5
7,0.25,-1.41999610627904,-0.694335633871225,0.167646612730836,"Converged",FALSE,20,24,16,40,"MLE",0.5,0.5
7,0.5,-2.85852898795392,3.88954907443993,0.169037309556038,"Converged",FALSE,40,12,36,12,"MLE",0.5,0.5
7,0.75,NA,NA,NA,"B-spline error",FALSE,36,20,25,19,"MLE",0.5,0.5
7,0.9,-1.59585246871502,-0.15381336853155,0.167573773741363,"Converged",FALSE,35,21,22,22,"MLE",0.5,0.5
8,0.1,-1.53315843639648,0.405325278653589,0.123152766082307,"Converged",FALSE,23,25,18,34,"MLE",0.5,0.5
8,0.25,-1.42228583525233,0.0773289805516199,0.122842057746484,"Converged",FALSE,21,32,22,25,"MLE",0.5,0.5
8,0.5,-2.51663629045836,3.5742194207357,0.12950008931833,"Converged",FALSE,13,37,18,32,"MLE",0.5,0.5
8,0.75,-1.29929710698457,-0.292668153270683,0.122521050177575,"Converged",FALSE,30,17,34,19,"MLE",0.5,0.5
8,0.9,-1.75675925544153,1.17932340587137,0.123650848108547,"Converged",FALSE,40,23,14,23,"MLE",0.5,0.5
9,0.1,-1.88583689559461,2.75666657209834,0.0479882846250919,"Converged",FALSE,43,5,49,3,"MLE",0.5,0.5
9,0.25,-2.31318483582784,3.58476319171996,0.0502626915563758,"Converged",FALSE,39,7,48,6,"MLE",0.5,0.5
9,0.5,-1.70996526058993,1.92308557828236,0.0480567305560506,"Converged",FALSE,36,12,40,12,"MLE",0.5,0.5
9,0.75,-1.3925063387823,0.927164246317695,0.0493962311310157,"Converged",FALSE,7,43,6,44,"MLE",0.5,0.5
9,0.9,-1.99705392595032,2.76469462541242,0.05140421580516,"Converged",FALSE,3,51,4,42,"MLE",0.5,0.5
