"sim","gs_beta0","gs_beta1","gs_beta2","naive_beta0","naive_beta1","naive_beta2","cc_beta0","cc_beta1","cc_beta2","smle_beta0","smle_beta1","smle_beta2","smle_conv_msg","resampled_V","prop_recovered"
1,-0.722662367663434,1.72251638183851,-0.0339222452228675,-0.423434634238701,0.632578074432655,-0.033655704466317,-2.25089052740991,2.11182647659068,-0.000421521690524084,-0.573541723034133,1.25805616310308,-0.0340222535328428,"Converged",FALSE,0.5
2,-2.73435920953592,1.10608421027695,0.013582757379574,-2.8165714852359,1.06885351442143,0.0141473358596272,-2.14275303147231,-1.41174148811184,0.0195025205293346,-2.69254310633473,0.989865705185844,0.0134319308605893,"Converged",FALSE,0.5
3,-2.23652387131158,1.29436585394596,0.0032395877765024,-1.99829799464609,0.426832527846007,0.00346226626046027,-2.60372216851182,3.05332242706264,-0.0100690575751869,-2.1977262260858,1.05454869057265,0.0034683261773873,"Converged",FALSE,0.5
4,-1.68325336993513,0.745657462583647,-0.00526103727862188,-1.52342514991319,0.235910368660171,-0.00554662728752377,-1.2713644136956,2.61964478981082,-0.0371227297446536,-1.69613027579287,0.798625318654774,-0.00551233232051658,"Converged",FALSE,0.5
5,-0.808870946370339,0.2222781036454,-0.0236164578934927,-0.555889865471568,-0.563605942142802,-0.0232179299556575,-0.180529189736221,-2.05818320744023,-0.0192622046991802,-0.452193152574795,-0.925894672825137,-0.022903730191241,"Converged",FALSE,0.5
6,-1.64196377657778,0.870133271417296,-0.00838496956729518,-1.36306146961122,-0.038100207880134,-0.00814461247919944,-5.34347060878742,4.5399198862448,0.0301778706685866,-1.48821567313703,0.334222467850777,-0.00817586777520374,"Converged",FALSE,0.5
7,-1.08542192372951,0.0369060254400968,-0.0150423360173559,-1.08624410414651,0.0316603994371682,-0.0150320311152668,2.02350149833915,-2.74586907167518,-0.0758221903316156,-1.02018078316698,-0.178193217440182,-0.0149839853941012,"Converged",FALSE,0.5
8,-2.1487681184433,-0.158566046700048,0.00681025882270559,-1.99642798472011,-0.517158119554744,0.00656012479081777,-4.69201461414823,2.18855983454659,0.0569555072158394,-2.01711962714503,-0.544859416071641,0.00674867101408458,"Converged",FALSE,0.5
9,-0.897815659855444,-0.208992181979143,-0.0158964942538284,-0.856762535727091,-0.310062103180644,-0.0157080543108933,-3.26512349138943,-2.95233758829007,0.0482593534800108,-0.709299999434858,-0.864121075580858,-0.0154947785293545,"Converged",FALSE,0.5
10,0.195826008047469,1.56679263433393,-0.055562734194628,0.32050545772395,0.808722259688307,-0.0541980434574695,-0.39208647263528,0.155050435977131,-0.0328401850577216,0.218846590529654,1.22461584483119,-0.0544991166621682,"Converged",FALSE,0.5
11,-1.20490000371004,1.65044833371071,-0.0240422892081055,-1.15907070267501,1.14766394481359,-0.0232310991214179,0.327435680896625,0.00537164048283225,-0.0524777473442657,-1.17825880136972,1.41407046758245,-0.0239346482851889,"Converged",FALSE,0.5
12,-1.20448989917997,0.374835483739083,-0.0109119224825947,-1.06699109089139,-0.0384866499413905,-0.011015169702585,1.73390072403574,-0.463078558040859,-0.0697492236041019,-0.976452423719531,-0.28715594295545,-0.0111337009864097,"Converged",FALSE,0.5
13,-1.7163950085214,0.486514794899916,0.000302930173901253,-1.41707371180917,-0.429719338122534,0.000487618295731024,-1.1103051239063,1.20073980073657,-0.00945420991186395,-1.47294507973752,-0.253143511778683,0.000213645928646516,"Converged",FALSE,0.5
14,-2.47383001139359,2.12487264570447,-0.00131697568307766,-2.1064184674434,0.987063960768029,-0.00273556900031318,0.0412061117475049,-1.06895582312509,-0.030270532552323,-2.21949290969609,1.44247047164341,-0.00263809462410523,"Converged",FALSE,0.5
15,-1.56912450728401,1.53326633809499,-0.0136610186419375,-1.37244046246634,0.667035527637971,-0.012821347688284,-3.2431288694823,-0.154584024724544,0.0237588986028197,-1.36544297499517,0.739732284537499,-0.0128450313901049,"Converged",FALSE,0.5
16,-1.81040820949017,0.877781573020463,-0.00571927745580343,-1.95668821528796,1.22593074219567,-0.00658835889044827,-2.24535410032113,-4.20086460255866,0.0295403870961792,-2.08742930988831,1.68551285548284,-0.00617361569894128,"Converged",FALSE,0.5
17,-1.91999427842841,1.26716266729188,-0.00406848146542275,-1.72737317780943,0.528511400360779,-0.0037557137690966,-3.63159852375926,0.733237548743602,0.0458180439753579,-1.9255227535419,1.18255152786554,-0.00371303190358621,"Converged",FALSE,0.5
18,-2.88490278052302,2.56962953960701,0.0046136794478842,-2.4204488714099,1.19351117884599,0.00278540225543252,-3.66687150988493,3.00863788102824,0.010471177270061,-2.78469776291251,2.32687859878633,0.00280601612944152,"Converged",FALSE,0.5
19,-1.79050986472246,0.621153570619684,-0.00302067384321016,-1.62980977431211,0.0680453747053157,-0.00283676732398553,-8.01067720656835,3.00462914768443,0.110035932784028,-1.58670063319441,-0.0532072968932052,-0.00284355098539935,"Converged",FALSE,0.5
