"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr","design"
1,-1.47544342966736,-0.833062780112704,0.000933753471526984,"Converged",FALSE,-1.7513976113236,0.0310705736561086,0.000988826234145331,"Converged",FALSE,-2.02987641414737,0.833676048664533,0.00142882266245092,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
2,-0.720657552257094,1.32627772247248,-0.0312866751399425,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.436411771499503,0.409152975915704,-0.0309320335422552,"Converged",FALSE,-0.759875996588949,1.57957949988496,-0.0319163010748259,"Converged",FALSE,0.95,0.05,"optMLE"
3,-1.05848958545145,0.188324176505854,-0.0151156161701349,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.45811924246578,1.58631877073359,-0.0158673947089719,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
4,-1.42370353652016,1.98650155116094,-0.0198204263112809,"Converged",FALSE,-1.33609889500338,1.74046441497435,-0.020473589891928,"Converged",FALSE,-1.27370920122034,1.66206162867134,-0.0205226545781156,"Converged",FALSE,-1.26776277338548,1.52687283103082,-0.0201511999301697,"Converged",FALSE,-1.34246778203638,1.70950747762667,-0.0205096986377223,"Converged",FALSE,0.95,0.05,"optMLE"
5,-1.2951039584199,0.310145881789526,-0.0141148412444437,"Converged",FALSE,-1.094443017365,-0.28893477385718,-0.0144229096924753,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.23999887474253,0.140566593842241,-0.0141747682762803,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
6,-1.63275586628936,-1.04090175932413,0.00208798813332757,"Converged",FALSE,-1.99508566841368,0.0697621423155722,0.00237102164733129,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.78116311514354,-0.626158670392385,0.00222227952537279,"Converged",FALSE,0.95,0.05,"optMLE"
7,-1.95202416224898,1.07132990312408,-0.00390545927215587,"Converged",FALSE,-1.94298058582716,1.08506200045586,-0.00399379933512175,"Converged",FALSE,-1.98436662056517,1.21778477365985,-0.00390977485967436,"Converged",FALSE,-2.54253198126195,2.84535780350292,-0.00384605832735731,"Converged",FALSE,-2.08445678999536,1.39295381266876,-0.00372150780983654,"Converged",FALSE,0.95,0.05,"optMLE"
8,-1.61036487037318,1.45287899620818,-0.0116083128920301,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.39468422392317,0.664278926551071,-0.0110495818369753,"Converged",FALSE,-1.60594432258549,1.23521838204545,-0.0114998880573606,"Converged",FALSE,-1.1871193163948,-0.109951075259876,-0.0106145084425867,"Converged",FALSE,0.95,0.05,"optMLE"
9,-0.576075493063039,1.0381167747857,-0.0285773158604738,"Converged",FALSE,-0.261561532168662,0.0587927176057137,-0.0289004345818954,"Converged",FALSE,-0.546081780102369,0.89264980837767,-0.0286157907675279,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
10,-1.20049670821654,1.95790299329967,-0.024654995044372,"Converged",FALSE,-0.764375841583091,0.571482004106505,-0.0245030849390671,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.996391085387993,1.27100441534421,-0.0244891426912725,"Converged",FALSE,-0.95350214971897,1.11680992235631,-0.0243309892817398,"Converged",FALSE,0.95,0.05,"optMLE"
