"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr","design"
1,-1.67792244791601,1.19632740240419,-0.00847651674464624,"Converged",FALSE,-1.32940461237991,0.0993686149436553,-0.0090344241098293,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.37039516409704,0.221524356144086,-0.00904619852097427,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01,"optMLE"
2,-1.67869775346306,2.25204594022141,-0.015910363686995,"Converged",FALSE,-1.8324119441183,2.8837271512361,-0.0163739428895243,"Converged",FALSE,-1.60883826353807,2.05894788095734,-0.0165294469857337,"Converged",FALSE,-1.33883269000279,1.40534373343225,-0.0160540229677189,"Converged",FALSE,-1.60406405705214,2.05324032440228,-0.0159923221330365,"Converged",FALSE,0.99,0.01,"optMLE"
3,-2.18003173406548,0.902676957131322,0.00404333192192625,"Converged",FALSE,-2.26433729011149,1.10886245896871,0.00409941744644093,"Converged",FALSE,-2.1297975184095,0.695386126041208,0.00437431525083795,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.3681478083496,1.37566079260082,0.00444872481129622,"Converged",FALSE,0.99,0.01,"optMLE"
4,-0.878419537682212,0.750899782014369,-0.0235290246849075,"Converged",FALSE,-0.63937614345455,0.0135094663604438,-0.0236870196431153,"Converged",FALSE,-0.490473907796847,-0.480056827940171,-0.0236132026522152,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.756293730137758,0.360301953902317,-0.0236503917837519,"Converged",FALSE,0.99,0.01,"optMLE"
5,-0.931956469234439,0.00820791256131974,-0.0176290893567766,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.00822361420566,0.236876260933756,-0.0175737764809615,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.17140278413133,0.663353797969027,-0.0172401265444278,"Converged",FALSE,0.99,0.01,"optMLE"
6,-0.593127985001854,0.61562458238565,-0.0302389079440951,"Converged",FALSE,-0.59943580473002,0.651145427128352,-0.0301386651415563,"Converged",FALSE,-0.555893311584886,0.430283369095426,-0.0298423202807494,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,0.99,0.01,"optMLE"
7,-1.65666078911953,2.4130320373672,-0.0209685545015816,"Converged",FALSE,-2.18438537863164,3.8938038659371,-0.0206370632354493,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01,"optMLE"
8,-1.84254011547682,2.14845794675591,-0.0115889771112538,"Converged",FALSE,-1.65350712892122,1.521019451896,-0.0116560128494987,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.62594442164411,1.38512682936341,-0.0110957591153871,"Converged",FALSE,-1.59943031976019,1.15077610250439,-0.0106986361618724,"Converged",FALSE,0.99,0.01,"optMLE"
9,-1.72419241378027,1.46473231294262,-0.00738205784971208,"Converged",FALSE,-1.80186642180123,1.58874982916176,-0.00780109651171511,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.61171076752704,0.959362847174284,-0.00726028527643822,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01,"optMLE"
10,-2.07768177011281,1.54632209565477,-0.00179537905229972,"Converged",FALSE,-2.35013188415634,2.28029252582629,-0.0014765530550672,"Converged",FALSE,-2.17173003783454,1.76156793114694,-0.00148602971468997,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01,"optMLE"
11,-1.71974634355411,0.502302099807231,-0.00464468728786716,"Converged",FALSE,-1.70984017271637,0.495320733003127,-0.00466035478570934,"Converged",FALSE,-1.61877898471607,0.178000673249456,-0.00457619309657174,"Converged",FALSE,-1.697612700474,0.421416224234982,-0.00459766740422382,"Converged",FALSE,-1.67571292531029,0.361298925581223,-0.00468981192043549,"Converged",FALSE,0.99,0.01,"optMLE"
12,-1.0868835137264,0.525933425849982,-0.0174768165252127,"Converged",FALSE,-0.883970777155458,-0.167923308698877,-0.0171546205924968,"Converged",FALSE,-0.858647751026397,-0.239599650172334,-0.0171802909187833,"Converged",FALSE,-1.16381232546992,0.732413996094309,-0.0174288743385085,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01,"optMLE"
13,-1.41662081827874,-0.0880863913934048,-0.00521424779056647,"Converged",FALSE,-1.52042600928322,0.20882404571154,-0.00515858347041319,"Converged",FALSE,-1.64232316114394,0.615729033662231,-0.00515684733894695,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.44318465185075,-0.00699434163738691,-0.0051977320770689,"Converged",FALSE,0.99,0.01,"optMLE"
14,-2.35030663139649,2.85991140607153,-0.00720978570966206,"Converged",FALSE,-2.11466259781236,1.84657683346421,-0.00629631343387254,"Converged",FALSE,-2.1371122993513,2.11593964100557,-0.00633088800924823,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.13585090564648,1.8960765559705,-0.00614865964921841,"Converged",FALSE,0.99,0.01,"optMLE"
15,-2.14137986623509,1.7089015060968,-0.00554317491778564,"Converged",FALSE,-2.07519444603751,1.46879380159095,-0.00521699020515177,"Converged",FALSE,-2.37268391759629,2.4010076583135,-0.00497890741764905,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.02065115809078,1.38710481232,-0.0051314954102477,"Converged",FALSE,0.99,0.01,"optMLE"
