"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr","design"
1,-1.45300001283158,0.35672756900901,-0.00840222521775266,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.39090411977593,0.129544844736742,-0.00832418286453856,"Converged",FALSE,0.95,0.05,"optMLE"
2,-0.927973060219561,0.847629579998468,-0.0221691522205581,"Converged",FALSE,-1.13898269307831,1.55124093384928,-0.022816286958707,"Converged",FALSE,-1.2744667744783,2.03628042479921,-0.0225613857308333,"Converged",FALSE,-1.39836715635734,2.36657392765765,-0.0227998518144898,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
3,-1.4472685838307,2.00863984486343,-0.0167895819055614,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.28119916588786,1.41703147643857,-0.0162125204703204,"Converged",FALSE,-1.51935590547721,2.07472304052644,-0.0165868117067186,"Converged",FALSE,0.95,0.05,"optMLE"
4,-1.55515563846494,2.71984706943869,-0.0231494023507464,"Converged",FALSE,-1.27972178384242,1.86087889264088,-0.0234762494046857,"Converged",FALSE,-1.17503796551032,1.54447650379452,-0.0231258829707031,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.4370297219193,2.16836044999675,-0.0233548523939052,"Converged",FALSE,0.95,0.05,"optMLE"
5,NA,NA,NA,"B-spline error",FALSE,-1.20202704419511,0.370015685478806,-0.0142161475454565,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.241923096224,0.451052044477593,-0.0141387842177437,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05,"optMLE"
6,-2.12083848836525,-0.411599006244164,0.00946488572681519,"Converged",FALSE,-1.88492583168206,-1.44727466466583,0.0104712029289679,"Converged",FALSE,-2.0712650982322,-0.609678121865487,0.00970885653126391,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05,"optMLE"
7,-1.24202725636587,0.147895495435857,-0.0122975241223605,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.11311367880143,-0.238362257950875,-0.0124998518201135,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.892922804137133,-0.938238103495135,-0.0128472510711046,"Converged",FALSE,0.95,0.05,"optMLE"
8,-1.95896988378528,1.03204258449297,-0.00284062485614252,"Converged",FALSE,-2.38488549059218,2.24091074239072,-0.00300537090865538,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.61230472166774,2.80173138576342,-0.00275338116305989,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
9,-1.43105402951053,-0.0590276514696343,-0.00474914346691566,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.53601150747789,0.340942874566292,-0.00510092563161055,"Converged",FALSE,-1.57967607166376,0.456278678630102,-0.0050397155704654,"Converged",FALSE,-1.34280870843625,-0.339845361701979,-0.00475711600537345,"Converged",FALSE,0.95,0.05,"optMLE"
10,-1.84253922806444,-0.842225238320614,0.0110442028082163,"Converged",FALSE,-2.06995990323786,-0.0609751796295723,0.010851261083173,"Converged",FALSE,-2.14252427107281,0.170048681950327,0.0108186763594597,"Converged",FALSE,-1.99530796677264,-0.30946453084324,0.0109204502815999,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
