"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr","design"
1,-0.899765405298805,-0.15836634142109,-0.0148205910699102,"Converged",FALSE,-0.54583476838559,-1.11226558550404,-0.0160170848215667,"Converged",FALSE,-1.02865842077399,0.212447046084828,-0.0145859636529303,"Converged",FALSE,-0.717025485842195,-0.678460506668776,-0.0150523786057549,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
2,-1.34151809984495,1.14076470023187,-0.0159843688428217,"Converged",FALSE,-1.73501073163476,2.55176443105068,-0.0160739700015654,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
3,-2.33604544817984,2.80410967970641,-0.00722365296420524,"Converged",FALSE,-2.18484893579504,2.40831394803279,-0.00686827496780342,"Converged",FALSE,-2.0901086918292,1.99380812497741,-0.00741877137568394,"Converged",FALSE,-1.71208548707578,0.830518830180286,-0.00790909910902618,"Converged",FALSE,-1.75802534795481,0.891855641258561,-0.00755976485766957,"Converged",FALSE,0.95,0.05,"optMLE"
4,-2.93963718845603,0.178653945758289,0.0231351915393671,"Converged",FALSE,-3.12320349099235,0.688392428388519,0.0232266306298959,"Converged",FALSE,-3.48645368107077,1.91615685471336,0.0223091314239329,"Converged",FALSE,-3.46812526515794,1.69726946937373,0.023435797675284,"Converged",FALSE,-3.4279945473805,1.69036837166945,0.0224263261222114,"Converged",FALSE,0.95,0.05,"optMLE"
5,-1.59812611335059,0.900669276693526,-0.0108411739540636,"Converged",FALSE,-1.35344835016577,0.0488457054857364,-0.0108448977539214,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.55166945566671,0.637325720458025,-0.0107849880203324,"Converged",FALSE,0.95,0.05,"optMLE"
6,-1.43062290722174,1.38283060862082,-0.0160410282793738,"Converged",FALSE,-1.14873190195761,0.528115252080062,-0.0163337254990214,"Converged",FALSE,-1.39071636350312,1.22350610251331,-0.0160762164174713,"Converged",FALSE,-1.60076241506254,1.80797520043543,-0.0161167781177508,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
7,-1.94493050085695,0.644740904968289,-0.00110389547396316,"Converged",FALSE,-1.42342904622814,-1.13381623018488,-0.000765972678848142,"Converged",FALSE,-1.74062504503998,-0.0321616531210354,-0.00105960185355561,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.80305750171789,0.180943754659763,-0.00108590680786682,"Converged",FALSE,0.95,0.05,"optMLE"
8,-1.85364843264058,2.16504137660704,-0.0105244542020064,"Converged",FALSE,-1.53393599934213,1.10600015663751,-0.0105153547929642,"Converged",FALSE,-1.37712181065303,0.601034786839382,-0.0103514692962973,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
9,-1.64798927222822,3.15279444556045,-0.0268049121442822,"Converged",FALSE,-1.33120878493168,2.10534855326131,-0.0268641869540611,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.43925634622691,2.50598465157378,-0.0269248093097548,"Converged",FALSE,-1.6364465348841,3.12655266889448,-0.0281266825424584,"Converged",FALSE,0.95,0.05,"optMLE"
10,-1.77224250469143,0.404036338037367,-0.00187686956589835,"Converged",FALSE,-1.99555328858298,1.02734010918818,-0.00172651862539027,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
11,-2.43968391668289,0.642350301376041,0.00768692611553186,"Converged",FALSE,-2.33837479597432,0.297972989804526,0.00775400228798995,"Converged",FALSE,-2.08525157167175,-0.452757156782462,0.00765345342976433,"Converged",FALSE,-2.28345570402252,0.117596851426384,0.00770899844177909,"Converged",FALSE,-2.25687497118272,0.0479971566436867,0.00765024764737442,"Converged",FALSE,0.95,0.05,"optMLE"
12,-0.412711551481572,0.5374810900906,-0.0325240185248821,"Converged",FALSE,-0.33976414014549,0.279695107188189,-0.0324051322383571,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.425464524129996,0.588313729541063,-0.0324691055686506,"Converged",FALSE,-0.471513348129295,0.74306893879255,-0.0325831814450073,"Converged",FALSE,0.95,0.05,"optMLE"
13,-2.90744139122641,0.54877164660882,0.0217221753976196,"Converged",FALSE,-3.11255316657192,1.2860741975661,0.0211706975480342,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
14,-1.9126387762136,1.51766955093916,-0.00951478725634178,"Converged",FALSE,-1.77857442355476,1.03189497906366,-0.00919171501515631,"Converged",FALSE,-1.46182560006384,-0.081920205092887,-0.00894183710682086,"Converged",FALSE,-1.43362529953045,-0.181430397511632,-0.00894039228396607,"Converged",FALSE,-1.27809309365015,-0.648233100693747,-0.00884518818565813,"Converged",FALSE,0.95,0.05,"optMLE"
15,-1.44852843659778,0.227349108263349,-0.00560244411848584,"Converged",FALSE,-1.33871924496405,-0.130636015209517,-0.00570527619644525,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.3350841839687,-0.132751268879804,-0.00571209357626293,"Converged",FALSE,0.95,0.05,"optMLE"
16,-0.838280538856561,-1.52437134758833,-0.00692879421706359,"Converged",FALSE,-0.736316385278505,-1.80816923928544,-0.00715328916179693,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.786770100392278,-1.60715127742452,-0.00665432249140195,"Converged",FALSE,0.95,0.05,"optMLE"
17,-1.80971915764539,1.21804105761185,-0.00548067736789599,"Converged",FALSE,-1.70494886314111,0.99632434810489,-0.00565667187127515,"Converged",FALSE,-2.26146829393923,2.43504334621448,-0.00540245388755293,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.64010399098768,0.699157262865853,-0.00525061887084602,"Converged",FALSE,0.95,0.05,"optMLE"
18,-1.27224457559253,-0.311236156507172,-0.00607146047423163,"Converged",FALSE,-1.4342923800259,0.277753415669775,-0.00627663767062893,"Converged",FALSE,-1.42701032477783,0.244776373392318,-0.00636865507487498,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.26558720074352,-0.298034320314582,-0.00619144324112027,"Converged",FALSE,0.95,0.05,"optMLE"
19,-2.57748425259242,1.59760253774524,0.00866358488856991,"Converged",FALSE,-2.88448294828151,2.69744308088168,0.00886380244977798,"Converged",FALSE,-2.70071536078819,1.97119444834107,0.00915369864417351,"Converged",FALSE,-2.41913354804178,1.16851444198706,0.00819193927063281,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
20,-2.98870322195537,1.8298982775243,0.0104480345182516,"Converged",FALSE,-3.12260957878932,2.50253274979914,0.0100357180336332,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.74453907663564,1.27233437049187,0.00986529323198301,"Converged",FALSE,-2.83551035328365,1.35591925560909,0.0100194189317587,"Converged",FALSE,0.95,0.05,"optMLE"
