"sim","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_data_resampled","tpr","fpr"
1,-1.93306198224297,2.41108314088128,-0.126890075495796,"Converged",NA,0.8,0.2
2,-1.34084339537635,0.5265041995773,-0.144738370843351,"Converged",NA,0.8,0.2
3,-2.11465393655986,2.11422230992723,-0.048486145427243,"Converged",NA,0.8,0.2
4,-1.72535728110663,1.23286339151798,-0.0821736322252746,"Converged",NA,0.8,0.2
5,-2.13572978776368,1.75191444419245,-0.0713156405528538,"Converged",NA,0.8,0.2
6,-2.01230004681743,1.69082575711888,-0.072064063809817,"Converged",NA,0.8,0.2
7,-1.44443718625256,-0.00598692018556185,-0.135951865206422,"Converged",NA,0.8,0.2
8,-1.69864201203214,1.29377628627446,-0.102061555930849,"Converged",NA,0.8,0.2
9,-1.81757546930225,0.258773120082709,-0.0523310953982679,"Converged",NA,0.8,0.2
10,-1.74124848800696,1.76421567218294,-0.128673874355041,"Converged",NA,0.8,0.2
11,-1.47320823141949,1.05190871388407,-0.105668943936912,"Converged",NA,0.8,0.2
12,-3.17764086340745,5.60117294032629,-0.0749807195683036,"Converged",NA,0.8,0.2
13,-2.06154873556158,2.7041564573626,-0.106304138145087,"Converged",NA,0.8,0.2
14,-2.04039877240788,2.37586236828257,-0.101448547918968,"Converged",NA,0.8,0.2
15,-3.11124148241654,4.793320216674,-0.0368133165951559,"Converged",NA,0.8,0.2
16,-2.8193101760321,4.35971190807687,-0.0673639450474973,"Converged",NA,0.8,0.2
17,-1.83618107325943,1.67443720257748,-0.0828815070924856,"Converged",NA,0.8,0.2
18,-2.20933412060213,1.6642953797469,-0.0337336213585532,"Converged",NA,0.8,0.2
19,-2.19664097841387,2.48387611736129,-0.108540383374249,"Converged",NA,0.8,0.2
20,-1.8269218078022,2.42741404429639,-0.136529668441724,"Converged",NA,0.8,0.2
21,-2.04027392167788,2.62389811524485,-0.14390926185362,"Converged",NA,0.8,0.2
22,-2.03724897001801,1.90824622758187,-0.0777568764416045,"Converged",NA,0.8,0.2
23,-1.61887433718449,0.482478664197452,-0.0747168451859384,"Converged",NA,0.8,0.2
24,-1.78370902825166,2.18456443049813,-0.128280021890578,"Converged",NA,0.8,0.2
25,-1.55157356669822,0.46507269937115,-0.101990501813892,"Converged",NA,0.8,0.2
26,-1.7550970671952,1.32983101261814,-0.109677953512056,"Converged",NA,0.8,0.2
27,-1.53749959713402,1.00426485413351,-0.0952103003350186,"Converged",NA,0.8,0.2
28,-2.31604407222009,2.90427235534215,-0.101346882285637,"Converged",NA,0.8,0.2
29,-1.91530297170863,2.48750790234185,-0.108777177568362,"Converged",NA,0.8,0.2
30,-2.6556964055064,3.88889123318485,-0.0876232132504171,"Converged",NA,0.8,0.2
31,-2.3667275245759,2.91598905814432,-0.0744123739652439,"Converged",NA,0.8,0.2
32,-2.08070307607769,2.24366471126193,-0.0939033465255189,"Converged",NA,0.8,0.2
33,-2.1268778276974,2.94341805855469,-0.12854068136057,"Converged",NA,0.8,0.2
34,-1.37686789296298,-0.46812995677729,-0.0582982506193124,"Converged",NA,0.8,0.2
35,-1.74226180649453,1.62238135397829,-0.129243368906478,"Converged",NA,0.8,0.2
36,-0.175435660600563,-3.36374563596972,-0.107351655687028,"Converged",NA,0.8,0.2
