"sim","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_data_resampled","tpr","fpr"
1,-1.75755706227144,1.90174446651361,-0.126144616749687,"Converged",FALSE,0.8,0.2
2,-1.77779661079484,1.73259728692563,-0.136330165423239,"Converged",FALSE,0.8,0.2
3,-2.53958367777854,3.53762429364538,-0.0551256277591993,"Converged",FALSE,0.8,0.2
4,-1.90778285610048,1.97801560451251,-0.114269304062081,"Converged",FALSE,0.8,0.2
5,-2.37278691075941,3.63995583950724,-0.128152238246841,"Converged",FALSE,0.8,0.2
6,-2.43945790709826,3.66409365875281,-0.0894922065109292,"Converged",FALSE,0.8,0.2
7,-2.4070362231171,3.06237222540191,-0.103502640399042,"Converged",FALSE,0.8,0.2
8,-2.42346254812895,2.7937419916294,-0.0608139195871908,"Converged",FALSE,0.8,0.2
9,-2.08025664024035,1.23342915689375,-0.0432405779112425,"Converged",FALSE,0.8,0.2
10,-1.94799651317551,2.87484706508991,-0.176906564820864,"Converged",TRUE,0.8,0.2
11,-2.61292587700151,3.08370912000821,-0.0531564506071315,"Converged",FALSE,0.8,0.2
12,-2.36226121128497,3.00465269533711,-0.123568211421833,"Converged",FALSE,0.8,0.2
13,-2.09199646579111,1.67200280481205,-0.060311859631441,"Converged",FALSE,0.8,0.2
14,-2.3252096543674,2.97986997206785,-0.0969881897374853,"Converged",FALSE,0.8,0.2
15,-2.58015260403771,3.48984891383882,-0.0817153936578265,"Converged",FALSE,0.8,0.2
16,NA,NA,NA,"MAX_ITER reached",FALSE,0.8,0.2
17,-2.22479840737606,2.39822931963762,-0.0896933852462446,"Converged",FALSE,0.8,0.2
18,-1.99410984975981,3.70640462752217,-0.190158960198199,"Converged",FALSE,0.8,0.2
19,-1.15448598152841,0.0299294901603265,-0.139900974282494,"Converged",FALSE,0.8,0.2
20,-2.11281554254927,2.50680022176385,-0.0707398995608741,"Converged",FALSE,0.8,0.2
21,-1.50118511566843,-0.975209779889972,0.0155821856029927,"Converged",FALSE,0.8,0.2
22,-2.13543616266229,1.96727655102471,-0.0496473792192473,"Converged",FALSE,0.8,0.2
23,-1.53982346861924,1.14886641945451,-0.117443135758115,"Converged",FALSE,0.8,0.2
24,-2.17414311047827,1.89608433571477,-0.0448591569270738,"Converged",FALSE,0.8,0.2
25,-3.11506274211904,4.47422519590575,-0.0445331740142812,"Converged",FALSE,0.8,0.2
26,-1.86399229019797,1.38159663304185,-0.0538516504847263,"Converged",FALSE,0.8,0.2
27,-1.19147873308265,0.384594190529072,-0.179728541884817,"Converged",FALSE,0.8,0.2
28,-2.18287701327799,1.98059672239282,-0.0467275820852736,"Converged",FALSE,0.8,0.2
29,-1.8527066872203,1.90758693240861,-0.0961057308545467,"Converged",FALSE,0.8,0.2
30,-2.61547850499368,4.00405610456861,-0.107237001124805,"Converged",FALSE,0.8,0.2
31,-2.36181989775559,2.39050054590864,-0.0480055427731661,"Converged",FALSE,0.8,0.2
32,-1.43359376711214,0.449394918703958,-0.139032041636758,"Converged",FALSE,0.8,0.2
33,-1.61655727000462,0.643851058060442,-0.0940433570707205,"Converged",FALSE,0.8,0.2
34,-0.944563458250473,-1.00805584736463,-0.11053576201416,"Converged",FALSE,0.8,0.2
