"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_data_resampled","tpr","fpr"
1,-1.77899227160476,1.92984729011343,-0.12720325284789,"Converged",FALSE,0.8,0.2
2,-1.59839326647721,1.25913526718325,-0.137600859923203,"Converged",FALSE,0.8,0.2
3,-2.07272929059323,2.22634321340579,-0.066065045240669,"Converged",FALSE,0.8,0.2
4,-2.10087541558222,1.91769706677421,-0.0656088948318079,"Converged",FALSE,0.8,0.2
5,-1.73677016105007,1.59141112091557,-0.124877223670659,"Converged",FALSE,0.8,0.2
6,-1.92708021236516,1.80180167495029,-0.0772730076508079,"Converged",FALSE,0.8,0.2
7,-2.33886236381375,2.55235057222233,-0.131004690042716,"Converged",FALSE,0.8,0.2
8,-2.61567382310042,3.27351809581989,-0.0696223492134894,"Converged",FALSE,0.8,0.2
9,-3.00112939901682,3.84070052387343,-0.0463685479686119,"Converged",FALSE,0.8,0.2
10,-2.10931481446948,2.72429616749206,-0.1395273450195,"Converged",FALSE,0.8,0.2
11,-1.02689134429062,-0.1326333382648,-0.151978390813797,"Converged",FALSE,0.8,0.2
12,-2.54718681749723,3.00855420443293,-0.0550364902648212,"Converged",FALSE,0.8,0.2
13,-2.04237454774127,2.55049368780924,-0.151024489778213,"Converged",FALSE,0.8,0.2
14,-2.60291694255353,3.20722567754209,-0.0602312667277319,"Converged",FALSE,0.8,0.2
15,-2.07145439337441,1.84405557469979,-0.0657217831207665,"Converged",FALSE,0.8,0.2
16,-1.81535825463363,1.00167412348908,-0.0704042656214666,"Converged",FALSE,0.8,0.2
17,-1.90132890008916,2.2009478469217,-0.126234828630699,"Converged",FALSE,0.8,0.2
18,-1.53075162262077,0.174160066174142,-0.067686953476514,"Converged",FALSE,0.8,0.2
19,-1.95557193049876,3.01082566686798,-0.149215353822262,"Converged",FALSE,0.8,0.2
20,-1.68737771103476,1.13387509313036,-0.109901466053235,"Converged",FALSE,0.8,0.2
21,-1.26236153456258,-0.504821590121483,-0.041016951795745,"Converged",FALSE,0.8,0.2
22,-1.58734948796153,0.072110887757257,-0.0485163816681797,"Converged",FALSE,0.8,0.2
23,-2.7306159690047,4.46070106274606,-0.119403871555368,"Converged",FALSE,0.8,0.2
24,-2.00262915984475,1.99664123056543,-0.0933655745873381,"Converged",FALSE,0.8,0.2
25,-1.30996601143964,-0.930670007676636,-0.0457644446318322,"Converged",FALSE,0.8,0.2
26,-1.8369698127221,1.4537424418066,-0.0806425597775205,"Converged",FALSE,0.8,0.2
27,-2.08057738163689,2.40395095897319,-0.0817804261405576,"Converged",FALSE,0.8,0.2
28,-1.46991943150129,1.12356445395902,-0.183411064929673,"Converged",FALSE,0.8,0.2
29,-2.21000283094588,1.94848156877016,-0.0234370450136475,"Converged",FALSE,0.8,0.2
30,-1.38955359632246,-0.0567287424684852,-0.0608350665909024,"Converged",FALSE,0.8,0.2
31,-2.44168883969878,3.09789521355656,-0.0927787175934057,"Converged",FALSE,0.8,0.2
32,-2.6479796445824,3.36907306783709,-0.054650445477209,"Converged",FALSE,0.8,0.2
33,-2.93464089029022,4.57748042164953,-0.117889073016134,"Converged",FALSE,0.8,0.2
34,-1.67308368070507,1.14878113031461,-0.108734112107618,"Converged",FALSE,0.8,0.2
35,-1.89999865179472,1.49639609335891,-0.0929473083366052,"Converged",FALSE,0.8,0.2
36,-2.03284710266847,1.88471929744816,-0.0460247195475763,"Converged",FALSE,0.8,0.2
37,-2.09406695628679,2.35990833420153,-0.101356288660901,"Converged",FALSE,0.8,0.2
38,-2.02190563881498,1.69793581935376,-0.0978963875312527,"Converged",FALSE,0.8,0.2
39,-2.46085454594454,4.35635648206177,-0.147779893289817,"Converged",FALSE,0.8,0.2
40,-1.73766432301033,1.54161231313843,-0.124185470091143,"Converged",FALSE,0.8,0.2
41,-1.57034207746068,1.68703412773955,-0.198226061798748,"Converged",FALSE,0.8,0.2
42,-1.49527878773199,-0.494401487656925,-0.0273578633576055,"Converged",FALSE,0.8,0.2
43,-2.69280954257716,4.04208194726471,-0.11201356541712,"Converged",FALSE,0.8,0.2
44,-1.82782516485032,2.38070117470129,-0.159853642399006,"Converged",FALSE,0.8,0.2
45,-2.1782439573266,0.617118823355482,0.0274090886131022,"Converged",FALSE,0.8,0.2
46,-1.55261150436192,1.28338729633573,-0.162929939007048,"Converged",FALSE,0.8,0.2
47,-2.50134249878536,4.57786156481979,-0.15939491404215,"Converged",FALSE,0.8,0.2
48,-1.27080555649988,0.5641244927798,-0.164725112164783,"Converged",FALSE,0.8,0.2
49,-1.71609979603202,1.23010490655001,-0.114118046763957,"Converged",FALSE,0.8,0.2
50,-1.31216429694825,0.741298260398322,-0.148816287800066,"Converged",FALSE,0.8,0.2
51,-2.45905377480683,2.78873396593607,-0.0524103128845258,"Converged",FALSE,0.8,0.2
52,-2.32174830070623,2.68112325789619,-0.12188085888539,"Converged",FALSE,0.8,0.2
53,-2.64201941946965,4.01909655064661,-0.0784445416071458,"Converged",FALSE,0.8,0.2
