"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","tpr","fpr"
1,-1.96582485649076,2.54903137817144,-0.127566853960136,"Converged","MLE",FALSE,FALSE,0.95,0.05
2,-1.47762736711305,0.621677568787761,-0.114104776519111,"Converged","MLE",FALSE,FALSE,0.95,0.05
3,-2.02881694695564,1.69669905812024,-0.0371857284870976,"Converged","MLE",FALSE,FALSE,0.95,0.05
4,-1.92013653739346,2.27956268747814,-0.125345931958174,"Converged","MLE",FALSE,FALSE,0.95,0.05
5,-1.78160975706838,1.32540118795715,-0.122034270962776,"Converged","MLE",FALSE,FALSE,0.95,0.05
6,-2.35638105554207,3.02691908505794,-0.0903793078022328,"Converged","MLE",FALSE,FALSE,0.95,0.05
7,-2.19708314885695,2.46505254819678,-0.0865761005205835,"Converged","CC",TRUE,FALSE,0.95,0.05
8,-3.07554246585701,3.83526693423317,-0.0171472440093819,"Converged","MLE",FALSE,FALSE,0.95,0.05
9,-2.40167343784972,3.70227442363783,-0.14708811761695,"Converged","MLE",FALSE,FALSE,0.95,0.05
10,-2.30249031522251,1.68994321095177,-0.0271041952395095,"Converged","MLE",TRUE,FALSE,0.95,0.05
11,-2.30893768285933,3.00069685227772,-0.138185723019234,"Converged","MLE",FALSE,FALSE,0.95,0.05
12,-2.51836156836027,3.0083774873346,-0.0777185018266127,"Converged","MLE",FALSE,FALSE,0.95,0.05
13,-2.15899697457002,2.40963880702169,-0.0775801339570037,"Converged","MLE",FALSE,FALSE,0.95,0.05
14,-3.15807958521147,5.41395819985506,-0.0801920514735585,"Converged","MLE",FALSE,FALSE,0.95,0.05
15,-1.3438428905563,0.420688187308921,-0.118328290591424,"Converged","MLE",FALSE,FALSE,0.95,0.05
16,-1.84811609278759,2.57920159027969,-0.147109530874838,"Converged","MLE",TRUE,FALSE,0.95,0.05
17,-1.71821963447495,2.01992479539847,-0.167775491274678,"Converged","MLE",FALSE,FALSE,0.95,0.05
18,-1.97156994641201,2.13083070398158,-0.0718257784868153,"Converged","MLE",FALSE,FALSE,0.95,0.05
19,-2.17197152860048,1.94546931867736,-0.0471586773210635,"Converged","MLE",FALSE,FALSE,0.95,0.05
20,-1.25122977145471,0.640620045084767,-0.147056023142308,"Converged","MLE",TRUE,FALSE,0.95,0.05
21,-1.20483599675965,-0.556431859108867,-0.0725127740604944,"Converged","MLE",FALSE,FALSE,0.95,0.05
22,-2.49041609989015,2.56820761670832,-0.0536754747373803,"Converged","MLE",FALSE,FALSE,0.95,0.05
23,-2.10974153421042,1.90286451390255,-0.0396472119745054,"Converged","MLE",FALSE,FALSE,0.95,0.05
24,-2.30061531100828,3.32365741495551,-0.0827110830744724,"Converged","CC",TRUE,FALSE,0.95,0.05
25,-1.99579386366141,1.57709120814124,-0.0737649895717827,"Converged","MLE",TRUE,FALSE,0.95,0.05
26,-2.27281662271486,3.10901697078524,-0.145036210873586,"Converged","MLE",FALSE,FALSE,0.95,0.05
27,-1.8741010527054,1.81100867118616,-0.118716383469855,"Converged","MLE",FALSE,FALSE,0.95,0.05
28,-1.66586016208271,1.51416831966626,-0.126156820229354,"Converged","MLE",FALSE,FALSE,0.95,0.05
29,-2.02803994693557,2.45780816145288,-0.132265015834597,"Converged","MLE",TRUE,FALSE,0.95,0.05
30,-2.0319784246528,2.02092232474094,-0.102487183953198,"Converged","MLE",FALSE,FALSE,0.95,0.05
31,-1.95496887902396,1.99487343239375,-0.114227467638638,"Converged","MLE",FALSE,FALSE,0.95,0.05
32,-1.83456337786234,2.00627771513811,-0.16612588101134,"Converged","CC",TRUE,FALSE,0.95,0.05
33,-2.26227948469485,2.39636832741463,-0.106744817482479,"Converged","MLE",TRUE,FALSE,0.95,0.05
34,-2.44760807179739,2.20121220748484,-0.011294214390703,"Converged","CC",TRUE,FALSE,0.95,0.05
