"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","tpr","fpr"
25,-1.40997115521335,1.29457114426649,-0.148727198921756,"Converged","MLE",FALSE,FALSE,0.99,0.01
26,-1.71515086608805,1.23408005405536,-0.0927798834783998,"Converged","MLE",FALSE,FALSE,0.99,0.01
27,-2.17826893947029,2.69768144288866,-0.130388987916723,"Converged","MLE",FALSE,FALSE,0.99,0.01
28,-1.77040985702178,1.4549250569541,-0.123722889529445,"Converged","MLE",FALSE,FALSE,0.99,0.01
29,-1.40896001218683,0.850944103242344,-0.12137904159413,"Converged","CC",FALSE,FALSE,0.99,0.01
30,-1.17175042482672,-0.376811131504388,-0.0998382958983554,"Converged","MLE",TRUE,FALSE,0.99,0.01
31,-1.92485057985562,1.63812022639502,-0.0996157608003918,"Converged","MLE",FALSE,FALSE,0.99,0.01
32,-1.54111669657365,1.27534778523372,-0.154029505216318,"Converged","MLE",FALSE,FALSE,0.99,0.01
33,-2.22386294658419,2.65237850845999,-0.075088111192341,"Converged","MLE",TRUE,FALSE,0.99,0.01
34,-1.31308445161345,-0.702879496364526,-0.0748774331619066,"Converged","MLE",FALSE,FALSE,0.99,0.01
35,-1.46238716446967,0.468845863202815,-0.110553512088497,"Converged","MLE",FALSE,FALSE,0.99,0.01
36,-2.45529460856056,2.02810020833937,-0.0134861961639068,"Converged","MLE",FALSE,FALSE,0.99,0.01
37,-1.20218793802523,0.709531144934458,-0.177868375213024,"Converged","MLE",TRUE,FALSE,0.99,0.01
38,-1.68497270855449,1.01131993701043,-0.111264236140858,"Converged","MLE",FALSE,FALSE,0.99,0.01
39,-2.23742752423594,3.44809098351434,-0.167041371781032,"Converged","MLE",FALSE,FALSE,0.99,0.01
40,-1.34604191329584,0.857356636848931,-0.138440263217562,"Converged","MLE",FALSE,FALSE,0.99,0.01
41,-2.3900846562669,2.42663524090735,-0.0400007027011236,"Converged","MLE",FALSE,FALSE,0.99,0.01
42,-2.43931222257933,3.58394409196931,-0.151291318393739,"Converged","MLE",FALSE,FALSE,0.99,0.01
43,-1.4709433469741,0.578677413114261,-0.0914935747291747,"Converged","MLE",FALSE,FALSE,0.99,0.01
44,-1.61320518220453,1.14852093818357,-0.13316130536522,"Converged","MLE",FALSE,FALSE,0.99,0.01
45,-1.66067175570484,1.01194221983004,-0.0786889941060852,"Converged","MLE",FALSE,FALSE,0.99,0.01
46,-2.6423278388973,3.16735517145747,-0.0551639209889629,"Converged","MLE",FALSE,FALSE,0.99,0.01
47,-2.65218507008375,3.88622579148049,-0.0931739289251177,"Converged","MLE",FALSE,FALSE,0.99,0.01
48,-1.36013669283971,1.81486863077401,-0.213907409526571,"Converged","CC",FALSE,FALSE,0.99,0.01
49,-2.40822964535339,4.72310138369503,-0.216664297081346,"Converged","MLE",TRUE,FALSE,0.99,0.01
50,-2.14189920750915,3.10637282984335,-0.132313636559254,"Converged","MLE",FALSE,FALSE,0.99,0.01
51,-2.21870765114613,2.56244385534373,-0.0916073315237749,"Converged","MLE",FALSE,FALSE,0.99,0.01
52,-1.93502409009811,2.06347314757814,-0.0910208071104457,"Converged","MLE",FALSE,FALSE,0.99,0.01
53,-1.94267599042298,2.29082392843725,-0.125598246357912,"Converged","MLE",FALSE,FALSE,0.99,0.01
54,-2.63975936087832,3.56870852914634,-0.0809881938696612,"Converged","MLE",TRUE,FALSE,0.99,0.01
55,-2.07027696807015,1.95191373388036,-0.0853037432798253,"Converged","MLE",FALSE,FALSE,0.99,0.01
56,-1.99191283582968,2.37841481487737,-0.0788812396965415,"Converged","MLE",FALSE,FALSE,0.99,0.01
57,-2.00839075298286,2.234386517845,-0.105642916745396,"Converged","MLE",FALSE,FALSE,0.99,0.01
58,-2.06474873472953,2.68688329381381,-0.123342984140822,"Converged","CC",TRUE,FALSE,0.99,0.01
59,-1.40972888140064,1.01776225802824,-0.144250739102826,"Converged","MLE",FALSE,FALSE,0.99,0.01
60,-2.00027664065167,0.792124896944315,-0.00466931090026881,"Converged","MLE",FALSE,FALSE,0.99,0.01
61,-1.71784154276185,0.734193970260341,-0.0623543366450634,"Converged","MLE",FALSE,FALSE,0.99,0.01
62,-1.81261158745692,1.25305374775168,-0.0784312309830499,"Converged","MLE",FALSE,FALSE,0.99,0.01
63,-2.0505709757281,1.43634680944988,-0.0532522188261019,"Converged","MLE",FALSE,FALSE,0.99,0.01
64,-2.78833460232907,3.24254209466994,-0.0396296327435835,"Converged","MLE",FALSE,FALSE,0.99,0.01
65,-1.91741405596502,1.12519155878165,-0.0298630532025171,"Converged","MLE",FALSE,FALSE,0.99,0.01
66,-2.23315715750033,1.97299286335961,-0.0417533747126465,"Converged","MLE",FALSE,FALSE,0.99,0.01
67,-1.19278883628352,-0.0772283935183469,-0.12062651229231,"Converged","MLE",FALSE,FALSE,0.99,0.01
68,-2.151866801434,3.34660771615104,-0.128481640517695,"Converged","MLE",FALSE,FALSE,0.99,0.01
69,-2.11555422066687,2.68506848312795,-0.108351590323452,"Converged","MLE",TRUE,FALSE,0.99,0.01
70,-1.95315160775587,1.26775170358402,-0.0727656772763252,"Converged","MLE",FALSE,FALSE,0.99,0.01
71,-2.35496050463144,3.7333685974289,-0.126952313513965,"Converged","MLE",FALSE,FALSE,0.99,0.01
72,-1.9726474171044,2.62403526998123,-0.153325059965972,"Converged","MLE",TRUE,FALSE,0.99,0.01
73,-2.21067649922632,1.78048091622916,-0.0380645487833106,"Converged","MLE",TRUE,FALSE,0.99,0.01
74,-0.992079705205833,0.267016636992197,-0.215183811755033,"Converged","MLE",FALSE,FALSE,0.99,0.01
75,-2.45848585882068,2.69437289694953,-0.062600472866057,"Converged","MLE",TRUE,FALSE,0.99,0.01
76,-1.88345605252826,1.02151856543114,-0.0522765046181354,"Converged","MLE",FALSE,FALSE,0.99,0.01
77,-2.02261652736801,2.52464811731735,-0.109315935181759,"Converged","MLE",TRUE,FALSE,0.99,0.01
78,-1.82397789180592,1.67966364037182,-0.118559714157963,"Converged","MLE",TRUE,FALSE,0.99,0.01
79,-2.14344191253707,2.31802399625255,-0.097444380493006,"Converged","MLE",TRUE,FALSE,0.99,0.01
80,-2.03320327546839,2.20127916456185,-0.0737215198142256,"Converged","MLE",FALSE,FALSE,0.99,0.01
81,-1.95228048439474,1.70947635361699,-0.0926478444974882,"Converged","MLE",FALSE,FALSE,0.99,0.01
82,-1.70933902316318,2.12708824324632,-0.188799151144794,"Converged","MLE",FALSE,FALSE,0.99,0.01
83,-2.10925744382797,3.30885224106758,-0.148858928987165,"Converged","MLE",FALSE,FALSE,0.99,0.01
84,-1.62768714814385,1.88094917563075,-0.151911039494054,"Converged","MLE",FALSE,FALSE,0.99,0.01
85,NA,NA,NA,"MAX_ITER reached","MLE",FALSE,FALSE,0.99,0.01
86,-1.65256503072559,1.75301819355927,-0.156543439610326,"Converged","MLE",TRUE,FALSE,0.99,0.01
87,-1.92485622856821,1.28009497297645,-0.0606429163935357,"Converged","MLE",FALSE,FALSE,0.99,0.01
88,-1.91233951330646,2.07905905269988,-0.111482099985457,"Converged","MLE",FALSE,FALSE,0.99,0.01
89,-2.3216402081143,3.75892089656984,-0.147180392382945,"Converged","MLE",FALSE,FALSE,0.99,0.01
90,-1.44422769411256,0.352619113258013,-0.0911473741185747,"Converged","MLE",FALSE,FALSE,0.99,0.01
91,-1.83725229609247,2.35358628566407,-0.180817835449761,"Converged","MLE",FALSE,FALSE,0.99,0.01
92,-1.60455666645124,2.32971692288258,-0.214868463784021,"Converged","MLE",FALSE,FALSE,0.99,0.01
93,-2.41900384520803,2.34836988489854,-0.0406071390662126,"Converged","MLE",FALSE,FALSE,0.99,0.01
94,-1.90022837687288,2.44771645104972,-0.119325984504443,"Converged","MLE",FALSE,FALSE,0.99,0.01
95,-2.58418514693718,3.14305786134071,-0.0488404902328183,"Converged","MLE",TRUE,FALSE,0.99,0.01
96,-1.87071772053294,1.74531524576255,-0.117746454971362,"Converged","MLE",FALSE,FALSE,0.99,0.01
97,-1.61875250822693,1.96350493227349,-0.149090015729103,"Converged","MLE",FALSE,FALSE,0.99,0.01
98,-1.01275297573721,-1.07711062085911,-0.100613442141131,"Converged","MLE",FALSE,FALSE,0.99,0.01
99,-1.78227881725236,0.980574985214287,-0.0799853370505291,"Converged","MLE",TRUE,FALSE,0.99,0.01
100,-2.07212242808893,1.78410928981345,-0.0774399269002981,"Converged","MLE",FALSE,FALSE,0.99,0.01
101,-1.75699247750084,1.18920461537054,-0.079845522081953,"Converged","MLE",TRUE,FALSE,0.99,0.01
102,-2.48375162548118,3.53884342050977,-0.0978119631280118,"Converged","MLE",FALSE,FALSE,0.99,0.01
103,-2.16787957003256,2.4476488745394,-0.0693395635006167,"Converged","MLE",FALSE,FALSE,0.99,0.01
104,-1.74168517885258,1.38715553079408,-0.0997476202125663,"Converged","MLE",FALSE,FALSE,0.99,0.01
105,-1.61406474298196,0.692063773755384,-0.127903048705195,"Converged","MLE",FALSE,FALSE,0.99,0.01
106,-2.1890344563265,3.37397318248037,-0.133790207478551,"Converged","MLE",FALSE,FALSE,0.99,0.01
107,-2.04282060693723,2.32801936999873,-0.0959932436534116,"Converged","MLE",FALSE,FALSE,0.99,0.01
108,-1.44918688328363,1.28079632949467,-0.153048068431211,"Converged","CC",FALSE,FALSE,0.99,0.01
109,-1.73721987751208,1.93260937453122,-0.145095211694566,"Converged","MLE",FALSE,FALSE,0.99,0.01
