"sim","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","cc_data_resampled","tpr","fpr"
1,-1.7570589410886,1.93641082741058,-0.127526123185303,"Converged",FALSE,0.8,0.2
2,-1.87626252085742,1.8903678621063,-0.128332126272123,"Converged",FALSE,0.8,0.2
3,-2.05360425323784,1.98543984333146,-0.0510454989933299,"Converged",FALSE,0.8,0.2
4,-1.39605579769291,0.103182505860581,-0.0789770750857416,"Converged",FALSE,0.8,0.2
5,-1.21982298959878,0.073164612733492,-0.138893427183666,"Converged",FALSE,0.8,0.2
6,-2.0334783055996,2.29655250371921,-0.0900788318061861,"Converged",FALSE,0.8,0.2
7,-1.38642592273557,-0.481690349019643,-0.0770456940798032,"Converged",FALSE,0.8,0.2
8,-2.81350769791951,3.93653008873585,-0.0548704682102138,"Converged",FALSE,0.8,0.2
9,-2.57842987084966,2.79936364432637,-0.0727985496436271,"Converged",FALSE,0.8,0.2
10,-1.73593636887102,2.31401072634219,-0.187941012429654,"Converged",FALSE,0.8,0.2
11,-1.47655463044647,1.17362641163577,-0.151995014598937,"Converged",FALSE,0.8,0.2
12,-2.33290701518245,2.68052051443415,-0.103764287562793,"Converged",FALSE,0.8,0.2
13,-1.41094943316908,-0.011891741872196,-0.122496635518774,"Converged",FALSE,0.8,0.2
14,-2.99789481593074,4.69431465906434,-0.0871965117928468,"Converged",FALSE,0.8,0.2
15,-1.5368438885968,-0.0987034627635913,-0.0465784023726749,"Converged",FALSE,0.8,0.2
16,-1.77236360070646,0.773741508864705,-0.0560345214044183,"Converged",FALSE,0.8,0.2
17,-2.60995179098819,4.79604643160373,-0.176606185908925,"Converged",FALSE,0.8,0.2
18,-2.10280211787302,1.78658416267024,-0.0448356813867719,"Converged",FALSE,0.8,0.2
19,-1.92338645209593,3.18329877882491,-0.162246033928118,"Converged",FALSE,0.8,0.2
20,-2.51149968234875,3.98747015971168,-0.111158345440031,"Converged",FALSE,0.8,0.2
21,-2.32586686849902,2.96034501006667,-0.0555102658192519,"Converged",FALSE,0.8,0.2
22,-2.4750305910973,2.5732723553644,-0.0193042991537348,"Converged",FALSE,0.8,0.2
23,-1.97955491943049,1.66742240848475,-0.0699033795014884,"Converged",FALSE,0.8,0.2
24,-2.06619611006249,2.61104352553017,-0.102049986031655,"Converged",FALSE,0.8,0.2
25,-1.90205570131513,0.942951010934631,-0.033094445609064,"Converged",FALSE,0.8,0.2
26,-2.36954720860959,2.96879416830798,-0.101410905280099,"Converged",FALSE,0.8,0.2
