"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","audit_recovery"
1,-1.51956711145633,1.50996603999055,-0.140924550775024,"Converged","CC",TRUE,FALSE,0.25
2,-1.91707837078895,1.5311696062069,-0.106953954970664,"Converged","MLE",FALSE,FALSE,0.25
3,-1.65662251507465,1.47842943437745,-0.139982810562455,"Converged","MLE",FALSE,FALSE,0.25
4,-1.98881531805759,2.20417894673459,-0.11923479943659,"Converged","MLE",FALSE,FALSE,0.25
5,-1.74411517144332,1.2323937408383,-0.111184379673713,"Converged","MLE",FALSE,FALSE,0.25
6,-2.00742873025043,1.59091169737656,-0.0461686305332895,"Converged","MLE",FALSE,FALSE,0.25
7,-1.12780403171922,0.149679253087483,-0.17336673941286,"Converged","MLE",FALSE,FALSE,0.25
8,-2.21537944418494,3.23784151740248,-0.157001963146624,"Converged","MLE",FALSE,FALSE,0.25
9,-1.89305459063528,1.22952256078666,-0.0862364539668535,"Converged","MLE",FALSE,FALSE,0.25
10,-1.70261818274504,0.55953230700341,-0.070900053005015,"Converged","MLE",FALSE,FALSE,0.25
11,-2.52002770679312,2.57266549885022,-0.0682043291242271,"Converged","MLE",FALSE,FALSE,0.25
12,-1.40537876908232,1.01761699983938,-0.160979697781132,"Converged","MLE",FALSE,FALSE,0.25
13,-1.57974809642099,0.814426945321887,-0.125184469333002,"Converged","MLE",FALSE,FALSE,0.25
14,-2.34245955995312,1.84249575711483,-0.0236984437557092,"Converged","MLE",FALSE,FALSE,0.25
15,-1.96996910158417,1.48108720094954,-0.0622838294468961,"Converged","MLE",FALSE,FALSE,0.25
16,-1.96423978395224,1.55609612426333,-0.103026654255373,"Converged","MLE",FALSE,FALSE,0.25
17,-1.93907791434973,0.911536577417867,-0.0263612804525419,"Converged","MLE",FALSE,FALSE,0.25
18,-2.09441259617453,0.984344681773507,-0.0224957998913805,"Converged","MLE",FALSE,FALSE,0.25
19,-1.91653448499751,1.04147058389582,-0.102491763900863,"Converged","MLE",FALSE,FALSE,0.25
20,-1.70369806324122,0.423191448372914,-0.065710861912186,"Converged","CC",FALSE,FALSE,0.25
21,-1.65315492324937,0.856878504039807,-0.152035687404149,"Converged","MLE",FALSE,FALSE,0.25
22,-1.56973876831229,0.870381037766699,-0.102575913943898,"Converged","MLE",FALSE,FALSE,0.25
23,-2.01029477381708,2.02832039954523,-0.117446589394935,"Converged","MLE",TRUE,FALSE,0.25
24,-1.52755643298701,0.493591645800559,-0.0950425828775424,"Converged","MLE",FALSE,FALSE,0.25
25,-1.20467962468536,-0.0564375837185852,-0.0767799359770509,"Converged","CC",FALSE,FALSE,0.25
26,-1.97649490391402,2.16570861573891,-0.151082723423113,"Converged","MLE",FALSE,FALSE,0.25
27,-1.05303377651476,-0.597645585054617,-0.132010363928335,"Converged","MLE",FALSE,FALSE,0.25
28,-1.40324668548933,0.592920019864469,-0.140022685873045,"Converged","MLE",FALSE,FALSE,0.25
29,-1.41452123663647,0.411505668333174,-0.117843365619608,"Converged","MLE",FALSE,FALSE,0.25
30,-1.16375388848793,0.979374124002075,-0.22158281330842,"Converged","MLE",FALSE,FALSE,0.25
31,-2.15902827203099,2.64860103636581,-0.114765552025948,"Converged","MLE",TRUE,FALSE,0.25
32,-2.2269812051839,2.35358508089593,-0.0835830266200752,"Converged","MLE",FALSE,FALSE,0.25
33,-1.15259080850904,0.0977595801938563,-0.12988564491888,"Converged","MLE",FALSE,FALSE,0.25
34,-1.98052575819766,1.72877753383092,-0.103049805619569,"Converged","MLE",FALSE,FALSE,0.25
35,-1.46965201495151,0.602902655759291,-0.108530391197237,"Converged","MLE",FALSE,FALSE,0.25
36,-1.65979388109851,0.787981874301133,-0.0852509845136774,"Converged","MLE",FALSE,FALSE,0.25
37,-1.63793359752977,1.15347737973441,-0.109057230081619,"Converged","MLE",FALSE,FALSE,0.25
38,-1.1501293129798,0.0883819091304012,-0.123285022155923,"Converged","MLE",FALSE,FALSE,0.25
39,-1.71702887020037,0.5976462658564,-0.0641518037933774,"Converged","MLE",FALSE,FALSE,0.25
40,-2.47988225792368,2.88031378984219,-0.0563591557088158,"Converged","MLE",FALSE,FALSE,0.25
41,-2.42298904881766,1.9093002510161,-0.0266205059239458,"Converged","MLE",FALSE,FALSE,0.25
42,-1.89832111794539,2.0074052075761,-0.133441855359547,"Converged","MLE",TRUE,FALSE,0.25
43,-1.65697805704443,1.20081257423096,-0.138261122643991,"Converged","MLE",FALSE,FALSE,0.25
44,-1.87989789376209,1.58220642639651,-0.106411452688538,"Converged","MLE",FALSE,FALSE,0.25
45,-1.24354076942792,0.486511592205791,-0.13656882297392,"Converged","MLE",FALSE,FALSE,0.25
46,-1.90892374820409,1.24156874025074,-0.0721443074493342,"Converged","MLE",FALSE,FALSE,0.25
47,-1.9933827910193,0.913818553675684,-0.0459817166366188,"Converged","MLE",FALSE,FALSE,0.25
48,-2.28844269939388,2.51579113189126,-0.0992232950993357,"Converged","MLE",TRUE,FALSE,0.25
49,NA,NA,NA,"MAX_ITER reached","MLE",FALSE,FALSE,0.25
50,-2.46267675595665,1.99756209326399,-0.059178463171063,"Converged","MLE",TRUE,FALSE,0.25
51,-2.37482666179329,2.551642594268,-0.0707164566620307,"Converged","MLE",FALSE,FALSE,0.25
52,NA,NA,NA,NA,"MLE",FALSE,TRUE,0.25
53,-1.76355552742557,0.393499321619681,-0.0395382198880795,"Converged","MLE",FALSE,FALSE,0.25
54,-2.08076883779739,1.5536021812456,-0.0179524151608122,"Converged","MLE",FALSE,FALSE,0.25
55,-1.95399486150653,1.20333556539808,-0.0658495977560339,"Converged","MLE",FALSE,FALSE,0.25
56,-2.06671832529034,1.80075488837397,-0.0759706938315846,"Converged","MLE",FALSE,FALSE,0.25
57,-1.12398288954081,0.987981747656939,-0.231009229102121,"Converged","MLE",FALSE,FALSE,0.25
58,-1.78524037576354,0.81081214100342,-0.0667895912465196,"Converged","MLE",FALSE,FALSE,0.25
59,-1.1383250356753,0.277875987889164,-0.164779819186072,"Converged","MLE",FALSE,FALSE,0.25
60,-1.05210606424069,0.670142112514814,-0.223991225082832,"Converged","MLE",FALSE,FALSE,0.25
61,-1.55338532462759,1.34797283602938,-0.111967109713125,"Converged","MLE",FALSE,FALSE,0.25
62,-1.64671338325726,1.50705802540996,-0.10107447193658,"Converged","MLE",FALSE,FALSE,0.25
63,NA,NA,NA,"MAX_ITER reached","MLE",FALSE,FALSE,0.25
64,-1.78340674022507,0.922862204222497,-0.0644377039417725,"Converged","MLE",FALSE,FALSE,0.25
65,-1.86108559000327,2.12794572101526,-0.120091414024721,"Converged","MLE",TRUE,FALSE,0.25
66,-1.89921184617477,1.78412823824331,-0.0885847558902014,"Converged","MLE",FALSE,FALSE,0.25
67,-2.15703795513133,2.47074346241409,-0.11162867111802,"Converged","MLE",FALSE,FALSE,0.25
68,-1.58957787384739,1.25335913050215,-0.115100310021559,"Converged","MLE",FALSE,FALSE,0.25
69,-2.11113574438066,1.99947569593932,-0.0818922364571504,"Converged","CC",TRUE,FALSE,0.25
70,-1.64661304534966,0.742305816119965,-0.0729447333084813,"Converged","MLE",FALSE,FALSE,0.25
71,-2.19161526922755,2.28152427925022,-0.0903109220794303,"Converged","MLE",FALSE,FALSE,0.25
72,-1.43134267583141,0.568301093427384,-0.150919677205266,"Converged","MLE",FALSE,FALSE,0.25
73,-1.50104517148003,0.522403603772114,-0.0977882483228275,"Converged","MLE",FALSE,FALSE,0.25
74,-1.88602573116841,1.52314029075578,-0.101100917771372,"Converged","MLE",FALSE,FALSE,0.25
75,-1.39999720291061,0.789842772410015,-0.144671752418305,"Converged","CC",TRUE,FALSE,0.25
76,-1.76545100820884,1.66792808275021,-0.147132457561015,"Converged","MLE",FALSE,FALSE,0.25
77,-1.65613037123973,0.628014000665786,-0.0640704829019938,"Converged","MLE",FALSE,FALSE,0.25
78,-2.02364014341151,1.45027013064679,-0.0675839803439621,"Converged","MLE",FALSE,FALSE,0.25
79,-1.53198892716786,0.860149866495649,-0.126627840785358,"Converged","CC",FALSE,FALSE,0.25
80,-1.38328443097431,0.710765876932327,-0.107805110983508,"Converged","MLE",FALSE,FALSE,0.25
81,-2.28376122547671,1.44027224330948,-0.0345619341413648,"Converged","MLE",TRUE,FALSE,0.25
82,-1.63591538310101,1.66693608411809,-0.169460446277589,"Converged","MLE",FALSE,FALSE,0.25
83,-1.8727513994475,1.11588856833144,-0.0799236445094027,"Converged","MLE",FALSE,FALSE,0.25
84,-1.74719453120074,2.03624596926818,-0.143430935296723,"Converged","MLE",FALSE,FALSE,0.25
85,-1.42290871467111,1.24937400048395,-0.164907447552627,"Converged","MLE",FALSE,FALSE,0.25
86,-1.2756842861169,1.4764984694194,-0.261031092396702,"Converged","MLE",FALSE,FALSE,0.25
87,-1.97721325201763,2.25125022337858,-0.1209422741484,"Converged","MLE",FALSE,FALSE,0.25
88,-1.45031042572942,0.990179166237418,-0.103755606688301,"Converged","MLE",FALSE,FALSE,0.25
89,-1.5741195515877,1.14289753178411,-0.204169671246478,"Converged","MLE",TRUE,FALSE,0.25
90,-1.68657103576231,1.09219119907636,-0.105889062717498,"Converged","MLE",FALSE,FALSE,0.25
91,NA,NA,NA,"MAX_ITER reached","MLE",FALSE,FALSE,0.25
92,-1.46906896454878,0.882910739948627,-0.163910921640482,"Converged","MLE",FALSE,FALSE,0.25
93,-1.96199582922639,2.1112406961205,-0.110731630820456,"Converged","MLE",FALSE,FALSE,0.25
94,-1.74638145168993,1.07556245410313,-0.0816872240042814,"Converged","MLE",FALSE,FALSE,0.25
95,-2.02309495683053,2.11329970076921,-0.121672207072795,"Converged","MLE",FALSE,FALSE,0.25
96,-1.98974232419749,1.95050725153143,-0.0693651043617739,"Converged","MLE",FALSE,FALSE,0.25
97,-1.54180426795496,1.50317357505963,-0.157088394267099,"Converged","MLE",FALSE,FALSE,0.25
98,-1.55508566501179,0.882653016589178,-0.117755232814536,"Converged","MLE",FALSE,FALSE,0.25
99,-2.2265550847316,1.26336280098984,-0.0167303302785271,"Converged","MLE",FALSE,FALSE,0.25
100,-1.82134299478325,1.02397480971073,-0.0672897992295329,"Converged","MLE",FALSE,FALSE,0.25
101,-1.54041894140991,0.868621998679709,-0.0790171003009597,"Converged","MLE",TRUE,FALSE,0.25
102,-1.73935709519602,1.35465687194728,-0.120388567993626,"Converged","MLE",FALSE,FALSE,0.25
103,-2.2439120145714,2.40663061045787,-0.0831966961004759,"Converged","MLE",FALSE,FALSE,0.25
104,-1.38950191129515,0.353487344201912,-0.115570025398615,"Converged","MLE",FALSE,FALSE,0.25
105,-2.10219545206574,2.89848388638651,-0.156161150780999,"Converged","MLE",FALSE,FALSE,0.25
106,-1.19516522231082,0.317776699288971,-0.129935871196087,"Converged","MLE",FALSE,FALSE,0.25
107,-2.15439419174628,1.30863084305979,-0.0628805334308476,"Converged","MLE",FALSE,FALSE,0.25
108,-1.75512479001619,0.0307450310498918,-0.0154799056429739,"Converged","MLE",FALSE,FALSE,0.25
109,-2.15858931970216,2.00727557162058,-0.0983168861842865,"Converged","MLE",FALSE,FALSE,0.25
110,-1.60877375923173,1.05752136407028,-0.0825927685061462,"Converged","MLE",FALSE,FALSE,0.25
111,-1.89599677697263,1.51499166890774,-0.10173680017938,"Converged","MLE",FALSE,FALSE,0.25
112,-1.66089866170496,0.688856895994008,-0.0770327431586269,"Converged","MLE",FALSE,FALSE,0.25
113,-1.47535573102181,1.00007561488023,-0.123479929523066,"Converged","MLE",FALSE,FALSE,0.25
114,-1.77696306973575,1.85481443600901,-0.124729146744329,"Converged","MLE",FALSE,FALSE,0.25
115,-1.71964086803548,1.09719134205226,-0.109471057746536,"Converged","MLE",FALSE,FALSE,0.25
116,-1.81502508852816,1.0153885112832,-0.0792416700793332,"Converged","CC",FALSE,FALSE,0.25
117,-1.7778381928464,1.70685051325029,-0.117189850657141,"Converged","MLE",FALSE,FALSE,0.25
118,-2.18508187281071,2.35536048727437,-0.0929234930167289,"Converged","MLE",FALSE,FALSE,0.25
119,-1.69879098936087,1.13236168403428,-0.119538055685992,"Converged","MLE",FALSE,FALSE,0.25
120,-1.30129158645404,0.299637124103134,-0.1336634320676,"Converged","MLE",TRUE,FALSE,0.25
121,-1.21815225248822,0.148534671248159,-0.15692443526466,"Converged","MLE",FALSE,FALSE,0.25
122,-1.50412489002909,1.930178576533,-0.17086818813976,"Converged","MLE",FALSE,FALSE,0.25
123,-2.23614460263924,2.0310239256592,-0.070715230284377,"Converged","MLE",FALSE,FALSE,0.25
124,-1.79519868985764,0.925949041137426,-0.0704720498777413,"Converged","MLE",FALSE,FALSE,0.25
125,-1.8185154551225,1.24612289622234,-0.0841820087368082,"Converged","MLE",FALSE,FALSE,0.25
126,-1.54889349606436,0.605513913111184,-0.0923017650597673,"Converged","MLE",FALSE,FALSE,0.25
127,-1.36572948381694,-0.344552670509413,-0.0744680617647731,"Converged","MLE",TRUE,FALSE,0.25
