"sim","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_data_resampled","audit_recovery"
1,-1.78261499274885,2.00652373423602,-0.126787765172587,"Converged",FALSE,0.9
2,-1.90297083442974,2.23740855922888,-0.133132387476128,"Converged",FALSE,0.9
3,-2.25077087042823,2.73829615025778,-0.0488141237178636,"Converged",FALSE,0.9
4,-1.24573789193545,-0.230591034050889,-0.080730494857249,"Converged",FALSE,0.9
5,-1.44383613665527,0.558978252803373,-0.108601893768454,"Converged",FALSE,0.9
6,-2.32826731609333,3.57670172582081,-0.0986640436106205,"Converged",FALSE,0.9
7,-2.68425699768886,3.79303020204679,-0.0868250232833071,"Converged",FALSE,0.9
8,-2.30199537639935,2.85608998405833,-0.0699433418437045,"Converged",FALSE,0.9
9,-2.18777253763415,2.17746492838485,-0.105849249183225,"Converged",FALSE,0.9
10,-1.35864565949272,0.434169078638535,-0.138691233570421,"Converged",FALSE,0.9
11,-1.91368396674504,1.67517917732159,-0.12267065900444,"Converged",FALSE,0.9
12,-2.01836511376015,1.11914535959229,-0.0485027818367117,"Converged",FALSE,0.9
13,-2.61927418835175,3.16864694590351,-0.108073154918045,"Converged",FALSE,0.9
14,-2.68770057528195,3.70742653801732,-0.0727856165243787,"Converged",FALSE,0.9
15,-1.81829026349181,2.04258032476877,-0.121576394208374,"Converged",FALSE,0.9
16,-2.23293129353583,2.90514581986431,-0.100914528570434,"Converged",FALSE,0.9
17,-2.08349173144195,3.11193924637674,-0.162138544112335,"Converged",FALSE,0.9
18,-1.88208198939842,0.957946970570055,-0.073278920613793,"Converged",FALSE,0.9
19,-1.6332343280395,2.58917941752271,-0.181140752988582,"Converged",FALSE,0.9
20,-1.53870350361067,1.43700861188436,-0.146865432008954,"Converged",FALSE,0.9
21,-1.60467455704459,1.13061100112236,-0.090335805593553,"Converged",FALSE,0.9
22,-1.67285720207922,0.432348709771174,-0.0452476105027992,"Converged",FALSE,0.9
23,-2.07739391059585,1.83512082121406,-0.0506916963593811,"Converged",FALSE,0.9
24,-1.23930747987049,0.688661779275647,-0.161220230515446,"Converged",FALSE,0.9
25,-2.00962783718529,2.27978610692357,-0.0869577997206712,"Converged",FALSE,0.9
26,-1.95866994129035,1.48635551997277,-0.0731771647647361,"Converged",FALSE,0.9
27,-1.74831804646939,1.10054219902964,-0.0664908917018471,"Converged",FALSE,0.9
28,-1.60985401363458,1.73763823747406,-0.196347645635249,"Converged",FALSE,0.9
29,-2.0780088993561,1.38773939872181,-0.0388641851289855,"Converged",FALSE,0.9
