"sim","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","cc_data_resampled","audit_recovery"
1,-2.06660186608359,3.02175406338111,-0.129954081899252,"Converged",FALSE,0.25
2,-1.56943449951076,1.06448237578519,-0.12381363712238,"Converged",FALSE,0.25
3,-1.70878173691796,0.728290805876399,-0.0519773333348371,"Converged",FALSE,0.25
4,-1.79133528538718,1.99308052942693,-0.117326067191034,"Converged",FALSE,0.25
5,-1.88019552233814,2.36132944151587,-0.147194541137791,"Converged",FALSE,0.25
6,-1.83516634329792,2.25446039966626,-0.124469563039461,"Converged",FALSE,0.25
7,-2.18126231853909,2.58590579059657,-0.126793630752749,"Converged",FALSE,0.25
8,-2.36778996452396,2.86689446649896,-0.0829328740706962,"Converged",FALSE,0.25
9,-3.09845190478347,4.15731275967395,-0.0330674134322457,"Converged",FALSE,0.25
10,-1.53357461594474,1.55372034879646,-0.178715266471851,"Converged",FALSE,0.25
11,-1.50310263505187,1.04319934624825,-0.14527978802424,"Converged",FALSE,0.25
12,-2.56343260707908,3.18213079517465,-0.0741729643469646,"Converged",FALSE,0.25
13,-1.98563057288694,1.95814166198575,-0.14221907059932,"Converged",FALSE,0.25
14,-1.54760516199566,0.861711704395783,-0.126572300941156,"Converged",FALSE,0.25
15,-3.13266715475987,5.19360920037418,-0.0691108149204907,"Converged",FALSE,0.25
16,-2.38432258849509,2.45821188706316,-0.0535202889352976,"Converged",FALSE,0.25
17,-2.08324044207856,3.18409164081153,-0.159002890763977,"Converged",FALSE,0.25
18,-2.51965522138664,2.6477484002978,-0.0454110284796738,"Converged",FALSE,0.25
19,-1.7140924169591,2.33869668274923,-0.171466601473465,"Converged",FALSE,0.25
20,-2.37199385381095,3.73141751351117,-0.130736982715298,"Converged",FALSE,0.25
21,-1.56949980671421,0.392762351580157,-0.0443935512965788,"Converged",FALSE,0.25
22,-2.42900213584523,2.35462781496027,-0.0188290249376502,"Converged",FALSE,0.25
23,-2.37461781605805,3.03778835621082,-0.0656193057871437,"Converged",FALSE,0.25
24,-1.8955044878225,2.35043764370933,-0.123976511919817,"Converged",FALSE,0.25
25,-2.04329246348837,1.56289513540895,-0.0549041457491033,"Converged",FALSE,0.25
26,-2.29096574773233,2.24088587572197,-0.0607394524115752,"Converged",FALSE,0.25
27,-1.81977857189179,1.31678846370062,-0.0778191050377669,"Converged",FALSE,0.25
28,-1.42671078851379,1.11790295974954,-0.175247519096015,"Converged",FALSE,0.25
29,-2.13648195188206,1.60462634014251,-0.0441676128272694,"Converged",FALSE,0.25
30,-1.84009137187234,1.90927371576175,-0.0929720050920786,"Converged",FALSE,0.25
31,-2.02978574669589,2.22584446882095,-0.104438293300858,"Converged",FALSE,0.25
32,-2.13113740375298,1.79605690650825,-0.0585788544807491,"Converged",FALSE,0.25
33,-1.82948696208848,1.2731286039651,-0.118908624264507,"Converged",FALSE,0.25
34,-2.29059926410891,2.98964516859983,-0.106077289955689,"Converged",FALSE,0.25
35,-1.53729285792199,0.62929599865827,-0.100199146057798,"Converged",FALSE,0.25
36,-1.82115645871794,1.61686111388579,-0.0888045722147535,"Converged",FALSE,0.25
37,-2.25974828489645,2.77854025005367,-0.087649740000755,"Converged",FALSE,0.25
38,-1.86244014543148,1.38853088514111,-0.097652295428454,"Converged",FALSE,0.25
39,-1.44985867345835,1.48428034704134,-0.158342140608183,"Converged",FALSE,0.25
40,-1.28927457873867,0.545282900396629,-0.155016685678088,"Converged",FALSE,0.25
41,-1.42930420800666,1.09692872950374,-0.185236022216513,"Converged",FALSE,0.25
42,-2.25583278953346,2.55165932513162,-0.0595647257129144,"Converged",FALSE,0.25
43,-1.9342183204836,1.76949031507831,-0.119949778146904,"Converged",FALSE,0.25
44,-1.83761089166278,2.16362867059915,-0.166625922505007,"Converged",FALSE,0.25
45,-1.59418077522977,-0.96391313388133,0.000579442848690213,"Converged",FALSE,0.25
46,-1.9904059480182,2.807646029818,-0.171170960200312,"Converged",FALSE,0.25
47,-1.80077873692255,2.75277023659091,-0.168768502595023,"Converged",FALSE,0.25
48,-1.80439972792459,1.93882409575269,-0.162977499611704,"Converged",FALSE,0.25
49,-2.0835609428358,2.75968831469458,-0.132245105723432,"Converged",TRUE,0.25
50,-1.80946374109193,0.752487695613672,-0.036396718362687,"Converged",FALSE,0.25
51,-1.95612159033006,1.55107119633477,-0.122908275820968,"Converged",FALSE,0.25
52,-1.84814113806707,1.88766891002682,-0.100292123067238,"Converged",FALSE,0.25
53,-2.01101884675913,1.32837631321945,-0.0348762443004961,"Converged",FALSE,0.25
54,-1.81436782787861,1.07866888832498,-0.0721826462371675,"Converged",FALSE,0.25
55,-1.64383419749313,0.753524807624621,-0.0814288124838578,"Converged",FALSE,0.25
56,-1.27471020934987,-0.0195306934737085,-0.112328370062049,"Converged",FALSE,0.25
57,-1.38424632963316,1.79931438402201,-0.204965271838484,"Converged",FALSE,0.25
58,-1.90218384573782,2.12367879815613,-0.149349724989225,"Converged",TRUE,0.25
59,-1.77397186581255,0.70304513715822,-0.0442768612136586,"Converged",FALSE,0.25
60,-2.31662087983517,2.8028097007819,-0.0539619731378673,"Converged",FALSE,0.25
61,-1.14526020103471,-0.374505763656429,-0.102892078554485,"Converged",FALSE,0.25
62,-2.24122471761257,2.45869625331645,-0.0524871549509943,"Converged",TRUE,0.25
63,-2.0664484315721,2.21168752747126,-0.0741991557694016,"Converged",FALSE,0.25
64,-1.67257931653021,0.97613959899483,-0.0843509968095857,"Converged",FALSE,0.25
65,-1.80798044779439,1.923682581268,-0.0991676251700009,"Converged",FALSE,0.25
66,-1.9976383843405,2.16753586813167,-0.117297535092779,"Converged",FALSE,0.25
67,-2.12165283905025,2.93220819595396,-0.115069712334641,"Converged",FALSE,0.25
68,-1.43217185832045,0.4512736787638,-0.118817546440023,"Converged",FALSE,0.25
69,-1.5980935059756,2.07632529301523,-0.165330441464286,"Converged",FALSE,0.25
70,-1.56254013482394,0.651885692631042,-0.112772386140138,"Converged",FALSE,0.25
71,-1.22551642124136,-0.0961777474257745,-0.130789280837766,"Converged",FALSE,0.25
72,-1.92427986170823,2.51984389354811,-0.112511030459485,"Converged",FALSE,0.25
73,-2.09628228250768,3.15158174856045,-0.161714632151648,"Converged",FALSE,0.25
74,-3.38492637776911,5.53499891097554,-0.0278969268852909,"Converged",FALSE,0.25
75,-1.78968250699967,0.924156810703653,-0.0413659774038013,"Converged",FALSE,0.25
76,-2.23402900892723,2.38106984592387,-0.0823678091382008,"Converged",FALSE,0.25
77,-1.65909825294916,1.23338532269553,-0.0841184250848989,"Converged",FALSE,0.25
78,-2.32951820904429,4.6709290042692,-0.197788838592831,"Converged",FALSE,0.25
79,-1.50900161220721,1.14420365254856,-0.12045663452031,"Converged",FALSE,0.25
80,-2.11035817955433,1.44381253790354,-0.014089324710428,"Converged",FALSE,0.25
81,-1.65320940137725,0.540209611826949,-0.0498518046114024,"Converged",TRUE,0.25
82,-2.81838585120756,4.85186234562417,-0.0890266197029724,"Converged",FALSE,0.25
83,-1.36053471217771,1.04281178651489,-0.152330420638563,"Converged",FALSE,0.25
84,-2.69251170409191,4.0261422300773,-0.116225835120903,"Converged",FALSE,0.25
85,-1.45778738693222,1.02374086721346,-0.126545226108364,"Converged",FALSE,0.25
86,-2.00674163717752,3.13200739489759,-0.191636769776221,"Converged",FALSE,0.25
87,-1.69751538485263,1.93008547698836,-0.126241582028774,"Converged",FALSE,0.25
88,-2.21724078973317,3.29487178944112,-0.130819943858589,"Converged",FALSE,0.25
89,-2.05430622865416,2.45580103169078,-0.109631880654863,"Converged",FALSE,0.25
90,-2.3947338893268,3.61977243115307,-0.167023503964801,"Converged",FALSE,0.25
91,-1.98296902098095,2.18138939378727,-0.0834368027102523,"Converged",FALSE,0.25
92,-1.93527305287632,1.19399007880254,-0.0337924984109061,"Converged",FALSE,0.25
93,-2.39105642700512,3.58437123219624,-0.125575332716275,"Converged",FALSE,0.25
94,-2.1633178313745,3.10656521946483,-0.127863972529812,"Converged",FALSE,0.25
95,-1.75565499736463,0.961870058597671,-0.0707028937212694,"Converged",FALSE,0.25
96,-3.11160136462759,5.80068402282229,-0.104769807668154,"Converged",FALSE,0.25
97,-1.67168570260611,1.7499653742499,-0.147705580550597,"Converged",FALSE,0.25
98,-2.02228957257964,3.03717744317617,-0.159423824898778,"Converged",FALSE,0.25
99,-1.91556955113408,2.26218416786782,-0.139751968913185,"Converged",FALSE,0.25
100,-1.87157259145376,2.17615491765012,-0.124524076737951,"Converged",FALSE,0.25
101,-1.88069267075794,1.93932653740025,-0.10976649412539,"Converged",FALSE,0.25
102,-2.30412614653166,2.97154707898925,-0.106410320224785,"Converged",FALSE,0.25
103,-2.04441228607939,2.7987590970528,-0.135251428715486,"Converged",FALSE,0.25
104,-1.59582132194681,1.55698304597021,-0.13858484904558,"Converged",FALSE,0.25
105,-2.15354706951686,3.21877399086873,-0.147990688973612,"Converged",FALSE,0.25
106,-2.10073633291989,2.24458352451039,-0.080389427302051,"Converged",FALSE,0.25
107,-2.02659846569068,1.71930408973138,-0.0782838473952612,"Converged",FALSE,0.25
108,-1.41767962519772,1.10307452794786,-0.151105643868865,"Converged",FALSE,0.25
