"sim","score_beta0","score_beta1","score_beta2","score_conv_msg","score_data_resampled","audit_recovery"
1,-1.781387139535,1.99592450603429,-0.124180576784536,"Converged",TRUE,0.5
2,-0.957102594005721,-0.878305104415593,-0.114943949679254,"Converged",TRUE,0.5
3,-1.44506300677188,0.79955921331929,-0.146840464705258,"Converged",FALSE,0.5
4,-1.6780344484045,1.52923569638617,-0.157972759401559,"Converged",FALSE,0.5
5,-1.71503625423626,1.44077815165485,-0.102406060990019,"Converged",FALSE,0.5
6,-1.93447288826502,1.52103851529108,-0.120266924987473,"Converged",FALSE,0.5
7,-2.14875779719788,2.02960181106693,-0.0519015138251608,"Converged",TRUE,0.5
8,-1.85088321563905,1.09249565101703,-0.0862967159336878,"Converged",TRUE,0.5
9,-1.84482294051884,1.95802102005164,-0.1263409951498,"Converged",TRUE,0.5
10,-1.8026231239427,1.80847007534787,-0.124219572882946,"Converged",FALSE,0.5
11,-1.81752980138059,1.75399644662668,-0.1341244715562,"Converged",FALSE,0.5
12,-1.79038880950531,0.947182447786641,-0.0885341206047581,"Converged",TRUE,0.5
13,-1.95216948103849,1.32114084175751,-0.0482623167076504,"Converged",TRUE,0.5
14,NA,NA,NA,"MAX_ITER reached",TRUE,0.5
15,-1.88754716757643,1.51433035151977,-0.0692136632315324,"Converged",FALSE,0.5
16,-1.68741989643182,1.4173097062174,-0.0915235526812529,"Converged",FALSE,0.5
17,-1.38370267410656,0.0544906056321354,-0.0945956770357883,"Converged",FALSE,0.5
18,-2.41155187987008,2.61469654191173,-0.114756159329377,"Converged",FALSE,0.5
19,-1.57768612119893,0.523419843067355,-0.09640574069775,"Converged",FALSE,0.5
20,-2.19964618417778,1.99665674153814,-0.0571023113476056,"Converged",FALSE,0.5
21,-1.66497054897553,0.0407011515430699,-0.0582856670729241,"Converged",FALSE,0.5
22,-1.78977703203934,1.75515298399959,-0.126160267254426,"Converged",FALSE,0.5
23,-1.57242774541674,0.856697552339023,-0.14773861889598,"Converged",FALSE,0.5
24,-1.75548294867436,1.44521474233655,-0.127274213689827,"Converged",FALSE,0.5
25,-1.83121287238336,1.90204825677692,-0.147499836337348,"Converged",FALSE,0.5
26,-1.81451171971975,1.10874111595619,-0.0790796015450061,"Converged",FALSE,0.5
27,NA,NA,NA,"MAX_ITER reached",FALSE,0.5
28,-1.7317024811877,1.59319258598479,-0.137467673031748,"Converged",FALSE,0.5
29,-1.81641797038731,0.734954404318449,-0.0523104754045188,"Converged",TRUE,0.5
30,-2.00764292218286,1.47260827453487,-0.0783830200803713,"Converged",FALSE,0.5
31,-1.68148558131803,0.0273290795467988,-0.0332783571958464,"Converged",FALSE,0.5
32,-1.42819847064789,0.855111423240089,-0.162435012543034,"Converged",TRUE,0.5
33,-1.87849091692765,0.986141519600009,-0.0629971839809106,"Converged",FALSE,0.5
34,-1.41122613788224,1.60863762916215,-0.191595288043166,"Converged",FALSE,0.5
35,-1.71887527419953,0.764718452597896,-0.0615500677240951,"Converged",FALSE,0.5
36,-1.37067922979073,0.493379813449879,-0.126450130700598,"Converged",FALSE,0.5
37,-2.02915644869561,2.20730208763858,-0.078892563662386,"Converged",FALSE,0.5
38,-1.98145344498729,1.48490381964886,-0.0888582384629857,"Converged",FALSE,0.5
39,-1.45931032567169,0.195960409445409,-0.0633432628486107,"Converged",FALSE,0.5
40,-2.41892330989674,2.66476015309914,-0.0907237002596745,"Converged",TRUE,0.5
41,-1.95424662512908,1.2181424861532,-0.067662727173809,"Converged",TRUE,0.5
42,-1.30778202868351,-0.440718535445823,-0.105115072892445,"Converged",TRUE,0.5
43,-1.69211590291472,1.10774015127937,-0.0722687323187661,"Converged",FALSE,0.5
44,-1.67446804249652,0.680674977989057,-0.114775324888402,"Converged",FALSE,0.5
45,-1.41457892387961,0.607341756190377,-0.107572814193516,"Converged",FALSE,0.5
46,-1.36389122751864,1.20384853868118,-0.21315496855172,"Converged",FALSE,0.5
47,-1.26223967970955,0.013629827978515,-0.121264362349436,"Converged",FALSE,0.5
48,-1.44814859462773,1.37501796417496,-0.171980531052265,"Converged",FALSE,0.5
49,-2.44373195194113,4.14474065583454,-0.158574080459533,"Converged",TRUE,0.5
50,-1.87305010475389,2.52791490353972,-0.163870316743342,"Converged",FALSE,0.5
51,-1.79296312141902,1.10955719587111,-0.068430477675812,"Converged",FALSE,0.5
52,-1.46641427600687,0.883209818532858,-0.12515869741816,"Converged",TRUE,0.5
53,-1.72818019105302,0.797107029685727,-0.0589887430901316,"Converged",FALSE,0.5
54,-1.58518303117324,0.352119239510926,-0.0559805882979349,"Converged",TRUE,0.5
55,-1.3488488611882,1.38810512931982,-0.180852782060018,"Converged",FALSE,0.5
56,-1.51670874428088,0.74278176487233,-0.0873254153335204,"Converged",FALSE,0.5
57,-1.57008666894751,-0.0982188893226801,-0.0612925190994507,"Converged",TRUE,0.5
58,-1.93983841842162,1.54193194584184,-0.115280520182637,"Converged",FALSE,0.5
59,-1.76074250554995,0.920806516068364,-0.0722551610987127,"Converged",FALSE,0.5
60,-1.89772247003301,2.10690449015939,-0.170950544268287,"Converged",FALSE,0.5
61,-2.17604250292,1.92008434601183,-0.0849973578875009,"Converged",FALSE,0.5
62,-2.94433358404963,3.37049810145056,-0.024826097162853,"Converged",FALSE,0.5
63,-2.02923865475692,1.52767588682215,-0.0683744908700877,"Converged",FALSE,0.5
64,-1.6114106068451,1.56110994692084,-0.155239776376958,"Converged",FALSE,0.5
65,-1.62248993825419,0.805823233179767,-0.148289778697795,"Converged",FALSE,0.5
