"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_data_resampled","audit_recovery"
1,-2.16518062396509,2.99332587508994,-0.130056067245078,"Converged",FALSE,0.5
2,-1.96211985425671,2.28430834502404,-0.0888660436134767,"Converged",FALSE,0.5
3,-1.48320941848546,1.10820299591062,-0.151877257211265,"Converged",TRUE,0.5
4,-1.82355679231389,2.10180991046691,-0.16140329277108,"Converged",FALSE,0.5
5,-2.03491296842726,2.48422606079962,-0.135447569218819,"Converged",FALSE,0.5
6,-1.22389968673008,0.801134224367313,-0.179820143050711,"Converged",FALSE,0.5
7,-1.72118568481483,0.89338822239546,-0.0980363167804266,"Converged",FALSE,0.5
8,-1.51741758519602,0.966624082346118,-0.145898128368033,"Converged",FALSE,0.5
9,-2.55767586511967,3.00039829767465,-0.0855722846436206,"Converged",FALSE,0.5
10,-1.75928062763509,1.38720209094661,-0.112525059230528,"Converged",FALSE,0.5
11,-2.25356887690212,1.85562081342449,-0.0419134965586643,"Converged",FALSE,0.5
12,-1.31446739828716,0.0733892537051146,-0.149693452172862,"Converged",FALSE,0.5
13,-2.03822544242123,2.27763230906084,-0.147308093537198,"Converged",FALSE,0.5
14,-1.50138416853905,0.326273555403119,-0.0954813069019912,"Converged",FALSE,0.5
15,-1.92183082045617,1.56939065451794,-0.0894315060337356,"Converged",FALSE,0.5
16,-2.49433059165596,3.20822345690679,-0.0858371422430452,"Converged",FALSE,0.5
17,-1.84019240191735,0.770801607966523,-0.053152497589379,"Converged",FALSE,0.5
18,-1.47024754537559,-0.158160146726283,-0.0407829365894337,"Converged",FALSE,0.5
19,-1.79265662813696,0.582706615098946,-0.0652896502875421,"Converged",FALSE,0.5
20,-1.60419009086312,1.0701777857615,-0.120110354780159,"Converged",FALSE,0.5
21,-1.70683427532317,1.34456615212471,-0.0884733092342307,"Converged",FALSE,0.5
22,-1.9138782184857,1.23935600077901,-0.049904589549406,"Converged",FALSE,0.5
23,-1.54688273953665,1.08485893936069,-0.109171768403502,"Converged",FALSE,0.5
24,-2.38102240592157,3.4790833866323,-0.122829134767852,"Converged",FALSE,0.5
25,-2.37272991012468,2.7291788138544,-0.0727261142910868,"Converged",FALSE,0.5
26,-0.969492447147579,-0.0179885113918685,-0.158090918711976,"Converged",FALSE,0.5
27,-2.1201410492272,1.70098642627222,-0.0425827516457591,"Converged",FALSE,0.5
28,-1.65030190068108,1.17529612752927,-0.113757573708278,"Converged",FALSE,0.5
29,-2.2445713764946,3.3887908032776,-0.143659986908388,"Converged",FALSE,0.5
30,-1.55076894097455,1.42931950579821,-0.159141678738927,"Converged",FALSE,0.5
31,-2.22668411734662,1.98151743544364,-0.0458180093926623,"Converged",FALSE,0.5
32,-2.18865786250548,1.56806939490391,-0.0104391252783296,"Converged",FALSE,0.5
33,-1.63049926425246,1.23612762413961,-0.126889624865825,"Converged",FALSE,0.5
34,-1.33636288558537,0.735337902889056,-0.13935187925777,"Converged",FALSE,0.5
35,-1.95306276109722,1.00467093771794,-0.0206778153816544,"Converged",FALSE,0.5
36,-1.58902200653634,1.14777226503851,-0.0918216847711984,"Converged",FALSE,0.5
37,-1.40697588757261,1.07152621287043,-0.170931517405833,"Converged",FALSE,0.5
38,-1.44929979839794,1.2893537132887,-0.14644684981892,"Converged",FALSE,0.5
39,-1.09637187014858,-0.139777184398223,-0.118091780285593,"Converged",FALSE,0.5
40,-1.83827354964413,1.31362711832088,-0.0631915402907373,"Converged",FALSE,0.5
41,-1.50152776478979,1.05544417110911,-0.136785660540386,"Converged",FALSE,0.5
42,-1.46066061122771,0.185359482293587,-0.0983175553515137,"Converged",FALSE,0.5
43,-2.23048768760375,2.49675184222442,-0.105645414360353,"Converged",FALSE,0.5
44,-1.67282576506123,1.18797637973923,-0.148551967661141,"Converged",FALSE,0.5
45,-1.80857940169508,1.27173733638738,-0.104364417498747,"Converged",FALSE,0.5
46,-2.34606292970963,2.77344721809477,-0.0779608979189286,"Converged",TRUE,0.5
47,-1.9422309778267,1.55947723693737,-0.121592021608879,"Converged",FALSE,0.5
48,-1.93661715845993,1.96005781483797,-0.118535772221246,"Converged",FALSE,0.5
49,-1.83174184192924,0.862003407585401,-0.0345261036220948,"Converged",FALSE,0.5
50,-1.23185048350256,0.596294380298527,-0.151124604133325,"Converged",FALSE,0.5
51,-1.80386122622593,0.896624776529261,-0.0709910747958434,"Converged",FALSE,0.5
52,-1.69261736145954,1.0577252308484,-0.128660315135981,"Converged",FALSE,0.5
53,-1.9039089717682,1.59623367885614,-0.0634531121814241,"Converged",FALSE,0.5
54,-1.21541013910302,-0.478516504161604,-0.0777758262685081,"Converged",FALSE,0.5
55,-2.00964935975097,1.07582001861289,-0.0654177834453058,"Converged",FALSE,0.5
56,-2.38178389252686,2.19209103959863,-0.022319190118109,"Converged",FALSE,0.5
57,-2.08044219228206,1.73946758449752,-0.0374584909559013,"Converged",FALSE,0.5
58,-2.1562599075575,2.60075942789899,-0.159855251967666,"Converged",FALSE,0.5
59,-2.08628402679499,2.32541534162723,-0.110526429755619,"Converged",FALSE,0.5
60,-2.08499122929551,3.22144931239553,-0.158063723454123,"Converged",FALSE,0.5
61,-1.75685521656553,1.23585124998112,-0.109705465684644,"Converged",TRUE,0.5
62,-1.59531470011034,0.980522232268382,-0.0909541934127195,"Converged",FALSE,0.5
63,-2.05886131918933,1.99577794360336,-0.122579264415102,"Converged",FALSE,0.5
64,-1.54784875289747,0.0731010032091572,-0.0492477539446898,"Converged",FALSE,0.5
65,-1.60113618163672,1.11838933920926,-0.0852839337699725,"Converged",FALSE,0.5
66,-1.49537659341846,0.985171072337349,-0.140437696795171,"Converged",FALSE,0.5
67,-2.0064883547183,1.88544815864724,-0.0603092233033048,"Converged",FALSE,0.5
68,-1.71292373951301,1.35848646579223,-0.128856399464057,"Converged",FALSE,0.5
69,-1.89179836785743,1.96292504300811,-0.131162700366616,"Converged",FALSE,0.5
70,-1.91141922693389,0.896632520284743,-0.0472204035917058,"Converged",FALSE,0.5
71,-1.50577813303298,0.243831001479221,-0.101601564747178,"Converged",FALSE,0.5
72,-1.6118783893267,1.00416211187822,-0.145715976892139,"Converged",FALSE,0.5
73,-1.3776848045439,0.712350897676749,-0.152758314848077,"Converged",FALSE,0.5
