"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","audit_recovery"
1,-2.11598000021511,2.90457645286632,-0.13066327572695,"Converged","MLE",FALSE,FALSE,0.9
2,-2.16524520160854,2.73515792858574,-0.103717138544018,"Converged","MLE",FALSE,FALSE,0.9
3,-1.6096368174385,0.533106552742888,-0.0819148022467014,"Converged","MLE",FALSE,FALSE,0.9
4,-1.57819005281547,0.770896377393633,-0.109692102378298,"Converged","MLE",FALSE,FALSE,0.9
5,-1.50036850440481,1.08067137790502,-0.144832725286912,"Converged","MLE",FALSE,FALSE,0.9
6,-1.85849525232956,1.27366731494439,-0.088259270190891,"Converged","MLE",FALSE,FALSE,0.9
7,-2.28419634273626,2.30265304034317,-0.0820714523765569,"Converged","MLE",FALSE,FALSE,0.9
8,-2.85237098203203,3.93177779188969,-0.0506430692974044,"Converged","MLE",FALSE,FALSE,0.9
9,-1.53901140405145,0.533029675289409,-0.108097263716102,"Converged","MLE",FALSE,FALSE,0.9
10,-2.06439458298942,2.80584870522102,-0.134451216890431,"Converged","MLE",FALSE,FALSE,0.9
11,-1.41425561135809,0.74897401731746,-0.122142598973261,"Converged","MLE",TRUE,FALSE,0.9
12,-1.78306333464515,0.812901568590243,-0.0735463987350704,"Converged","MLE",FALSE,FALSE,0.9
13,-1.3856888763988,1.05819652917401,-0.14951953936821,"Converged","MLE",FALSE,FALSE,0.9
14,-1.21134921252056,0.117220607407949,-0.136482538976629,"Converged","MLE",FALSE,FALSE,0.9
15,-2.2223169307022,2.60135978174381,-0.0846276632862724,"Converged","MLE",FALSE,FALSE,0.9
16,-2.86015711663415,3.40481243801787,-0.0534099671261455,"Converged","MLE",FALSE,FALSE,0.9
17,-1.93170364238596,1.34379148937176,-0.0965306174474074,"Converged","MLE",FALSE,FALSE,0.9
18,-1.79949642465316,1.20100476377937,-0.0678798397587325,"Converged","MLE",FALSE,FALSE,0.9
19,-2.05433303079166,2.49174034864257,-0.114281410231142,"Converged","MLE",FALSE,FALSE,0.9
20,-1.83092654712215,1.53060095086748,-0.0898904932103465,"Converged","MLE",TRUE,FALSE,0.9
21,-1.44422094252197,1.29228077832094,-0.181698293264921,"Converged","MLE",FALSE,FALSE,0.9
