"sim","score_beta0","score_beta1","score_beta2","score_conv_msg","score_data_resampled","audit_recovery"
1,-1.35057664661981,0.734277523288282,-0.124445981509859,"Converged",TRUE,0.25
2,-1.75994463292396,1.07464192404751,-0.100921033932956,"Converged",FALSE,0.25
3,-1.63933014477603,1.10724716999412,-0.122312842362525,"Converged",FALSE,0.25
4,-1.87216506817083,1.1033008067503,-0.0770967454704476,"Converged",TRUE,0.25
5,-1.63109578437728,0.861478528102088,-0.0734584606385985,"Converged",TRUE,0.25
6,-1.76255609938746,1.77628576944077,-0.156484515199392,"Converged",TRUE,0.25
7,-2.13616898137062,2.66788787885548,-0.154002204249122,"Converged",TRUE,0.25
8,-2.04478121662586,1.19910437834459,-0.0378314543229197,"Converged",FALSE,0.25
9,-1.59431932200274,0.955879347009545,-0.133434376825979,"Converged",FALSE,0.25
10,-1.54128253767102,1.35762007515666,-0.152828361139097,"Converged",FALSE,0.25
11,-2.39355189863206,2.02092023490076,-0.0179214337281256,"Converged",TRUE,0.25
12,-1.68968748065869,-0.0349620204222326,0.00635598291372819,"Converged",TRUE,0.25
13,-1.62960760761379,0.142627745213217,-0.0347216184974224,"Converged",FALSE,0.25
14,-1.73268475995547,0.882844847168882,-0.0804738230499841,"Converged",FALSE,0.25
15,-2.02062147159646,2.37213831658224,-0.149684689912288,"Converged",FALSE,0.25
16,-1.49309438957293,0.649172379429419,-0.12890237711542,"Converged",TRUE,0.25
17,-1.94633403177424,1.35201100683441,-0.0706627711332759,"Converged",FALSE,0.25
18,-1.61618307569278,-0.0484428523826291,-0.00883986797581115,"Converged",FALSE,0.25
19,-2.10456668974782,1.03762159628657,-0.0325509606740819,"Converged",FALSE,0.25
20,-1.69317694733717,0.739092967817177,-0.0717563503669275,"Converged",TRUE,0.25
21,-1.50208979207981,0.787983802536201,-0.142874837609749,"Converged",FALSE,0.25
22,-1.44984052780517,0.747743370581875,-0.107040286212649,"Converged",TRUE,0.25
23,-1.89989403640227,1.20748644562117,-0.0707958212875541,"Converged",TRUE,0.25
24,-1.91370915867882,1.98177700991768,-0.125311896780295,"Converged",FALSE,0.25
25,-1.62500189636865,1.5675084288554,-0.164709760171986,"Converged",TRUE,0.25
26,-2.13606891433749,0.472575220487491,0.0296910442749262,"Converged",FALSE,0.25
27,-1.95886292512539,1.18313619508299,-0.0311366811104279,"Converged",FALSE,0.25
28,-1.91337822943611,0.763282920887797,-0.0389389595330714,"Converged",FALSE,0.25
29,NA,NA,NA,"MAX_ITER reached",TRUE,0.25
30,-1.66790279599717,0.813328496091002,-0.0706117548618481,"Converged",TRUE,0.25
