"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_data_resampled","audit_recovery"
1,-1.8263676291594,1.98398296556107,-0.130290763622594,"Converged",FALSE,0.25
2,-1.49185333901057,1.2273639203492,-0.133956065627011,"Converged",FALSE,0.25
3,-1.83516331740214,1.83386084501449,-0.169371375130799,"Converged",FALSE,0.25
4,-1.73784949937215,1.79508052698517,-0.147417509966259,"Converged",FALSE,0.25
5,-1.48323948110599,0.255149041799136,-0.0856850027885965,"Converged",FALSE,0.25
6,-2.17855202996959,2.12896598960635,-0.109118123493786,"Converged",FALSE,0.25
7,-1.82252423289737,1.5044478884539,-0.0756879284626987,"Converged",FALSE,0.25
8,-1.62661516367219,0.93650665849193,-0.120501729125057,"Converged",FALSE,0.25
9,-1.75362047340788,1.98313036658262,-0.14206676876369,"Converged",FALSE,0.25
10,-1.82999851215635,1.43805748258027,-0.116003314938312,"Converged",FALSE,0.25
11,-1.92244703826907,1.17631119972332,-0.0900187735288058,"Converged",FALSE,0.25
12,-2.38952952813068,2.10766978397772,-0.0724186669811324,"Converged",FALSE,0.25
13,-1.7763701574113,2.68023950623989,-0.211849695795292,"Converged",FALSE,0.25
14,-2.04412920758161,1.97120573175126,-0.111079068571384,"Converged",FALSE,0.25
15,-1.45167313117563,0.65733858733593,-0.118161199603573,"Converged",FALSE,0.25
16,-1.59667755748932,0.479457603833524,-0.10452872435513,"Converged",FALSE,0.25
17,-1.48353886900507,0.661060946770947,-0.103721064825138,"Converged",FALSE,0.25
18,-1.27948323001807,-0.90758439249119,-0.0548995413012015,"Converged",FALSE,0.25
19,-1.74859058750975,0.839855696672922,-0.0580934268232856,"Converged",FALSE,0.25
20,-1.69962365119242,1.36173195130126,-0.131057079574931,"Converged",TRUE,0.25
21,-1.90179628237264,1.75325501536558,-0.136471787700131,"Converged",FALSE,0.25
22,-1.38903449281498,-0.206775350814263,-0.0495225633086566,"Converged",FALSE,0.25
23,-1.34724442501054,0.140253795057598,-0.0765155605413652,"Converged",FALSE,0.25
24,-1.352609473366,0.515555209445777,-0.11265457621172,"Converged",FALSE,0.25
25,-1.25082973722928,0.225077913334748,-0.130622976573763,"Converged",FALSE,0.25
26,-1.29076980594052,0.673783515642135,-0.158161636006156,"Converged",FALSE,0.25
27,-1.04361121981835,-0.751305709606292,-0.0922335969933023,"Converged",FALSE,0.25
28,-1.59860810518267,0.452343368163877,-0.0928092572772252,"Converged",FALSE,0.25
29,-1.56206203388005,0.489428020639424,-0.102046256189875,"Converged",FALSE,0.25
30,-1.81206058442976,0.996984918065628,-0.0687204111059296,"Converged",FALSE,0.25
31,-1.51886625091116,0.983340948889148,-0.117938480058237,"Converged",FALSE,0.25
32,-2.37069697554246,2.0922599309822,-0.0361895155609561,"Converged",FALSE,0.25
33,-1.87410645328246,1.18267790609435,-0.0719998694090438,"Converged",FALSE,0.25
34,-2.02284942648775,2.10856512593343,-0.121681333048142,"Converged",FALSE,0.25
35,-1.3969842941657,0.473956263161733,-0.138532909520896,"Converged",FALSE,0.25
36,-1.21869966845687,0.374398956192145,-0.167953074603095,"Converged",FALSE,0.25
37,-1.7611998876852,0.641588150115039,-0.0789865229206618,"Converged",FALSE,0.25
38,-1.73250564089516,2.10804288954959,-0.206207249807798,"Converged",TRUE,0.25
39,-2.53108477653534,2.47201026279927,-0.0535411157530067,"Converged",FALSE,0.25
40,-2.1400306523422,1.53841632757428,-0.0189735410260415,"Converged",TRUE,0.25
41,-2.16702895490881,3.01292977286029,-0.140286630163134,"Converged",FALSE,0.25
42,-1.05023680929967,0.586883784765866,-0.191776034912734,"Converged",FALSE,0.25
43,-1.50449970980097,0.751986418795447,-0.143854572333737,"Converged",FALSE,0.25
44,-1.28001610274864,0.0411367995094596,-0.10131130625729,"Converged",FALSE,0.25
45,-1.83518594258493,1.05956236072453,-0.104039515365508,"Converged",FALSE,0.25
46,-2.07469158868761,2.6404912292087,-0.0878198779639963,"Converged",FALSE,0.25
47,-1.48850927558141,0.788930580061477,-0.135829775242843,"Converged",FALSE,0.25
48,-1.28980703356969,0.21100233059721,-0.146320063970909,"Converged",FALSE,0.25
49,-1.56297093767353,0.645383748423062,-0.0757114490409928,"Converged",FALSE,0.25
50,-1.81110835060256,1.92977259121291,-0.158254127746285,"Converged",FALSE,0.25
51,-1.68023583532367,1.37219485762121,-0.115515851722179,"Converged",FALSE,0.25
52,-1.69784810082957,1.23924231951846,-0.11753179089553,"Converged",FALSE,0.25
53,-1.66809474540622,0.663586614478238,-0.0909551770901634,"Converged",FALSE,0.25
