"sim","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_data_resampled","audit_recovery"
1,-1.81190318399378,2.03973284214655,-0.128123547883488,"Converged",FALSE,0.9
2,-1.39431129993377,0.587914767773729,-0.126524185420027,"Converged",FALSE,0.9
3,-1.57070033875281,0.412840233844863,-0.0892012830873291,"Converged",FALSE,0.9
4,-1.67334093428714,0.694848962953409,-0.0866098407520226,"Converged",FALSE,0.9
5,-1.66414779056153,2.20861044452799,-0.17402169588921,"Converged",FALSE,0.9
6,-1.97298236362789,2.10973311274346,-0.123312954767019,"Converged",FALSE,0.9
7,-1.85450286532781,2.09036113698471,-0.147088398720265,"Converged",FALSE,0.9
8,-1.75292124724294,0.729308742392875,-0.0694226860137185,"Converged",FALSE,0.9
9,-2.32294674753038,2.66107838913711,-0.0842856309242475,"Converged",FALSE,0.9
10,-1.76683310269096,1.7512276197651,-0.124184316731352,"Converged",FALSE,0.9
11,-1.97745772677941,1.26474848201619,-0.0494657265982343,"Converged",FALSE,0.9
12,-1.60661315735775,1.57380467628064,-0.132324712371534,"Converged",FALSE,0.9
13,-1.745176166777,1.84700522408947,-0.166196366231212,"Converged",FALSE,0.9
14,-1.65943946583629,1.95689251493475,-0.167229718483174,"Converged",FALSE,0.9
15,-1.70097802553429,1.01927256592573,-0.0764774688936708,"Converged",FALSE,0.9
16,-1.99588087031819,0.416142165541185,0.00708006222899025,"Converged",FALSE,0.9
17,-1.85194792826535,1.29590913614274,-0.0525929711511276,"Converged",FALSE,0.9
18,-1.93216523928992,2.08462227782048,-0.133673761919133,"Converged",FALSE,0.9
19,-1.36963089613618,0.829017048862945,-0.141161591727747,"Converged",FALSE,0.9
20,-2.29811412449332,2.02236509772487,-0.0521019504049859,"Converged",FALSE,0.9
21,-1.93110610541744,2.16850995021205,-0.105606727797158,"Converged",FALSE,0.9
22,-1.85094262354746,2.22286204801397,-0.118191335361396,"Converged",FALSE,0.9
