"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
1,-0.648243043908345,-0.864366517202648,-0.0154620944703165,"Converged",FALSE,-0.61492061865325,-0.907119055735935,-0.0157055389417252,"Converged",FALSE,-0.875127263287096,-0.233077996862576,-0.0149052557008648,"Converged",FALSE,-0.881295186022257,-0.199166996209357,-0.014854296696329,"Converged",FALSE,-0.706505804607434,-0.689311440342952,-0.0152804239745389,"Converged",FALSE,0.95,0.05
2,-2.532612288411,-0.350754900524893,0.0210287807749658,"Converged",FALSE,-3.00141051155141,1.20795408004806,0.0207047404885528,"Converged",FALSE,-2.59228629317615,-0.20081661235664,0.0209735324149497,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
3,-0.800439973864738,-0.594050356951327,-0.0170585861732029,"Converged",FALSE,-1.26291790176439,0.863182692460034,-0.0166077382489094,"Converged",FALSE,-1.26955000845351,0.942527067997566,-0.0169469719185494,"Converged",FALSE,-0.950153460119783,-0.121321269671215,-0.0169292813099085,"Converged",FALSE,-1.08944938528676,0.297366585894794,-0.0168176698034052,"Converged",FALSE,0.95,0.05
4,-1.64422988070881,2.06449801992332,-0.0178421850987877,"Converged",FALSE,-1.76722089433302,2.30866975406321,-0.0187376346092221,"Converged",FALSE,-1.08429680856849,0.140284470834064,-0.0167279575702396,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,-1.52544428011598,1.64820114681779,-0.017834109588894,"Converged",FALSE,0.95,0.05
5,-1.2049421644336,0.352229801793851,-0.0160030669118835,"Converged",FALSE,-1.29792460794473,0.52687400008106,-0.0155970197356209,"Converged",FALSE,-0.951358236152025,-0.382964117902572,-0.0165487050239893,"Converged",FALSE,-1.71790132421673,1.79094322404827,-0.0153902768206424,"Converged",FALSE,-1.41976983680442,0.903635023468322,-0.015573898990346,"Converged",FALSE,0.95,0.05
6,-2.36192800182813,1.34031537250853,0.00595114015787846,"Converged",FALSE,-2.21605102330121,0.837206428666082,0.00638779552193997,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.2256392092805,0.961402637292488,0.00574378467497078,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
7,-1.52718596989854,1.25743917244331,-0.0165730220792429,"Converged",FALSE,-1.48378266557815,1.01403914876856,-0.0167703425807191,"Converged",FALSE,-1.40028652618844,0.759450794444791,-0.0166089812458293,"Converged",FALSE,-1.31942320383911,0.490539092670358,-0.0165534401135707,"Converged",FALSE,-1.48715326029845,1.03484938834967,-0.0168144058264477,"Converged",FALSE,0.95,0.05
8,-0.764482253195046,0.715706140809327,-0.0262523904345098,"Converged",FALSE,-0.855362056474156,0.961271890679783,-0.025959227742394,"Converged",FALSE,-1.03405534197856,1.62872383812202,-0.0268046937247541,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
9,-0.369550392006824,-0.305375632621282,-0.030397959887454,"Converged",FALSE,-0.39241660849444,-0.221679774091843,-0.0304594637710737,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.346774951995239,-2.21636630156059,-0.0313120622511487,"Converged",FALSE,-0.327767420749126,-0.419668718936344,-0.0304500118245968,"Converged",FALSE,0.95,0.05
10,-1.02176870497995,-0.44708365266287,-0.0128514881214979,"Converged",FALSE,-1.02286845894108,-0.469893927810965,-0.0128134946291925,"Converged",FALSE,-1.3007549225551,0.572999671174922,-0.0136782263104711,"Converged",FALSE,-1.0361958899094,-0.361708000918891,-0.0128391602826151,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
