"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
1,-1.30738141894281,-1.2582166132091,0.000709235815018214,"Converged",FALSE,-1.57158582930736,-0.522395431314136,0.0008991470307539,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
2,-1.53045787083042,0.706285778252176,-0.00918470036962975,"Converged",FALSE,-1.99378211169079,2.13922837931096,-0.00899455949697921,"Converged",FALSE,-1.86029998688508,1.83946147476238,-0.00955306407260798,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
3,-1.4197635883882,0.233609197860655,-0.00856701921381194,"Converged",FALSE,-1.36212885048845,0.0560049826946726,-0.00857783707038226,"Converged",FALSE,-1.63782944598306,0.851147542613113,-0.00830394200780431,"Converged",FALSE,-1.45122323317906,0.311682928337424,-0.00849741925620941,"Converged",FALSE,-1.60147626384313,0.813937091868848,-0.00860722384496202,"Converged",FALSE,0.95,0.05
4,-1.22652691339793,1.43961564734372,-0.0199462856909118,"Converged",FALSE,-1.14164882708268,1.15684191349185,-0.020353624217297,"Converged",FALSE,-1.52974137633205,2.40679162266554,-0.0206249985088697,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.35349238247279,1.80372881565764,-0.0206751359523873,"Converged",FALSE,0.95,0.05
5,-1.56275714021997,0.816066111916769,-0.0109837798090094,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.61871202981386,0.99422055471539,-0.0111756356348735,"Converged",FALSE,-1.24361507218498,-0.261969713570992,-0.0106825323693671,"Converged",FALSE,0.95,0.05
6,-0.847660365362006,-1.09728102535331,-0.015092447421995,"Converged",FALSE,-0.748414399039159,-1.36674686549995,-0.0151371403969985,"Converged",FALSE,-1.00651342749714,-0.60408235966937,-0.0150475373049164,"Converged",FALSE,-0.785107023686519,-1.3734739914428,-0.0151673625445287,"Converged",FALSE,-0.74918296565684,-1.49281942436345,-0.0150000389709416,"Converged",FALSE,0.95,0.05
7,-1.23619319073318,2.85861756231247,-0.0325925206120319,"Converged",FALSE,-0.789043774412039,1.47909505788836,-0.0316087769495734,"Converged",FALSE,-1.39190085918123,3.20973694998112,-0.0322895649096984,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
8,-0.78492282951778,1.32372332158304,-0.0301478415199194,"Converged",FALSE,-0.448893192551253,0.35849527181673,-0.0306756226673017,"Converged",FALSE,-0.841618831702491,1.47861429958609,-0.0302138008946133,"Converged",FALSE,-0.990071772410482,2.02891826991568,-0.0305200137944435,"Converged",FALSE,-0.724794898588847,1.19917160749957,-0.0305159300827483,"Converged",FALSE,0.95,0.05
9,-1.84034824627149,3.01310408417671,-0.016669427870696,"Converged",FALSE,-1.78478541911314,2.51297960520749,-0.0157163208076969,"Converged",FALSE,-1.95238473109244,3.11420025963258,-0.0164095869631756,"Converged",FALSE,-2.313000446274,3.83217481709276,-0.0160514728079195,"Converged",FALSE,-1.84465189158953,2.63380371617869,-0.0157585709455339,"Converged",FALSE,0.95,0.05
10,0.574851712316631,0.582396477902909,-0.0536556384141265,"Converged",FALSE,0.467674647041819,0.944124672524261,-0.0541904700816003,"Converged",FALSE,0.43524266682237,1.09198104840052,-0.0540331212880525,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
11,-1.21401761438963,0.42823131836641,-0.0128842240066422,"Converged",FALSE,-1.17072222185623,0.306191452970655,-0.0128799697004792,"Converged",FALSE,-1.31468545754306,0.750743040110426,-0.0127508106203851,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.07139079163227,-0.0167885627000546,-0.0128370735598572,"Converged",FALSE,0.95,0.05
12,-2.48305975240099,0.773391744931314,0.00831760649975031,"Converged",FALSE,-2.01350409051146,-0.792084132015328,0.00881062004922887,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.46771069433836,0.726176111227499,0.00838767645914895,"Converged",FALSE,0.95,0.05
13,NA,NA,NA,"B-spline error",FALSE,-1.09236981007554,-1.04145730422918,-0.00624194758575019,"Converged",FALSE,-1.19894720889785,-0.705575621051425,-0.00615199522322899,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
14,-2.05323328035564,0.0431057249180648,0.0061667320434429,"Converged",FALSE,-2.25472050721837,0.678726423386015,0.00591124554222237,"Converged",FALSE,-2.35458820186463,1.03549535859609,0.00586752911117588,"Converged",FALSE,-2.44106000958969,1.36285778614265,0.00559805445176164,"Converged",FALSE,-2.23566993758057,0.629915936433662,0.00606845603123025,"Converged",FALSE,0.95,0.05
15,-2.12134784629501,1.52719906181783,-0.00581672513913622,"Converged",FALSE,-2.11684688429123,1.74307618907446,-0.00624150024686927,"Converged",FALSE,-2.30879119358989,2.13002345873667,-0.00541656490869232,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
16,-2.81262499062152,1.25732011815715,0.0177549579951347,"Converged",FALSE,-2.95177788156898,1.64847029918762,0.0181098920647865,"Converged",FALSE,-2.73550413289426,0.944839158028994,0.0177449823696272,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
17,-1.03501097646029,-0.218033684760651,-0.0115123847769304,"Converged",FALSE,-1.20875895728449,0.346247830577104,-0.0114734419324563,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
18,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.18263039875473,1.63102792661068,-0.0230479217942555,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.01129831861402,1.1281245382013,-0.0225419415161136,"Converged",FALSE,0.95,0.05
19,-1.70062120315377,0.592193223056775,-0.00330708510434812,"Converged",FALSE,-1.34286736003627,-0.685180378456716,-0.00256995511099065,"Converged",FALSE,-1.9163323171572,1.35031732678761,-0.00387843956249469,"Converged",FALSE,-1.89498832772323,1.21824728164476,-0.00374347978558471,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
20,-1.91314375748458,0.0850085664279937,0.00575536900518605,"Converged",FALSE,-2.0045447809852,0.34987349672793,0.00580905092156209,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.78468911804085,-0.294900523798692,0.00561382413598489,"Converged",FALSE,-1.88941813558898,0.0139572982978405,0.00574097004344083,"Converged",FALSE,0.95,0.05
21,-1.00838213144172,0.630200767571678,-0.017140656920778,"Converged",FALSE,-1.03774858835333,0.674046005249753,-0.0170456703788129,"Converged",FALSE,-0.619232933133621,-0.548359641269999,-0.0177832968309029,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.905858590560989,0.300283078190269,-0.0173473122051943,"Converged",FALSE,0.95,0.05
22,-1.00156939785815,1.49013253116034,-0.0302185453386533,"Converged",FALSE,-0.719560413948031,0.437132129938239,-0.0299941802415458,"Converged",FALSE,-0.616559736055269,0.144223785698754,-0.0300440481603127,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
23,-2.11960553187112,0.536480699866882,0.00365719905667925,"Converged",FALSE,-2.44014113998595,1.49409095601135,0.00411395903000518,"Converged",FALSE,-2.43914301759904,1.47831320105225,0.00355449008276776,"Converged",FALSE,-2.23584620413887,0.902860743366145,0.0036149692035028,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
24,-1.29922596208811,1.95286008849135,-0.0245400533598008,"Converged",FALSE,-1.27993932285996,1.93981224835168,-0.0250486276573779,"Converged",FALSE,-1.14718291064785,1.49034163572469,-0.0251498125485175,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.07966312198421,1.15936090482984,-0.0251991906232248,"Converged",FALSE,0.95,0.05
25,-0.549404463319698,-0.799006842134604,-0.0207013893558015,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.565135574885955,-0.805038529796047,-0.0203488495140134,"Converged",FALSE,-0.72422858689434,-0.208706874659337,-0.020784807691918,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
26,-2.72590685962454,2.60398918213339,0.00410636407117095,"Converged",FALSE,-2.70171503844528,2.55494162637553,0.00434784301065965,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.50900704724026,1.88433131795193,0.00353245417393477,"Converged",FALSE,0.95,0.05
27,-1.17528891003999,0.41041660664035,-0.0125783167581629,"Converged",FALSE,-1.3455034280334,1.03204585876718,-0.0127093816836803,"Converged",FALSE,-1.22927361637619,0.608192818784768,-0.0127310476109209,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
28,-1.43606158105685,0.304741393351406,-0.00775013220790433,"Converged",FALSE,-1.3505065994625,0.0187019793608796,-0.00765281795911095,"Converged",FALSE,-1.51304402452098,0.665727366562319,-0.00821392175727668,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
29,NA,NA,NA,"B-spline error",FALSE,-1.86274088865775,1.85063133935441,-0.00796988679531099,"Converged",FALSE,-2.28766218045198,2.94111641520638,-0.00695973246873534,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.70218456560016,1.41451426930271,-0.00835245419706174,"Converged",FALSE,0.95,0.05
30,-1.17657686636815,1.09610063107589,-0.0153722938115128,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.20228295844447,1.09228951270143,-0.0152395048252503,"Converged",FALSE,-1.22916344124934,1.21658628824673,-0.0155207511269652,"Converged",FALSE,-1.21732526705482,1.19606434412941,-0.0149847344564326,"Converged",FALSE,0.95,0.05
31,-2.01680305999603,0.121643027605185,0.00855111520542919,"Converged",FALSE,-2.4449926726976,1.36494569460751,0.00977835624646889,"Converged",FALSE,-2.15187121630974,0.548236069031548,0.00865957280248968,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.15424861146988,0.542032412569567,0.00867707413524358,"Converged",FALSE,0.95,0.05
32,-1.40524684254478,0.0266737031863103,-0.00850490850250629,"Converged",FALSE,-1.69781669659378,0.983083246359587,-0.00830951241995573,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
33,-2.1769886430523,1.86925252027085,-0.00615628900663015,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.23517119902835,1.95934357091912,-0.00599668309161915,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
34,NA,NA,NA,"B-spline error",FALSE,-2.13676080036561,1.04890236615627,0.00277009638197785,"Converged",FALSE,-2.25815733627752,1.61298710207076,0.00226736430903045,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
35,-0.941960043840306,0.377412219402512,-0.0154436815692931,"Converged",FALSE,-1.27274626696492,1.61320877431227,-0.0164725949239997,"Converged",FALSE,-1.22925395113454,1.43189897545539,-0.0166500765661505,"Converged",FALSE,-1.31378912185891,1.6148277798948,-0.0162707021799601,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
36,-1.2205979189713,0.908691806469722,-0.0204559840603251,"Converged",FALSE,-1.44404059043836,1.67609503894216,-0.0203599163004759,"Converged",FALSE,-1.23614530250976,1.03245619230123,-0.0202498655692984,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.20254286666525,0.906279814055635,-0.0209159535818347,"Converged",FALSE,0.95,0.05
