"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
18,-2.42858309996394,1.75565409578744,0.00329213893720644,"Converged",FALSE,-2.21515041684699,0.981176315092966,0.00360698301989422,"Converged",FALSE,-2.35737008720485,1.38298317378946,0.00373816670303475,"Converged",FALSE,-2.24405054313154,1.00868448818991,0.00395335586014872,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.99,0.01
19,-2.07896592047547,1.20037576509559,0.000902156385598496,"Converged",FALSE,-2.39508674727839,2.09765733653153,0.00114555273865242,"Converged",FALSE,-2.25519130152996,1.69027135836611,0.00127577068185609,"Converged",FALSE,-2.53994053924714,2.47632875882009,0.00158472608882796,"Converged",FALSE,-2.21540791094011,1.67164406943585,0.000601600120004786,"Converged",FALSE,0.99,0.01
20,-2.14258331960409,4.18954960776026,-0.0215062031765994,"Converged",FALSE,-2.11712385241063,3.75019528974646,-0.0211305265533719,"Converged",FALSE,-1.96625912727073,3.57269964936031,-0.0211287195092073,"Converged",FALSE,-1.84194500928728,3.1022625690275,-0.0209861125472414,"Converged",FALSE,-1.84459623813364,3.1814742771271,-0.0204511377421138,"Converged",FALSE,0.99,0.01
21,NA,NA,NA,"B-spline error",FALSE,-1.89402371725182,0.446720231700826,-0.00360593827186421,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.82801486856445,0.209383350728584,-0.00349303843772986,"Converged",FALSE,0.99,0.01
22,-1.22786664293999,1.6433207697984,-0.0217241471570842,"Converged",FALSE,-1.15972632158462,1.19219811422003,-0.0213882477666248,"Converged",FALSE,-1.36961003416928,2.1210382905327,-0.0220612972037415,"Converged",FALSE,-1.33098534626886,2.01505836897168,-0.0227270797598446,"Converged",FALSE,-1.14255056468506,1.29613728253292,-0.0219283077049771,"Converged",FALSE,0.99,0.01
23,-2.04201342543271,1.5593671170568,-0.00373967719046335,"Converged",FALSE,-1.96434502611896,1.35404829790333,-0.00392233069591477,"Converged",FALSE,-2.47446226712848,2.82004425983729,-0.00348164629690415,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.04665085182863,1.67261312624262,-0.00413613123264281,"Converged",FALSE,0.99,0.01
24,-1.53927280646052,0.387687060018909,-0.00715931324912967,"Converged",FALSE,-1.49716573753336,0.251559603756944,-0.00711273560737228,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-1.40843894585413,-0.0572032302889519,-0.00702709089735773,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.99,0.01
25,-1.13424534053469,1.27539399436601,-0.0210226700576229,"Converged",FALSE,-1.26317098194859,1.61274640404403,-0.0205274713976129,"Converged",FALSE,-1.21216638471054,1.59826479806329,-0.0209692504312147,"Converged",FALSE,-1.26141682631761,1.57411165888353,-0.0206857854717232,"Converged",FALSE,-1.08522474303824,1.055061643593,-0.0207848996757544,"Converged",FALSE,0.99,0.01
26,-1.52683382757164,2.81004678656261,-0.0239559170610009,"Converged",FALSE,-1.43784257683179,2.71556203710252,-0.0245035160879244,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.99,0.01
27,-1.89018384287884,2.56335938112326,-0.0131806249412334,"Converged",FALSE,-1.77334313985918,2.14227023063732,-0.013603064211021,"Converged",FALSE,-2.11321566527594,3.19475467956168,-0.0137335631814027,"Converged",FALSE,-1.78390919650609,2.1131357416784,-0.013332823616187,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
