"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
1,-0.340749004580957,-1.39181331781213,-0.0221159115778366,"Converged",FALSE,-0.674542097786206,-0.440473384494222,-0.0217343973661137,"Converged",FALSE,-0.694794655011116,-0.409735029025715,-0.0217063070076163,"Converged",FALSE,-0.608358953808105,-0.655646116583423,-0.0219400462948451,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
2,-2.73592358097904,3.23858214178246,-0.0017618638352555,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,-2.06173738838555,1.39245868105279,-0.00268642045905713,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
3,-0.831732004076015,-0.5362114142128,-0.0154067958545232,"Converged",FALSE,-1.07999958969339,0.31043081937956,-0.0155405292377201,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.817189760548959,-0.550718983852283,-0.0155529115156529,"Converged",FALSE,0.95,0.05
4,-1.62507452271599,0.095467190157949,-0.00254409274904328,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.8417245948419,0.766230952825556,-0.00231996373440687,"Converged",FALSE,-1.95168305866913,1.17460457574604,-0.00253876194024511,"Converged",FALSE,-1.68413026028911,0.282335881396217,-0.00250240147212715,"Converged",FALSE,0.95,0.05
5,-2.0122588834291,0.950203966183557,-0.00387411372800499,"Converged",FALSE,-1.66670481044681,-0.203701769038882,-0.00374011678794464,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.16423442187366,1.3532072752706,-0.00350166705254517,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
6,-1.24517015524792,1.49756602582618,-0.0196772918500207,"Converged",FALSE,-0.907149581056742,0.248011434494246,-0.0189621027309639,"Converged",FALSE,-0.843881348628767,0.00903933759792196,-0.0188534335545922,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
7,-1.87007320994996,2.3153367762573,-0.0129756591762665,"Converged",FALSE,-1.89053773486714,2.32404798606994,-0.0129691890335983,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.74016421499442,1.9600992820602,-0.0137172293084043,"Converged",FALSE,0.95,0.05
8,-2.06376684451876,1.33879320303795,-0.00243143152111124,"Converged",FALSE,-1.99001395498699,1.18767644044022,-0.00241397120402156,"Converged",FALSE,-2.23587092976368,1.87489429271402,-0.00205844585685989,"Converged",FALSE,-2.09001635917833,1.3498371438847,-0.00198931773585592,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
9,-1.63647314224892,0.542602777452943,-0.0048941627210271,"Converged",FALSE,-1.83619292319022,1.13128172768453,-0.00471841593128259,"Converged",FALSE,-1.36881287205432,-0.310031869892679,-0.00497895872538211,"Converged",FALSE,-1.85755096142999,1.16962369156094,-0.00490344551160035,"Converged",FALSE,-1.61383730984525,0.467862283938636,-0.00477206801575429,"Converged",FALSE,0.95,0.05
10,-1.10947361944876,1.13827556288137,-0.02130664062306,"Converged",FALSE,-0.923243030313721,0.574059169116199,-0.021567272223758,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.12487272476117,1.19322833525553,-0.0214891569064084,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.95,0.05
