"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","audit_recovery"
1,-1.43808986599427,0.592341041956945,-0.0893831306028964,"Converged","MLE",TRUE,FALSE,0.5
2,-1.92460196407864,2.23028320725362,-0.159483179033707,"Converged","MLE",TRUE,FALSE,0.5
3,-1.84571136323798,2.16718570765681,-0.162308280269976,"Converged","MLE",FALSE,FALSE,0.5
4,-1.8662131070246,2.22068165067967,-0.152166022388062,"Converged","MLE",FALSE,FALSE,0.5
5,-2.10585638183894,2.81925177374178,-0.135500815944306,"Converged","MLE",FALSE,FALSE,0.5
6,-1.68531024384633,1.34812947536086,-0.115361897266098,"Converged","MLE",TRUE,FALSE,0.5
7,-2.14997320235983,2.21152287744131,-0.08765420523256,"Converged","MLE",FALSE,FALSE,0.5
8,-1.58398658677452,0.204037611037117,-0.071855610537987,"Converged","MLE",FALSE,FALSE,0.5
9,-2.43670940541516,2.53946100730325,-0.0511379890168443,"Converged","MLE",FALSE,FALSE,0.5
10,-1.62123046133118,0.658027654695652,-0.132531114554637,"Converged","MLE",TRUE,FALSE,0.5
11,-1.48160809682877,1.6107824847433,-0.170309047748997,"Converged","MLE",FALSE,FALSE,0.5
12,-2.15595022134418,1.71244997563364,-0.0723961084759037,"Converged","MLE",FALSE,FALSE,0.5
13,-1.61310895661505,0.264366884264005,-0.0430072646406961,"Converged","MLE",FALSE,FALSE,0.5
14,-1.86230936760335,1.12836687144347,-0.0383516335753067,"Converged","MLE",FALSE,FALSE,0.5
15,-1.95254945582522,1.31271949277714,-0.0323583573736946,"Converged","MLE",FALSE,FALSE,0.5
16,-1.54565635753271,1.20574152213973,-0.149549625795832,"Converged","MLE",TRUE,FALSE,0.5
17,-1.28292949148756,0.542686015974934,-0.116665656280038,"Converged","MLE",FALSE,FALSE,0.5
18,-1.52012036484212,0.0704377027757074,-0.0690497642684634,"Converged","MLE",FALSE,FALSE,0.5
19,-2.14134863394976,2.19427858321249,-0.110890985993267,"Converged","MLE",TRUE,FALSE,0.5
20,-1.26173085828945,-0.0797024289582235,-0.0941131430077777,"Converged","MLE",FALSE,FALSE,0.5
21,-1.89816010541059,1.27553328118226,-0.0526304116286288,"Converged","MLE",TRUE,FALSE,0.5
22,-1.46970708873025,0.775285312530354,-0.121666327524486,"Converged","MLE",FALSE,FALSE,0.5
23,-1.97726503652249,2.41512136727956,-0.140171268262652,"Converged","MLE",FALSE,FALSE,0.5
24,-1.97226535056697,1.9120447366585,-0.119451015191318,"Converged","MLE",TRUE,FALSE,0.5
25,-1.93065756804608,1.54861675873234,-0.0686037950292757,"Converged","MLE",FALSE,FALSE,0.5
26,-1.41559418460568,0.409728097432918,-0.157037593548551,"Converged","MLE",FALSE,FALSE,0.5
27,-1.1787934869027,0.375138636812003,-0.156476837797634,"Converged","MLE",FALSE,FALSE,0.5
28,-1.94304261941374,0.926642710817458,-0.0274593552278719,"Converged","MLE",FALSE,FALSE,0.5
29,-0.729919973711757,-1.24315093174645,-0.13419081848881,"Converged","MLE",FALSE,FALSE,0.5
30,-1.53877270208639,1.52322558147785,-0.179045472278996,"Converged","MLE",FALSE,FALSE,0.5
31,-1.95446401663599,1.26805997991699,-0.0489094018898137,"Converged","MLE",FALSE,FALSE,0.5
32,-1.60692717953425,1.23424485003615,-0.156174326658777,"Converged","MLE",FALSE,FALSE,0.5
33,-2.0091339525724,1.04756118064292,-0.00850371215547217,"Converged","MLE",FALSE,FALSE,0.5
34,-1.17327868170769,0.165609149746816,-0.16170766179039,"Converged","MLE",FALSE,FALSE,0.5
35,-1.08338959026111,-0.536096512687052,-0.154860482088253,"Converged","CC",FALSE,FALSE,0.5
36,-1.90373118709318,0.919509375200592,-0.0444963645301059,"Converged","MLE",FALSE,FALSE,0.5
37,-1.64169955721238,1.56349196374095,-0.156770940193026,"Converged","CC",FALSE,FALSE,0.5
38,-2.12956105324251,2.23326200197493,-0.0729806187436068,"Converged","MLE",TRUE,FALSE,0.5
39,-2.51322849589509,3.07049843743454,-0.0976881573401098,"Converged","CC",TRUE,FALSE,0.5
40,-1.59921099969988,1.55234179173655,-0.149283787298557,"Converged","MLE",FALSE,FALSE,0.5
41,-1.93202376164925,1.68281723022698,-0.0968992261496318,"Converged","MLE",FALSE,FALSE,0.5
42,-2.0352394060071,1.57946685173747,-0.040503969043657,"Converged","MLE",FALSE,FALSE,0.5
43,-1.5895817047723,1.41540789008954,-0.159246503212959,"Converged","MLE",FALSE,FALSE,0.5
44,-1.88638072913143,1.40832769933849,-0.0834896917406089,"Converged","CC",FALSE,FALSE,0.5
45,-2.23307229319234,1.60139550956055,-0.00160864752325144,"Converged","MLE",FALSE,FALSE,0.5
46,-1.58783018390808,1.03423260261345,-0.101864196312081,"Converged","MLE",FALSE,FALSE,0.5
47,-1.29645917196897,0.478350166456365,-0.12841768276964,"Converged","MLE",FALSE,FALSE,0.5
48,-1.57857708514463,0.354005597941244,-0.0510726704098285,"Converged","MLE",FALSE,FALSE,0.5
49,-2.04937985956503,1.62927803327233,-0.0927049550631266,"Converged","MLE",FALSE,FALSE,0.5
50,-1.65424769803189,2.06679423983435,-0.192532822839168,"Converged","MLE",FALSE,FALSE,0.5
51,-1.85199682155025,1.69644508868757,-0.128104474416815,"Converged","CC",FALSE,FALSE,0.5
52,-1.82383704104051,0.487531387686096,-0.020821675803142,"Converged","MLE",FALSE,FALSE,0.5
53,-2.09423693343457,1.36615024321754,-0.038624490667202,"Converged","MLE",FALSE,FALSE,0.5
