"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
10,0.9,"CC",-1.84768050316802,1.84181423647576,0.0866428578423121,"Converged",FALSE,3,47,5,45,0.99,0.01
10,0.9,"BCC",-1.79797747292936,1.77476770077994,0.0848583430602145,"Converged",FALSE,25,25,25,25,0.99,0.01
10,0.9,"RESID",-1.79791879716464,1.59861348718332,0.0867791753678709,"Converged",FALSE,27,23,0,50,0.99,0.01
10,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,37,13,30,20,0.99,0.01
11,0.9,"SRS",-2.18047546401172,2.66700210934364,0.0980249040243932,"Converged",FALSE,2,65,2,31,0.99,0.01
11,0.9,"CC",-2.260658225198,2.91632641731533,0.097695636641903,"Converged",FALSE,1,49,10,40,0.99,0.01
11,0.9,"BCC",-2.05212700913534,2.31648293747241,0.095001870160092,"Converged",FALSE,25,25,25,25,0.99,0.01
11,0.9,"RESID",-2.37561128182027,3.07744009596788,0.0994215774186342,"Converged",FALSE,21,29,0,50,0.99,0.01
11,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,31,19,38,12,0.99,0.01
12,0.9,"SRS",-1.86294480494838,1.01624362220842,0.108310572618057,"Converged",FALSE,3,68,1,28,0.99,0.01
12,0.9,"CC",NA,NA,NA,"B-spline error",FALSE,3,47,5,45,0.99,0.01
12,0.9,"BCC",-1.83763510570098,0.969303578078956,0.108640757845916,"Converged",FALSE,28,28,17,27,0.99,0.01
12,0.9,"RESID",-1.84837936527189,0.994476258993207,0.108601462628755,"Converged",FALSE,10,40,1,49,0.99,0.01
12,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,31,19,17,33,0.99,0.01
13,0.9,"SRS",-2.27547860456624,2.84302360001725,0.105334662034457,"Converged",FALSE,3,71,6,20,0.99,0.01
13,0.9,"CC",-2.35155272931593,2.89119009966272,0.10894940557233,"Converged",FALSE,4,46,6,44,0.99,0.01
13,0.9,"BCC",-2.24271230303236,2.63996111315921,0.108157818135374,"Converged",FALSE,25,25,25,25,0.99,0.01
13,0.9,"RESID",-2.34893452414063,3.0307828150859,0.108040754854002,"Converged",FALSE,17,33,0,50,0.99,0.01
13,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,30,20,40,10,0.99,0.01
14,0.9,"SRS",-1.58117417241911,0.775993125146947,0.0997721866358169,"Converged",FALSE,10,62,3,25,0.99,0.01
14,0.9,"CC",-1.7156260015582,1.20246026526003,0.099835055309455,"Converged",FALSE,7,43,8,42,0.99,0.01
14,0.9,"BCC",-1.81384522083,1.47098434850122,0.10146965810027,"Converged",FALSE,25,25,25,25,0.99,0.01
14,0.9,"RESID",-1.6115693526341,0.919604078769023,0.100204655212226,"Converged",FALSE,13,37,1,49,0.99,0.01
14,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,36,14,32,18,0.99,0.01
15,0.9,"SRS",-2.87258601393023,4.4486488892571,0.11691567545166,"Converged",FALSE,2,73,3,22,0.99,0.01
15,0.9,"CC",-2.26667807221318,2.7288301219367,0.112502779094731,"Converged",FALSE,2,48,6,44,0.99,0.01
15,0.9,"BCC",-2.32490268781742,2.83988068883529,0.111911900932772,"Converged",FALSE,25,25,25,25,0.99,0.01
15,0.9,"RESID",-2.22543678483591,2.62076057460475,0.112406439362864,"Converged",FALSE,18,32,0,50,0.99,0.01
15,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,26,24,28,22,0.99,0.01
16,0.9,"SRS",-1.84636919155756,1.67032934195828,0.114958781659557,"Converged",FALSE,6,67,3,24,0.99,0.01
16,0.9,"CC",-2.08882344765219,2.46691304426488,0.117167932727464,"Converged",FALSE,4,46,4,46,0.99,0.01
16,0.9,"BCC",-2.12941904999303,2.45572335632092,0.115771460301403,"Converged",FALSE,25,25,25,25,0.99,0.01
16,0.9,"RESID",-2.16100165093084,2.50054809441092,0.115899454147504,"Converged",FALSE,25,25,0,50,0.99,0.01
16,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,32,18,34,16,0.99,0.01
17,0.9,"SRS",-1.98099938583606,1.60827539321181,0.118433669321561,"Converged",FALSE,5,61,1,33,0.99,0.01
17,0.9,"CC",-2.19064973954297,2.24976333719568,0.117999592725061,"Converged",FALSE,2,48,6,44,0.99,0.01
17,0.9,"BCC",-2.08445580555402,1.91216299270968,0.118395292551498,"Converged",FALSE,25,25,25,25,0.99,0.01
17,0.9,"RESID",-1.99183416254218,1.6218093215743,0.118052578184427,"Converged",FALSE,14,36,0,50,0.99,0.01
17,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,37,13,30,20,0.99,0.01
18,0.9,"SRS",-2.65329368033976,2.88535851800355,0.163588630457082,"Converged",FALSE,6,65,4,25,0.99,0.01
18,0.9,"CC",-2.59520981472091,2.57175393510148,0.163667901086482,"Converged",FALSE,1,49,4,46,0.99,0.01
18,0.9,"BCC",-2.4237446687694,2.06573816652344,0.161360684473306,"Converged",FALSE,25,25,25,25,0.99,0.01
18,0.9,"RESID",-2.53818082268469,2.62864238734321,0.161072912997176,"Converged",FALSE,12,38,0,50,0.99,0.01
18,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,22,28,27,23,0.99,0.01
19,0.9,"SRS",-2.08557517730161,2.2866188153158,0.0973300136243788,"Converged",FALSE,9,64,5,22,0.99,0.01
19,0.9,"CC",-2.14175694843889,2.57315233138179,0.0982626753832237,"Converged",FALSE,4,46,5,45,0.99,0.01
19,0.9,"BCC",-2.15787243279392,2.47161808601424,0.0973677543548376,"Converged",FALSE,25,25,25,25,0.99,0.01
19,0.9,"RESID",-2.0437054983033,2.21036966479282,0.0976991628742187,"Converged",FALSE,26,24,0,50,0.99,0.01
19,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,39,11,33,17,0.99,0.01
20,0.9,"SRS",-2.17852167559833,1.47019419018904,0.164080609128259,"Converged",FALSE,9,61,1,29,0.99,0.01
20,0.9,"CC",-2.26772480755577,1.78987916699834,0.163278893033938,"Converged",FALSE,6,44,10,40,0.99,0.01
20,0.9,"BCC",-2.39739211934365,2.29842673317029,0.164867175785178,"Converged",FALSE,25,25,25,25,0.99,0.01
20,0.9,"RESID",-2.32286134216479,1.93024586802025,0.164516525533032,"Converged",FALSE,20,30,1,49,0.99,0.01
20,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,35,15,31,19,0.99,0.01
21,0.9,"SRS",-2.58437637743942,3.54540309599516,0.150135287594385,"Converged",FALSE,5,71,5,19,0.99,0.01
21,0.9,"CC",-2.45697448439427,3.08451292173783,0.148026605141816,"Converged",FALSE,3,47,7,43,0.99,0.01
21,0.9,"BCC",-2.68548177207117,3.69374346934658,0.151563523300634,"Converged",FALSE,25,25,25,25,0.99,0.01
21,0.9,"RESID",-2.44364892708267,2.95808871160165,0.148465003171546,"Converged",FALSE,14,36,0,50,0.99,0.01
21,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,23,27,30,20,0.99,0.01
22,0.9,"SRS",-2.6687511695714,3.59186805373404,0.117615590163546,"Converged",FALSE,2,68,3,27,0.99,0.01
22,0.9,"CC",-2.48852387471089,3.23243659382261,0.117835098432132,"Converged",FALSE,3,47,9,41,0.99,0.01
22,0.9,"BCC",-2.54032519759228,3.27173206256725,0.118028823135347,"Converged",FALSE,26,25,24,25,0.99,0.01
22,0.9,"RESID",-2.41976900743667,2.85669790972984,0.118226619865782,"Converged",FALSE,23,27,0,50,0.99,0.01
22,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,27,23,24,26,0.99,0.01
23,0.9,"SRS",-2.04909347065556,2.23806675460165,0.0791560232375056,"Converged",FALSE,6,69,3,22,0.99,0.01
23,0.9,"CC",-2.12163525287623,2.42396656098488,0.0817248453725758,"Converged",FALSE,6,44,5,45,0.99,0.01
23,0.9,"BCC",-1.9266832733179,1.89457819677936,0.0785401375032082,"Converged",FALSE,25,25,25,25,0.99,0.01
23,0.9,"RESID",-1.98905109090989,1.96667387943648,0.0796739037447362,"Converged",FALSE,35,15,0,50,0.99,0.01
23,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,41,9,31,19,0.99,0.01
24,0.9,"SRS",-2.69374529106365,3.75302984438868,0.133681499921549,"Converged",FALSE,5,56,9,30,0.99,0.01
24,0.9,"CC",-2.60149958233491,3.57557445418579,0.131558830699104,"Converged",FALSE,4,46,5,45,0.99,0.01
24,0.9,"BCC",-2.34761180516751,2.74756878348877,0.128526396795415,"Converged",FALSE,25,25,25,25,0.99,0.01
24,0.9,"RESID",-2.40323240509728,2.78098175065104,0.13312052306457,"Converged",FALSE,29,21,0,50,0.99,0.01
24,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,37,13,34,16,0.99,0.01
25,0.9,"SRS",-1.79079723907717,1.25034954523683,0.0994412054403683,"Converged",FALSE,5,67,4,24,0.99,0.01
25,0.9,"CC",-1.7068931641547,0.991986131334908,0.0992283355012107,"Converged",FALSE,3,47,6,44,0.99,0.01
25,0.9,"BCC",-1.65702111870453,0.823817942608892,0.0992166221917356,"Converged",FALSE,25,25,25,25,0.99,0.01
25,0.9,"RESID",-1.77075327500634,1.19510631138963,0.0985032546253442,"Converged",FALSE,13,37,1,49,0.99,0.01
25,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,38,12,30,20,0.99,0.01
26,0.9,"SRS",-2.18582863330788,3.12809697887573,0.0793861619071783,"Converged",FALSE,3,63,9,25,0.99,0.01
26,0.9,"CC",-2.10118621167426,2.91811874676414,0.0801387881859574,"Converged",FALSE,3,47,3,47,0.99,0.01
26,0.9,"BCC",-1.92672206692453,2.3744498259024,0.0790988628380988,"Converged",FALSE,25,25,25,25,0.99,0.01
26,0.9,"RESID",-1.88977536401403,2.16612856894954,0.0813257551089119,"Converged",FALSE,29,21,0,50,0.99,0.01
26,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,41,9,38,12,0.99,0.01
27,0.9,"SRS",-1.87863215850091,1.77856622861032,0.0883688264557643,"Converged",FALSE,2,70,3,25,0.99,0.01
27,0.9,"CC",-2.09811120768853,2.50864444870913,0.0904248376176559,"Converged",FALSE,2,48,2,48,0.99,0.01
