"sim","gs_beta0","gs_beta1","gs_beta2","naive_beta0","naive_beta1","naive_beta2","cc_beta0","cc_beta1","cc_beta2","smle_beta0","smle_beta1","smle_beta2","smle_conv_msg","resampled_V","prop_recovered"
1,-0.722662367663434,1.72251638183851,-0.0339222452228675,-0.423434634238701,0.632578074432655,-0.033655704466317,-3.39911507699706,0.409554374155007,0.0296293085124377,-0.500369744263577,0.912820867072987,-0.0337930794597105,"Converged",FALSE,0.25
2,-1.73484792281114,1.37834127914461,-0.0105601142780658,-1.5778006574329,0.671235219833879,-0.00991012316279497,-1.48800512678196,-0.351591165804331,0.000495723630225766,-1.56822940254487,0.687924678425979,-0.00980799497446437,"Converged",FALSE,0.25
3,-3.13385270038016,1.21595786476732,0.0233859884155949,-2.95477396705321,0.444279686830568,0.0242532966046832,0.664187854924138,2.29296955605483,-0.0645508182863525,-3.04943449239831,0.762047309486047,0.0241132764358661,"Converged",FALSE,0.25
4,-0.448405802576199,1.17909296688795,-0.0393162757964913,-0.630251211690064,1.53399464511632,-0.0402833018293738,-1.23574343247969,-2.2938583904522,0.000724190371400486,-0.923290335788707,2.35368094659149,-0.0400268555866095,"Converged",FALSE,0.25
5,-1.41708175730466,1.78976174184428,-0.017547939883073,-1.04670163758481,0.363170139409617,-0.0159643265459565,-3.17339504339739,0.996505394503858,0.0337504692225335,-1.07586058091214,0.462773346959913,-0.0159067739427008,"Converged",TRUE,0.25
6,-1.28693113626458,-0.836952549453075,-0.00416336246884889,-1.26498380629655,-0.697606840162611,-0.00466626579128561,0.6210322269597,-0.40713593876555,-0.0513382392849323,-1.00384531001495,-1.50872547001437,-0.00415074287517141,"Converged",FALSE,0.25
7,-1.04339525523057,0.309286948270528,-0.0183616717065179,-1.14205285068954,0.555291204296398,-0.0186221007769687,-1.99627787746513,3.36403636881763,-0.0333808044834195,-1.31946398024508,1.13516658520167,-0.0188377121997939,"Converged",FALSE,0.25
8,-2.48123405011982,2.2203105846681,-0.00140928195524095,-2.07353579461701,0.858386925837192,-0.00211554672741429,-1.77252738476989,4.87125511660265,-0.043995202539931,-2.15603324517394,1.17828397913876,-0.00227607795498552,"Converged",FALSE,0.25
9,-1.47009133771234,1.1285668670095,-0.0141600811404306,-1.35236980829532,0.521133372712233,-0.0132534029893138,-2.55012411980261,1.18168159146104,0.00440210679909253,-1.48566641911508,0.894005260738832,-0.0131950189798876,"Converged",FALSE,0.25
10,-1.24522357723257,0.173991472628072,-0.0162313560824703,-1.13710581870622,-0.193462924406003,-0.0158466242458175,-1.69382067595686,-5.44696741299461,0.0144587295142804,-1.09432140991565,-0.367037721194886,-0.0157171716396681,"Converged",FALSE,0.25
