"sim","gs_beta0","gs_beta1","gs_beta2","naive_beta0","naive_beta1","naive_beta2","cc_beta0","cc_beta1","cc_beta2","smle_beta0","smle_beta1","smle_beta2","resampled_V","tpr","fpr"
1,-0.722662367663434,1.72251638183851,-0.0339222452228675,0.0433422693014592,-0.384181888445673,-0.0345411908500034,-0.719746290099234,2.03239452115714,-0.0242130611600519,-0.509404325244152,1.14289084345424,-0.0345687462499561,FALSE,0.5,0.5
2,-2.16895796512631,1.52790953707225,-0.000696324883403181,-2.11500902950116,0.716456749837906,0.000699355499802301,-1.60664625265432,1.21914503150377,-0.0074865912372657,-2.37917826605221,2.06547697390029,0.000593764896499642,FALSE,0.5,0.5
3,-1.85084784898098,0.618056085346486,-0.00245727041182284,-1.49652257021551,-0.356007012857914,-0.00206392309242815,-1.04439744453724,0.817360163377027,-0.0214851441425113,-2.21204110571581,1.68889002093032,-0.00255926442955454,FALSE,0.5,0.5
4,-2.91361218326517,1.73008509289132,0.01473110905258,-2.21966282921727,-0.239676480767368,0.0145192802861383,-2.47837329576433,3.20531800943874,-0.0007742701879473,-3.94799955743595,4.76040970822408,0.0165954845470207,FALSE,0.5,0.5
5,-1.59106661906724,1.20160813700002,-0.0120348417488324,-1.20818880998547,0.0115069649025056,-0.0120753214882158,3.15657668949905,-1.55440110854264,-0.110013156079361,-0.914463963953139,-0.972978828658629,-0.0120560637692001,FALSE,0.5,0.5
6,-1.16589359497145,0.748260825123808,-0.018878514058561,-0.997117174199242,0.182027507874397,-0.0194519590351889,-2.31323627432408,0.944950198642384,0.00291104732301759,-1.7593294858702,2.76947341005632,-0.0190114050639055,TRUE,0.5,0.5
7,-0.702206759566353,1.24381371510801,-0.0298250603509417,-0.520105054311989,0.34773445826691,-0.0288946219067131,0.790673396725355,2.20998525717797,-0.0762110338311732,-0.677478594226085,1.11368351499606,-0.0291898163037811,FALSE,0.5,0.5
8,-2.33437006489529,1.39900888630575,0.00434070305660654,-1.63598019327806,-0.413248451486371,0.00313987959725988,-1.50384880230445,4.42845689524368,-0.0315097773576357,-3.63899564379757,5.85499207724904,0.00282766160206842,FALSE,0.5,0.5
9,-1.99529763551284,1.93542116345567,-0.00832695705055166,-1.6106198434417,0.636136540505001,-0.0105589151625153,-2.66146136485179,6.08968626611369,-0.0280120357098103,-3.48694937020783,6.44100679525588,-0.00983854626108031,FALSE,0.5,0.5
10,-1.62491455810356,1.09241676382086,-0.0109240423908185,-1.23766748705017,-0.217539207805047,-0.00933022704911798,-2.89453923419438,1.05653915576833,0.0100470914340563,-2.05584142373682,2.14112048506992,-0.0092883221821762,FALSE,0.5,0.5
