"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-2.02402285461197,2.18097778175168,0.118212119552896,"Converged",FALSE,3,63,5,29,0.8,0.2
1,0.9,"CC",-1.89963536244919,1.97041264498593,0.120354216209899,"Converged",FALSE,2,48,3,47,0.8,0.2
1,0.9,"BCC",-1.68061298513752,1.22317625171039,0.118733398186454,"Converged",FALSE,25,25,25,25,0.8,0.2
1,0.9,"RESID",-2.07639806408222,2.39822228629234,0.118607438482556,"Converged",FALSE,15,35,0,50,0.8,0.2
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,28,22,29,21,0.8,0.2
2,0.9,"SRS",-1.98005024963183,1.68503813571276,0.120840835251057,"Converged",FALSE,3,67,3,27,0.8,0.2
2,0.9,"CC",-2.1913663287435,2.36652602590511,0.119195116375853,"Converged",FALSE,0,50,2,48,0.8,0.2
2,0.9,"BCC",-1.71920435258352,1.00382410373688,0.118273298968938,"Converged",FALSE,28,28,17,27,0.8,0.2
2,0.9,"RESID",-2.3509090644992,3.06818945004997,0.119857709009032,"Converged",FALSE,2,48,0,50,0.8,0.2
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,25,25,17,33,0.8,0.2
3,0.9,"SRS",-1.26475670132474,-0.176305710923702,0.107646813086577,"Converged",FALSE,2,76,2,20,0.8,0.2
3,0.9,"CC",-1.9223439645899,2.05967733740495,0.108878396794061,"Converged",FALSE,5,45,4,46,0.8,0.2
3,0.9,"BCC",-1.76709107376011,1.32814312451564,0.10862127765,"Converged",FALSE,25,25,25,25,0.8,0.2
3,0.9,"RESID",-1.85050042944254,1.71822156561962,0.109712333177079,"Converged",FALSE,5,45,5,45,0.8,0.2
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,30,20,25,25,0.8,0.2
4,0.9,"SRS",-2.2014390885566,1.62458951129855,0.156503208327042,"Converged",FALSE,4,70,2,24,0.8,0.2
4,0.9,"CC",-1.95825100062454,0.930227921288298,0.155787946814341,"Converged",FALSE,1,49,3,47,0.8,0.2
4,0.9,"BCC",-1.79794342966177,0.404662636281861,0.154754307702503,"Converged",FALSE,26,25,24,25,0.8,0.2
4,0.9,"RESID",-1.8806386055577,0.708004776150556,0.155577755005176,"Converged",FALSE,10,40,5,45,0.8,0.2
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,31,19,24,26,0.8,0.2
5,0.9,"SRS",-1.69794602176205,1.53999381599803,0.0604834293344132,"Converged",FALSE,4,64,1,31,0.8,0.2
5,0.9,"CC",-1.27638315394039,0.184058983324519,0.0608631792529106,"Converged",FALSE,2,48,5,45,0.8,0.2
5,0.9,"BCC",-2.06907780626639,2.55398782315801,0.0599975026267782,"Converged",FALSE,26,25,24,25,0.8,0.2
5,0.9,"RESID",-0.991781503990637,-0.721996128738799,0.0609536467091962,"Converged",FALSE,2,48,2,48,0.8,0.2
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,41,9,24,26,0.8,0.2
6,0.9,"SRS",-1.39316000676047,0.436665371693672,0.0809121117488887,"Converged",FALSE,10,58,3,29,0.8,0.2
6,0.9,"CC",-1.41505091924219,0.495149749836407,0.0807977361505925,"Converged",FALSE,6,44,5,45,0.8,0.2
6,0.9,"BCC",-1.63889173260546,1.16222523391263,0.0810437516236358,"Converged",FALSE,26,26,23,25,0.8,0.2
6,0.9,"RESID",-1.60110475578431,1.11090859175396,0.0820610925971999,"Converged",FALSE,4,46,1,49,0.8,0.2
6,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,37,13,22,28,0.8,0.2
7,0.9,"SRS",-1.82872137373736,2.07062570141946,0.0796968353592046,"Converged",FALSE,6,69,2,23,0.8,0.2
7,0.9,"CC",-1.95077586762287,2.36722782695596,0.0790523074310011,"Converged",FALSE,3,47,8,42,0.8,0.2
7,0.9,"BCC",-1.1843732469898,-0.0517023429556761,0.0788575263589529,"Converged",FALSE,25,25,25,25,0.8,0.2
7,0.9,"RESID",-2.29757645151921,3.36854937933352,0.0803138361397624,"Converged",FALSE,11,39,0,50,0.8,0.2
7,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,32,18,26,24,0.8,0.2
8,0.9,"SRS",-2.17846867678207,2.21873331434208,0.135530899266644,"Converged",FALSE,6,70,1,23,0.8,0.2
8,0.9,"CC",-1.71356031969726,0.676327765717691,0.135053672191394,"Converged",FALSE,5,45,3,47,0.8,0.2
8,0.9,"BCC",-1.81667602893633,1.11223481740094,0.136173883916154,"Converged",FALSE,25,25,25,25,0.8,0.2
8,0.9,"RESID",-1.82751570380584,1.06410823374308,0.135650847075918,"Converged",FALSE,9,41,2,48,0.8,0.2
8,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,30,20,28,22,0.8,0.2
9,0.9,"SRS",-2.22011402484915,2.19738018451066,0.12976546360472,"Converged",FALSE,5,72,0,23,0.8,0.2
9,0.9,"CC",-1.9553238355427,1.37813782818701,0.133846154394712,"Converged",FALSE,3,47,5,45,0.8,0.2
9,0.9,"BCC",-2.30050138575457,2.40633772713696,0.134484487031966,"Converged",FALSE,26,26,22,26,0.8,0.2
9,0.9,"RESID",-2.33468274889999,2.70461307847939,0.13164869436498,"Converged",FALSE,8,42,2,48,0.8,0.2
9,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,28,22,22,28,0.8,0.2
10,0.9,"SRS",-1.69690435526406,0.4636198114165,0.112982745542468,"Converged",FALSE,4,71,3,22,0.8,0.2
10,0.9,"CC",-1.67777406605022,0.402933698875885,0.113470534805939,"Converged",FALSE,3,47,5,45,0.8,0.2
10,0.9,"BCC",-1.69733481694406,0.465057028364473,0.113438755867404,"Converged",FALSE,27,26,21,26,0.8,0.2
10,0.9,"RESID",-1.9649557091114,1.27760651279358,0.114416719682674,"Converged",FALSE,6,44,2,48,0.8,0.2
10,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,25,25,21,29,0.8,0.2
11,0.9,"SRS",-2.03942985541957,3.09544226268941,0.0427443760602449,"Converged",FALSE,5,62,3,30,0.8,0.2
11,0.9,"CC",-2.07466031266218,3.30923605121517,0.044059244999574,"Converged",FALSE,2,48,8,42,0.8,0.2
11,0.9,"BCC",-2.04706391197472,2.94649710724574,0.0436032807776079,"Converged",FALSE,25,25,25,25,0.8,0.2
11,0.9,"RESID",-2.07721091691891,3.23874744406489,0.0421479572596497,"Converged",FALSE,32,18,0,50,0.8,0.2
11,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,38,12,31,19,0.8,0.2
12,0.9,"SRS",-1.76477887720767,1.13534334390279,0.112230857406503,"Converged",FALSE,6,63,4,27,0.8,0.2
12,0.9,"CC",-2.27541896910491,2.75472349790874,0.11362822017258,"Converged",FALSE,1,49,6,44,0.8,0.2
12,0.9,"BCC",-1.89118031732084,1.69390561796468,0.112366430098863,"Converged",FALSE,25,25,25,25,0.8,0.2
12,0.9,"RESID",-1.95138921663237,1.69872839129238,0.114854012177683,"Converged",FALSE,10,40,0,50,0.8,0.2
12,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,27,23,27,23,0.8,0.2
13,0.9,"SRS",-1.57536037583402,0.337640531725391,0.12757826673992,"Converged",FALSE,5,67,3,25,0.8,0.2
13,0.9,"CC",-1.65054948577173,0.553325973340265,0.127884805708041,"Converged",FALSE,2,48,2,48,0.8,0.2
13,0.9,"BCC",-1.39814480398791,-0.234157768774309,0.127374979353095,"Converged",FALSE,27,26,21,26,0.8,0.2
13,0.9,"RESID",-1.65553238552738,0.611028918826458,0.127706283389666,"Converged",FALSE,3,47,4,46,0.8,0.2
13,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,24,26,20,30,0.8,0.2
14,0.9,"SRS",-1.80577760943043,1.7575949697017,0.0839756881772123,"Converged",FALSE,9,57,4,30,0.8,0.2
14,0.9,"CC",-1.70337989921997,1.45429468011203,0.084943302208967,"Converged",FALSE,5,45,3,47,0.8,0.2
14,0.9,"BCC",-1.73597010871103,1.48712737103635,0.0835706198067851,"Converged",FALSE,25,25,25,25,0.8,0.2
14,0.9,"RESID",-2.05582202959035,2.44721722530043,0.0859922983019123,"Converged",FALSE,13,37,0,50,0.8,0.2
14,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,41,9,27,23,0.8,0.2
15,0.9,"SRS",-1.28475437818211,-0.0605258338052496,0.0766301205220545,"Converged",FALSE,7,65,1,27,0.8,0.2
15,0.9,"CC",-1.27166441337209,-0.106243660496338,0.0767682399343132,"Converged",FALSE,2,48,4,46,0.8,0.2
15,0.9,"BCC",-1.22312920968595,-0.240897678433236,0.0765981180840427,"Converged",FALSE,25,25,25,25,0.8,0.2
15,0.9,"RESID",-1.24920489223599,-0.165592533214649,0.0765013138113425,"Converged",FALSE,0,50,8,42,0.8,0.2
15,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,37,13,25,25,0.8,0.2
16,0.9,"SRS",-1.12352747678948,0.0257986577448363,0.0666899084033864,"Converged",FALSE,7,62,1,30,0.8,0.2
16,0.9,"CC",-1.8869714750009,2.46562329164789,0.0704916500109785,"Converged",FALSE,8,42,2,48,0.8,0.2
16,0.9,"BCC",-1.42539541789465,0.999187167888547,0.0674967043440769,"Converged",FALSE,27,27,20,26,0.8,0.2
16,0.9,"RESID",-1.41027418983204,0.917650190375981,0.0667838914529116,"Converged",FALSE,6,44,0,50,0.8,0.2
16,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,38,12,20,30,0.8,0.2
17,0.9,"SRS",-2.0558980874114,2.46999082715995,0.064377830008565,"Converged",FALSE,8,66,2,24,0.8,0.2
17,0.9,"CC",-1.90367416416914,1.93501349804002,0.0637764611687981,"Converged",FALSE,2,48,4,46,0.8,0.2
17,0.9,"BCC",-1.42325385350742,0.441765410042929,0.0630516378841707,"Converged",FALSE,27,27,19,27,0.8,0.2
17,0.9,"RESID",-1.20728760138601,-0.207800832203787,0.0627277260369384,"Converged",FALSE,9,41,1,49,0.8,0.2
17,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,40,10,19,31,0.8,0.2
18,0.9,"SRS",-3.36273343746781,5.37508756959275,0.171305041214121,"Converged",FALSE,4,67,4,25,0.8,0.2
18,0.9,"CC",-2.00586731169512,1.15606791223423,0.159334024638991,"Converged",FALSE,5,45,5,45,0.8,0.2
