"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-2.5973965166857,3.62697014405917,0.125447624436544,"Converged",FALSE,0,70,1,29,0.8,0.2
1,0.9,"CC",-2.33216271394625,2.86823859113169,0.124501376742452,"Converged",FALSE,2,48,6,44,0.8,0.2
1,0.9,"BCC",-2.23279084580237,2.5761636792113,0.122125123788608,"Converged",FALSE,26,26,22,26,0.8,0.2
1,0.9,"RESID",-2.03768633985757,2.04428559785187,0.120567497493862,"Converged",FALSE,12,38,0,50,0.8,0.2
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,23,27,21,29,0.8,0.2
2,0.9,"SRS",-2.22240731576973,2.64324557622191,0.127492305501076,"Converged",FALSE,7,63,0,30,0.8,0.2
2,0.9,"CC",-1.68929095497552,0.85488338228071,0.124453419820766,"Converged",FALSE,2,48,7,43,0.8,0.2
2,0.9,"BCC",-1.84434409857329,1.3559243332095,0.124645411676468,"Converged",FALSE,25,25,25,25,0.8,0.2
2,0.9,"RESID",-2.2604545336591,2.6565627623986,0.125978910530406,"Converged",FALSE,11,39,0,50,0.8,0.2
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,20,30,26,24,0.8,0.2
3,0.9,"SRS",-3.34119684112702,6.27556399140214,0.0713814740931309,"Converged",FALSE,4,68,2,26,0.8,0.2
3,0.9,"CC",-1.43664173975667,0.807336078763377,0.0646004956798338,"Converged",FALSE,3,47,4,46,0.8,0.2
3,0.9,"BCC",-1.92112559761153,2.42402003411357,0.0639195519074908,"Converged",FALSE,26,26,22,26,0.8,0.2
3,0.9,"RESID",-1.47333045317239,0.991060925129053,0.063127757720005,"Converged",FALSE,4,46,4,46,0.8,0.2
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,39,11,22,28,0.8,0.2
4,0.9,"SRS",-2.29831164417326,3.14395124004888,0.101076569140925,"Converged",FALSE,2,69,1,28,0.8,0.2
4,0.9,"CC",-1.78271362766341,1.48517927090618,0.0968848128137326,"Converged",FALSE,4,46,6,44,0.8,0.2
4,0.9,"BCC",-1.65812523724526,1.11317737079678,0.0989179275236653,"Converged",FALSE,25,25,25,25,0.8,0.2
4,0.9,"RESID",-2.0061334998548,2.19514956253563,0.102102806052508,"Converged",FALSE,11,39,0,50,0.8,0.2
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,37,13,28,22,0.8,0.2
5,0.9,"SRS",-1.40867202925932,0.832439949480228,0.0653073553862325,"Converged",FALSE,10,58,4,28,0.8,0.2
5,0.9,"CC",-1.80003124664209,1.95745481630038,0.0655639298303028,"Converged",FALSE,0,50,1,49,0.8,0.2
5,0.9,"BCC",-1.72559264228544,1.74998447368489,0.0642893407269275,"Converged",FALSE,26,25,24,25,0.8,0.2
5,0.9,"RESID",-1.24464207883631,0.317877719646819,0.0651644966707039,"Converged",FALSE,11,39,0,50,0.8,0.2
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,38,12,24,26,0.8,0.2
6,0.9,"SRS",-2.36244559833025,2.80648492090146,0.135316774243621,"Converged",FALSE,4,68,4,24,0.8,0.2
6,0.9,"CC",-1.53100977849585,0.339472722876904,0.130286670797187,"Converged",FALSE,2,48,6,44,0.8,0.2
6,0.9,"BCC",-1.32708111438318,-0.28728352332078,0.129562104746594,"Converged",FALSE,25,25,25,25,0.8,0.2
6,0.9,"RESID",-1.68696596557862,0.844452102013564,0.130881543317742,"Converged",FALSE,2,48,6,44,0.8,0.2
6,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,27,23,27,23,0.8,0.2
7,0.9,"SRS",-1.85056401175247,1.40346116460565,0.110427320994729,"Converged",FALSE,6,66,3,25,0.8,0.2
7,0.9,"CC",-1.67149022176425,0.782048321569893,0.110548680466077,"Converged",FALSE,2,48,5,45,0.8,0.2
7,0.9,"BCC",-1.62404480135317,0.69804072029019,0.110329431167051,"Converged",FALSE,25,25,25,25,0.8,0.2
7,0.9,"RESID",-1.29838445388775,-0.362613745765384,0.111076465219105,"Converged",FALSE,12,38,0,50,0.8,0.2
7,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,33,17,25,25,0.8,0.2
8,0.9,"SRS",-1.66354433781919,1.98792524513135,0.0377187228174529,"Converged",FALSE,2,62,4,32,0.8,0.2
8,0.9,"CC",-1.99296446802655,3.28416988049393,0.040925981516395,"Converged",FALSE,1,49,3,47,0.8,0.2
