"sim","score_beta0","score_beta1","score_beta2","score_conv_msg","tpr","fpr"
1,NA,NA,NA,"B-spline error",0.95,0.05
2,-1.59344315962996,1.24845669908336,-0.143607559875921,"Converged",0.95,0.05
3,-2.13914067917095,1.96848846974112,-0.0462734787105125,"Converged",0.95,0.05
4,-1.75378160419416,1.35091616682237,-0.0796991927343848,"Converged",0.95,0.05
5,-2.01149382531633,1.68916467050143,-0.0696887459724072,"Converged",0.95,0.05
6,NA,NA,NA,"B-spline error",0.95,0.05
7,-2.31681882000805,2.43243348751047,-0.122148700849302,"Converged",0.95,0.05
8,-1.5767345514073,1.38582605658047,-0.134886962265489,"Converged",0.95,0.05
9,-2.12333443870104,1.5695672997682,-0.0699318214827252,"Converged",0.95,0.05
10,-1.45290015552057,1.07718495182844,-0.144141506251665,"Converged",0.95,0.05
11,-1.78773054101624,1.69131707124744,-0.0986396850875404,"Converged",0.95,0.05
12,-1.97988186570376,1.36607173648897,-0.0693879353048048,"Converged",0.95,0.05
13,-1.98574406887445,2.31315559557671,-0.109827129267907,"Converged",0.95,0.05
14,-2.20119429205389,2.78683823093906,-0.0831851376062722,"Converged",0.95,0.05
15,-2.2118937558874,1.99621567082673,-0.049897754481995,"Converged",0.95,0.05
16,-1.3882242190802,-0.0917444395846547,-0.0720858843433783,"Converged",0.95,0.05
17,NA,NA,NA,"B-spline error",0.95,0.05
18,-2.70572107438485,3.0087154609538,-0.0164165575751509,"Converged",0.95,0.05
19,-1.69848017604361,1.47242816737712,-0.142044738667945,"Converged",0.95,0.05
20,-1.742414250119,2.19237428588003,-0.147240762672702,"Converged",0.95,0.05
21,-1.96489615716621,1.67313468447987,-0.0830370259917182,"Converged",0.95,0.05
22,-1.51295650647147,0.569276714846893,-0.111424991513362,"Converged",0.95,0.05
23,-2.16281719133247,1.64443498467057,-0.0485300686948806,"Converged",0.95,0.05
24,NA,NA,NA,"B-spline error",0.95,0.05
25,-1.77117912924169,0.990344938306529,-0.100480335946776,"Converged",0.95,0.05
26,-1.52947232944445,0.828154386277461,-0.109355287586758,"Converged",0.95,0.05
27,-1.73086304500986,1.40139395672498,-0.0765009835075729,"Converged",0.95,0.05
28,-1.97210280946671,1.66191490992217,-0.0892598985459692,"Converged",0.95,0.05
29,-1.91798082837065,2.35222479210377,-0.112114614884545,"Converged",0.95,0.05
30,-2.36156135165891,2.29521846877762,-0.0468688038809786,"Converged",0.95,0.05
31,NA,NA,NA,"B-spline error",0.95,0.05
32,-1.5384566553274,1.20299870113956,-0.13436250387288,"Converged",0.95,0.05
33,-1.60939801172766,1.67732098972817,-0.155350536500828,"Converged",0.95,0.05
34,-1.72891091256208,1.91197336737895,-0.129659138311217,"Converged",0.95,0.05
35,-1.94885787515415,1.30391251569753,-0.042828339567623,"Converged",0.95,0.05
36,-1.54933241224191,1.84209522102265,-0.149755143504681,"Converged",0.95,0.05
37,-2.12647299391992,2.01363421262377,-0.0638367478464151,"Converged",0.95,0.05
38,-2.401688151927,1.70962485954471,-0.00715539809076906,"Converged",0.95,0.05
39,NA,NA,NA,"B-spline error",0.95,0.05
40,-1.59812262044996,1.11131949339134,-0.119240476940231,"Converged",0.95,0.05
41,-1.80728134964173,0.951018002533024,-0.0923103617220623,"Converged",0.95,0.05
42,-2.34666838956184,2.56693194465084,-0.0828396911977384,"Converged",0.95,0.05
43,-2.18695977055415,3.03367566041748,-0.128882522992402,"Converged",0.95,0.05
44,-1.29804093303347,0.99180498015658,-0.20552645591329,"Converged",0.95,0.05
45,-1.70791054596724,0.765636270136097,-0.0884229335004229,"Converged",0.95,0.05
46,-1.66612992928641,1.41834434224369,-0.163553738434565,"Converged",0.95,0.05
47,-1.53948578751369,1.5091345128217,-0.125518271224948,"Converged",0.95,0.05
48,-1.8393598865912,2.51908447021321,-0.156436416466154,"Converged",0.95,0.05
49,-2.31371947461702,2.70983207731538,-0.0685882311940246,"Converged",0.95,0.05
50,-1.94854512094365,2.00499914983629,-0.0972505669076954,"Converged",0.95,0.05
