"sim","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","tpr","fpr"
1,-1.75755706227144,1.90174446651361,-0.126144616749687,"Converged",0.8,0.2
2,-1.77779661079484,1.73259728692563,-0.136330165423239,"Converged",0.8,0.2
3,-2.53958367777854,3.53762429364538,-0.0551256277591993,"Converged",0.8,0.2
4,-1.90778285610048,1.97801560451251,-0.114269304062081,"Converged",0.8,0.2
5,-2.37278691075941,3.63995583950724,-0.128152238246841,"Converged",0.8,0.2
6,-2.43945790709826,3.66409365875281,-0.0894922065109292,"Converged",0.8,0.2
7,-2.4070362231171,3.06237222540191,-0.103502640399042,"Converged",0.8,0.2
8,-2.42346254812895,2.7937419916294,-0.0608139195871908,"Converged",0.8,0.2
9,-2.08025664024035,1.23342915689375,-0.0432405779112425,"Converged",0.8,0.2
10,NA,NA,NA,"B-spline error",0.8,0.2
11,-1.94799651317551,2.87484706508991,-0.176906564820864,"Converged",0.8,0.2
12,-2.61292587700151,3.08370912000821,-0.0531564506071315,"Converged",0.8,0.2
13,-2.36226121128497,3.00465269533711,-0.123568211421833,"Converged",0.8,0.2
14,-2.09199646579111,1.67200280481205,-0.060311859631441,"Converged",0.8,0.2
15,-2.3252096543674,2.97986997206785,-0.0969881897374853,"Converged",0.8,0.2
16,-2.58015260403771,3.48984891383882,-0.0817153936578265,"Converged",0.8,0.2
17,NA,NA,NA,"MAX_ITER reached",0.8,0.2
18,-2.22479840737606,2.39822931963762,-0.0896933852462446,"Converged",0.8,0.2
19,-1.99410984975981,3.70640462752217,-0.190158960198199,"Converged",0.8,0.2
20,-1.15448598152841,0.0299294901603265,-0.139900974282494,"Converged",0.8,0.2
21,-2.11281554254927,2.50680022176385,-0.0707398995608741,"Converged",0.8,0.2
22,-1.50118511566843,-0.975209779889972,0.0155821856029927,"Converged",0.8,0.2
23,-2.13543616266229,1.96727655102471,-0.0496473792192473,"Converged",0.8,0.2
24,-1.53982346861924,1.14886641945451,-0.117443135758115,"Converged",0.8,0.2
25,-2.17414311047827,1.89608433571477,-0.0448591569270738,"Converged",0.8,0.2
26,-3.11506274211904,4.47422519590575,-0.0445331740142812,"Converged",0.8,0.2
27,-1.86399229019797,1.38159663304185,-0.0538516504847263,"Converged",0.8,0.2
28,-1.19147873308265,0.384594190529072,-0.179728541884817,"Converged",0.8,0.2
29,-2.18287701327799,1.98059672239282,-0.0467275820852736,"Converged",0.8,0.2
30,-1.8527066872203,1.90758693240861,-0.0961057308545467,"Converged",0.8,0.2
31,-2.61547850499368,4.00405610456861,-0.107237001124805,"Converged",0.8,0.2
32,-2.36181989775559,2.39050054590864,-0.0480055427731661,"Converged",0.8,0.2
33,-1.43359376711214,0.449394918703958,-0.139032041636758,"Converged",0.8,0.2
34,-1.61655727000462,0.643851058060442,-0.0940433570707205,"Converged",0.8,0.2
35,-0.944563458250473,-1.00805584736463,-0.11053576201416,"Converged",0.8,0.2
36,-1.04123451448113,-0.495611229441093,-0.0998750473552804,"Converged",0.8,0.2
37,-2.36126820339131,2.89311717387477,-0.0767200513145702,"Converged",0.8,0.2
38,-2.31339644442214,2.42710407499517,-0.0661128210282833,"Converged",0.8,0.2
39,-1.44127118620382,1.4908797213889,-0.152691237340613,"Converged",0.8,0.2
40,-2.84669220275838,4.99773768779726,-0.151469817155413,"Converged",0.8,0.2
41,-2.39584360512681,3.83862044899963,-0.178009398773328,"Converged",0.8,0.2
42,-2.3764238964817,2.51752145079262,-0.0470413426973871,"Converged",0.8,0.2
43,-2.85878321008278,4.75396855419544,-0.124589173861611,"Converged",0.8,0.2
44,-2.31059913328495,3.99099710182169,-0.162607148953777,"Converged",0.8,0.2
45,-2.32780279130178,0.85452714421985,0.0291030000846909,"Converged",0.8,0.2
46,-1.74862618778835,1.48375837032373,-0.132784273625177,"Converged",0.8,0.2
47,-0.75867629869899,-0.584064361299208,-0.183575312260219,"Converged",0.8,0.2
48,-1.00528608089704,-0.551665581546882,-0.153465144747082,"Converged",0.8,0.2
49,-1.74770586739602,1.26926094248214,-0.117790567036061,"Converged",0.8,0.2
50,-0.643484086527771,-1.47671637367217,-0.155580252433314,"Converged",0.8,0.2
51,-2.45044746264918,2.63575054508002,-0.0409180170480988,"Converged",0.8,0.2
52,-1.12564882127104,-0.5991193563464,-0.142644256539761,"Converged",0.8,0.2
53,-2.16725553439381,2.75030136392028,-0.10019252508522,"Converged",0.8,0.2
54,-2.57126020981129,2.54487383828156,-0.00192213538963101,"Converged",0.8,0.2
55,-1.89125812135353,1.22826167188792,-0.054331719167737,"Converged",0.8,0.2
56,-1.57484904967975,1.34521437056781,-0.122904742914957,"Converged",0.8,0.2
57,-1.75113321889201,1.66909268460707,-0.120019793972064,"Converged",0.8,0.2
58,-1.26268654149684,1.59195850451988,-0.229446943012414,"Converged",0.8,0.2
59,-2.47365486465346,3.34103816470266,-0.0748128228139736,"Converged",0.8,0.2
60,-2.39644903073515,3.36144284315244,-0.136104461063579,"Converged",0.8,0.2
61,-1.48669263987316,-0.106445527244455,-0.0481409550763432,"Converged",0.8,0.2
62,-1.90462262447218,1.59854067879017,-0.0746978106280297,"Converged",0.8,0.2
63,-1.99131548726709,2.13865185076394,-0.0985572187327844,"Converged",0.8,0.2
64,-2.34205785631794,2.57545213256354,-0.0821425815992238,"Converged",0.8,0.2
65,-1.78735854399565,0.916492573148536,-0.0527442790084986,"Converged",0.8,0.2
66,-2.59580362052925,3.96205034306084,-0.108902976160113,"Converged",0.8,0.2
67,-0.988383931656543,-1.4044180259053,-0.0719786807869581,"Converged",0.8,0.2
68,-2.87770575644051,5.60578065962294,-0.0849498929456078,"Converged",0.8,0.2
69,-2.45483012712778,3.74174077318239,-0.110163827900539,"Converged",0.8,0.2
70,-2.27383271706681,2.84031070904824,-0.0685104187542823,"Converged",0.8,0.2
71,-2.10331281899689,2.76354398696468,-0.132645697726313,"Converged",0.8,0.2
72,-1.06706382720571,0.15779077176598,-0.169641999897068,"Converged",0.8,0.2
73,-2.78782558403834,3.25782895976341,-0.0351312639529572,"Converged",0.8,0.2
74,-2.22314246389826,2.77210941299423,-0.0985736219142041,"Converged",0.8,0.2
75,-1.65409520152034,1.25112228995691,-0.0996842928029332,"Converged",0.8,0.2
76,-1.09249516660558,-0.460117565221532,-0.140774819403266,"Converged",0.8,0.2
77,-2.0288619004976,1.82567208273445,-0.0906473185802133,"Converged",0.8,0.2
78,-1.65592390912389,0.401650997560463,-0.0233085889775052,"Converged",0.8,0.2
79,-2.30624186024625,2.12715595704586,-0.0501107191988744,"Converged",0.8,0.2
80,-2.09020460458608,2.29535300575648,-0.0538493655988835,"Converged",0.8,0.2
81,-2.30541243127547,4.27738591472178,-0.162345276939605,"Converged",0.8,0.2
82,-1.89549244805241,1.54242695374588,-0.0720771587810091,"Converged",0.8,0.2
83,-2.49636057987248,2.46871018080962,-0.0375409999313063,"Converged",0.8,0.2
84,-2.79486901686493,4.04477125434586,-0.0571285227491204,"Converged",0.8,0.2
85,-2.78809249842529,4.62038305838702,-0.0864977893488304,"Converged",0.8,0.2
86,-2.1433047607874,1.99282028409421,-0.0746450738846613,"Converged",0.8,0.2
87,-1.19767580810065,0.687879307894709,-0.167275947655522,"Converged",0.8,0.2
88,-2.03926525839441,2.30231487532079,-0.14286323322432,"Converged",0.8,0.2
89,-2.07205562319637,1.19738320897259,-0.0401383691661811,"Converged",0.8,0.2
90,-1.36908776820863,1.26498431526919,-0.184406806344916,"Converged",0.8,0.2
91,-3.02273799334255,5.23620307170504,-0.101747118261428,"Converged",0.8,0.2
92,-1.93440609353124,1.68544343479852,-0.11411789970789,"Converged",0.8,0.2
93,-1.77023078143552,0.260008644329069,-0.032103929163011,"Converged",0.8,0.2
94,-1.99261403718282,2.34061871675154,-0.135922392595235,"Converged",0.8,0.2
95,-2.42640267994182,3.59248264086272,-0.0874263941348056,"Converged",0.8,0.2
96,-1.44021774757054,-0.145369011611821,-0.0536987735586831,"Converged",0.8,0.2
97,-2.31877877917824,2.96857697428641,-0.104179155112017,"Converged",0.8,0.2
98,-0.699172010749954,-1.59837783197157,-0.15322668110713,"Converged",0.8,0.2
99,-1.91547136868689,1.81258281135513,-0.0980592173489624,"Converged",0.8,0.2
100,-1.9293080639443,2.25847890567114,-0.11678838753672,"Converged",0.8,0.2
101,-1.96162436551972,1.82643903337389,-0.0966065196236718,"Converged",0.8,0.2
102,-1.89305369304326,3.11461098767606,-0.203015614574257,"Converged",0.8,0.2
103,-1.63477445898915,1.84283498413387,-0.14767256960151,"Converged",0.8,0.2
104,-2.11674068855003,3.32528098497878,-0.14107753317162,"Converged",0.8,0.2
105,-1.35334458759461,-0.104923887005881,-0.0916539792680906,"Converged",0.8,0.2
106,-1.88374982184424,1.70443013608296,-0.101356530054502,"Converged",0.8,0.2
107,-1.57398170548349,1.33229482210107,-0.146415893145683,"Converged",0.8,0.2
108,-1.94988838127525,1.37599074886305,-0.056564240009713,"Converged",0.8,0.2
109,-1.8994772509078,1.91198096034203,-0.107683565389458,"Converged",0.8,0.2
110,-1.75731746188414,1.6341381415984,-0.141870665390687,"Converged",0.8,0.2
111,-1.17254694048947,-0.904209136873599,-0.0729681986660459,"Converged",0.8,0.2
112,-1.96554897909653,2.66296949333319,-0.169698919555768,"Converged",0.8,0.2
113,-1.40721496413247,2.09502761779941,-0.216866648548335,"Converged",0.8,0.2
114,-2.00811733658545,1.27824210845049,-0.0527592939244428,"Converged",0.8,0.2
115,-1.09343893447376,-0.217013031755001,-0.129785915779579,"Converged",0.8,0.2
116,-3.22759533319051,5.02812855813882,-0.0639738627498997,"Converged",0.8,0.2
117,-2.60050731028339,3.31179891399445,-0.0781244915062146,"Converged",0.8,0.2
118,-2.42100088075505,2.83524774495957,-0.0700764371669964,"Converged",0.8,0.2
119,-1.16157205140836,-0.176622026444111,-0.106005242930187,"Converged",0.8,0.2
120,-3.31284626471703,6.10108079686682,-0.0848441484773657,"Converged",0.8,0.2
121,-1.9766037542189,2.11240450636831,-0.116331466912887,"Converged",0.8,0.2
122,-2.44743609641425,3.37174264684055,-0.0989844965308958,"Converged",0.8,0.2
123,-2.6333078035471,3.35253132075959,-0.0636716430030564,"Converged",0.8,0.2
124,-1.84336485792688,1.50324455334697,-0.0956159519240354,"Converged",0.8,0.2
125,-1.33427276902264,-0.502933397089383,-0.0707148420060605,"Converged",0.8,0.2
126,-1.83827904794992,1.47688651454352,-0.114238172059035,"Converged",0.8,0.2
127,-2.62157594732546,3.59891307283206,-0.0394916372231787,"Converged",0.8,0.2
128,-1.78542676336003,1.34928033319544,-0.107376878958055,"Converged",0.8,0.2
129,-2.22074154891525,2.93156985984622,-0.158927011071711,"Converged",0.8,0.2
