"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","tpr","fpr"
1,-1.95750092394763,2.5160006125305,-0.130555261941127,"Converged",0.99,0.01
2,-2.14211185576334,2.66404937069079,-0.122689480899974,"Converged",0.99,0.01
3,NA,NA,NA,"B-spline error",0.99,0.01
4,-2.26353057983641,3.07787182219847,-0.117259658016194,"Converged",0.99,0.01
5,-2.08016109530505,2.24805383810722,-0.105565775526327,"Converged",0.99,0.01
6,-1.39517624288604,0.467613620510175,-0.100375660849322,"Converged",0.99,0.01
7,-2.11009763473301,2.16869303343727,-0.157741710724212,"Converged",0.99,0.01
8,-2.20052199125098,2.23407157509834,-0.0696059757068022,"Converged",0.99,0.01
9,-1.82869851836599,0.747422555437803,-0.0724534526308838,"Converged",0.99,0.01
10,-1.75488095161174,1.34156823600081,-0.111091246817523,"Converged",0.99,0.01
11,-1.97022910583854,2.35249340651099,-0.116114930713397,"Converged",0.99,0.01
12,-1.45357087701246,-0.101719983942295,-0.0642749193127097,"Converged",0.99,0.01
13,-1.98561620125043,2.30995222316806,-0.135756294621996,"Converged",0.99,0.01
14,-1.97438194678719,2.10852755265419,-0.118200495662198,"Converged",0.99,0.01
15,-1.80109569771583,1.04201630889861,-0.058115750612612,"Converged",0.99,0.01
16,-2.28195970643474,1.89376552875102,-0.021470038203631,"Converged",0.99,0.01
17,-1.86999342873046,2.14768243857209,-0.104805891734414,"Converged",0.99,0.01
18,-2.10575044092223,2.08889131436814,-0.0422057583979299,"Converged",0.99,0.01
19,-1.58541543423537,1.49595986258519,-0.140391532286658,"Converged",0.99,0.01
20,-2.62897847936493,3.99939720499371,-0.0933921377389612,"Converged",0.99,0.01
21,-2.35505215110759,3.15241776479536,-0.0811174530451493,"Converged",0.99,0.01
22,-1.94503462188326,1.12078122188611,-0.0511740912903987,"Converged",0.99,0.01
23,-2.21880928041704,3.37046043186678,-0.143683636833474,"Converged",0.99,0.01
24,-1.52082553554058,0.955387847117318,-0.104628519889662,"Converged",0.99,0.01
25,-2.23315072050347,1.43153333643484,-0.0262008498031864,"Converged",0.99,0.01
26,-2.03534015175968,0.981181613421825,-0.0230502698662484,"Converged",0.99,0.01
27,-1.70617289336094,1.3243767900084,-0.0790181463917032,"Converged",0.99,0.01
28,-2.18538572868594,3.27780219130278,-0.160366359843319,"Converged",0.99,0.01
29,-1.92636061014236,1.15837012149317,-0.0336668862208818,"Converged",0.99,0.01
30,-3.02030210338639,4.4094117677967,-0.0507101241326095,"Converged",0.99,0.01
31,-2.69978755278084,3.40052082936384,-0.0484110961375998,"Converged",0.99,0.01
32,-2.5795106560085,3.73279823867241,-0.0942923942297464,"Converged",0.99,0.01
33,-1.96503941952823,1.91642426440201,-0.128730428940309,"Converged",0.99,0.01
34,-1.89746305568498,1.03860223750416,-0.0431722338764538,"Converged",0.99,0.01
35,-1.9008383610183,2.33105619918331,-0.114980464795747,"Converged",0.99,0.01
36,-1.94229791220421,2.29077769706549,-0.107128004290786,"Converged",0.99,0.01
37,-2.5965363481488,3.21242248347082,-0.0529816525687954,"Converged",0.99,0.01
38,-2.16966240364346,2.37102021474834,-0.0666207221659456,"Converged",0.99,0.01
39,-1.80539971105689,2.1584666685355,-0.13481069356175,"Converged",0.99,0.01
40,-1.87619242224485,1.91085598193439,-0.120740635477667,"Converged",0.99,0.01
41,-2.12774766582747,3.05063952812395,-0.184638457199027,"Converged",0.99,0.01
42,-1.56561993777263,0.211126642562774,-0.0521531209073984,"Converged",0.99,0.01
43,-1.65354161611928,0.788712858285164,-0.111811601791584,"Converged",0.99,0.01
44,NA,NA,NA,"B-spline error",0.99,0.01
45,-2.84608196735165,3.83158628802595,-0.0731815741013401,"Converged",0.99,0.01
46,-2.04257895678271,2.78150867028374,-0.139384207054465,"Converged",0.99,0.01
47,-1.97572944706783,1.97640658683177,-0.116608452660463,"Converged",0.99,0.01
48,-1.5687802362056,1.02602119644896,-0.119612318575925,"Converged",0.99,0.01
49,-1.98183688698427,2.03360355999029,-0.132520528328311,"Converged",0.99,0.01
50,-2.35261524040844,2.19899152765609,-0.0405386650983209,"Converged",0.99,0.01
51,-2.3886147914042,3.21877711996698,-0.076334537428333,"Converged",0.99,0.01
52,-1.41731705390948,1.21968704939257,-0.204337578101483,"Converged",0.99,0.01
53,-1.25156396947665,0.145688552706285,-0.127247374613058,"Converged",0.99,0.01
54,-1.76899848961965,0.816474254335607,-0.0362863716314983,"Converged",0.99,0.01
55,-1.93827551238046,2.32723791385779,-0.153256970075126,"Converged",0.99,0.01
56,-2.07084447303649,3.70665102940414,-0.182413042571244,"Converged",0.99,0.01
57,-2.110347425886,3.17714589503774,-0.160865798600198,"Converged",0.99,0.01
58,-1.75516478051363,1.83371439821898,-0.152733274845828,"Converged",0.99,0.01
59,-2.12280044709725,1.41404739574161,-0.0217987073619872,"Converged",0.99,0.01
60,-2.59545755822394,3.80331783078701,-0.111355232869406,"Converged",0.99,0.01
61,-2.39192631764534,1.65779492333038,0.0148445418831709,"Converged",0.99,0.01
62,-2.37861070776651,2.8230417285612,-0.0404778385769169,"Converged",0.99,0.01
63,-1.55609267887034,1.13173642027047,-0.118252375533768,"Converged",0.99,0.01
64,-2.54579757067627,2.63927131997528,-0.0398333942142896,"Converged",0.99,0.01
65,-2.01082386057574,2.35793841674942,-0.0906378645421475,"Converged",0.99,0.01
66,-2.24286476595201,2.68591073934464,-0.0826093810980454,"Converged",0.99,0.01
67,-2.14141200129953,2.46557052106678,-0.09956209251872,"Converged",0.99,0.01
68,-2.15630368546517,1.96217700051613,-0.0298545605251712,"Converged",0.99,0.01
69,-1.8649910422102,1.54917070159155,-0.115846135899558,"Converged",0.99,0.01
70,-1.28566835418885,-0.340854786921209,-0.0642818187855037,"Converged",0.99,0.01
71,-2.31941262053778,3.80553740718945,-0.151023692441641,"Converged",0.99,0.01
72,-2.38441729314169,2.317839432637,-0.0444336181265789,"Converged",0.99,0.01
73,-1.80280008965341,1.79952412086368,-0.146204324624267,"Converged",0.99,0.01
74,-1.74205808929521,1.49012628227192,-0.138641581204886,"Converged",0.99,0.01
75,-1.78774902805082,1.72035012613382,-0.098545169369241,"Converged",0.99,0.01
76,-1.93700757367353,1.67122814130522,-0.0979575574771921,"Converged",0.99,0.01
77,-1.70497540050178,1.34195013711516,-0.0988019248522526,"Converged",0.99,0.01
78,-2.27492765422152,2.72319068687994,-0.0700216056424068,"Converged",0.99,0.01
79,-2.15179433722014,1.70434023566129,-0.0412081781190993,"Converged",0.99,0.01
80,-2.16512104720553,3.61154537587905,-0.111461933943982,"Converged",0.99,0.01
81,-1.25585232016017,0.598496148683185,-0.121619868430495,"Converged",0.99,0.01
82,-1.66477146463539,1.55769501995047,-0.0952023764259983,"Converged",0.99,0.01
83,-2.63527430874316,2.49173720950136,0.0040292229577461,"Converged",0.99,0.01
84,-2.13963913977568,2.36380778490155,-0.113503425491895,"Converged",0.99,0.01
85,-1.31472293479245,0.0536696451844088,-0.0837934066288751,"Converged",0.99,0.01
86,-2.35969688067418,2.56420948529892,-0.0374486589215463,"Converged",0.99,0.01
87,-1.7560471923873,1.85499324871865,-0.119169800870552,"Converged",0.99,0.01
88,-2.47930426839194,2.50516841423824,-0.0593749494662141,"Converged",0.99,0.01
89,-1.6550136314461,1.04747876617862,-0.0917210840676478,"Converged",0.99,0.01
90,-2.57023505753208,4.17026541527446,-0.124731542895818,"Converged",0.99,0.01
91,-1.54193765854211,1.13649061188425,-0.113796097098948,"Converged",0.99,0.01
92,-1.92706539972977,2.22631597621807,-0.120915900818989,"Converged",0.99,0.01
93,-1.83954330035486,1.914067413554,-0.103995497622239,"Converged",0.99,0.01
94,-1.77751698012852,1.43530975883437,-0.139600658677182,"Converged",0.99,0.01
95,-1.76017011569996,0.859831759173513,-0.0463813764329481,"Converged",0.99,0.01
96,-3.31624670744547,5.11662651232754,-0.0345089989674061,"Converged",0.99,0.01
97,-2.13139686904977,2.58528347445136,-0.115648419982891,"Converged",0.99,0.01
98,-1.73883025976856,1.25145039324255,-0.105174330014354,"Converged",0.99,0.01
99,-1.81377973288496,1.35683059634964,-0.0643374020227383,"Converged",0.99,0.01
100,-1.65736349278485,1.48563701889194,-0.123766611619946,"Converged",0.99,0.01
101,-1.76604191969426,2.23459372629428,-0.143215140700017,"Converged",0.99,0.01
102,-2.32550155988991,3.40990083209748,-0.128049729614226,"Converged",0.99,0.01
103,-1.62828874484257,1.72397681453435,-0.160138516894957,"Converged",0.99,0.01
104,-2.08455412924838,2.79674296740689,-0.154376489601884,"Converged",0.99,0.01
105,-1.72752892477133,1.73438670461336,-0.11502738568679,"Converged",0.99,0.01
106,-2.66075482039003,3.23733008296581,-0.0599080164777443,"Converged",0.99,0.01
107,-2.20747468409964,3.34748747003304,-0.147894684175914,"Converged",0.99,0.01
108,-2.0358801507886,2.93655987838954,-0.158572484433453,"Converged",0.99,0.01
109,-1.28857483085171,1.13227612117516,-0.169698950695539,"Converged",0.99,0.01
110,-2.2802243965158,2.66181478001264,-0.0791516534182401,"Converged",0.99,0.01
111,-1.67612611448289,0.305379407685669,-0.0609559699679315,"Converged",0.99,0.01
112,-1.77621970654824,1.94924916236865,-0.14191116502077,"Converged",0.99,0.01
113,-1.53439091992768,1.25828786904601,-0.150312349532754,"Converged",0.99,0.01
114,-1.8508953867337,2.30268203828877,-0.148467389523055,"Converged",0.99,0.01
115,-1.80398214841153,1.88737050261798,-0.14775079728252,"Converged",0.99,0.01
116,-2.13388322483566,2.04850769336673,-0.0330411549440297,"Converged",0.99,0.01
117,-2.07797591760839,1.80601016758183,-0.0775127351052771,"Converged",0.99,0.01
118,-1.67310279837667,0.193009093589534,-0.0301379357299306,"Converged",0.99,0.01
119,-2.44102341136626,2.52087099273697,-0.0354691450725272,"Converged",0.99,0.01
120,-2.38152700930823,2.78332106188998,-0.0577126298883852,"Converged",0.99,0.01
121,-0.903209067573086,-0.730256708059125,-0.155469829429681,"Converged",0.99,0.01
122,-2.71029287631375,3.85779903795475,-0.11528981338711,"Converged",0.99,0.01
123,-1.99145414643164,2.45254213212543,-0.142444877829533,"Converged",0.99,0.01
124,-2.39519594360858,2.26203887853188,-0.0260638899625141,"Converged",0.99,0.01
125,-2.43050719325791,2.70375143078442,-0.0605746425316576,"Converged",0.99,0.01
126,-1.41581337311397,0.793891807659618,-0.19319352310328,"Converged",0.99,0.01
127,-2.42634936304976,2.07815356091146,-0.0278159298663449,"Converged",0.99,0.01
128,-2.11784687168206,2.47280822551675,-0.0821526953130711,"Converged",0.99,0.01
129,-1.58410926188251,0.891246988028064,-0.0857015672737506,"Converged",0.99,0.01
130,-1.62681869662185,0.634253751545237,-0.0820864583595804,"Converged",0.99,0.01
131,-2.10205479862203,2.98405063313067,-0.092653170048325,"Converged",0.99,0.01
