"sim","score_beta0","score_beta1","score_beta2","score_conv_msg","tpr","fpr"
1,-1.70056152546945,1.69720790802136,-0.128243446814372,"Converged",0.8,0.2
2,-1.67683919222348,1.54590880037029,-0.145545788256307,"Converged",0.8,0.2
3,-2.52657955012775,3.37529694312672,-0.0504195079860506,"Converged",0.8,0.2
4,-1.87094209854303,1.57740318647355,-0.0805152651632048,"Converged",0.8,0.2
5,-2.01133054139797,1.3013188344913,-0.0707264284504608,"Converged",0.8,0.2
6,-1.83670673772563,1.09206240677009,-0.0714254861076355,"Converged",0.8,0.2
7,-1.54625076680431,0.299608045765118,-0.135466748175807,"Converged",0.8,0.2
8,-1.62099880654084,1.0551585736692,-0.102130273661953,"Converged",0.8,0.2
9,-2.97406656838374,3.82631265190381,-0.055251509806508,"Converged",0.8,0.2
10,-1.51046853758348,1.01564895873778,-0.127382428411376,"Converged",0.8,0.2
11,-1.68387178415734,1.67071236874521,-0.106667632518806,"Converged",0.8,0.2
12,-2.95626547863871,4.9535064318508,-0.0720534951105197,"Converged",0.8,0.2
13,-2.0950845395684,2.81680912983956,-0.108006649687571,"Converged",0.8,0.2
14,-1.89560336849426,1.93917451989389,-0.102106464646691,"Converged",0.8,0.2
15,-3.2324832762737,5.2073993406411,-0.0374340518516503,"Converged",0.8,0.2
16,-2.45891156923166,3.45143032042056,-0.0639067154172013,"Converged",0.8,0.2
17,NA,NA,NA,"B-spline error",0.8,0.2
18,-1.99929670219245,0.958843705718283,-0.0332958539834147,"Converged",0.8,0.2
19,-2.22689764183316,2.67412548748114,-0.110285628424854,"Converged",0.8,0.2
20,-1.37326555983614,0.939653442930644,-0.136113227095587,"Converged",0.8,0.2
21,-2.01505382418504,2.65520055934855,-0.143707465029986,"Converged",0.8,0.2
22,-1.83290156204032,1.3052112754793,-0.0758658490591699,"Converged",0.8,0.2
23,-1.64048232112716,0.565923810395932,-0.0748261592336208,"Converged",0.8,0.2
24,-0.818557223921188,-0.84089717413747,-0.124511809429284,"Converged",0.8,0.2
25,-2.13868105608451,2.22448746677242,-0.102959464909895,"Converged",0.8,0.2
26,-1.42769648733894,0.342006435494207,-0.110356627562666,"Converged",0.8,0.2
27,-1.62026438579879,1.26119997194737,-0.0943602762743811,"Converged",0.8,0.2
28,-2.1092268189411,2.18651901835058,-0.099386638429126,"Converged",0.8,0.2
29,-2.09019608619791,3.02666179422847,-0.109239197420983,"Converged",0.8,0.2
30,-3.07154790926322,4.98516596397153,-0.0880379575299049,"Converged",0.8,0.2
31,-2.14202660762316,2.19622797260855,-0.0740686661393456,"Converged",0.8,0.2
32,-2.35440834358315,2.98026212482932,-0.0946738456031621,"Converged",0.8,0.2
33,-2.06679248153041,2.78429144462448,-0.131250043901395,"Converged",0.8,0.2
34,-1.3440932669563,-0.565316645892074,-0.0588819254167232,"Converged",0.8,0.2
35,NA,NA,NA,"MAX_ITER reached",0.8,0.2
36,NA,NA,NA,"B-spline error",0.8,0.2
37,-2.01835687810575,1.57900377834498,-0.0546061750305751,"Converged",0.8,0.2
38,-2.30097509871908,2.51912802077129,-0.0797250483689329,"Converged",0.8,0.2
39,-1.40646353725546,0.704477608074152,-0.120833586075949,"Converged",0.8,0.2
40,-2.43439328493754,3.40029264578076,-0.109736635891848,"Converged",0.8,0.2
41,NA,NA,NA,"MAX_ITER reached",0.8,0.2
42,-3.21482478934986,5.28099158014504,-0.0870806620177909,"Converged",0.8,0.2
43,-1.35947293482568,0.306445543790942,-0.113918706933139,"Converged",0.8,0.2
44,-2.03638524049111,2.44198463373767,-0.150449063463609,"Converged",0.8,0.2
45,-1.56679846907105,0.436268225067954,-0.0989843078227976,"Converged",0.8,0.2
46,-1.54873657939673,0.797152686177873,-0.175523519152544,"Converged",0.8,0.2
47,-2.10845670880695,3.09050519380648,-0.113526965747263,"Converged",0.8,0.2
48,-1.73325822572885,1.92152979798064,-0.134293271227658,"Converged",0.8,0.2
49,-1.77982135206972,1.40010044001953,-0.0549596528249654,"Converged",0.8,0.2
50,-1.6153009254096,0.782937624319451,-0.102848729881962,"Converged",0.8,0.2
51,-1.61865985303872,1.28182415842339,-0.116180453527904,"Converged",0.8,0.2
52,-1.82317589594507,1.08382995103015,-0.0745329650656113,"Converged",0.8,0.2
53,-2.0637384450376,2.05776973925334,-0.113939259907461,"Converged",0.8,0.2
54,-2.48531346965875,3.975808825854,-0.155712972472498,"Converged",0.8,0.2
55,-1.25209346560179,-0.184872254228869,-0.0983164214572864,"Converged",0.8,0.2
56,-1.93200568491752,1.13353144550585,-0.0333569813692337,"Converged",0.8,0.2
57,-1.44949744894258,2.25667030640717,-0.251158466905747,"Converged",0.8,0.2
58,-1.79621617171983,1.87968454847337,-0.128105067904755,"Converged",0.8,0.2
59,-1.25920773858662,-0.295586786893005,-0.118547624793563,"Converged",0.8,0.2
60,-2.06330296836474,1.58958819258457,-0.0587544848234611,"Converged",0.8,0.2
61,-2.63652535193638,3.83130401127224,-0.10017048318459,"Converged",0.8,0.2
62,-1.76703778709191,0.950267307402205,-0.0666647591824582,"Converged",0.8,0.2
63,-1.06265097513902,-1.1944838874699,-0.0862701648132809,"Converged",0.8,0.2
64,-2.60034846902127,3.70162708629179,-0.116390691035747,"Converged",0.8,0.2
65,-1.69114804775723,0.927344252656633,-0.0730381717861333,"Converged",0.8,0.2
66,-0.612523291604933,-1.98710815182068,-0.116126335925119,"Converged",0.8,0.2
67,-1.43926719983193,0.927941636412062,-0.107703451027459,"Converged",0.8,0.2
68,-1.9040836145697,2.31806149200783,-0.151681992997444,"Converged",0.8,0.2
69,-1.87875077840781,1.15950672560424,-0.045501674201416,"Converged",0.8,0.2
70,-1.80878172930784,1.09289226741265,-0.0856952311191375,"Converged",0.8,0.2
71,-1.76310054485159,1.63444421620396,-0.108028343235935,"Converged",0.8,0.2
72,-2.72374362335958,4.09550969964523,-0.111457837893621,"Converged",0.8,0.2
