"sim","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_resampled_V","tpr","fpr"
1,-1.70056152546945,1.69720790802136,-0.128243446814372,"Converged",FALSE,0.8,0.2
2,-1.67683919222347,1.54590880037025,-0.145545788256307,"Converged",FALSE,0.8,0.2
3,-2.52657955012775,3.37529694312672,-0.0504195079860503,"Converged",FALSE,0.8,0.2
4,-1.87094209854303,1.57740318647355,-0.0805152651632051,"Converged",FALSE,0.8,0.2
5,-2.01133054139796,1.30131883449128,-0.0707264284504614,"Converged",FALSE,0.8,0.2
6,-1.83670673772563,1.0920624067701,-0.0714254861076351,"Converged",FALSE,0.8,0.2
7,-1.54625076680431,0.299608045765118,-0.135466748175808,"Converged",FALSE,0.8,0.2
8,-1.62099880654083,1.05515857366919,-0.102130273661954,"Converged",FALSE,0.8,0.2
9,-2.97406656838374,3.8263126519038,-0.0552515098065079,"Converged",FALSE,0.8,0.2
10,-1.51046853758347,1.01564895873776,-0.127382428411376,"Converged",FALSE,0.8,0.2
11,-1.68387178415734,1.6707123687452,-0.106667632518806,"Converged",FALSE,0.8,0.2
12,-2.95626547863872,4.95350643185081,-0.0720534951105195,"Converged",FALSE,0.8,0.2
13,-2.09508453956841,2.81680912983958,-0.108006649687571,"Converged",FALSE,0.8,0.2
14,-1.89560336849426,1.93917451989388,-0.102106464646691,"Converged",FALSE,0.8,0.2
15,-3.2324832762737,5.20739934064111,-0.03743405185165,"Converged",FALSE,0.8,0.2
16,-2.45891156923166,3.45143032042055,-0.0639067154172012,"Converged",FALSE,0.8,0.2
17,NA,NA,NA,"B-spline error",FALSE,0.8,0.2
18,-1.99929670219245,0.958843705718281,-0.033295853983415,"Converged",FALSE,0.8,0.2
19,-2.22689764183316,2.67412548748115,-0.110285628424853,"Converged",FALSE,0.8,0.2
20,-1.37326555983613,0.93965344293062,-0.136113227095587,"Converged",FALSE,0.8,0.2
21,-2.01505382418504,2.65520055934854,-0.143707465029985,"Converged",FALSE,0.8,0.2
22,-1.83290156204032,1.30521127547931,-0.0758658490591699,"Converged",FALSE,0.8,0.2
23,-1.64048232112716,0.565923810395932,-0.0748261592336214,"Converged",FALSE,0.8,0.2
24,-0.818557223921191,-0.840897174137465,-0.124511809429284,"Converged",FALSE,0.8,0.2
25,-2.13868105608453,2.22448746677245,-0.102959464909894,"Converged",FALSE,0.8,0.2
26,-1.42769648733893,0.342006435494204,-0.110356627562666,"Converged",FALSE,0.8,0.2
27,-1.62026438579879,1.26119997194736,-0.0943602762743814,"Converged",FALSE,0.8,0.2
28,-2.10922681894109,2.18651901835056,-0.0993866384291265,"Converged",FALSE,0.8,0.2
29,-2.09019608619791,3.02666179422848,-0.109239197420983,"Converged",FALSE,0.8,0.2
30,-3.07154790926321,4.98516596397152,-0.0880379575299052,"Converged",FALSE,0.8,0.2
31,-2.14202660762316,2.19622797260855,-0.0740686661393454,"Converged",FALSE,0.8,0.2
32,-2.35440834358315,2.98026212482931,-0.094673845603162,"Converged",FALSE,0.8,0.2
33,-2.06679248153041,2.78429144462448,-0.131250043901395,"Converged",FALSE,0.8,0.2
34,-1.34409326695629,-0.565316645892081,-0.0588819254167233,"Converged",FALSE,0.8,0.2
35,NA,NA,NA,"MAX_ITER reached",FALSE,0.8,0.2
36,NA,NA,NA,"B-spline error",FALSE,0.8,0.2
37,-2.01835687810575,1.57900377834498,-0.0546061750305748,"Converged",FALSE,0.8,0.2
38,-2.30097509871907,2.51912802077126,-0.0797250483689329,"Converged",FALSE,0.8,0.2
39,-1.40646353725546,0.704477608074155,-0.120833586075949,"Converged",FALSE,0.8,0.2
40,-2.43439328493754,3.40029264578076,-0.109736635891848,"Converged",FALSE,0.8,0.2
41,NA,NA,NA,"MAX_ITER reached",FALSE,0.8,0.2
42,-3.21482478934985,5.28099158014499,-0.0870806620177912,"Converged",FALSE,0.8,0.2
43,-1.35947293482567,0.306445543790922,-0.113918706933138,"Converged",FALSE,0.8,0.2
44,-2.03638524049111,2.44198463373767,-0.150449063463609,"Converged",FALSE,0.8,0.2
45,-1.56679846907106,0.436268225067965,-0.0989843078227977,"Converged",FALSE,0.8,0.2
46,-1.54873657939673,0.797152686177884,-0.175523519152544,"Converged",FALSE,0.8,0.2
47,-2.10845670880694,3.09050519380645,-0.113526965747262,"Converged",FALSE,0.8,0.2
48,-1.73325822572884,1.92152979798063,-0.134293271227659,"Converged",FALSE,0.8,0.2
49,-1.77982135206972,1.40010044001953,-0.0549596528249654,"Converged",FALSE,0.8,0.2
50,-1.6153009254096,0.782937624319451,-0.102848729881962,"Converged",FALSE,0.8,0.2
51,-1.61865985303872,1.28182415842338,-0.116180453527904,"Converged",FALSE,0.8,0.2
52,-1.82317589594508,1.08382995103017,-0.0745329650656108,"Converged",FALSE,0.8,0.2
53,-2.0637384450376,2.05776973925333,-0.113939259907461,"Converged",FALSE,0.8,0.2
54,-2.48531346965876,3.97580882585402,-0.155712972472497,"Converged",FALSE,0.8,0.2
55,-1.25209346560179,-0.184872254228873,-0.0983164214572868,"Converged",FALSE,0.8,0.2
56,-1.9320056849175,1.13353144550581,-0.0333569813692343,"Converged",FALSE,0.8,0.2
57,-1.44949744894258,2.25667030640718,-0.251158466905747,"Converged",FALSE,0.8,0.2
58,-1.79621617171983,1.87968454847336,-0.128105067904755,"Converged",FALSE,0.8,0.2
59,-1.25920773858662,-0.295586786893006,-0.118547624793563,"Converged",FALSE,0.8,0.2
60,-2.06330296836475,1.58958819258459,-0.0587544848234607,"Converged",FALSE,0.8,0.2
61,-2.63652535193638,3.83130401127224,-0.10017048318459,"Converged",FALSE,0.8,0.2
62,-1.76703778709191,0.95026730740221,-0.0666647591824572,"Converged",FALSE,0.8,0.2
63,-1.06265097513902,-1.1944838874699,-0.0862701648132806,"Converged",FALSE,0.8,0.2
64,-2.60034846902128,3.70162708629181,-0.116390691035747,"Converged",FALSE,0.8,0.2
65,-1.69114804775723,0.927344252656639,-0.0730381717861332,"Converged",FALSE,0.8,0.2
66,-0.612523291604933,-1.98710815182069,-0.116126335925119,"Converged",FALSE,0.8,0.2
67,-1.43926719983193,0.927941636412066,-0.107703451027459,"Converged",FALSE,0.8,0.2
68,-1.9040836145697,2.31806149200783,-0.151681992997444,"Converged",FALSE,0.8,0.2
69,-1.87875077840781,1.15950672560424,-0.0455016742014162,"Converged",FALSE,0.8,0.2
70,-1.80878172930784,1.09289226741264,-0.0856952311191378,"Converged",FALSE,0.8,0.2
71,-1.76310054485159,1.63444421620396,-0.108028343235934,"Converged",FALSE,0.8,0.2
72,-2.72374362335958,4.09550969964524,-0.111457837893621,"Converged",FALSE,0.8,0.2
73,-1.64793162604366,0.855931862979856,-0.0896065340316908,"Converged",FALSE,0.8,0.2
74,-3.12284162651658,4.59544878113115,-0.0736364512528081,"Converged",FALSE,0.8,0.2
75,-1.50352243023094,1.29060502028191,-0.140237997355159,"Converged",FALSE,0.8,0.2
76,-1.80574923092265,1.41932890454277,-0.0833790815289551,"Converged",FALSE,0.8,0.2
77,-1.85325955388561,2.13187204541054,-0.0875922034245234,"Converged",FALSE,0.8,0.2
78,-1.67808637525441,0.955818644168226,-0.0950853646633543,"Converged",FALSE,0.8,0.2
79,-1.47437818229598,0.40904301142255,-0.0850564515461198,"Converged",FALSE,0.8,0.2
80,-1.32216010173476,1.04085931056696,-0.144091276540251,"Converged",FALSE,0.8,0.2
81,-1.01130956521147,-0.597590847370747,-0.112103743023755,"Converged",FALSE,0.8,0.2
82,-1.30317743944494,0.818642446388931,-0.134432242729615,"Converged",FALSE,0.8,0.2
83,-2.22296214608589,2.89575434100937,-0.0970181250532389,"Converged",FALSE,0.8,0.2
84,-1.73327327535598,0.108017590365942,-0.0562140112401348,"Converged",FALSE,0.8,0.2
85,-0.75605239994111,-0.89442029039599,-0.13615104009038,"Converged",FALSE,0.8,0.2
86,-1.36450431773733,0.523357015210432,-0.118866287184296,"Converged",FALSE,0.8,0.2
87,-2.43023887897553,3.32245265695343,-0.0900378494904381,"Converged",FALSE,0.8,0.2
88,-1.24770626515215,-0.347592643073184,-0.0821424761044119,"Converged",FALSE,0.8,0.2
89,-1.59828770655376,0.364939619554919,-0.0623041183386083,"Converged",FALSE,0.8,0.2
90,-1.37437361667865,1.53983414037356,-0.225304388289107,"Converged",FALSE,0.8,0.2
91,-1.45409127000476,0.573063763551387,-0.0852027724306019,"Converged",FALSE,0.8,0.2
92,-2.88446229541998,3.67294904172201,-0.0901992041873164,"Converged",FALSE,0.8,0.2
93,-2.09413219663618,2.61916669788951,-0.101145229521058,"Converged",FALSE,0.8,0.2
94,-1.7568039127293,1.44219954008723,-0.0994979967880023,"Converged",FALSE,0.8,0.2
95,-1.67411299269295,1.52808141039113,-0.108262792214088,"Converged",FALSE,0.8,0.2
96,-2.34810608786114,3.28913814081709,-0.0872065970027768,"Converged",FALSE,0.8,0.2
97,-2.87522305442313,3.5268859731751,-0.0323677905325809,"Converged",FALSE,0.8,0.2
98,NA,NA,NA,"B-spline error",FALSE,0.8,0.2
99,-1.64342908102178,1.04603436082405,-0.108502061428421,"Converged",FALSE,0.8,0.2
100,-1.78236065854571,2.26989158580839,-0.144316252746862,"Converged",FALSE,0.8,0.2
