"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_resampled_V","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","cc_resampled_V","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_resampled_V","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_resampled_V","sfs_beta0","sfs_beta1","sfs_beta2","sfs_conv_msg","sfs_resampled_V","optmle_beta0","optmle_beta1","optmle_beta2","optmle_conv_msg","optmle_resampled_V","optmle2_beta0","optmle2_beta1","optmle2_beta2","optmle2_conv_msg","optmle2_resampled_V","tpr","fpr"
1,-1.95750092394763,2.51600061253049,-0.130555261941127,"Converged",FALSE,-2.00262984887303,2.65000494629524,-0.130512634089421,"Converged",FALSE,-2.07495383681851,2.80448448259675,-0.129712772633184,"Converged",FALSE,-1.7446180736558,1.92155465316634,-0.128828181879507,"Converged",FALSE,-1.97301513154142,2.56094544419822,-0.129952591645846,"Converged",FALSE,-1.74807882419657,1.90738664797481,-0.12951857118968,"Converged",FALSE,-2.08670318823916,2.85839891964345,-0.130888440421651,"Converged",FALSE,0.99,0.01
2,-1.67667209528981,2.10928050862038,-0.145251450568841,"Converged",FALSE,-1.73759035341794,2.22649235298021,-0.14347425244092,"Converged",FALSE,-1.81731756543949,2.50690507525283,-0.143473293037194,"Converged",FALSE,-1.57795825472434,1.77169357867731,-0.142277096106133,"Converged",FALSE,-1.76959608597879,2.2557823429948,-0.144568571751928,"Converged",FALSE,-1.59344904956245,1.83475555028217,-0.144451799887174,"Converged",FALSE,-1.66740121559544,2.00717397588781,-0.142310177952655,"Converged",FALSE,0.99,0.01
3,-2.21404067433821,2.30259376770545,-0.0875783855831449,"Converged",FALSE,-2.55259086138333,3.39032191129565,-0.0901038956067255,"Converged",FALSE,-2.50520250090757,3.29988276433052,-0.0899253099474179,"Converged",FALSE,-2.50159942097509,3.13707602233797,-0.0886086697895887,"Converged",FALSE,-2.31358112446676,2.6003724297131,-0.0874421081010203,"Converged",FALSE,-2.45404379340331,3.08793435316078,-0.0887774329150825,"Converged",FALSE,-2.41713742314159,3.10049976351111,-0.088995888979486,"Converged",FALSE,0.99,0.01
4,-1.925856962748,1.59276073753113,-0.0692213241835138,"Converged",FALSE,-1.96998008673237,1.76366389030733,-0.0672022125276543,"Converged",FALSE,-1.85399180368063,1.33582701322654,-0.0676741190967777,"Converged",FALSE,-1.9582575000533,1.67623549307701,-0.0685364000827156,"Converged",FALSE,-1.85177071458596,1.3783666534789,-0.0682752185237845,"Converged",FALSE,-2.07389393655035,2.0499797683013,-0.0674875415631084,"Converged",FALSE,-2.05998593420563,1.94898758980286,-0.0678373992683962,"Converged",FALSE,0.99,0.01
5,-2.1795948274355,1.80082178012598,-0.0526515949301822,"Converged",FALSE,-2.16837435522752,1.71221141937789,-0.0527636117459725,"Converged",FALSE,-2.09402164048967,1.53164050743235,-0.0519874107409461,"Converged",FALSE,-2.03172183648577,1.30600549705335,-0.0528925616507183,"Converged",FALSE,-1.99153428292955,1.17830694755964,-0.0535820320962415,"Converged",FALSE,-2.26968074766438,2.03607815979338,-0.0535562172867584,"Converged",FALSE,-2.12407929100076,1.60229882219593,-0.0532320193071633,"Converged",FALSE,0.99,0.01
6,-2.89403781242379,4.22781287098927,-0.0797943310805439,"Converged",FALSE,-2.94608272970917,4.41972031360467,-0.0774491110023127,"Converged",FALSE,-2.76953671435119,3.9225048922068,-0.0783307254946931,"Converged",FALSE,-2.55045329253824,3.40797358818021,-0.0791177462519182,"Converged",FALSE,-2.7260221699045,3.79135060311387,-0.0790987200124358,"Converged",FALSE,-3.00810089149696,4.76799566202154,-0.0779996574205863,"Converged",FALSE,-2.72946916546334,3.87862545056526,-0.0756503588182804,"Converged",FALSE,0.99,0.01
7,-1.79471023924904,0.932320164972223,-0.0426679727817441,"Converged",FALSE,-1.78007493898231,0.878290044579801,-0.0431670106643916,"Converged",FALSE,-1.64483052444152,0.430386418152179,-0.0425921558923362,"Converged",FALSE,-1.67384235435763,0.541836860580698,-0.0424648595110412,"Converged",FALSE,-1.73200966973533,0.71671725716807,-0.0426688302228913,"Converged",FALSE,-1.67468185304532,0.527903494421398,-0.0426504537059269,"Converged",FALSE,-1.8582385107607,1.13399872109662,-0.0432672370009475,"Converged",FALSE,0.99,0.01
8,-1.10775521475739,0.131903104031501,-0.170439598893278,"Converged",FALSE,-0.666440849391466,-1.26040729460019,-0.17248727302342,"Converged",FALSE,-1.06103665045512,-0.0176995661331286,-0.170698409331648,"Converged",FALSE,-0.967392615058935,-0.312338448792721,-0.171136307227837,"Converged",FALSE,-1.09592307075012,0.0926167132388366,-0.170552012586287,"Converged",FALSE,-1.17433338658595,0.332976189148921,-0.169923569588685,"Converged",FALSE,-1.03920588705237,-0.0859652114323705,-0.170789212442779,"Converged",FALSE,0.99,0.01
9,-2.12496867431234,1.7001586668519,-0.0496822313597065,"Converged",FALSE,-1.85786353286085,0.890904549123052,-0.0482185887362459,"Converged",FALSE,-2.14243017158572,1.72861910974349,-0.0492615664221224,"Converged",FALSE,-2.05221256397372,1.47207953412427,-0.0498455199643777,"Converged",FALSE,-1.82546295180622,0.766892042700191,-0.0479253823314847,"Converged",FALSE,-1.95895300293472,1.20117386960342,-0.0487209315344508,"Converged",FALSE,-2.23601217187865,2.1099966943417,-0.0512062173749264,"Converged",FALSE,0.99,0.01
10,-1.85874673949368,1.06772112115279,-0.0492915052996015,"Converged",FALSE,-1.54377102734331,0.058554947837353,-0.0487034050120633,"Converged",FALSE,-1.72918449286076,0.635171231673534,-0.0491632719810268,"Converged",FALSE,-1.41152716133825,-0.356670325269926,-0.0489133567142894,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.70846582578648,0.582343442761714,-0.0489476046804064,"Converged",FALSE,-1.67966272965358,0.480277415317255,-0.0486414384884181,"Converged",FALSE,0.99,0.01
