"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","tpr","fpr"
1,-1.83350375272772,2.16412539954642,-0.128533977851019,"Converged",0.95,0.05
2,-1.32144346361785,0.508623960141247,-0.12555039150561,"Converged",0.95,0.05
3,-2.26895653328123,2.69921633354974,-0.0544631440219153,"Converged",0.95,0.05
4,-1.96305781142994,1.91885482246576,-0.0752477440859194,"Converged",0.95,0.05
5,-1.84843349297409,2.37069496203404,-0.154745819160467,"Converged",0.95,0.05
6,-1.57906602779295,0.928004457185272,-0.0955174075737009,"Converged",0.95,0.05
7,-1.95775888942585,1.57070891165865,-0.0918130746662626,"Converged",0.95,0.05
8,-2.20273352396144,1.95346122937111,-0.0621111899889958,"Converged",0.95,0.05
9,-2.13475333982314,1.35198556355662,-0.0497372097289493,"Converged",0.95,0.05
10,-1.70348068354743,1.91708203726756,-0.172640104813312,"Converged",0.95,0.05
11,-1.34373531491936,0.48881683297164,-0.142773705876708,"Converged",0.95,0.05
12,-1.68890503843602,0.687245896633259,-0.0963399497354563,"Converged",0.95,0.05
13,-2.45441509047865,3.1475593455627,-0.121284422782224,"Converged",0.95,0.05
14,-2.18821489910707,2.39840932487977,-0.0833435799750152,"Converged",0.95,0.05
15,-1.79172082508564,0.747424904367229,-0.0560810075819639,"Converged",0.95,0.05
16,-1.96387796584657,2.06798742248806,-0.09961420171518,"Converged",0.95,0.05
17,-1.57121548075121,1.31775706364729,-0.141963278322609,"Converged",0.95,0.05
18,-2.22305112396728,1.84749759851777,-0.0385329341039025,"Converged",0.95,0.05
19,-1.26941078120408,1.41023976122151,-0.181713777847464,"Converged",0.95,0.05
20,-1.84983506662861,2.07331827374848,-0.134154227625086,"Converged",0.95,0.05
21,-1.87592503395947,2.16734833674787,-0.098505443390768,"Converged",0.95,0.05
22,-2.6417570707463,2.58914086364151,-0.0174066793785774,"Converged",0.95,0.05
23,-1.87683528256114,1.63544522407544,-0.0803799386054146,"Converged",0.95,0.05
24,-1.84858228314408,1.9189422434644,-0.113701939063618,"Converged",0.95,0.05
25,-2.04693794149305,1.51737426946048,-0.0432548343753657,"Converged",0.95,0.05
26,-1.8000969174496,1.01915593589553,-0.0883829790585711,"Converged",0.95,0.05
27,-1.66251822831694,1.16982501622795,-0.0829508057378567,"Converged",0.95,0.05
28,-1.62549037150277,1.46584221669176,-0.156077584164818,"Converged",0.95,0.05
29,-2.15620291455069,2.07196793228448,-0.0399389172887145,"Converged",0.95,0.05
30,-1.86901008420159,1.45666839757133,-0.0655796846953143,"Converged",0.95,0.05
31,-2.34014017438336,2.49025394483665,-0.0672432085997442,"Converged",0.95,0.05
32,-2.13581181912197,1.49416204528267,-0.03914811776167,"Converged",0.95,0.05
33,-2.18271225712454,2.36227144017856,-0.112581901201065,"Converged",0.95,0.05
34,-2.40563675238643,2.45123515961809,-0.0501329253959536,"Converged",0.95,0.05
35,-1.64117300987156,1.30171955436935,-0.0994901184971946,"Converged",0.95,0.05
36,NA,NA,NA,"B-spline error",0.95,0.05
37,-2.38669935864912,2.55156637517862,-0.0467866368327165,"Converged",0.95,0.05
38,-1.51594668589466,0.0336604296165958,-0.0612703908359599,"Converged",0.95,0.05
39,-1.34361783553694,0.673949018688843,-0.124763278648171,"Converged",0.95,0.05
40,-1.5822406371943,0.980429949574943,-0.122109388876778,"Converged",0.95,0.05
41,-1.77321040010078,2.13282322712705,-0.176811440104014,"Converged",0.95,0.05
42,-2.61230708694673,3.45804662029979,-0.0378957818731388,"Converged",0.95,0.05
43,-1.62938325214632,1.25301906822231,-0.154596631667275,"Converged",0.95,0.05
44,-1.52574120897195,1.48065523284237,-0.153185328019284,"Converged",0.95,0.05
45,-2.45192330437598,2.68058146956379,-0.0669807532397617,"Converged",0.95,0.05
46,-1.89123094791652,2.06800743870426,-0.124530081328979,"Converged",0.95,0.05
47,-1.87587101206797,2.01952048607293,-0.13583696004559,"Converged",0.95,0.05
48,-1.83186044239138,1.52816957488071,-0.0842612153097984,"Converged",0.95,0.05
49,-3.50790719691359,6.17233615538884,-0.0949835985519186,"Converged",0.95,0.05
50,-2.42570817138202,3.08703548865921,-0.0814913112268124,"Converged",0.95,0.05
51,-2.04992183928916,1.73812462985464,-0.0534192575951864,"Converged",0.95,0.05
52,-1.2082257654086,0.363973435142417,-0.191942921817112,"Converged",0.95,0.05
53,-1.67229255230059,1.42117819025336,-0.125374365941805,"Converged",0.95,0.05
54,-1.58372393964234,0.14521271623686,-0.0367947518493159,"Converged",0.95,0.05
55,-2.39440528896041,3.59583504206792,-0.137493510286286,"Converged",0.95,0.05
56,-1.46013846545194,1.67026349705402,-0.190662870554521,"Converged",0.95,0.05
57,-1.25256892404733,0.80349594482692,-0.176017339851513,"Converged",0.95,0.05
58,-2.62032149506951,4.09130307705863,-0.141148812137078,"Converged",0.95,0.05
59,-2.40885400702095,2.46106073309983,-0.0427195550293914,"Converged",0.95,0.05
