"sim","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_resampled_V","tpr","fpr"
1,NA,NA,NA,"MAX_ITER reached",FALSE,0.5,0.5
2,-2.21656026575002,3.34881817644232,-0.161438723321681,"Converged",FALSE,0.5,0.5
3,-0.796771942577408,-1.58749941798542,-0.077923970389597,"Converged",FALSE,0.5,0.5
4,-1.58159878576766,1.35225195021216,-0.120747717011548,"Converged",FALSE,0.5,0.5
5,-0.556621204575162,-2.95638762455611,-0.0647708915417935,"Converged",FALSE,0.5,0.5
6,-2.21417117054723,2.04794429550569,-0.0537388017789665,"Converged",FALSE,0.5,0.5
7,-2.01756490718118,1.68631044052835,-0.11242009183975,"Converged",FALSE,0.5,0.5
8,-1.59013128649463,1.63179882481989,-0.157716108749736,"Converged",FALSE,0.5,0.5
9,-2.4555416981727,2.38306700588298,-0.0506977285431442,"Converged",FALSE,0.5,0.5
10,-2.39607137319534,3.92184645755664,-0.132737714396558,"Converged",FALSE,0.5,0.5
11,-1.90891956356695,1.75368541545201,-0.080513848662553,"Converged",FALSE,0.5,0.5
12,-1.96773827579833,1.45824544102527,-0.0631467540213267,"Converged",FALSE,0.5,0.5
13,-1.83615427406409,1.04480414146421,-0.0675451854708425,"Converged",FALSE,0.5,0.5
14,-2.54581588100227,3.74570599046566,-0.0904850294688905,"Converged",FALSE,0.5,0.5
15,-1.89710279040135,1.8010099820078,-0.108682830571926,"Converged",FALSE,0.5,0.5
16,-2.71960181164505,3.34372936076018,-0.040143700194294,"Converged",FALSE,0.5,0.5
17,-2.37717538037939,3.89402079467833,-0.114794639190653,"Converged",FALSE,0.5,0.5
18,-2.77583672561598,3.86665251150823,-0.0508800756898485,"Converged",FALSE,0.5,0.5
19,-2.21702727471031,2.63028875966592,-0.110780424164305,"Converged",FALSE,0.5,0.5
20,-1.76715415183724,2.50113337733643,-0.144051188958442,"Converged",FALSE,0.5,0.5
21,NA,NA,NA,"MAX_ITER reached",FALSE,0.5,0.5
