"sim","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","tpr","fpr"
1,NA,NA,NA,"MAX_ITER reached",0.5,0.5
2,-2.21656026575002,3.34881817644231,-0.161438723321681,"Converged",0.5,0.5
3,-0.796771942577413,-1.58749941798541,-0.0779239703895964,"Converged",0.5,0.5
4,-1.58159878576766,1.35225195021216,-0.120747717011547,"Converged",0.5,0.5
5,-0.556621204575164,-2.9563876245561,-0.0647708915417935,"Converged",0.5,0.5
6,-2.21417117054723,2.0479442955057,-0.0537388017789665,"Converged",0.5,0.5
7,-2.01756490718118,1.68631044052834,-0.11242009183975,"Converged",0.5,0.5
8,-1.59013128649463,1.63179882481989,-0.157716108749736,"Converged",0.5,0.5
9,-2.45554169817269,2.38306700588295,-0.0506977285431441,"Converged",0.5,0.5
10,-2.39607137319534,3.92184645755664,-0.132737714396558,"Converged",0.5,0.5
11,-1.90891956356695,1.75368541545199,-0.0805138486625526,"Converged",0.5,0.5
12,-1.96773827579834,1.45824544102528,-0.0631467540213264,"Converged",0.5,0.5
13,-1.83615427406409,1.0448041414642,-0.0675451854708423,"Converged",0.5,0.5
14,-2.54581588100226,3.74570599046564,-0.0904850294688903,"Converged",0.5,0.5
15,-1.89710279040135,1.80100998200779,-0.108682830571926,"Converged",0.5,0.5
16,-2.71960181164506,3.3437293607602,-0.0401437001942939,"Converged",0.5,0.5
17,-2.3771753803794,3.89402079467835,-0.114794639190652,"Converged",0.5,0.5
18,-2.77583672561599,3.86665251150827,-0.0508800756898489,"Converged",0.5,0.5
19,-2.21702727471031,2.63028875966591,-0.110780424164306,"Converged",0.5,0.5
20,-1.76715415183724,2.50113337733643,-0.144051188958441,"Converged",0.5,0.5
21,NA,NA,NA,"MAX_ITER reached",0.5,0.5
22,-2.36050223213313,2.78523234722,-0.0721614544892832,"Converged",0.5,0.5
23,-2.8257506240769,3.45512667592235,-0.0217678395614855,"Converged",0.5,0.5
24,-2.06278514321918,2.67767765912442,-0.0885793011089129,"Converged",0.5,0.5
25,-2.38211951495093,2.87054765251043,-0.0800616355655558,"Converged",0.5,0.5
26,-2.07267421971202,3.21077809306211,-0.153811628884662,"Converged",0.5,0.5
27,-1.30945389486944,0.275238177172547,-0.111494085732597,"Converged",0.5,0.5
28,-2.20580579623837,2.59139831405036,-0.101506786828367,"Converged",0.5,0.5
29,-2.39806408737309,4.21591435025154,-0.113632399369611,"Converged",0.5,0.5
30,-2.78288687179455,3.54445407238288,-0.0599901804063515,"Converged",0.5,0.5
31,-2.31610714333732,3.22422203997864,-0.0829367258260652,"Converged",0.5,0.5
32,-2.89283870537787,5.15521020805622,-0.0852156523296923,"Converged",0.5,0.5
33,-2.44710620090828,3.36423447867941,-0.100120628147921,"Converged",0.5,0.5
34,-2.07688199369666,1.74666230793488,-0.0709613813034154,"Converged",0.5,0.5
35,-2.00101178894438,1.87146819325388,-0.083508674823438,"Converged",0.5,0.5
36,-0.535844290097288,-1.54296682683842,-0.146376232084307,"Converged",0.5,0.5
37,-2.69955081667991,4.06324764705573,-0.0636834329651469,"Converged",0.5,0.5
38,-2.6408652830436,3.57237751665174,-0.0692052069544137,"Converged",0.5,0.5
39,-2.12746696694655,3.16153796794838,-0.123614133815631,"Converged",0.5,0.5
40,-2.4667332702176,3.51359728953654,-0.102016742879464,"Converged",0.5,0.5
41,-0.587904723103157,-2.37866003285037,-0.115342515874198,"Converged",0.5,0.5
42,-2.05599604937689,1.46762999435228,-0.0867461520913029,"Converged",0.5,0.5
43,-3.55763485089055,6.53765067172248,-0.103522677566193,"Converged",0.5,0.5
44,-1.81276405099327,2.02877313723175,-0.150824491734426,"Converged",0.5,0.5
45,-2.04872631779077,2.32056119226445,-0.110094572573503,"Converged",0.5,0.5
46,-1.95940253906377,2.03059190124059,-0.157535827174661,"Converged",0.5,0.5
47,-1.87498551376999,2.08537209189688,-0.093282686282538,"Converged",0.5,0.5
48,-2.47562545376126,4.09604441383499,-0.12009280064406,"Converged",0.5,0.5
49,-2.65774053623583,3.61536830896445,-0.0213627931608919,"Converged",0.5,0.5
50,-2.36467785130794,3.18537605948813,-0.0950254030065457,"Converged",0.5,0.5
51,-1.83147773439086,2.22593197833356,-0.139908898615918,"Converged",0.5,0.5
52,-3.06971746156776,4.38050671750856,-0.0399401185844147,"Converged",0.5,0.5
53,-3.03930008806785,4.6058333561032,-0.102099470818276,"Converged",0.5,0.5
54,-1.2691604587951,0.233316719839768,-0.145585549386653,"Converged",0.5,0.5
55,-1.54782217124547,0.701758605711703,-0.0972680709846309,"Converged",0.5,0.5
56,-2.02248314094019,1.2913720418149,-0.0238573630051612,"Converged",0.5,0.5
57,-1.48896822614864,2.26981868801092,-0.229406825036876,"Converged",0.5,0.5
58,-1.42908019611402,0.810789173897508,-0.133628232988383,"Converged",0.5,0.5
59,-3.92779951898955,8.00538940611745,-0.095388109952775,"Converged",0.5,0.5
60,-2.83369821281792,4.3612079463074,-0.0630381758767626,"Converged",0.5,0.5
61,-2.05349090806235,2.32224253801124,-0.106846747661124,"Converged",0.5,0.5
62,-2.77172264577689,4.5916627621394,-0.0888562833356642,"Converged",0.5,0.5
63,-2.42099080749936,3.00837045837091,-0.0794193752528257,"Converged",0.5,0.5
64,-2.78073248114468,5.07991952362637,-0.161045669692533,"Converged",0.5,0.5
65,-2.40950743349771,3.75028055945731,-0.123597939195803,"Converged",0.5,0.5
66,-1.29556603836781,0.272532724363043,-0.111953208331254,"Converged",0.5,0.5
67,-1.3851345198425,0.184985778942631,-0.0648446751148618,"Converged",0.5,0.5
68,-3.01457670137488,5.78503898816932,-0.168452637575763,"Converged",0.5,0.5
69,-3.14766893064967,5.23867767172188,-0.053722598007073,"Converged",0.5,0.5
70,-1.19339283135631,-0.523666012532154,-0.0947384767390384,"Converged",0.5,0.5
71,-1.07578595127373,-0.803493062632565,-0.0880559946362899,"Converged",0.5,0.5
72,-1.9137466037909,1.24888296437982,-0.077675861703036,"Converged",0.5,0.5
73,-1.57896333945662,0.783737625433783,-0.095187477105026,"Converged",0.5,0.5
74,-1.9635996623392,1.43868600660291,-0.0913603808030517,"Converged",0.5,0.5
75,-0.890054631892638,-0.740670584790839,-0.135745591976789,"Converged",0.5,0.5
76,-2.61189181998411,3.94435497502669,-0.071362801174425,"Converged",0.5,0.5
77,-2.2600759404961,3.51628478214955,-0.108210020084597,"Converged",0.5,0.5
78,-3.22503061982373,5.54209911080328,-0.0774558802275228,"Converged",0.5,0.5
79,-2.24744330327366,2.60896348875318,-0.0782462318039635,"Converged",0.5,0.5
80,-2.71233040647161,5.3590208322103,-0.149916719011258,"Converged",0.5,0.5
81,-2.12767204119041,3.2792374678348,-0.142763244114405,"Converged",0.5,0.5
82,-0.947765366149161,0.0167011350576515,-0.178627489267009,"Converged",0.5,0.5
83,-1.81456629057386,2.32550579961946,-0.118822588645018,"Converged",0.5,0.5
84,-2.69075594297528,3.86808444528442,-0.082211327759181,"Converged",0.5,0.5
85,-1.19389933080687,0.375806689629537,-0.140859130580491,"Converged",0.5,0.5
86,-0.542938458548807,-2.3077868411511,-0.100306112981515,"Converged",0.5,0.5
87,-2.47287119451377,3.51076347268406,-0.088990707569762,"Converged",0.5,0.5
88,-1.69092263864219,1.1944684272905,-0.0860365911408307,"Converged",0.5,0.5
89,-2.49002070634425,2.75404328145579,-0.0249993399857881,"Converged",0.5,0.5
90,-0.987520468995297,0.115345397150442,-0.191116355197321,"Converged",0.5,0.5
91,-2.7358697670532,5.39865311963917,-0.111801041414549,"Converged",0.5,0.5
92,-2.61937536805965,3.58273764150918,-0.1239818283308,"Converged",0.5,0.5
93,-2.52262675150196,4.37261181198281,-0.12515970343017,"Converged",0.5,0.5
94,-2.16313439619507,2.15975815214531,-0.0684190728627633,"Converged",0.5,0.5
95,-1.52355429539459,0.0783469612162202,-0.0551135571486317,"Converged",0.5,0.5
96,-2.04550692356789,2.38136057374877,-0.0775104222114856,"Converged",0.5,0.5
97,-3.13734818891515,4.16863331082111,-0.0253418149420134,"Converged",0.5,0.5
98,-1.46094220165224,-0.482218183908285,-0.0582104731676817,"Converged",0.5,0.5
99,-2.98725519810369,4.75390685178244,-0.0922430189092247,"Converged",0.5,0.5
100,-1.3631168427036,0.196631884832662,-0.102297701368487,"Converged",0.5,0.5
101,-1.5509374760255,0.25069164369326,-0.109901368594792,"Converged",0.5,0.5
102,-1.8837784631042,1.47842583059577,-0.0726239704082699,"Converged",0.5,0.5
103,-1.20382150207959,0.367302053674907,-0.126168280642566,"Converged",0.5,0.5
104,-1.65295601166557,2.45405176095935,-0.195717843622103,"Converged",0.5,0.5
105,-1.7111338823016,0.00533812832386296,-0.00726188732427196,"Converged",0.5,0.5
106,-2.4966975464963,2.19007859353075,-0.0267886400364742,"Converged",0.5,0.5
107,-2.59718112176185,3.87640713133691,-0.112653284029044,"Converged",0.5,0.5
108,-2.05052390011153,2.13701913140174,-0.13895136474752,"Converged",0.5,0.5
109,-1.83029096099013,1.63040647612473,-0.102460873969416,"Converged",0.5,0.5
110,-1.93009075584843,2.09858375597655,-0.138990962034922,"Converged",0.5,0.5
111,-2.12219591761341,2.13473529557915,-0.0802846077547651,"Converged",0.5,0.5
112,-2.26095825405144,3.16981795633314,-0.109132618416513,"Converged",0.5,0.5
113,-1.38831374759071,0.266913231843705,-0.114562736541973,"Converged",0.5,0.5
114,-1.38520659768057,0.394525158917313,-0.125906430863177,"Converged",0.5,0.5
115,-2.86346054803502,5.34500538144414,-0.132069191347141,"Converged",0.5,0.5
116,-0.206946056211107,-3.14308794139777,-0.136630348234915,"Converged",0.5,0.5
117,-2.11746369551386,2.25724743559022,-0.105970728059652,"Converged",0.5,0.5
118,-2.99144464422959,4.36223918882461,-0.0677188366866414,"Converged",0.5,0.5
119,-1.08812970875634,0.475746880531274,-0.165506299311484,"Converged",0.5,0.5
120,-1.54788468880594,1.8465173599216,-0.147260887149604,"Converged",0.5,0.5
121,-1.74979495274743,2.63503989897221,-0.162295838558183,"Converged",0.5,0.5
122,-2.79510752887198,3.80204967419757,-0.0378660418406169,"Converged",0.5,0.5
123,-2.92946637528964,3.03348281820559,0.0375313887987421,"Converged",0.5,0.5
124,-1.36796629990723,0.869334792319552,-0.147354379231806,"Converged",0.5,0.5
125,-2.18808778278733,1.65987072845725,-0.0418137577755714,"Converged",0.5,0.5
126,-0.787719851710989,-0.871728338486671,-0.165076608962986,"Converged",0.5,0.5
127,-0.78415235268437,-1.29779116313673,-0.116511229986035,"Converged",0.5,0.5
128,-2.61322387746919,5.07183375197363,-0.151525278122692,"Converged",0.5,0.5
129,-3.00413763242672,5.47649283908734,-0.101777412282502,"Converged",0.5,0.5
130,-2.53254705807021,4.42357988435702,-0.144648471213036,"Converged",0.5,0.5
131,-1.77416994392672,2.31455450587205,-0.157602238902032,"Converged",0.5,0.5
132,-2.36571886877049,3.44734873120705,-0.109136228930774,"Converged",0.5,0.5
133,-2.52747833640789,3.55403753866466,-0.105118443961715,"Converged",0.5,0.5
134,-2.50366369713876,3.39101971538904,-0.079020531435605,"Converged",0.5,0.5
135,-2.43954827659952,4.3994361350008,-0.150124396578941,"Converged",0.5,0.5
136,-2.89210255778107,3.81442966483412,-0.0473921483264457,"Converged",0.5,0.5
137,-2.4257824926638,4.5059161636837,-0.221605286408211,"Converged",0.5,0.5
138,-1.79350605377947,2.17740751387994,-0.152232111536388,"Converged",0.5,0.5
139,-1.13643086669145,-1.22948247588259,-0.0769297101500741,"Converged",0.5,0.5
140,-3.3468854946208,5.78765682160222,-0.0631985315028195,"Converged",0.5,0.5
141,-0.604607857214377,-2.33855021974175,-0.0832862932038721,"Converged",0.5,0.5
142,-2.08340138323,2.21716245287472,-0.101608747737679,"Converged",0.5,0.5
