"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_data_resampled","tpr","fpr"
1,-1.67204783489061,1.54072554580877,-0.127402594344537,"Converged",FALSE,0.5,0.5
2,-1.90177964252326,2.19377420601163,-0.12985478371153,"Converged",FALSE,0.5,0.5
3,-1.9642660215144,1.98728302746601,-0.0574610990811201,"Converged",FALSE,0.5,0.5
4,-2.29728211436294,3.69771814410383,-0.143695309121993,"Converged",FALSE,0.5,0.5
5,-0.886729382246898,-1.22237529512945,-0.122918981320044,"Converged",FALSE,0.5,0.5
6,-0.613861729641918,-2.5896227281619,-0.0834465148863469,"Converged",FALSE,0.5,0.5
7,-3.38551414184327,5.32390434387772,-0.0822730389943924,"Converged",FALSE,0.5,0.5
8,-1.78482600302537,0.864852697278521,-0.0547897270993894,"Converged",FALSE,0.5,0.5
9,-2.55632496646635,2.68052815138616,-0.0582018023815755,"Converged",FALSE,0.5,0.5
10,-3.02872108793549,6.30204386529479,-0.203404969528472,"Converged",FALSE,0.5,0.5
11,-1.22762729986147,0.364501531096124,-0.145002361092149,"Converged",FALSE,0.5,0.5
12,-2.91772693567117,4.35749189617478,-0.105680811073014,"Converged",FALSE,0.5,0.5
13,-2.68006641309702,4.24129936040514,-0.123397240180684,"Converged",FALSE,0.5,0.5
14,-2.52039763935308,3.1198710177577,-0.0675718639233839,"Converged",FALSE,0.5,0.5
15,-1.96129083843781,1.59239437211255,-0.0737371002578456,"Converged",FALSE,0.5,0.5
16,-2.91007194483616,4.45883395020242,-0.0578983415193295,"Converged",FALSE,0.5,0.5
17,-1.61996193537955,1.26508919996837,-0.147582518862835,"Converged",FALSE,0.5,0.5
18,-2.2219527038165,2.22167008974521,-0.0730045856020024,"Converged",FALSE,0.5,0.5
19,-0.807023739247825,-0.584267396511189,-0.134525351299552,"Converged",FALSE,0.5,0.5
20,-0.963226374637938,-0.648977211766102,-0.137281227249059,"Converged",FALSE,0.5,0.5
21,-1.58143635246861,0.382467834876967,-0.0382577152934104,"Converged",FALSE,0.5,0.5
22,-2.99158432830188,4.18326421951114,-0.0411953798723953,"Converged",FALSE,0.5,0.5
23,-0.817715835102862,-2.28131883562136,-0.0586015242855375,"Converged",FALSE,0.5,0.5
24,-1.64884655618897,1.31960675220882,-0.112193344078831,"Converged",FALSE,0.5,0.5
25,-1.3456533405808,-1.1905886730897,-0.025242660354442,"Converged",FALSE,0.5,0.5
26,-1.94473208256399,1.51749849445541,-0.0831568527219827,"Converged",FALSE,0.5,0.5
27,-1.98526423582916,2.15569692857312,-0.0829212835511609,"Converged",FALSE,0.5,0.5
28,-1.46270930966674,0.888938440711719,-0.137307928857763,"Converged",FALSE,0.5,0.5
29,-2.89376229581329,3.58050853643861,-0.00749815374087389,"Converged",FALSE,0.5,0.5
30,-0.652587424039533,-2.60909587851653,-0.0536673837204611,"Converged",FALSE,0.5,0.5
31,-1.56117950357725,0.0974241492325645,-0.0610937482385552,"Converged",FALSE,0.5,0.5
32,-2.15398712718228,1.95782471308607,-0.0773985709524016,"Converged",FALSE,0.5,0.5
33,-1.32387258466643,-0.380212934631841,-0.124994103218321,"Converged",FALSE,0.5,0.5
34,-2.10221069352787,2.01097941501341,-0.0574910968197172,"Converged",FALSE,0.5,0.5
35,-2.30844410964651,3.70649131944502,-0.125442744759382,"Converged",FALSE,0.5,0.5
36,-0.409114071051034,-3.58198945443815,-0.0575732994763183,"Converged",FALSE,0.5,0.5
37,-2.78137739731789,3.71333559088595,-0.0522721501453466,"Converged",FALSE,0.5,0.5
38,-2.84683019619621,4.46225099265185,-0.0924768705696626,"Converged",FALSE,0.5,0.5
39,-2.12192316606906,3.02326339496514,-0.126806466054939,"Converged",FALSE,0.5,0.5
40,-2.34662286278099,3.12112395320161,-0.13147615287491,"Converged",FALSE,0.5,0.5
41,-2.24884400709026,3.82580348257387,-0.197557928333397,"Converged",FALSE,0.5,0.5
42,-2.63891755341907,3.06610659120617,-0.0462447618414815,"Converged",FALSE,0.5,0.5
43,-2.16812398530422,2.69486999924782,-0.113213780427494,"Converged",FALSE,0.5,0.5
44,-0.81603084583732,-0.905558955581591,-0.138104232925385,"Converged",FALSE,0.5,0.5
45,-1.2676626077603,-0.877512037946317,-0.0651638089534302,"Converged",FALSE,0.5,0.5
46,-1.87088189572496,1.76845959930912,-0.0974416979117833,"Converged",FALSE,0.5,0.5
47,-1.84483337660342,1.93558716375682,-0.139778899976953,"Converged",FALSE,0.5,0.5
48,-1.31962072657885,0.48350992230782,-0.115531712671376,"Converged",FALSE,0.5,0.5
49,-3.40176191867879,5.98365948319406,-0.095726877293831,"Converged",FALSE,0.5,0.5
50,-3.55774556036565,5.73445898114791,-0.0670316783443537,"Converged",FALSE,0.5,0.5
51,-1.80375007580848,1.66311199706911,-0.10708374987737,"Converged",FALSE,0.5,0.5
52,-2.16752469434771,3.58204887988241,-0.162952343182714,"Converged",FALSE,0.5,0.5
53,-2.01464851645758,1.78650063394344,-0.0760127877873161,"Converged",FALSE,0.5,0.5
54,-1.95687136328415,2.04854955840406,-0.0923994610123097,"Converged",FALSE,0.5,0.5
55,-3.14341460869313,5.45585188969943,-0.117573934400505,"Converged",FALSE,0.5,0.5
56,-1.22253720383133,-0.658136709562642,-0.0895201694490129,"Converged",FALSE,0.5,0.5
57,-1.12862517553309,0.500106022450631,-0.181734893290781,"Converged",FALSE,0.5,0.5
58,-1.43915871818808,0.778451930830284,-0.143673082611544,"Converged",FALSE,0.5,0.5
59,-1.510214552139,-0.314470195066891,-0.0200223858002801,"Converged",FALSE,0.5,0.5
60,-2.97669559077686,4.61873335779819,-0.0912122004023479,"Converged",FALSE,0.5,0.5
61,-2.19283062814395,1.22725771535393,-0.00720541080341382,"Converged",FALSE,0.5,0.5
62,-0.966560440409693,-1.18055318482675,-0.0384670945798775,"Converged",FALSE,0.5,0.5
63,-2.53308642971988,3.08222539598621,-0.0696287054052213,"Converged",FALSE,0.5,0.5
64,-1.83626553884799,1.56401766096146,-0.0933898400343236,"Converged",FALSE,0.5,0.5
65,-1.41740103004842,0.110761568958393,-0.0877446211376171,"Converged",FALSE,0.5,0.5
66,-2.64438253170592,3.82807550368778,-0.0986215618891792,"Converged",FALSE,0.5,0.5
67,-2.79235292245115,5.04711105544488,-0.150679678740946,"Converged",FALSE,0.5,0.5
