"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-2.13416710973108,1.60210783743419,0.131666489765337,"Converged",FALSE,6,73,0,21,0.95,0.05
1,0.9,"CC",-2.27945100546884,2.09389866391798,0.130929502529445,"Converged",FALSE,4,46,5,45,0.95,0.05
1,0.9,"BCC",-2.28805142900713,2.13046719466648,0.131801609785013,"Converged",FALSE,25,25,25,25,0.95,0.05
1,0.9,"RESID",-2.11069041078017,1.4868081741025,0.128760297656779,"Converged",FALSE,15,35,1,49,0.95,0.05
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,29,21,26,24,0.95,0.05
2,0.9,"SRS",-2.30762090790649,3.34227655892842,0.100936807944688,"Converged",FALSE,8,63,3,26,0.95,0.05
2,0.9,"CC",-2.16528513462811,2.93880363850605,0.102599444469073,"Converged",FALSE,6,44,4,46,0.95,0.05
2,0.9,"BCC",-1.81795249129392,1.73551381438377,0.0995599337945819,"Converged",FALSE,25,25,25,25,0.95,0.05
2,0.9,"RESID",-2.02739256062744,2.58221092870228,0.0998608779408452,"Converged",FALSE,15,35,0,50,0.95,0.05
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,33,17,28,22,0.95,0.05
3,0.9,"SRS",-2.17145727263564,2.67393218878581,0.114507134046077,"Converged",FALSE,2,55,5,38,0.95,0.05
3,0.9,"CC",-1.99328927706474,2.11325797660984,0.112290771034451,"Converged",FALSE,1,49,7,43,0.95,0.05
3,0.9,"BCC",-2.00443717765966,2.08845870485083,0.111530078745277,"Converged",FALSE,25,25,25,25,0.95,0.05
3,0.9,"RESID",-2.13342072731666,2.38282872555551,0.112335650499543,"Converged",FALSE,13,37,0,50,0.95,0.05
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,30,20,31,19,0.95,0.05
4,0.9,"SRS",-1.72156461957512,1.39487205150406,0.0902291156621472,"Converged",FALSE,4,69,2,25,0.95,0.05
4,0.9,"CC",-1.66446856528058,1.22979536039938,0.0889115701332157,"Converged",FALSE,4,46,4,46,0.95,0.05
4,0.9,"BCC",-1.60216630322241,1.01819325679775,0.0892490156175002,"Converged",FALSE,26,25,24,25,0.95,0.05
