"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr","design"
1,-2.10009144670844,2.41947793142352,-0.00596816541944294,"Converged",FALSE,-1.75666801316309,1.17615488650058,-0.00501406223415802,"Converged",FALSE,-1.97834904609643,1.76379309638842,-0.00476769870813503,"Converged",FALSE,-1.47811070546233,0.314838234694579,-0.00507529873195072,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.8,0.2,"optMLE"
2,-0.306054930626339,1.40932206413157,-0.0378229279756946,"Converged",FALSE,-0.421239762999854,1.63443483445613,-0.0375210378175361,"Converged",FALSE,-0.614360515905363,2.23075672250422,-0.0377673479689724,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.443840340463597,1.90062997057611,-0.0386848088212069,"Converged",FALSE,0.8,0.2,"optMLE"
3,-2.37154588122828,2.33860210464074,-0.000375307245490484,"Converged",FALSE,-2.87661087215618,3.60966355301789,-6.13357001750077e-05,"Converged",FALSE,-2.98272783862956,4.06434730473094,0.00104676049490243,"Converged",FALSE,-2.82867153436697,3.10321443460721,0.0014201917873222,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.8,0.2,"optMLE"
4,-1.09542810118813,-1.23919951173393,-0.00563254531969066,"Converged",FALSE,-2.48025353304717,3.70411151092593,-0.00681232170141972,"Converged",FALSE,-1.39178719537839,-0.322106666923136,-0.0056677391076974,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.41963279146039,-0.25799997093764,-0.00547346833101867,"Converged",FALSE,0.8,0.2,"optMLE"
5,-1.22335496798269,1.19273531615515,-0.0195888266564904,"Converged",FALSE,-1.52522968227825,2.28648234393009,-0.020669870248176,"Converged",FALSE,-1.26992074296184,1.46228636108775,-0.0200308121941703,"Converged",FALSE,-1.06266912498141,0.650891438337674,-0.0198542150295207,"Converged",FALSE,-1.60734157654906,2.48563822534692,-0.0198686193968291,"Converged",FALSE,0.8,0.2,"optMLE"
6,-2.37208970522636,2.25757392687311,-0.00130778621024519,"Converged",FALSE,-2.01856487187169,0.994985150067975,-0.00086156255113629,"Converged",FALSE,-2.52269085084432,2.69766616699053,-0.000464565839713916,"Converged",FALSE,-1.96480322856027,0.802920669516056,-0.000681943218207453,"Converged",FALSE,-2.029008118917,1.02084472761485,-0.000918316116278356,"Converged",FALSE,0.8,0.2,"optMLE"
7,-2.27089606851385,1.24967731286839,0.0021186304052766,"Converged",FALSE,-2.7405850027024,2.64019694736226,0.0020077581910594,"Converged",FALSE,-2.70705942603375,2.50051466749459,0.00296366729839124,"Converged",FALSE,-2.1357846622414,0.833067069195214,0.00210751260678773,"Converged",FALSE,-2.88050942600884,3.02585735655531,0.00398757085408475,"Converged",FALSE,0.8,0.2,"optMLE"
8,-1.62540266302766,2.11911059687242,-0.0169364356556467,"Converged",FALSE,-1.81100512312187,2.75952483100387,-0.0175912227962443,"Converged",FALSE,-1.69275138427162,2.53933662385175,-0.0168215409677561,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.8,0.2,"optMLE"
9,-1.84878619718061,0.864492299117811,-0.00273396918418474,"Converged",FALSE,-1.96099986554083,1.16189756727667,-0.00271280229035702,"Converged",FALSE,-1.5439344176899,-0.194866147644616,-0.00225691684508738,"Converged",FALSE,-1.1706005408356,-1.27979438463451,-0.0021327136509215,"Converged",FALSE,-2.28671238444217,2.09113975522163,-0.00170437603619417,"Converged",FALSE,0.8,0.2,"optMLE"
10,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.5114707155305,3.69219364013994,-0.00787670001857574,"Converged",FALSE,-1.96460174673031,2.16521704017733,-0.00872617364537881,"Converged",FALSE,-1.68233693301246,1.66701163410495,-0.00894575188597443,"Converged",FALSE,0.8,0.2,"optMLE"
