"sim","gs_beta0","gs_beta1","gs_beta2","naive_beta0","naive_beta1","naive_beta2","cc_beta0","cc_beta1","cc_beta2","smle_beta0","smle_beta1","smle_beta2"
1,-0.722662367663434,1.72251638183851,-0.0339222452228675,-0.353032800436793,0.463509819948228,-0.0337137770737423,-0.719746290099234,2.03239452115714,-0.0242130611600519,-0.571173704337352,1.20370284133678,-0.0336406032494966
2,-2.16895796512631,1.52790953707225,-0.000696324883403181,-2.00652400183472,0.761046099694226,0.000150701748898561,-1.60664625265432,1.21914503150377,-0.0074865912372657,-2.18030228981257,1.49843988085147,-8.83323391342329e-06
3,-1.84856166787985,0.618226512614572,-0.00250873270993054,-1.64847339652895,-0.0779056951044513,-0.00196530294196817,-1.04439744453724,0.817360163377027,-0.0214851441425113,-1.61923464191444,-0.187014420990016,-0.00193985139782197
4,-2.92643017131347,1.72992420616682,0.0150087887674308,-2.64486895376709,0.801954693557758,0.0147008592833321,-2.532614584121,3.21276267686795,0.00035286485851948,-3.00650191869448,2.00420601411653,0.0154064367896586
5,-1.58894669175013,1.20157802217324,-0.0120810430716312,-1.48847302382913,0.787359512510747,-0.0122821861998231,3.15657668949905,-1.55440110854264,-0.110013156079361,-1.51841507024481,0.979137273262484,-0.0120597810032754
6,-1.163128320359,0.748212631529523,-0.0189379252963453,-0.822204158876216,-0.216783013211688,-0.0196046415320804,-5.75848975142535,8.5777980317062,0.0111411103682993,-0.986214928468596,0.279771654929871,-0.0194827128300085
7,-1.16834976690359,1.2437997762906,-0.02010235307674,-0.988517998395946,0.66490104509197,-0.0207115251767605,0.722729062617484,1.04751644948727,-0.0668343157915701,-1.00732326956307,0.845153309672287,-0.0205788470980711
8,-1.58872007670034,1.81832836200023,-0.01401509571117,-1.48628738905055,1.19099111576665,-0.0132504973582707,-3.39085720121864,-0.0592775138799858,0.033317480296243,-1.65673055560356,1.92025894643088,-0.0134257870068511
9,-1.48161270474911,1.25017868762333,-0.0147211807004878,-1.36201945807451,0.841212009956299,-0.0153849574756134,-2.01912854151432,1.22032879892575,-0.00262035394078395,-1.59229670147402,1.59858226602288,-0.0151399591174687
10,-1.87110271374889,1.35372038824374,-0.0070141150686639,-1.89201468830343,1.16262769928134,-0.0065918528367228,-2.62987913313244,6.0306504775846,-0.0330135957454739,-2.366995185305,2.92223718040937,-0.00816181341385856
11,-0.802639492694558,0.0802975544215092,-0.0206781968775478,-0.884303909307817,0.309532575310979,-0.0208159382466496,1.1499240661261,-0.079396923241885,-0.059845724930334,-1.04272285324118,0.868814340515918,-0.0210819723310004
12,-2.21556080206832,1.44405758303489,0.00134716937361607,-1.95623392544008,0.501347575550709,0.00176543878748433,-3.24841744857716,0.45617318483952,0.0452452626478569,-2.1275712976793,1.12981202127367,0.00176649561609843
13,-1.56067559891472,1.8138422054532,-0.0137524358835125,-1.44144578026507,1.39367607989841,-0.0153271567532301,-1.5611520379259,0.794711684216401,0.00207346677632001,-1.77218340836987,2.56821747739256,-0.0145337438960268
14,-3.62017647720965,0.390982272619711,0.0375714237948533,-3.58209648995198,0.247737305138435,0.0374634995099269,-3.66642008811004,4.48019278665236,0.0117563731508798,-3.70862215530435,0.739968425315409,0.0372991886327293
15,-2.15707531614289,1.47013960639244,-0.00126761307013386,-1.9015124914232,0.609175440763427,-0.00152149266160304,-1.79515697432326,8.85552444908057,-0.0780572948299167,-2.2536471802665,1.75427650680912,-0.00136720582395663
16,-0.452734443307,0.0645339709314545,-0.0280169933187982,-0.532441278191608,0.26535197107709,-0.0278961795140083,-0.183092430161382,2.66624354704509,-0.0556619784183689,-0.696698218057639,0.761043956857511,-0.0275323500644189
17,-2.65798291622346,0.567470061801877,0.016140541930259,-2.53908717087088,0.169413551215142,0.0160445363856311,-0.544375212761968,-5.35190242754725,0.00128817578517055,-2.40959740935853,-0.235488366606396,0.0160997288383804
18,-1.97527132220172,1.34251200156887,-0.00435638058459505,-1.9281044451916,1.02840630455485,-0.0043383922106258,-1.58074123693731,0.90239285952213,-0.0153820556910979,-2.11208539370302,1.71514985921814,-0.00406163734350606
19,-0.833535794402949,0.838441088074502,-0.030761722089734,-0.774498518398428,0.539500688668912,-0.0305318448324787,-1.17611781973208,2.83567975124304,-0.0436426091020768,-0.991184344206297,1.28288695900745,-0.0305294417120351
20,-1.61949332621195,1.73058090322283,-0.0152868116056559,-1.3641305113876,0.890012572136736,-0.0160269488908608,-1.72002575669873,1.0170576878512,-0.00269903991433766,-1.68491988178868,2.03643962549709,-0.0161743719547564
21,-2.06630403772812,2.39387689813414,-0.00980599766344734,-1.75538432239672,1.25655648471681,-0.00983796021644687,0.751695272004268,-0.0761568903664381,-0.0529883098560805,-1.96374873386413,2.22469705355047,-0.0101320906121715
22,-0.566948153294467,0.363751904490065,-0.025408484723267,-0.443672327484525,-0.0567684049330553,-0.0251299335806203,-4.42346887347104,6.51052795729824,0.0214294827761538,-0.925931295186264,1.53912696572307,-0.0250229591786253
23,-1.56273640860596,1.24328120235953,-0.0117101824531873,-1.47805311556033,0.875844417934663,-0.0120223630278318,-0.820733281408924,5.44292905740469,-0.0569326309266341,-1.84419525307202,2.24265885429433,-0.0131688430335665
24,-2.38931680612158,0.577213034495382,0.0123589455014093,-2.21821212181404,0.00299755789080415,0.012537165009192,-3.17328630813723,0.155182955586096,0.03646567950586,-2.30099582428234,0.278086463902979,0.0125445575032084
25,-2.60895572638159,0.282159855646825,0.0187469999207915,-2.40345844162656,-0.375883375598053,0.0190876475167882,-1.76979542533061,1.32799421572477,-0.0136719517770741,-2.45242539305653,-0.262816596406095,0.0189444002722305
26,-1.22741146034418,0.331009826994194,-0.014252352324439,-1.36079835426909,0.658674324441329,-0.0142094269444037,-0.157998227690805,0.481857439233482,-0.0409457086375575,-1.3220865320208,0.651584651394495,-0.0142361207085289
27,-1.88046456498897,1.0239857169373,3.04746550733332e-05,-1.75479899192019,0.503958731906279,0.000297605935455083,0.907322495135925,-4.40391266610189,-0.0310544292344353,-1.66227662542128,0.197410003373794,0.000941603544680571
28,-0.969006059756772,1.22243662497846,-0.0276962513848822,-0.797224538704016,0.632703520595575,-0.0280320870961609,1.08444224730753,-0.389883811311792,-0.0607386243360253,-0.976874658080162,1.35763133252884,-0.0280238626723811
29,-1.73132387498933,2.07348780001083,-0.0132342146158414,-1.53655351027085,1.28005964620238,-0.0131363412139281,0.908147988943574,-1.3502697649629,-0.0433760537666909,-1.60131310723054,1.63452529295631,-0.012706391297638
30,-1.21502753838103,1.40659856199578,-0.0177470999489092,-0.929029000468956,0.356994826148124,-0.0171505932628321,0.383420627854145,4.80842788401966,-0.075797151482018,-1.24828119947622,1.47787388527704,-0.0172742168990755
31,-1.36491638969196,0.362218056813984,-0.00899595046814863,-1.18308036795909,-0.195515950459424,-0.00893906918973356,-0.621165170735758,1.15385133120367,-0.0387183888624891,-1.22346545739654,-0.094782844210307,-0.00896620126830686
32,-1.75952777751715,1.37647946282912,-0.0095791757552321,-1.42137257430504,0.0433736903508956,-0.0077050554377234,-0.957360923046634,7.67670244143934,-0.083086186536711,-1.70464204692965,1.04680383667583,-0.00823829306461419
33,-2.29888056283788,0.889356008245957,0.01002829510595,-2.01250952496643,-0.191213668908723,0.0113408528275657,-2.04537489719572,2.29543736776251,-0.00720396216244839,-2.13482567850833,0.240706284540927,0.0108868516979058
34,-2.71179439431817,0.766396057833681,0.0152278157897566,-2.7287413411398,0.760450169181685,0.0147314840329712,-2.6718032559487,1.06277531330734,0.00503438928005078,-2.79218680972259,1.07595979544056,0.0146774424222514
35,-1.88782929557669,0.420426638426006,0.000671633774868037,-1.93956002882964,0.514653616552808,0.000618174494268054,-4.14530098777963,-6.59520287904881,0.089254357705961,-1.91085813554508,0.53567087536785,0.000489843454314414
36,-1.31729492533004,1.44911864636817,-0.0187376162797655,-1.33427221361959,1.20074237116723,-0.018073616939247,-5.5275309313475,5.58574163692071,0.0401038549982677,-1.60876553750433,2.29924145264976,-0.0176642388618754
37,-1.73602005059144,0.97501353253611,-0.00450187439988701,-1.56835201062292,0.439097170465575,-0.00491048127342456,1.10313926406776,2.59366827807604,-0.0878989327818978,-1.8396502328335,1.33289813658556,-0.00466008281657104
38,-1.42838578638985,1.39015025316172,-0.0157337144544323,-1.32523564001838,0.868529623349465,-0.0152305302586355,-1.47068651060999,4.15252987799902,-0.0396449884055577,-1.64487492824179,2.02167149414053,-0.0153531011735681
39,-1.20791401724493,0.930463982167755,-0.0173952977746417,-1.20845944835852,0.820781870079888,-0.0175950769371514,-2.9355145073997,-3.29619390016642,0.0384089007514708,-1.06638728616844,0.531694295943415,-0.0176977664911135
