"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_resampled_V","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","cc_resampled_V","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_resampled_V","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_resampled_V","sfs_beta0","sfs_beta1","sfs_beta2","sfs_conv_msg","sfs_resampled_V","optmle_beta0","optmle_beta1","optmle_beta2","optmle_conv_msg","optmle_resampled_V","optmle2_beta0","optmle2_beta1","optmle2_beta2","optmle2_conv_msg","optmle2_resampled_V","tpr","fpr"
1,-0.516521248398336,1.11880495155264,-0.0342904503410476,"Converged",FALSE,-0.727547063783366,1.7678680798182,-0.0335333801480258,"Converged",FALSE,-0.702085385024345,1.63323509769007,-0.0337976071007235,"Converged",FALSE,-0.698283110854803,1.55303438166976,-0.0339112754004073,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.853649669799646,2.05275976628369,-0.0334940332715671,"Converged",FALSE,-0.683824275323439,1.56407699139517,-0.0335638138332531,"Converged",FALSE,0.95,0.05
2,-2.30287819026242,2.82839846679562,-0.00838645529643058,"Converged",FALSE,-2.05546147811841,2.0616761158793,-0.008763272680415,"Converged",FALSE,-2.04414287094084,1.96531954150278,-0.00845441656699342,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.57070350379207,3.66373269229578,-0.00991055940561551,"Converged",FALSE,-2.12331546826907,2.32548819211584,-0.00889884210902619,"Converged",FALSE,0.95,0.05
3,-0.103806582815706,-0.470489298968679,-0.0314385904406882,"Converged",FALSE,-0.561078710994135,1.04967463819677,-0.0316728028421614,"Converged",FALSE,-0.020923723953969,-0.712944661266647,-0.0312628446045477,"Converged",FALSE,-0.294511928753846,0.151701412525742,-0.031533138313406,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.491723203875475,0.801952103914879,-0.0317024964024176,"Converged",FALSE,-0.154716015708766,-0.331750274810836,-0.0313306026725012,"Converged",FALSE,0.95,0.05
4,-2.21653120885706,3.12977767538919,-0.0118766182294879,"Converged",FALSE,-1.88040861830522,2.14754363577745,-0.012037277198237,"Converged",FALSE,-1.90684273616471,2.28314805340406,-0.0123282690667223,"Converged",FALSE,-1.97019000041178,2.56641301717113,-0.0116110821836567,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.08254913351972,3.00593777602197,-0.0118825709906597,"Converged",FALSE,0.95,0.05
5,-1.67799428901474,3.41721574620473,-0.0225993600142064,"Converged",FALSE,-1.27798453025754,2.11968002897607,-0.0219726652608735,"Converged",FALSE,-1.17580944305782,1.89587811340965,-0.0224283913086665,"Converged",FALSE,-1.20747900363099,1.91003469439374,-0.0219699144074437,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
6,-2.10369860106618,1.21185362699249,0.00131134373845383,"Converged",FALSE,-2.33711175156801,1.8952211666846,0.0017359877183795,"Converged",FALSE,-2.17091179662254,1.34181743702674,0.00183376363218852,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.21828105953024,1.51960744656848,0.00124419826846463,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05
7,-1.83429053752993,0.722666614741402,-0.00494576946156937,"Converged",FALSE,-1.75300502440475,0.428821183018899,-0.00466346460056842,"Converged",FALSE,-1.8505275865407,0.805067572203046,-0.00508082264895672,"Converged",FALSE,-1.89457025218698,0.968650972558037,-0.00528784789519115,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.95282304018484,1.13337741624807,-0.00533107394009396,"Converged",FALSE,-1.77691242188065,0.542288875032404,-0.00484314123501592,"Converged",FALSE,0.95,0.05
8,-0.283877079361567,1.10897317842627,-0.0371819681368302,"Converged",FALSE,-0.182634811034987,0.832356655702157,-0.0375759406382409,"Converged",FALSE,-0.223786165749767,1.038653201871,-0.0376759775583156,"Converged",FALSE,-0.406149572750562,1.52431540002034,-0.0375478611840481,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.363291448906414,1.32990290167948,-0.0368615897030262,"Converged",FALSE,0.95,0.05
9,NA,NA,NA,"B-spline error",FALSE,-1.53682174498532,1.74479598129125,-0.0182645526723205,"Converged",FALSE,-1.49896734952753,1.78141051576275,-0.0191824503628965,"Converged",FALSE,-1.35429370585005,1.31206053486527,-0.0187399199733001,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.33210474270014,1.11359695911372,-0.0181956414526838,"Converged",FALSE,0.95,0.05
10,-0.971153845836793,2.32033498075183,-0.0327701129237196,"Converged",FALSE,-0.236700649383429,0.0555303884935713,-0.0330934169752242,"Converged",FALSE,-0.46897590978329,0.752279016100579,-0.032668940322554,"Converged",FALSE,-0.493901635221113,0.819997274342767,-0.0328151876504337,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.429208264600759,0.71315054623217,-0.0330617275800805,"Converged",FALSE,-0.538045572792119,0.930537967712232,-0.0327341137720654,"Converged",FALSE,0.95,0.05
