"sim","gs_beta0","gs_beta1","gs_beta2","naive_beta0","naive_beta1","naive_beta2","cc_beta0","cc_beta1","cc_beta2","smle_beta0","smle_beta1","smle_beta2","smle_conv_msg","resampled_V","prop_recovered"
1,-0.722662367663434,1.72251638183851,-0.0339222452228675,-0.423434634238701,0.632578074432655,-0.033655704466317,0.300839956424445,-0.563207818700804,-0.0464834755747268,-0.562570831208265,1.21698543700513,-0.0340508221145979,"Converged",FALSE,0.9
2,-2.32559816044769,1.458869719,0.00287791007980554,-2.02221721721141,0.467202723604258,0.00251573925832439,1.47151894517132,-3.00987404672619,-0.0485133515483281,-1.9633907994995,0.389809195416682,0.00213992312835875,"Converged",FALSE,0.9
3,-1.58622596466756,1.08633095893844,-0.0109510834532479,-1.53165139306813,0.746309321914387,-0.010835317169209,2.07941424239248,-4.50254086130868,-0.0654154931258327,-1.98620296072858,2.27068786472496,-0.0112990923403261,"Converged",FALSE,0.9
4,-1.01088176378135,0.681294089090427,-0.0187969299363459,-0.974341380125654,0.40609980114619,-0.0182365676644345,-5.06694467789162,2.8430290133108,0.0474906224763577,-1.38495755326328,1.86040725755633,-0.0185613647671539,"Converged",FALSE,0.9
5,-0.803114568013254,0.32391110678556,-0.0224588163145409,-0.665984350786442,-0.0780808872417647,-0.0225858900689484,-1.95755183998934,1.78982116112268,-0.00795266918135755,-0.92472078005094,0.684143866744721,-0.0223634784308883,"Converged",FALSE,0.9
6,-0.706042266139032,0.0215935272587439,-0.022261606073449,-0.8122796580451,0.272525206192894,-0.0219997539658382,-0.354195426859707,0.699658512350668,-0.0320365234297499,-0.726323412381102,0.0787423523506684,-0.022223255589174,"Converged",FALSE,0.9
7,-2.42629998508291,1.1942525375325,0.00510994723495168,-1.98846770416668,-0.161691016721506,0.00502683691406998,-2.83638277502419,0.0517135451684892,0.01769588589152,-2.07254261448937,0.0792756272970758,0.00501097378315656,"Converged",FALSE,0.9
8,-2.3917664965508,2.9575848428939,-0.0055513905711133,-1.74219554577054,0.776565424530843,-0.00543049508514942,-5.33083605656093,4.93691793925413,0.0385996408763478,-2.16725884599201,2.31081538259512,-0.00601425264650026,"Converged",FALSE,0.9
9,-0.963448863539307,1.3176577244697,-0.0266680298894075,-0.72217797886827,0.436526896686689,-0.026466875339032,-0.885981527334349,0.672593872035224,-0.0315641701959878,-0.833053688650522,0.89928587602032,-0.0266295167931126,"Converged",FALSE,0.9
10,-2.51791025938075,0.787801189324183,0.01633201807928,-2.49236261730745,0.636927131953271,0.0158724477060665,-6.74156863976233,0.100300065963866,0.103502968099338,-2.50346494942172,0.777529196809547,0.0161396220617701,"Converged",FALSE,0.9
11,-1.11436988596081,1.35418209031946,-0.0213226552194413,-0.69656355556402,-0.101746009262528,-0.0201890098018528,-1.61996884713703,3.52639928125862,-0.0165936433464297,-0.989731682647158,0.900603017503427,-0.0208692747815455,"Converged",FALSE,0.9
