"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","tpr","fpr"
1,-2.24767769475845,3.22715291008949,-0.127374942625572,"Converged","CC",FALSE,FALSE,0.5,0.5
2,-1.20032306932535,-0.00729839087522393,-0.131825672886332,"Converged","CC",FALSE,FALSE,0.5,0.5
3,-2.23937720438227,2.7088175385931,-0.0663369890914067,"Converged","CC",FALSE,FALSE,0.5,0.5
4,-2.90040008333825,5.08501815313787,-0.131256979692919,"Converged","CC",TRUE,FALSE,0.5,0.5
5,NA,NA,NA,NA,"CC",FALSE,TRUE,0.5,0.5
6,-1.36987974748967,-0.602616366121834,-0.082078664703941,"Converged","CC",FALSE,FALSE,0.5,0.5
7,-2.12603780636711,1.77455980324454,-0.0624437206048977,"Converged","MLE",FALSE,FALSE,0.5,0.5
8,-1.80235896211202,0.644999397742521,-0.0821143201039343,"Converged","MLE",FALSE,FALSE,0.5,0.5
9,-1.11106573157808,0.148767510837026,-0.17801094927771,"Converged","MLE",FALSE,FALSE,0.5,0.5
10,-1.6368747396374,1.49155688642475,-0.153703173696707,"Converged","CC",FALSE,FALSE,0.5,0.5
11,-2.01535468677061,1.07803615897824,-0.0179198188900177,"Converged","CC",FALSE,FALSE,0.5,0.5
12,-1.78020938500166,1.20920871909987,-0.131262281786138,"Converged","MLE",FALSE,FALSE,0.5,0.5
13,-2.28432476804208,2.25133584208158,-0.0581654164237554,"Converged","CC",FALSE,FALSE,0.5,0.5
14,-1.47480555887432,0.415298098956654,-0.0963198143068931,"Converged","CC",FALSE,FALSE,0.5,0.5
15,-1.71609325308834,0.843978996859045,-0.0798511379676961,"Converged","MLE",FALSE,FALSE,0.5,0.5
16,-2.17559493194672,3.92597832032207,-0.148432424794837,"Converged","CC",FALSE,FALSE,0.5,0.5
17,-2.28691682907059,2.21089295626841,-0.0578678348405976,"Converged","CC",FALSE,FALSE,0.5,0.5
18,-2.06090157354382,3.28911103753479,-0.161504433804843,"Converged","MLE",FALSE,FALSE,0.5,0.5
19,-2.46949326392386,3.840372983106,-0.118534466827811,"Converged","CC",FALSE,FALSE,0.5,0.5
20,-1.40362506881517,-0.0574067636954918,-0.0450569169072667,"Converged","MLE",FALSE,FALSE,0.5,0.5
21,-1.20061383774734,-0.702399541217403,-0.0570548531918838,"Converged","CC",TRUE,FALSE,0.5,0.5
22,-2.33417049013864,3.74304796990174,-0.121459693411158,"Converged","CC",FALSE,FALSE,0.5,0.5
23,-2.37272097025122,2.8470758214831,-0.0629422483524603,"Converged","CC",FALSE,FALSE,0.5,0.5
24,-4.06723186884008,7.67107608050521,-0.0795231780462818,"Converged","CC",FALSE,FALSE,0.5,0.5
25,-1.31972208975752,-0.115596147537619,-0.0821664549594108,"Converged","CC",FALSE,FALSE,0.5,0.5
26,NA,NA,NA,NA,"MLE",FALSE,TRUE,0.5,0.5
27,-2.6774597736475,3.16539065722699,-0.0304533112985333,"Converged","MLE",FALSE,FALSE,0.5,0.5
28,NA,NA,NA,"MAX_ITER reached","CC",FALSE,FALSE,0.5,0.5
29,-3.09656207784,4.57660180081654,-0.0390618146660697,"Converged","CC",FALSE,FALSE,0.5,0.5
30,-0.86158604744855,-2.44810648530255,-0.0461846941211845,"Converged","CC",FALSE,FALSE,0.5,0.5
31,-2.3971295899211,3.25561403774339,-0.11014192581696,"Converged","MLE",FALSE,FALSE,0.5,0.5
32,-1.48563911364684,0.2912739385312,-0.0758281370650568,"Converged","CC",FALSE,FALSE,0.5,0.5
33,-1.47882587756288,0.624798364040978,-0.100024463902368,"Converged","MLE",FALSE,FALSE,0.5,0.5
34,-2.2717092681994,3.11450313275394,-0.077838406536694,"Converged","CC",FALSE,FALSE,0.5,0.5
35,-3.22034048263102,5.3747249595487,-0.0552923287610443,"Converged","MLE",FALSE,FALSE,0.5,0.5
36,-2.27924260455102,2.29314530838121,-0.06253055531238,"Converged","MLE",FALSE,FALSE,0.5,0.5
37,NA,NA,NA,"MAX_ITER reached","CC",FALSE,FALSE,0.5,0.5
38,-0.472710080154457,-2.00142065436581,-0.148172225112141,"Converged","CC",FALSE,FALSE,0.5,0.5
39,-2.10757532886278,3.21667305097391,-0.187550872284709,"Converged","CC",FALSE,FALSE,0.5,0.5
40,-1.72595673378535,0.210600105071551,-0.0377837378516615,"Converged","MLE",FALSE,FALSE,0.5,0.5
41,-3.44035726401504,6.11088475589509,-0.101757603359711,"Converged","CC",FALSE,FALSE,0.5,0.5
42,-1.54706080481248,0.652403505708659,-0.0978954369635706,"Converged","MLE",FALSE,FALSE,0.5,0.5
43,-3.09041192904276,3.47266748892335,0.00765078475605708,"Converged","CC",FALSE,FALSE,0.5,0.5
44,-2.08589226723159,2.8977036180395,-0.142464068100155,"Converged","MLE",FALSE,FALSE,0.5,0.5
45,-1.28741524146788,0.360106036065524,-0.17138179606038,"Converged","CC",TRUE,FALSE,0.5,0.5
46,-1.50377972771906,0.855186111462836,-0.140916927705177,"Converged","CC",FALSE,FALSE,0.5,0.5
47,-1.56237859835787,1.1876977294166,-0.117748890170156,"Converged","MLE",FALSE,FALSE,0.5,0.5
48,-1.70024008396095,0.400676944834775,-0.0367294527951237,"Converged","CC",FALSE,FALSE,0.5,0.5
49,-0.834426670857988,-1.14162994355637,-0.175723149106895,"Converged","CC",FALSE,FALSE,0.5,0.5
50,-2.79085573648898,4.68498118770614,-0.100830972102634,"Converged","CC",FALSE,FALSE,0.5,0.5
51,-1.67805066634979,0.270484662640269,-0.0389892095209449,"Converged","MLE",TRUE,FALSE,0.5,0.5
52,-2.29254471062655,3.06321799574002,-0.0835537151106429,"Converged","CC",FALSE,FALSE,0.5,0.5
53,-1.116654661085,-0.443587363102789,-0.128568113024986,"Converged","CC",FALSE,FALSE,0.5,0.5
54,NA,NA,NA,NA,"CC",FALSE,TRUE,0.5,0.5
55,-2.06577014396303,2.29769104636421,-0.0921985682437657,"Converged","CC",FALSE,FALSE,0.5,0.5
56,-1.55548681946037,0.856643453324558,-0.132325211784101,"Converged","CC",FALSE,FALSE,0.5,0.5
57,-2.11067091342604,1.90642312352286,-0.0402635412037722,"Converged","CC",TRUE,FALSE,0.5,0.5
58,-2.08274002173093,2.23242864865149,-0.064147692668673,"Converged","CC",FALSE,FALSE,0.5,0.5
59,-1.98614456458608,1.87796742439839,-0.0890742636319388,"Converged","CC",FALSE,FALSE,0.5,0.5
60,-1.52171556503749,-0.196634136999186,-0.0338194094054307,"Converged","MLE",FALSE,FALSE,0.5,0.5
61,-1.84002435559083,2.15149414040059,-0.137107498065936,"Converged","CC",FALSE,FALSE,0.5,0.5
62,-1.95285560689019,1.11963873203627,-0.0441168791490117,"Converged","MLE",FALSE,FALSE,0.5,0.5
63,-0.96289519926546,-1.0819343149366,-0.0669246365011798,"Converged","MLE",FALSE,FALSE,0.5,0.5
64,-2.27386991599091,2.72920127498511,-0.0629364265231566,"Converged","CC",FALSE,FALSE,0.5,0.5
65,-1.68140334172232,1.07691306120344,-0.0851273084355317,"Converged","CC",FALSE,FALSE,0.5,0.5
66,-1.82737809802856,1.36001530532953,-0.0826450277016707,"Converged","MLE",FALSE,FALSE,0.5,0.5
67,-2.48970052387066,4.34898721650937,-0.127280466866982,"Converged","CC",FALSE,FALSE,0.5,0.5
68,-1.95208554402838,1.28764188357504,-0.0691740083131651,"Converged","MLE",FALSE,FALSE,0.5,0.5
69,-4.08436306585552,8.06092351815792,-0.108459518014139,"Converged","MLE",FALSE,FALSE,0.5,0.5
70,-2.99081776102031,5.78593029304543,-0.134603803074344,"Converged","CC",FALSE,FALSE,0.5,0.5
71,-1.84005610302523,0.809340583827655,-0.0574626424249091,"Converged","MLE",FALSE,FALSE,0.5,0.5
72,-2.39419199710974,2.32238229326488,-0.04786928088851,"Converged","CC",FALSE,FALSE,0.5,0.5
73,-2.59515053368715,3.30376866448639,-0.0371569789125513,"Converged","CC",FALSE,FALSE,0.5,0.5
74,-3.11874342363474,4.03110419884758,0.00238728615764713,"Converged","MLE",FALSE,FALSE,0.5,0.5
75,-2.28682017488932,2.9450870433279,-0.0919716159733375,"Converged","CC",FALSE,FALSE,0.5,0.5
76,-2.18982805320267,2.50177096215025,-0.0878374356294508,"Converged","CC",TRUE,TRUE,0.5,0.5
77,-2.84579789171766,4.33964320353938,-0.0854954482135684,"Converged","CC",FALSE,FALSE,0.5,0.5
78,-1.87379548657081,2.17523912809324,-0.137633447508209,"Converged","MLE",FALSE,FALSE,0.5,0.5
79,-2.65694808192603,3.67198241265273,-0.058570876677339,"Converged","MLE",FALSE,FALSE,0.5,0.5
80,-2.02024575478079,2.63854909062939,-0.160290123029103,"Converged","MLE",FALSE,FALSE,0.5,0.5
81,-2.10047438603937,2.22971731275523,-0.0982810310202427,"Converged","MLE",FALSE,FALSE,0.5,0.5
82,-3.19395918852507,4.3720058182626,-0.0324745823840833,"Converged","CC",FALSE,FALSE,0.5,0.5
83,-1.69640343057561,2.15702979068357,-0.180979112972,"Converged","CC",FALSE,FALSE,0.5,0.5
84,-2.51072326221284,3.02103599054396,-0.0771339158231995,"Converged","CC",FALSE,FALSE,0.5,0.5
85,-1.8867138477013,1.49404459244629,-0.0855021518276122,"Converged","CC",FALSE,FALSE,0.5,0.5
86,-4.38288156453779,7.95385082689323,-0.0348451165818854,"Converged","CC",FALSE,FALSE,0.5,0.5
87,-1.05326366046083,-1.23065669455888,-0.10256726228537,"Converged","CC",FALSE,FALSE,0.5,0.5
88,-0.981357910175259,-1.18373126034132,-0.0892458775816806,"Converged","CC",FALSE,FALSE,0.5,0.5
89,-2.24544884262776,3.01527112921622,-0.0863438216617501,"Converged","CC",FALSE,FALSE,0.5,0.5
90,-1.93327209462979,1.58617413690098,-0.0906902662172664,"Converged","CC",FALSE,FALSE,0.5,0.5
91,-1.77099402534939,1.17377752720339,-0.0793382857907611,"Converged","CC",FALSE,FALSE,0.5,0.5
92,-2.4349039221363,3.86567459817314,-0.121661380698081,"Converged","CC",FALSE,FALSE,0.5,0.5
93,-1.27499527210527,-0.695524512697172,-0.0292004003136241,"Converged","CC",FALSE,FALSE,0.5,0.5
94,-2.83189879611435,4.81455364939098,-0.102796061167367,"Converged","CC",FALSE,FALSE,0.5,0.5
95,-2.39358407550524,3.32613361043593,-0.131089651570519,"Converged","CC",FALSE,FALSE,0.5,0.5
