"sim","gs_beta0","gs_beta1","gs_beta2","naive_beta0","naive_beta1","naive_beta2","cc_beta0","cc_beta1","cc_beta2","smle_beta0","smle_beta1","smle_beta2","tpr","fpr"
1,-0.722662367663434,1.72251638183851,-0.0339222452228675,-0.423434634238701,0.632578074432655,-0.033655704466317,-0.719746290099234,2.03239452115714,-0.0242130611600519,-0.890499744123882,2.17394115159951,-0.0337182420458967,0.95,0.05
2,-2.16895796512631,1.52790953707225,-0.000696324883403181,-1.91779021507414,0.469661238378906,0.000456592597541025,-1.60664625265432,1.21914503150377,-0.0074865912372657,-2.12413260371248,1.30766680315558,0.000247871653021725,0.95,0.05
3,-1.85084784898098,0.618056085346486,-0.00245727041182284,-1.70027331083955,0.0760091555196852,-0.00208720242414603,-1.04439744453724,0.817360163377027,-0.0214851441425113,-1.77741036302168,0.35315048429461,-0.00223265492386793,0.95,0.05
4,-2.91361218326517,1.73008509289132,0.01473110905258,-2.63969928273465,0.829570300403266,0.014123841334497,-2.47837329576433,3.20531800943874,-0.0007742701879473,-3.04256186819374,2.2209471577997,0.0148974295671142,0.95,0.05
5,-1.59106661906724,1.20160813700002,-0.0120348417488324,-1.5409404898123,0.853609116492031,-0.0119174698367911,3.15657668949905,-1.55440110854264,-0.110013156079361,-1.66544147751582,1.44821992414421,-0.0120857192351496,0.95,0.05
6,-1.16589359497145,0.748260825123808,-0.018878514058561,-0.837870004949804,-0.171937676865227,-0.0195547362693188,-5.78097502863936,8.58491360134665,0.0115862983296042,-1.10636617398436,0.647454044380429,-0.0193094684680391,0.95,0.05
7,-1.16975239225389,1.2435221141055,-0.020069557981473,-0.900993314415575,0.35419866152361,-0.0202060101928873,0.722729062617484,1.04751644948727,-0.0668343157915701,-0.879420075188225,0.36297993014563,-0.0202311688886054,0.95,0.05
8,-1.59025743244491,1.81835920650245,-0.0139818171030956,-1.56585899917078,1.31581211787044,-0.0129567701368457,-3.39085720121864,-0.0592775138799858,0.033317480296243,-1.85300512394282,2.5304469505835,-0.0133821472204942,0.95,0.05
9,-1.48381188784589,1.25032912584003,-0.0146742066573656,-1.17446557263042,0.308967160006321,-0.0153281226915311,-2.01912854151432,1.22032879892575,-0.00262035394078395,-1.38242074747759,0.966849803396187,-0.0151344055153766,0.95,0.05
10,-1.87230442662416,1.35376864863032,-0.00698795476019183,-1.75700140777367,0.807676135602007,-0.00673905391262576,-2.62987913313244,6.0306504775846,-0.0330135957454739,-2.09845096911308,2.13669541532158,-0.00783471827692114,0.95,0.05
11,-0.774752692073533,0.0794083782172406,-0.0212846793644061,-0.721155121395788,-0.0819266402395624,-0.0212652524733188,1.14609887387846,-0.0765012130149904,-0.0597878442452191,-0.82577316048725,0.244160083084436,-0.0213467854664623,0.95,0.05
12,-2.21658448391632,1.44400401561377,0.00137002460800946,-1.92756989320951,0.367800413961657,0.00216439928032231,-3.24841744857716,0.45617318483952,0.0452452626478569,-1.95416934137653,0.547938605124405,0.00223239376301611,0.95,0.05
13,-1.56067559891472,1.8138422054532,-0.0137524358835125,-1.36303715485691,1.11785504238042,-0.0149069824670421,-1.5611520379259,0.794711684216401,0.00207346677632001,-1.69805788126453,2.20165676371771,-0.0136531328451869,0.95,0.05
14,-3.62361496065402,0.390782228300892,0.0376485872246056,-3.5104048916086,0.0124734143178158,0.0377681558175886,-3.66642008811004,4.48019278665236,0.0117563731508798,-3.63144623824112,0.455797377035665,0.0374740129668657,0.95,0.05
15,-2.15806688193189,1.47015343189822,-0.00124597674727114,-1.77070866316128,0.240462052094978,-0.00150818104775093,-1.79515697432326,8.85552444908057,-0.0780572948299167,-1.96679380543846,0.894496710387522,-0.00139745420578295,0.95,0.05
16,-0.442753473659855,0.0645766525559578,-0.028243865549166,-0.56754495502591,0.362538537959116,-0.0280362814215387,-0.192160654357353,2.67114586650513,-0.055503927782453,-0.835289945719752,1.22007978865209,-0.0276026547177191,0.95,0.05
17,-2.65270890523558,0.567527030524097,0.0160264918836434,-2.4757192057158,0.00367304051848591,0.0159658289768033,-0.544375212761968,-5.35190242754725,0.00128817578517055,-2.42955853278246,-0.152420577098844,0.0160079053924567,0.95,0.05
18,-1.97666367364007,1.3425323010699,-0.0043261529041585,-1.98006449828052,1.16491625397803,-0.00468537604792923,-1.58074123693731,0.90239285952213,-0.0153820556910979,-2.28634843644738,2.25597526964196,-0.00448068876428242,0.95,0.05
19,-0.837021533677841,0.838223648699111,-0.0306845518713082,-0.843231583801001,0.703785884024012,-0.0305619825398018,-1.17611781973208,2.83567975124304,-0.0436426091020768,-1.11019461313798,1.6225228185186,-0.0305316432477123,0.95,0.05
20,-1.61949332621195,1.73058090322283,-0.0152868116056559,-1.36444725263768,0.872980836297105,-0.016076192747486,-1.72002575669873,1.0170576878512,-0.00269903991433766,-1.5884856649494,1.701068927905,-0.015984386307256,0.95,0.05
21,-2.0699676166883,2.39404164421691,-0.00972666213870512,-1.66446862190607,1.00452147667157,-0.010078572861479,0.751695272004268,-0.0761568903664381,-0.0529883098560805,-1.73095982794036,1.58445750740507,-0.0107810464986156,0.95,0.05
22,-0.571066121651329,0.363234249499312,-0.0253147176793451,-0.498804323789485,0.0792695744700502,-0.025028647894816,-4.42346887347104,6.51052795729824,0.0214294827761538,-1.13763877903086,2.13827949983318,-0.0243798481540739,0.95,0.05
23,-1.56007779663365,1.24326566773136,-0.0117693646092995,-1.46582829052811,0.824249739819248,-0.0121434538891141,-0.829182734188561,5.4454000906956,-0.056773426478831,-1.86063291748605,2.28777760709704,-0.0129823248972599,0.95,0.05
24,-2.39054188651453,0.577174943617588,0.0123861400252728,-2.26721206702097,0.131472364980992,0.0125458435605447,-3.17328630813723,0.155182955586096,0.03646567950586,-2.51271832262238,0.997190613038499,0.0124065889620102,0.95,0.05
25,-2.60895572638159,0.282159855646825,0.0187469999207915,-2.35873128675895,-0.484884417463793,0.0191127385483469,-1.76979542533061,1.32799421572477,-0.0136719517770741,-2.16810026251137,-1.28495355136834,0.019140952950014,0.95,0.05
26,-1.2206579440053,0.331061469010551,-0.0144022797430593,-1.35180332482867,0.576812905643686,-0.013928799419552,-0.157998227690805,0.481857439233482,-0.0409457086375575,-1.60381115684351,1.51982334651814,-0.0140351788656252,0.95,0.05
27,-1.88046456498897,1.0239857169373,3.04746550733332e-05,-1.86782018153276,0.79565088784721,0.000171013838478143,0.907322495135925,-4.40391266610189,-0.0310544292344353,-2.12854976283774,1.69441165371867,0.000621463004810511,0.95,0.05
28,-0.966537643157193,1.2221737502905,-0.0277528948755535,-0.648947504875549,0.275763271666423,-0.0284531787331316,1.07542047801111,-0.385765403320484,-0.0605713102092859,-0.682970388107613,0.466604682835445,-0.0284517651678824,0.95,0.05
29,-1.73132387498933,2.07348780001083,-0.0132342146158414,-1.55674867533078,1.19387180283238,-0.0123519609445132,0.908147988943574,-1.3502697649629,-0.0433760537666909,-1.68489230838201,1.80174942231894,-0.011899274584212,0.95,0.05
30,-1.19564673238488,1.40224388220213,-0.0181390978928875,-0.891630040953748,0.293504443150185,-0.0175079447173962,0.383420627854145,4.80842788401966,-0.075797151482018,-1.2759149102742,1.58741802136377,-0.0175351879072691,0.95,0.05
31,-1.36009904519732,0.36209004113977,-0.0091021916622785,-1.15017507165977,-0.260566585892826,-0.00911108963014673,-0.621165170735758,1.15385133120367,-0.0387183888624891,-1.16208491386405,-0.277606414291931,-0.00911844544273513,0.95,0.05
32,-1.76073564951688,1.37622069912089,-0.00955110227382238,-1.43201672045047,0.0701034473873513,-0.00769841174541882,-0.957360923046634,7.67670244143934,-0.083086186536711,-1.68476086494455,0.98327517921564,-0.00822953072122051,0.95,0.05
33,-2.29437788836228,0.889708935223662,0.00992770223581048,-1.93126470659555,-0.43919983337136,0.0115472695469291,-2.04537489719572,2.29543736776251,-0.00720396216244839,-1.98688338840789,-0.299599834526168,0.011272876573666,0.95,0.05
