"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
1,-2.03175833357207,0.581050869814993,0.00238253442920964,"Converged",FALSE,-1.99148996509973,0.431848147844155,0.00241312166878185,"Converged",FALSE,-2.11190026887024,0.830535832212852,0.00232120750844761,"Converged",FALSE,-2.06134870539827,0.69407941176059,0.00237153323065662,"Converged",FALSE,-1.99484638584825,0.432587711602392,0.00242703564802701,"Converged",FALSE,0.99,0.01
2,-1.12376295035553,0.983419133652728,-0.0206970830470108,"Converged",FALSE,-1.15040824480266,1.07689535608011,-0.0209646157717079,"Converged",FALSE,-1.1967391299962,1.19819396935294,-0.020564279178827,"Converged",FALSE,-1.03754868767359,0.739243901579745,-0.0207786608905689,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
3,NA,NA,NA,"B-spline error",FALSE,-1.70635950623396,0.917110560796977,-0.00808399975250846,"Converged",FALSE,-1.6492013875015,0.786423764895576,-0.00837546765238426,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,-1.68609638267179,0.838795025732901,-0.00826658694859989,"Converged",FALSE,0.99,0.01
4,-1.75175868260493,0.367784423511182,-0.0029911788966893,"Converged",FALSE,-1.91214527220778,0.925623028442957,-0.00330710048963364,"Converged",FALSE,-1.878781062916,0.809310344054487,-0.00320871641301571,"Converged",FALSE,-1.8021487227677,0.588060244740011,-0.00324994741842972,"Converged",FALSE,-2.05808498756259,1.41595863014754,-0.00336146062222413,"Converged",FALSE,0.99,0.01
5,-2.23176442494671,1.90162858019303,-0.00578369735330512,"Converged",FALSE,-2.36307209922317,2.24854534215771,-0.00619930401219957,"Converged",FALSE,-2.23684406970746,2.06579717378894,-0.00616858025276502,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
6,-2.21790631932826,1.95370739654929,-0.00355994214528805,"Converged",FALSE,-1.97571973909884,1.38846681771029,-0.00438281916298506,"Converged",FALSE,-2.18703812800402,1.99729328645056,-0.00429196839151745,"Converged",FALSE,-1.96180724945634,1.36291334483066,-0.00451613843215774,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
7,-1.15613949741179,0.285443393045915,-0.0154697415466589,"Converged",FALSE,-1.34925413733592,0.900590628570916,-0.0152960024797042,"Converged",FALSE,-1.04576689988526,-0.0708543966012478,-0.0154254185471004,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,0.99,0.01
8,0.0592089516845007,0.74821225877289,-0.0435452929828463,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.037532720835412,0.820244901165898,-0.0434023413674191,"Converged",FALSE,0.99,0.01
9,-2.61829824536775,-0.339222523535341,0.020931715154302,"Converged",FALSE,-2.67937389921937,-0.138239316930544,0.0208964671183248,"Converged",FALSE,-2.59632234902476,-0.426038588093811,0.0210906273912559,"Converged",FALSE,-2.59106303781429,-0.497304615173258,0.0212670352004399,"Converged",FALSE,-2.52526645839151,-0.622116868323901,0.0211584149469689,"Converged",FALSE,0.99,0.01
10,-2.38715501835132,2.62070714456109,-0.000849737430282299,"Converged",FALSE,-2.67525648702084,3.5811916963619,-0.00103367084186655,"Converged",FALSE,-2.36820923319843,2.68192204075304,-0.000952281403052483,"Converged",FALSE,-2.32555536972703,2.52475746585198,-0.00153734941435048,"Converged",FALSE,-2.2521295400198,2.19580924336518,-0.00101779212014236,"Converged",FALSE,0.99,0.01
