"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_data_resampled","tpr","fpr"
1,-1.95750092394763,2.5160006125305,-0.130555261941127,"Converged",FALSE,0.99,0.01
2,-2.14211185576334,2.66404937069079,-0.122689480899974,"Converged",FALSE,0.99,0.01
3,-2.26353057983641,3.07787182219847,-0.117259658016194,"Converged",TRUE,0.99,0.01
4,-2.08016109530505,2.24805383810722,-0.105565775526327,"Converged",FALSE,0.99,0.01
5,-1.39517624288604,0.467613620510175,-0.100375660849322,"Converged",FALSE,0.99,0.01
6,-2.11009763473301,2.16869303343727,-0.157741710724212,"Converged",FALSE,0.99,0.01
7,-2.20052199125098,2.23407157509834,-0.0696059757068022,"Converged",FALSE,0.99,0.01
8,-1.82869851836599,0.747422555437803,-0.0724534526308838,"Converged",FALSE,0.99,0.01
9,-1.75488095161174,1.34156823600081,-0.111091246817523,"Converged",FALSE,0.99,0.01
10,-1.97022910583854,2.35249340651099,-0.116114930713397,"Converged",FALSE,0.99,0.01
11,-1.45357087701246,-0.101719983942295,-0.0642749193127097,"Converged",FALSE,0.99,0.01
12,-1.98561620125043,2.30995222316806,-0.135756294621996,"Converged",FALSE,0.99,0.01
13,-1.97438194678719,2.10852755265419,-0.118200495662198,"Converged",FALSE,0.99,0.01
14,-1.80109569771583,1.04201630889861,-0.058115750612612,"Converged",FALSE,0.99,0.01
15,-2.28195970643474,1.89376552875102,-0.021470038203631,"Converged",FALSE,0.99,0.01
16,-1.86999342873046,2.14768243857209,-0.104805891734414,"Converged",FALSE,0.99,0.01
17,-2.10575044092223,2.08889131436814,-0.0422057583979299,"Converged",FALSE,0.99,0.01
18,-1.58541543423537,1.49595986258519,-0.140391532286658,"Converged",FALSE,0.99,0.01
19,-2.62897847936493,3.99939720499371,-0.0933921377389612,"Converged",FALSE,0.99,0.01
20,-2.35505215110759,3.15241776479536,-0.0811174530451493,"Converged",FALSE,0.99,0.01
21,-1.94503462188326,1.12078122188611,-0.0511740912903987,"Converged",FALSE,0.99,0.01
