"sim","score_beta0","score_beta1","score_beta2","score_conv_msg","score_data_resampled","tpr","fpr"
1,-1.98297588537432,2.59375716910677,-0.130036153842956,"Converged",FALSE,0.99,0.01
2,-1.88715489966262,2.40545556643608,-0.152122715477172,"Converged",FALSE,0.99,0.01
3,-1.95879278369461,1.85689536192752,-0.0700795990544637,"Converged",FALSE,0.99,0.01
4,-2.27968110093913,2.87830319398552,-0.109843758006207,"Converged",TRUE,0.99,0.01
5,-1.77793583038463,1.11070881784207,-0.0919653185051113,"Converged",FALSE,0.99,0.01
6,-1.76354747857126,0.678827062367267,-0.100927186163798,"Converged",FALSE,0.99,0.01
7,-1.64874368727375,1.69858402057106,-0.136514111029933,"Converged",FALSE,0.99,0.01
8,-1.82656906050845,0.64984671087607,-0.0559124910626997,"Converged",FALSE,0.99,0.01
9,-1.80529021899043,2.00711936728387,-0.139051847567361,"Converged",FALSE,0.99,0.01
10,-1.6499874032748,1.19418001759152,-0.081852820912013,"Converged",FALSE,0.99,0.01
11,-2.02146724933662,1.88816158249174,-0.087155091152241,"Converged",FALSE,0.99,0.01
12,-1.46598461144969,0.379896745594679,-0.0943478310300136,"Converged",FALSE,0.99,0.01
13,-2.36710256066127,2.79556801213185,-0.0856501595502304,"Converged",FALSE,0.99,0.01
14,-2.10793965426637,1.82360330180683,-0.0614617548349442,"Converged",FALSE,0.99,0.01
15,NA,NA,NA,"MAX_ITER reached",FALSE,0.99,0.01
16,-2.75025464156527,3.84901354148448,-0.0937302157484332,"Converged",TRUE,0.99,0.01
17,-2.03265505091176,2.06105743808782,-0.113872972096391,"Converged",FALSE,0.99,0.01
18,-1.454824791128,1.8318405335689,-0.173740884554695,"Converged",FALSE,0.99,0.01
19,-1.59222805077538,0.918085689218517,-0.106790446028741,"Converged",FALSE,0.99,0.01
20,-1.99051761626354,1.03958312073193,-0.0500459638868136,"Converged",TRUE,0.99,0.01
21,-1.92246029511312,1.73394769840028,-0.0796744107324086,"Converged",FALSE,0.99,0.01
22,-2.33116637431159,2.47057145294912,-0.0647345499298306,"Converged",FALSE,0.99,0.01
23,-1.75306419420823,1.45833856402228,-0.116056821805589,"Converged",FALSE,0.99,0.01
24,-1.78927821146354,1.7359319070441,-0.109442444263842,"Converged",FALSE,0.99,0.01
25,-2.07621521259423,2.02084161317266,-0.106608155386106,"Converged",FALSE,0.99,0.01
26,-1.15123470066797,0.252446768913208,-0.141253008727356,"Converged",FALSE,0.99,0.01
27,-2.30977758316488,2.43896933675364,-0.0741979331950584,"Converged",FALSE,0.99,0.01
28,-1.8729060280198,1.84166002617297,-0.127126868305056,"Converged",FALSE,0.99,0.01
29,NA,NA,NA,"MAX_ITER reached",FALSE,0.99,0.01
30,-1.50575710121325,0.696518468080917,-0.120454077863882,"Converged",TRUE,0.99,0.01
31,-2.17713947746393,1.74175388259451,-0.0397589945871987,"Converged",FALSE,0.99,0.01
32,-1.35616675801852,0.943114599721522,-0.128978080491562,"Converged",FALSE,0.99,0.01
33,-1.91277284366714,1.81771598135319,-0.0746481690821732,"Converged",FALSE,0.99,0.01
34,-2.19485862916495,1.75560693460693,-0.0309156621618645,"Converged",FALSE,0.99,0.01
35,-1.91165835598257,2.07300916003711,-0.130608831478886,"Converged",TRUE,0.99,0.01
36,-1.57486980043048,1.00866817366646,-0.109148761715841,"Converged",TRUE,0.99,0.01
37,-1.8527353803051,1.85845628717379,-0.153593048891387,"Converged",FALSE,0.99,0.01
38,-1.87946297991195,1.57707298055792,-0.102789733680808,"Converged",FALSE,0.99,0.01
39,-2.04918540354346,2.54554392086682,-0.167508713832548,"Converged",FALSE,0.99,0.01
40,-1.56759300258826,-0.0273807833282636,-0.0162544468804096,"Converged",TRUE,0.99,0.01
41,-2.10242807524707,2.33914730754939,-0.106741215891897,"Converged",FALSE,0.99,0.01
42,-1.79936439206047,1.97060300049114,-0.144298210199615,"Converged",FALSE,0.99,0.01
43,-1.57916491430124,0.108214180098455,-0.0483757680687268,"Converged",FALSE,0.99,0.01
44,-1.2838908600224,-0.224564537748119,-0.14206604155059,"Converged",FALSE,0.99,0.01
45,-1.59491113658469,0.823790662721212,-0.101842428511762,"Converged",FALSE,0.99,0.01
46,-2.38707766778951,2.80767776525461,-0.0750570515078267,"Converged",FALSE,0.99,0.01
47,-1.93437467783891,0.674871431532038,-0.0127089237461722,"Converged",FALSE,0.99,0.01
48,-1.24273599746469,1.07938144579403,-0.218015505503678,"Converged",FALSE,0.99,0.01
49,-2.12058604263708,2.26053014542084,-0.119269639677623,"Converged",TRUE,0.99,0.01
50,-1.98150050373362,1.03354769963096,-0.0254207260810702,"Converged",FALSE,0.99,0.01
51,-1.34783332016228,0.162263375520845,-0.110694558467902,"Converged",FALSE,0.99,0.01
52,-1.89998711719523,1.42043481738033,-0.0743279522701689,"Converged",FALSE,0.99,0.01
53,-2.34324360824335,2.70669750075467,-0.0766845582963143,"Converged",TRUE,0.99,0.01
54,-1.66680763506772,1.19083089379928,-0.100741294663311,"Converged",TRUE,0.99,0.01
55,-1.96915086249564,2.48953717050948,-0.0955727976438645,"Converged",FALSE,0.99,0.01
56,-2.27710611925748,1.78514426064249,-0.00550865696185432,"Converged",TRUE,0.99,0.01
57,-2.12429477588357,2.75489046999922,-0.132955612855473,"Converged",FALSE,0.99,0.01
58,-1.57559126429479,0.129663755670253,-0.0729369872192996,"Converged",TRUE,0.99,0.01
59,-2.20717581259816,2.00093723309277,-0.0854759454313078,"Converged",TRUE,0.99,0.01
60,-1.47208739494674,0.998648086897793,-0.123220315410111,"Converged",FALSE,0.99,0.01
61,-0.971363851221729,-0.668942810594312,-0.120350785337878,"Converged",FALSE,0.99,0.01
62,-2.00600281671303,1.48072254614339,-0.0586663472135647,"Converged",TRUE,0.99,0.01
63,-1.98590279652236,1.89039427048523,-0.0904316584841501,"Converged",FALSE,0.99,0.01
64,-0.906356836315401,-0.548834731590851,-0.133128522109769,"Converged",FALSE,0.99,0.01
65,-1.35598338121703,0.984267726053178,-0.140731554564095,"Converged",TRUE,0.99,0.01
66,-1.74866809098698,1.54217498651599,-0.097388161344895,"Converged",FALSE,0.99,0.01
67,-1.68273039868901,1.47395166883355,-0.127162150895726,"Converged",TRUE,0.99,0.01
68,-1.77650862915021,1.48430885325862,-0.0790271445201097,"Converged",FALSE,0.99,0.01
69,-1.74409278066138,1.03246910819894,-0.0795596853445256,"Converged",TRUE,0.99,0.01
70,-0.900025822154086,-0.387484247922722,-0.193127048575351,"Converged",FALSE,0.99,0.01
71,-1.75848273293777,1.90967661608718,-0.167905514970066,"Converged",TRUE,0.99,0.01
72,-1.57919499030551,0.528002186755061,-0.0938102808969794,"Converged",FALSE,0.99,0.01
73,-1.8656280284743,1.31699192618968,-0.0606323033292902,"Converged",FALSE,0.99,0.01
74,-0.893613052508503,-1.77232491977044,-0.073152594716309,"Converged",FALSE,0.99,0.01
75,-1.82902281954443,1.47456991221394,-0.0799721161697529,"Converged",FALSE,0.99,0.01
76,-2.06648471655216,0.898827567930362,-0.0530535918575458,"Converged",FALSE,0.99,0.01
77,-1.72198475561689,0.680823043154699,-0.0958286923099683,"Converged",FALSE,0.99,0.01
78,-1.92982071894654,2.1667306908437,-0.105180307182143,"Converged",FALSE,0.99,0.01
79,-1.42090255668707,0.840552962510978,-0.151741795176031,"Converged",FALSE,0.99,0.01
80,-2.05994606573615,2.20622728666706,-0.100885598601532,"Converged",TRUE,0.99,0.01
81,-1.53987489386544,1.25913026300307,-0.143224234038779,"Converged",FALSE,0.99,0.01
82,-1.87347391993615,0.526544185954416,-0.0478077407146387,"Converged",FALSE,0.99,0.01
83,-1.51550483982501,0.589020516976039,-0.132582424091558,"Converged",TRUE,0.99,0.01
84,-1.94669810421561,2.21667334751598,-0.114012796938462,"Converged",FALSE,0.99,0.01
85,-1.77264086305367,1.96226637444865,-0.156754013373419,"Converged",FALSE,0.99,0.01
86,-1.57863184609923,0.301023379939899,-0.0642408266529856,"Converged",FALSE,0.99,0.01
87,-1.9048409091104,1.85029098237277,-0.154213777321668,"Converged",TRUE,0.99,0.01
88,-2.05689325746183,2.84240141605235,-0.123309643391122,"Converged",FALSE,0.99,0.01
89,-1.73726208527698,2.31479425948907,-0.176889699085741,"Converged",FALSE,0.99,0.01
90,-1.53285921186189,0.608830898873063,-0.1041195835521,"Converged",TRUE,0.99,0.01
91,-1.19797116605737,0.533883482930469,-0.132160409515478,"Converged",FALSE,0.99,0.01
92,-2.04137154916382,3.37108672351239,-0.157981445129849,"Converged",FALSE,0.99,0.01
93,-2.29358379333261,2.31340902463794,-0.0369248388936204,"Converged",TRUE,0.99,0.01
94,-1.90574494898292,1.90756527465838,-0.130695211275259,"Converged",FALSE,0.99,0.01
95,-2.24428522259588,2.0513524708698,-0.0489031271749307,"Converged",FALSE,0.99,0.01
96,-1.82934742905618,2.08937466174486,-0.11254438897324,"Converged",TRUE,0.99,0.01
97,-1.93429633916976,2.13670749640874,-0.136075094769872,"Converged",TRUE,0.99,0.01
98,-1.38681457798709,0.626585262380737,-0.13447651623404,"Converged",FALSE,0.99,0.01
99,-1.61619608478506,1.76499153237103,-0.158748692107003,"Converged",FALSE,0.99,0.01
100,-2.21067397475228,2.66962264264408,-0.0981230250365741,"Converged",TRUE,0.99,0.01
101,-2.1876746244328,2.17937691163841,-0.0664010864638883,"Converged",FALSE,0.99,0.01
102,-1.43559962660448,1.30850595507987,-0.160197418472334,"Converged",FALSE,0.99,0.01
103,-1.8263074219721,2.13138602403924,-0.145071331916547,"Converged",TRUE,0.99,0.01
