"sim","optMLE2_beta0","optMLE2_beta1","optMLE2_beta2","optMLE2_conv_msg","optMLE_wave1_est","optMLE_data_resampled","optMLE_sing_inf","tpr","fpr"
1,-1.8662485776391,2.19846665258111,-0.127036463668047,"Converged","CC",FALSE,FALSE,0.8,0.2
2,-1.99838471758614,2.18124118539257,-0.114663805474549,"Converged","MLE",FALSE,FALSE,0.8,0.2
3,-2.17590747065799,2.41552019316579,-0.0724599647809681,"Converged","CC",FALSE,FALSE,0.8,0.2
4,-2.39591356045802,3.15380425189688,-0.0684644471044482,"Converged","MLE",FALSE,FALSE,0.8,0.2
5,-2.08913207594983,2.95741128721445,-0.160166441331524,"Converged","CC",FALSE,FALSE,0.8,0.2
6,NA,NA,NA,NA,"MLE",FALSE,TRUE,0.8,0.2
7,-2.05344732281674,1.7706681810438,-0.088308056619397,"Converged","MLE",FALSE,FALSE,0.8,0.2
8,-1.85925493962055,1.14823232071018,-0.0685602700478263,"Converged","MLE",FALSE,FALSE,0.8,0.2
9,-2.95999527888648,3.61659102610577,-0.048260616215167,"Converged","MLE",FALSE,FALSE,0.8,0.2
10,-3.12830421963731,5.88559565797843,-0.168354497570493,"Converged","MLE",FALSE,FALSE,0.8,0.2
11,-1.26014831693195,0.163559604822654,-0.142164225385437,"Converged","CC",FALSE,FALSE,0.8,0.2
12,-2.85416049399779,3.72141807848429,-0.0517559009889308,"Converged","CC",FALSE,FALSE,0.8,0.2
13,-2.16140143235215,2.49360605645596,-0.146462568484514,"Converged","CC",FALSE,FALSE,0.8,0.2
14,-2.07308407796441,1.73452915029086,-0.0685390344726559,"Converged","MLE",FALSE,FALSE,0.8,0.2
15,-1.08347906659818,-0.531047856981082,-0.123474961346657,"Converged","CC",FALSE,FALSE,0.8,0.2
16,-1.8945266782455,2.01356062026267,-0.135092679569735,"Converged","CC",TRUE,FALSE,0.8,0.2
17,-2.33731324957601,2.08304257759029,-0.045154665385147,"Converged","MLE",FALSE,FALSE,0.8,0.2
18,-1.44049955673103,1.31132401676431,-0.139734912628749,"Converged","MLE",FALSE,FALSE,0.8,0.2
19,-2.59265285639722,4.37500297563333,-0.15121304343799,"Converged","MLE",FALSE,FALSE,0.8,0.2
20,-1.08041477003038,-0.265475777522928,-0.101952893807381,"Converged","MLE",FALSE,FALSE,0.8,0.2
21,-3.38701833673951,5.32122397439959,-0.0402263513987696,"Converged","CC",FALSE,FALSE,0.8,0.2
22,-2.57701863532318,2.89337128498912,-0.0334914737469646,"Converged","MLE",FALSE,FALSE,0.8,0.2
23,-1.66826982150843,1.90630448917554,-0.174695689535928,"Converged","MLE",FALSE,FALSE,0.8,0.2
24,-1.93971754973546,1.8347721824566,-0.0798284578343899,"Converged","CC",FALSE,FALSE,0.8,0.2
25,-2.27041518220287,1.77291227125194,-0.0369966668300715,"Converged","CC",FALSE,FALSE,0.8,0.2
26,-2.16460288670656,1.33976742129097,0.00675642421529203,"Converged","MLE",FALSE,FALSE,0.8,0.2
27,-2.25197234342197,2.41812191025403,-0.121735410076705,"Converged","MLE",FALSE,FALSE,0.8,0.2
28,-2.24763690532901,2.1766781569061,-0.0684916823655919,"Converged","MLE",FALSE,FALSE,0.8,0.2
29,-1.29953944025243,0.748118242482187,-0.143984336038833,"Converged","MLE",FALSE,FALSE,0.8,0.2
30,-1.66884840562991,1.08080636949939,-0.0890478579684427,"Converged","CC",TRUE,FALSE,0.8,0.2
31,-0.908862581569869,-1.24971647738178,-0.120844964314015,"Converged","CC",TRUE,FALSE,0.8,0.2
32,-1.45342323341649,1.72908671833402,-0.17022536788369,"Converged","MLE",FALSE,FALSE,0.8,0.2
