"sim","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","cc_data_resampled","tpr","fpr"
1,-2.15488148901195,3.21565240203382,-0.130973546942937,"Converged",FALSE,0.99,0.01
2,-1.45630420148797,1.0131069547127,-0.149269774632139,"Converged",FALSE,0.99,0.01
3,-2.15033537537332,2.13366807611467,-0.0463313586301238,"Converged",FALSE,0.99,0.01
4,-1.67965176739451,1.21454891451006,-0.098409313819596,"Converged",FALSE,0.99,0.01
5,-1.88362137332558,1.56713074891186,-0.109066046512786,"Converged",FALSE,0.99,0.01
6,-1.82735297617367,1.94298984973381,-0.116431874482716,"Converged",FALSE,0.99,0.01
7,-2.27316624157472,2.4229393468271,-0.111785660417547,"Converged",FALSE,0.99,0.01
8,-1.9609273244818,1.75160370218957,-0.0882802193792327,"Converged",FALSE,0.99,0.01
9,-2.75641996827048,2.78871120307224,-0.0242979388867188,"Converged",FALSE,0.99,0.01
10,-0.770558243932228,-1.84572394718875,-0.122704929870773,"Converged",FALSE,0.99,0.01
11,-2.91129689107571,5.38430560136646,-0.151545265201885,"Converged",FALSE,0.99,0.01
12,-2.23077799581211,2.47948619627943,-0.140650910832118,"Converged",TRUE,0.99,0.01
13,-2.1073919483065,2.10424146458285,-0.0880996351202642,"Converged",FALSE,0.99,0.01
14,-1.94890377557387,1.58510842736181,-0.0712894015446444,"Converged",FALSE,0.99,0.01
15,-1.62493720254577,0.363608232296809,-0.0565374309413801,"Converged",FALSE,0.99,0.01
16,-1.37129017392413,1.11581624161838,-0.173223039392669,"Converged",FALSE,0.99,0.01
17,-2.17074465178884,2.33908378365286,-0.0864776601135005,"Converged",FALSE,0.99,0.01
18,-1.30398080931505,1.05049046669739,-0.144103186970544,"Converged",FALSE,0.99,0.01
19,-2.29725893376266,3.23921585985868,-0.124820082790129,"Converged",FALSE,0.99,0.01
20,-2.11984270071531,1.96104015228616,-0.034864618182415,"Converged",FALSE,0.99,0.01
21,-1.90269097017331,0.820328208863765,-0.0291951832364923,"Converged",FALSE,0.99,0.01
22,-2.42032883304521,3.17472173419937,-0.0724613403866647,"Converged",FALSE,0.99,0.01
23,-2.14866895581133,2.56605303265767,-0.101349867168916,"Converged",FALSE,0.99,0.01
24,-2.07993228639606,2.00400519712179,-0.0704146806477032,"Converged",FALSE,0.99,0.01
25,-1.96133742031853,1.98814855382358,-0.111631555669253,"Converged",FALSE,0.99,0.01
26,-1.63404009832469,1.16073341766501,-0.0936264188151645,"Converged",FALSE,0.99,0.01
27,-1.69798355489995,1.66873109007247,-0.181216785649934,"Converged",FALSE,0.99,0.01
28,-2.90998446713415,4.00190579169653,-0.0403929962529687,"Converged",FALSE,0.99,0.01
29,-1.551037161026,0.919597303920926,-0.0844060944737987,"Converged",FALSE,0.99,0.01
30,-1.626881678913,1.20789856687387,-0.117758981487779,"Converged",FALSE,0.99,0.01
31,-1.80536156021954,0.148853465719604,0.00727380118797607,"Converged",FALSE,0.99,0.01
32,-1.49598632483879,0.917508314309973,-0.163638029955864,"Converged",FALSE,0.99,0.01
33,-1.49646412858434,0.381457045835406,-0.102522327742358,"Converged",FALSE,0.99,0.01
34,-1.94016190718686,1.75912640132256,-0.0853071843935498,"Converged",FALSE,0.99,0.01
35,-2.20509055557351,2.33450479233579,-0.053953327031708,"Converged",FALSE,0.99,0.01
36,-2.60451108761782,3.91332600367435,-0.0743483161353252,"Converged",FALSE,0.99,0.01
37,-2.13037450967338,1.50953521872386,-0.0620265480037836,"Converged",FALSE,0.99,0.01
38,-2.64725682540688,4.43909297936973,-0.132335246425991,"Converged",FALSE,0.99,0.01
39,-2.00574088692352,2.93380973312402,-0.159167408687615,"Converged",FALSE,0.99,0.01
40,-2.26786434013301,4.06934406172219,-0.203916573861059,"Converged",FALSE,0.99,0.01
41,-2.14842843998273,2.09780728473962,-0.0626529512713772,"Converged",FALSE,0.99,0.01
