"sim","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_data_resampled","audit_recovery"
1,-1.70617709029809,1.63838160667105,-0.127116187419401,"Converged",FALSE,0.25
2,-1.40133520710222,0.846416204463687,-0.124843862890554,"Converged",FALSE,0.25
3,-1.72962643850983,0.979390189391339,-0.100244873419005,"Converged",FALSE,0.25
4,-1.64753101257162,1.16459085283135,-0.121518880123597,"Converged",FALSE,0.25
5,-1.47413017438611,0.758381143019995,-0.109697144173367,"Converged",FALSE,0.25
6,-1.89233132241759,1.13187735717222,-0.0766786689638467,"Converged",FALSE,0.25
7,-1.40027415614897,0.899702943984948,-0.136066154679031,"Converged",FALSE,0.25
8,-1.57859492336157,0.715576119987374,-0.0742562597408192,"Converged",FALSE,0.25
9,-1.31965097069006,1.00900118970698,-0.144128825316523,"Converged",FALSE,0.25
10,-1.28916318434686,0.475597442622392,-0.149566828025458,"Converged",FALSE,0.25
11,-1.87447117085709,2.06926907004238,-0.158036463464504,"Converged",FALSE,0.25
12,-1.71523297143328,0.539698784110418,-0.0522405984294305,"Converged",FALSE,0.25
13,-2.14410654500722,2.71595343577215,-0.153746227891092,"Converged",FALSE,0.25
14,-2.08294598794668,1.30521868746198,-0.0377681606744895,"Converged",FALSE,0.25
15,-1.59839952032759,0.941802407941487,-0.131741353925886,"Converged",FALSE,0.25
16,-1.58506359795517,1.48998525424827,-0.153324321332089,"Converged",FALSE,0.25
17,-2.39662285791745,2.09899301897025,-0.0321668818227736,"Converged",FALSE,0.25
18,-2.35048195258494,1.97938533787422,-0.0191260506001689,"Converged",FALSE,0.25
19,-2.32111159203787,2.72287512052104,-0.0917448344946775,"Converged",FALSE,0.25
20,-1.81257032265999,0.343076489089734,0.00500201665208247,"Converged",FALSE,0.25
21,-1.5866751748508,0.013011996778286,-0.0344329900524641,"Converged",FALSE,0.25
22,-1.83842423302336,1.16718859932571,-0.0812694928446293,"Converged",FALSE,0.25
23,-2.02628768424085,2.40926130407003,-0.151671236805953,"Converged",FALSE,0.25
24,-1.48629416133408,0.753141716548258,-0.104617781653598,"Converged",FALSE,0.25
25,-1.49731847198724,0.651822595837461,-0.128559522781113,"Converged",FALSE,0.25
26,-1.95758097733056,1.35206536652935,-0.0703332911017618,"Converged",FALSE,0.25
27,-1.70640213253075,0.210605271092118,-0.00892775355696166,"Converged",FALSE,0.25
28,-2.21633451260622,1.30924415874903,-0.0331390863932189,"Converged",FALSE,0.25
29,-1.78734781439723,1.15349576750319,-0.10698770753168,"Converged",FALSE,0.25
30,-1.99710017509916,0.901082735694828,-0.0350389385315259,"Converged",FALSE,0.25
31,-1.67801633673406,0.697205286553445,-0.0709012070943762,"Converged",FALSE,0.25
32,-1.54368917833862,0.920210796824078,-0.142740840696217,"Converged",FALSE,0.25
33,-1.4268418221251,-0.488070758040057,-0.0509067563069453,"Converged",FALSE,0.25
34,-1.62973597084275,1.24869718499608,-0.108025217873852,"Converged",FALSE,0.25
35,-1.5123776828236,-0.307177926447946,-0.0223872307510863,"Converged",TRUE,0.25
36,-1.96100424019894,1.38841878206883,-0.071485029466684,"Converged",FALSE,0.25
37,-1.96078113912466,2.11159519840048,-0.124505298488208,"Converged",FALSE,0.25
38,-2.00923221293363,2.32796727517365,-0.110857998741916,"Converged",FALSE,0.25
39,-1.01731552646072,0.46475783044211,-0.220486932604973,"Converged",FALSE,0.25
40,-1.71091733906042,1.84478277296852,-0.167033530757012,"Converged",FALSE,0.25
41,-2.23962195573588,0.760747437877747,0.0303587095976298,"Converged",FALSE,0.25
42,-1.86068617446983,0.926001104727341,-0.0303168680509499,"Converged",FALSE,0.25
43,-1.93801514894965,0.854873008186133,-0.0400000516860946,"Converged",FALSE,0.25
44,-1.78839647964364,0.894272696004393,-0.0730979287308404,"Converged",FALSE,0.25
45,NA,NA,NA,"MAX_ITER reached",FALSE,0.25
46,-1.90191376384945,1.57005486761033,-0.0981947752552453,"Converged",FALSE,0.25
47,-1.66471610595277,0.797828376816442,-0.0698332403094019,"Converged",FALSE,0.25
48,-1.42365744216237,1.30129170575109,-0.170828393881075,"Converged",FALSE,0.25
49,-1.22692106484004,0.771439182798606,-0.166158141777159,"Converged",FALSE,0.25
50,-2.18188992537716,1.06165129260669,0.00409342735912042,"Converged",FALSE,0.25
51,-1.73068833695747,1.18235362728902,-0.101090917645863,"Converged",FALSE,0.25
52,-1.88226869321164,1.04963779804194,-0.0404579604712049,"Converged",FALSE,0.25
53,-1.78584536456921,1.27312203288427,-0.10383738377996,"Converged",FALSE,0.25
54,-1.12412877915258,-0.0906294531109458,-0.145958624288914,"Converged",FALSE,0.25
55,-1.90567676819803,1.45012384851942,-0.0459764545277961,"Converged",FALSE,0.25
56,-1.46635300434484,0.520601654917171,-0.143244322385281,"Converged",FALSE,0.25
57,-2.41895202669001,2.9211405030326,-0.0768545310086317,"Converged",FALSE,0.25
58,-1.1081963985114,0.450185870034453,-0.149801227159729,"Converged",FALSE,0.25
59,-1.92777747627649,1.54458287608642,-0.106765789983299,"Converged",FALSE,0.25
60,-1.87720749276962,1.38278973091877,-0.0901625443223449,"Converged",FALSE,0.25
61,-1.38225080886057,0.425677641607473,-0.165377259486946,"Converged",FALSE,0.25
62,-1.79743249149967,1.61179787352953,-0.105245240308076,"Converged",FALSE,0.25
63,-1.23835582727482,-0.542214492917702,-0.0931323666123651,"Converged",FALSE,0.25
64,-1.88895294832725,1.46040622267534,-0.0977150618108793,"Converged",FALSE,0.25
65,-2.14128601656217,1.44098070151696,-0.0431486004122368,"Converged",FALSE,0.25
66,-2.13497990273405,1.92299903348348,-0.0758500246695882,"Converged",FALSE,0.25
67,-1.43304955052415,1.13846740974915,-0.164075289690082,"Converged",FALSE,0.25
68,-1.85611096469988,2.31450845038573,-0.172034527686932,"Converged",FALSE,0.25
69,-1.66756153258092,0.592667478046701,-0.0621651205633094,"Converged",FALSE,0.25
70,-1.62651690549388,0.337749921996436,-0.00896976230050709,"Converged",FALSE,0.25
71,-1.80567912107966,0.630756743988835,-0.0650407802264747,"Converged",FALSE,0.25
72,-1.47352876963765,0.302892110556634,-0.123805291349845,"Converged",FALSE,0.25
73,-1.80234246430693,1.46733161134336,-0.0784948273901761,"Converged",FALSE,0.25
74,-1.86028783246941,1.62420542532976,-0.112896179721984,"Converged",FALSE,0.25
75,-2.1216418660301,1.79505138059514,-0.0769469153924534,"Converged",TRUE,0.25
76,-1.58188297531794,0.921869998237646,-0.0826705540688946,"Converged",FALSE,0.25
77,-2.43422495304617,2.13849147051864,-0.0439749880316746,"Converged",FALSE,0.25
78,-1.94384487202489,0.936796161265948,-0.016342852022866,"Converged",FALSE,0.25
79,-2.049933881428,2.00092672162671,-0.109658883636556,"Converged",FALSE,0.25
80,-1.66967026882901,1.14007785255904,-0.103597744644482,"Converged",FALSE,0.25
81,-1.96183851391375,1.75737769758301,-0.0826540280735154,"Converged",FALSE,0.25
82,-1.29314129284769,1.02626994791792,-0.160039321588331,"Converged",FALSE,0.25
83,-1.73346529210634,1.31820732205168,-0.10122416773772,"Converged",FALSE,0.25
84,-1.24802101711844,0.368244289291769,-0.155233428170132,"Converged",FALSE,0.25
85,-1.94003532837003,1.88749210336931,-0.0842704523525966,"Converged",FALSE,0.25
86,-0.901103642767055,-0.937341821557223,-0.130749572805411,"Converged",FALSE,0.25
87,-1.70657396359309,1.62123145197691,-0.104501839642772,"Converged",FALSE,0.25
88,-2.15960207780804,1.08901052068391,-0.0244323658602495,"Converged",FALSE,0.25
89,-1.56595968022289,-0.0352804160805451,-0.0881828194392125,"Converged",FALSE,0.25
90,-2.05250589764606,1.65375998537695,-0.0575485240617272,"Converged",FALSE,0.25
91,-1.6247905498418,1.17417054808399,-0.104031739130412,"Converged",FALSE,0.25
92,-1.82934638163419,1.52975513553958,-0.11983443829798,"Converged",FALSE,0.25
93,-1.61300211031978,0.668914572489854,-0.0669685401835611,"Converged",TRUE,0.25
94,-1.19520474580246,-0.219558262515208,-0.0878935995900955,"Converged",FALSE,0.25
95,-2.19025971940978,1.78275879953585,-0.086805020702047,"Converged",FALSE,0.25
96,-1.81669796628818,1.38713336201246,-0.078335309886484,"Converged",FALSE,0.25
97,-1.58791038025606,0.727360725532114,-0.100392668466615,"Converged",FALSE,0.25
98,-1.95637346502991,1.47206567660099,-0.0593392877810364,"Converged",FALSE,0.25
99,-1.87350452817262,2.19566167392183,-0.13123682637211,"Converged",FALSE,0.25
100,-1.99170484132375,1.35648227232631,-0.0855456602229856,"Converged",FALSE,0.25
101,-2.0240227885093,1.72295077293465,-0.0805842822686667,"Converged",FALSE,0.25
102,-1.55025747025644,0.870181950478566,-0.116463695579965,"Converged",FALSE,0.25
103,-1.87639907549812,2.05033519444574,-0.139155330136559,"Converged",FALSE,0.25
104,-1.59171264330966,1.67975226642994,-0.166639392304785,"Converged",FALSE,0.25
105,-1.60561291325128,0.984601248159603,-0.107078082122969,"Converged",FALSE,0.25
106,-2.09761116811465,0.896238069935351,-0.0370274853881838,"Converged",FALSE,0.25
107,-2.14511013640771,1.76903007821759,-0.0687175258304342,"Converged",FALSE,0.25
108,-2.58878935888558,1.3568999445958,0.0181469910031752,"Converged",FALSE,0.25
109,-1.69351091245511,1.71319300012214,-0.141125294948974,"Converged",FALSE,0.25
110,-1.62772997451218,1.10269538590982,-0.11557615507841,"Converged",FALSE,0.25
111,-1.74203174961289,0.577795561415396,-0.0666480727574263,"Converged",FALSE,0.25
112,-1.86208103824952,1.85052265955127,-0.0995846247656765,"Converged",FALSE,0.25
113,-1.63701901858017,1.08133599495043,-0.0808440401111722,"Converged",FALSE,0.25
114,-1.505297053752,1.86185162645218,-0.224880191950154,"Converged",FALSE,0.25
115,-1.91604202120024,0.876613004640531,-0.0365995830640626,"Converged",FALSE,0.25
116,-1.58730620425855,1.36914322339374,-0.168675989828948,"Converged",FALSE,0.25
117,-1.43209848114106,0.78597105985054,-0.138686079250218,"Converged",FALSE,0.25
118,-1.80564527495279,0.983521507594217,-0.0982768324227783,"Converged",FALSE,0.25
119,-1.39988668695784,0.813537016972848,-0.122653047598279,"Converged",FALSE,0.25
120,-1.96232602822676,0.638366886170481,-0.0312443979197581,"Converged",FALSE,0.25
121,-1.68593337583232,1.22751677216928,-0.128714337751023,"Converged",FALSE,0.25
122,-1.57299719011576,1.0027011190867,-0.106098006653542,"Converged",FALSE,0.25
123,-1.54861145177069,2.05426781003959,-0.170015481144472,"Converged",FALSE,0.25
124,-2.1291921814312,2.30151494889635,-0.0758843418452095,"Converged",FALSE,0.25
