"sim","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_data_resampled","audit_recovery"
1,-1.84189285641926,2.08986643222799,-0.128671569914837,"Converged",FALSE,0.25
2,-1.15529002608146,0.620292554999346,-0.15382867753589,"Converged",FALSE,0.25
3,-1.77668788613897,1.07327776052936,-0.115802835865866,"Converged",FALSE,0.25
4,-1.78240954750884,1.98387057756924,-0.136133443153997,"Converged",FALSE,0.25
5,-1.58304998580081,0.926585528355114,-0.0987064195471721,"Converged",FALSE,0.25
6,-2.08331100570352,1.59406841705948,-0.0734698088582547,"Converged",FALSE,0.25
7,-1.95942548206345,1.85121040910783,-0.0686180198504392,"Converged",FALSE,0.25
8,-2.24149045280236,3.02105417186433,-0.167846721848572,"Converged",FALSE,0.25
9,-1.40287012528315,0.786832449861172,-0.153402739695873,"Converged",FALSE,0.25
10,-1.40294756677148,0.148233370448801,-0.0866591216107926,"Converged",FALSE,0.25
11,-1.68139619276288,0.659252807157897,-0.0910476139283767,"Converged",FALSE,0.25
12,-2.28514776113642,1.88842651073508,-0.0480486428205215,"Converged",FALSE,0.25
13,-1.28461022248196,1.12154913640843,-0.212719882622685,"Converged",FALSE,0.25
14,-1.42035156919179,0.817378809346559,-0.166791040960511,"Converged",FALSE,0.25
15,-1.93186956583715,1.30195014739991,-0.060363092073749,"Converged",FALSE,0.25
16,-1.99365026243824,1.11714795021397,-0.0499735117901259,"Converged",FALSE,0.25
17,-1.65527262452477,1.17410349447525,-0.124924570498635,"Converged",FALSE,0.25
18,-2.07292565721208,1.37975962193408,-0.01699966564157,"Converged",FALSE,0.25
19,-2.46695502480817,2.33071092849653,-0.0434392966442145,"Converged",FALSE,0.25
20,-2.27703524410531,2.14757061882393,-0.0843255294244383,"Converged",FALSE,0.25
21,-1.64274935089365,0.303115694203699,-0.083307711119457,"Converged",FALSE,0.25
22,-1.89558024310776,1.55691670743856,-0.133521648064704,"Converged",FALSE,0.25
23,-1.38486917642627,0.246208287006451,-0.0840411287499839,"Converged",FALSE,0.25
24,-1.79708784969174,1.3107485905242,-0.0688092134389406,"Converged",FALSE,0.25
25,NA,NA,NA,"MAX_ITER reached",FALSE,0.25
26,-1.99310750396055,1.83566808334428,-0.0840483683459682,"Converged",FALSE,0.25
27,-1.21800337588676,0.575331383775838,-0.144837302315605,"Converged",FALSE,0.25
28,-1.30091789430056,0.252372632949171,-0.116132609760909,"Converged",FALSE,0.25
29,-1.66976755073385,1.55045420361986,-0.166408442578797,"Converged",FALSE,0.25
30,-1.9838335260596,1.25586237908276,-0.0887280344487364,"Converged",FALSE,0.25
31,-2.07015697921902,2.12183753575762,-0.145473350799772,"Converged",FALSE,0.25
32,-1.47966391972586,0.852749235167845,-0.11958017919577,"Converged",FALSE,0.25
33,-1.92277140605368,1.52571953668701,-0.090703706606934,"Converged",FALSE,0.25
34,-1.8775813631342,1.81741300563984,-0.111307741818793,"Converged",FALSE,0.25
35,-1.81323459052494,1.66345616176004,-0.113326749986514,"Converged",FALSE,0.25
36,-2.2699975032605,2.51715239225956,-0.073114397362501,"Converged",FALSE,0.25
37,-1.82903074982294,1.49667266126522,-0.134486689717262,"Converged",FALSE,0.25
38,-1.57223012567012,0.352783851386462,-0.0718987069471193,"Converged",FALSE,0.25
39,-1.99833200357443,1.63240301730793,-0.0674789042505047,"Converged",FALSE,0.25
40,-1.43191955744265,1.10358287564469,-0.158259876418436,"Converged",FALSE,0.25
41,-2.74490418199359,2.99473551052354,-0.0239479595133209,"Converged",TRUE,0.25
42,-2.18830035410144,1.76228284252486,-0.0371677403760978,"Converged",FALSE,0.25
43,-1.76137583344705,1.01019959123816,-0.0787123960805606,"Converged",FALSE,0.25
44,-1.063840900684,0.0978201693673644,-0.15650826460112,"Converged",FALSE,0.25
45,-2.02967526311974,1.97959463120408,-0.104626895898296,"Converged",FALSE,0.25
46,-1.5603630866778,0.725584211378605,-0.118200430907291,"Converged",FALSE,0.25
47,-1.54739066882944,0.583989422502504,-0.151575879944054,"Converged",FALSE,0.25
48,-1.96554251385125,1.49493278439628,-0.0595617439688045,"Converged",FALSE,0.25
49,-1.79714975556139,1.40251801540438,-0.0987305594389661,"Converged",FALSE,0.25
50,-1.68145965992845,1.15069373628525,-0.129348277934898,"Converged",FALSE,0.25
51,-1.92281501790664,0.384932561391867,0.00366643718106292,"Converged",FALSE,0.25
52,-1.89900767754571,1.81256415894719,-0.112995612660563,"Converged",FALSE,0.25
53,-1.39383162976485,0.637767424050225,-0.121452276311087,"Converged",FALSE,0.25
54,-2.34427908118521,2.54677276317815,-0.0726974417855117,"Converged",FALSE,0.25
