"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,-2.71775268722231,3.36764651725478,0.13151871353942,"Converged",FALSE,22,27,22,29,"MLE",0.8,0.2
1,0.25,-2.73403511549609,3.46923952018697,0.134462304328389,"Converged",FALSE,19,17,17,47,"MLE",0.8,0.2
1,0.5,-1.98452679136318,1.23419279426997,0.129740610665167,"Converged",FALSE,41,12,33,14,"MLE",0.8,0.2
1,0.75,NA,NA,NA,"B-spline error",FALSE,35,22,24,19,"MLE",0.8,0.2
1,0.9,-2.12132254054187,1.50326863013593,0.13024721414731,"Converged",FALSE,3,69,1,27,"CC",0.8,0.2
2,0.1,-1.43951314924414,0.435624244934317,0.0928934824846389,"Converged",FALSE,23,30,20,27,"MLE",0.8,0.2
2,0.25,-1.8297019206174,1.6025088075342,0.0919490653123528,"Converged",FALSE,19,29,18,34,"MLE",0.8,0.2
2,0.5,-1.65943010550852,1.08954423594765,0.0932762880409802,"Converged",FALSE,38,12,33,17,"MLE",0.8,0.2
2,0.75,NA,NA,NA,"B-spline error",FALSE,36,18,29,17,"MLE",0.8,0.2
2,0.9,-1.79560707431472,1.5886737733149,0.0920301388842663,"Converged",FALSE,30,23,25,22,"MLE",0.8,0.2
3,0.1,-1.85342918875556,1.08933473645961,0.129153502208247,"Converged",FALSE,54,1,42,3,"MLE",0.8,0.2
3,0.25,-1.77735402921249,0.915841928488647,0.12873433440661,"Converged",FALSE,18,32,22,28,"MLE",0.8,0.2
3,0.5,-1.81937902372531,1.03315216974528,0.129953324312241,"Converged",FALSE,41,12,24,23,"MLE",0.8,0.2
3,0.75,-2.39462451737153,2.71498542592835,0.132450024830786,"Converged",FALSE,36,20,20,24,"MLE",0.8,0.2
3,0.9,-1.80119947884948,1.03117261045719,0.130978103056172,"Converged",FALSE,28,23,25,24,"MLE",0.8,0.2
4,0.1,-2.96213920558992,3.91700053944407,0.15231123179219,"Converged",FALSE,21,26,21,32,"MLE",0.8,0.2
4,0.25,-2.96945009348137,4.10517676573256,0.155643017551516,"Converged",FALSE,24,21,21,34,"MLE",0.8,0.2
4,0.5,-2.43096222044999,2.52628771113385,0.157110933773281,"Converged",FALSE,43,12,15,30,"MLE",0.8,0.2
4,0.75,-2.94473478690533,3.93309158134673,0.159239612829146,"Converged",FALSE,41,16,10,33,"MLE",0.8,0.2
4,0.9,-2.84293088195009,3.72355097499668,0.154839013827789,"Converged",FALSE,31,24,23,22,"MLE",0.8,0.2
5,0.1,-1.56957490363903,-0.00721689200412007,0.138110238200354,"Converged",FALSE,21,27,21,31,"MLE",0.8,0.2
5,0.25,-3.1067425316968,5.29297808918944,0.145307432379728,"Converged",FALSE,15,30,22,33,"MLE",0.8,0.2
5,0.5,-1.67264358025666,0.325701686022598,0.138415503049287,"Converged",FALSE,38,12,36,14,"MLE",0.8,0.2
5,0.75,-1.2141667567973,-1.12622431642211,0.139440195540619,"Converged",FALSE,34,18,31,17,"MLE",0.8,0.2
5,0.9,-2.41548077233653,2.46305447340913,0.144158790376764,"Converged",FALSE,32,23,23,22,"MLE",0.8,0.2
6,0.1,-1.82303579803103,1.94077160450963,0.0711883237318911,"Converged",FALSE,28,23,22,27,"MLE",0.8,0.2
6,0.25,-1.6155941248749,1.18634474786091,0.0712557676156398,"Converged",FALSE,20,28,19,33,"MLE",0.8,0.2
6,0.5,-2.17601680065148,2.74319792753235,0.0751690723329553,"Converged",FALSE,40,12,35,13,"MLE",0.8,0.2
6,0.75,NA,NA,NA,"B-spline error",FALSE,49,18,16,17,"MLE",0.8,0.2
6,0.9,-2.00167942682831,2.39671467859108,0.0744838500986033,"Converged",FALSE,3,57,4,36,"CC",0.8,0.2
7,0.1,-1.83530894371899,1.31174400565899,0.137328215848037,"Converged",FALSE,46,3,43,8,"MLE",0.8,0.2
7,0.25,-2.22520024344977,2.24768612441564,0.138416253632749,"Converged",FALSE,17,34,18,31,"MLE",0.8,0.2
7,0.5,-2.4279230788635,3.15206715863553,0.137046726121225,"Converged",FALSE,40,12,26,22,"MLE",0.8,0.2
7,0.75,-2.17077997638491,2.21262232097881,0.138799945320478,"Converged",FALSE,34,20,20,26,"MLE",0.8,0.2
7,0.9,-2.04037443301576,1.78135376082806,0.136920562417953,"Converged",FALSE,20,30,22,28,"MLE",0.8,0.2
8,0.1,-2.11381418708641,1.9031267584985,0.116539929390996,"Converged",FALSE,20,27,22,31,"MLE",0.8,0.2
8,0.25,-3.50422684747762,5.96643089726668,0.129018230902691,"Converged",FALSE,35,9,53,3,"MLE",0.8,0.2
8,0.5,-1.95729926423497,1.49742049611542,0.116183814567347,"Converged",FALSE,39,12,24,25,"MLE",0.8,0.2
8,0.75,-2.47782374045828,3.26933725727832,0.118157735836402,"Converged",FALSE,41,19,19,21,"MLE",0.8,0.2
8,0.9,-1.82716755791776,1.07361386036629,0.11539931692009,"Converged",FALSE,4,31,10,55,"CC",0.8,0.2
9,0.1,-1.23649995733832,0.582747089541806,0.0525840625025163,"Converged",FALSE,45,4,44,7,"MLE",0.8,0.2
9,0.25,-1.17207428617746,0.334721474219442,0.0530446049228113,"Converged",FALSE,19,28,21,32,"MLE",0.8,0.2
9,0.5,-0.997425343855454,-0.224865576729233,0.0532160540502295,"Converged",FALSE,13,36,13,38,"MLE",0.8,0.2
9,0.75,-1.36578078046342,1.05471003781899,0.0522984283442964,"Converged",FALSE,34,22,25,19,"MLE",0.8,0.2
9,0.9,-1.51723544764768,1.56555497369465,0.0528735453243314,"Converged",FALSE,50,25,3,22,"CC",0.8,0.2
10,0.1,-2.47674254764225,4.1163451519759,0.0744359455118653,"Converged",FALSE,37,9,23,31,"MLE",0.8,0.2
10,0.25,-2.11663957951258,2.77211603160078,0.0722639662946948,"Converged",FALSE,18,23,16,43,"MLE",0.8,0.2
10,0.5,-2.077354910635,2.53493599968319,0.0747099689209872,"Converged",FALSE,43,12,22,23,"MLE",0.8,0.2
10,0.75,-1.92758108175207,2.15013587370014,0.0704772832307951,"Converged",FALSE,43,21,15,21,"MLE",0.8,0.2
10,0.9,-2.2795160217532,3.14814312903992,0.0755221658951783,"Converged",FALSE,8,36,25,31,"CC",0.8,0.2
11,0.1,-1.2097975502038,0.140045145825666,0.0764379005439746,"Converged",FALSE,23,25,22,30,"MLE",0.8,0.2
11,0.25,-1.30501329654933,0.397653927059809,0.0768597935018941,"Converged",FALSE,20,19,20,41,"MLE",0.8,0.2
11,0.5,-1.32959395535558,0.526076311685763,0.0768044800634272,"Converged",FALSE,39,12,36,13,"MLE",0.8,0.2
11,0.75,-1.09876003761651,-0.223754946139616,0.0762751370041342,"Converged",FALSE,56,19,6,19,"CC",0.8,0.2
11,0.9,-1.29005522124113,0.389632155240127,0.0766569479003859,"Converged",FALSE,32,24,20,24,"MLE",0.8,0.2
12,0.1,-2.15596596877547,1.88258641131375,0.143689885443832,"Converged",FALSE,23,18,27,32,"MLE",0.8,0.2
12,0.25,-1.74818227766568,0.587628663622607,0.142733775927193,"Converged",FALSE,17,24,19,40,"MLE",0.8,0.2
12,0.5,-1.5396226097096,-0.0665368680759879,0.14221301195888,"Converged",FALSE,35,12,41,12,"MLE",0.8,0.2
12,0.75,-2.18999093414852,1.77137746835967,0.14485000960495,"Converged",FALSE,25,20,34,21,"MLE",0.8,0.2
12,0.9,-1.73519567098801,0.525544564968294,0.142799011546616,"Converged",FALSE,33,23,21,23,"MLE",0.8,0.2
13,0.1,-1.20720004944244,0.349933562852733,0.0619319490028021,"Converged",FALSE,20,36,21,23,"MLE",0.8,0.2
13,0.25,-1.0132435324033,-0.264914729928706,0.0625569525694849,"Converged",FALSE,18,28,17,37,"MLE",0.8,0.2
13,0.5,-0.871760195420543,-0.761473321676447,0.0621429316219051,"Converged",FALSE,40,12,33,15,"MLE",0.8,0.2
13,0.75,-1.20886391159349,0.36915423958054,0.0618033009161883,"Converged",FALSE,37,17,26,20,"MLE",0.8,0.2
13,0.9,-1.33976355581269,0.837328013054528,0.0624550158186141,"Converged",FALSE,36,23,18,23,"CC",0.8,0.2
14,0.1,-2.79549078300361,3.57769196054066,0.147756280971865,"Converged",FALSE,27,20,24,29,"MLE",0.8,0.2
14,0.25,-2.50584086469258,2.84372823558876,0.142166941270118,"Converged",FALSE,18,27,20,35,"MLE",0.8,0.2
14,0.5,-3.06887623742878,4.52271943347331,0.151947842849461,"Converged",FALSE,39,12,24,25,"MLE",0.8,0.2
14,0.75,-2.96000382016677,4.17320725725119,0.143267809061611,"Converged",FALSE,47,19,17,17,"MLE",0.8,0.2
14,0.9,-2.60250063125048,2.99692293147949,0.149193201494956,"Converged",FALSE,29,21,26,24,"MLE",0.8,0.2
15,0.1,-2.49601492565348,3.8108218904098,0.0895679298910484,"Converged",FALSE,59,1,37,3,"CC",0.8,0.2
15,0.25,-2.60603972277339,3.83312176268279,0.0839047679225114,"Converged",FALSE,33,14,17,36,"MLE",0.8,0.2
15,0.5,-2.07544376005363,2.15800829365184,0.0863699871941161,"Converged",FALSE,41,12,15,32,"MLE",0.8,0.2
15,0.75,-2.40523210793595,3.29889043700859,0.0871444319781247,"Converged",FALSE,35,20,15,30,"MLE",0.8,0.2
15,0.9,-2.002028641202,2.06319829322508,0.0851582548405387,"Converged",FALSE,45,22,10,23,"MLE",0.8,0.2
16,0.1,-3.03525098729593,5.62340729297632,0.100322614631777,"Converged",FALSE,32,18,23,27,"MLE",0.8,0.2
16,0.25,-2.38074062090421,3.30434200805723,0.0960006423117172,"Converged",FALSE,44,4,33,19,"MLE",0.8,0.2
16,0.5,-2.52847508874688,3.85975599760481,0.094283525038559,"Converged",FALSE,49,12,15,24,"MLE",0.8,0.2
16,0.75,-2.79777825448752,4.57093269277774,0.0961861060887348,"Converged",FALSE,51,19,13,17,"MLE",0.8,0.2
16,0.9,-2.62274341283147,3.83382743848919,0.0952052153995654,"Converged",FALSE,41,34,3,22,"CC",0.8,0.2
17,0.1,-1.46614289744352,0.622597159465741,0.0814871748428368,"Converged",FALSE,21,31,21,27,"MLE",0.8,0.2
17,0.25,-1.14505443447434,-0.376800160095544,0.0802698934801537,"Converged",FALSE,16,33,22,29,"MLE",0.8,0.2
17,0.5,NA,NA,NA,"B-spline error",FALSE,37,12,39,12,"MLE",0.8,0.2
17,0.75,NA,NA,NA,"B-spline error",FALSE,44,19,17,20,"MLE",0.8,0.2
17,0.9,-1.21102148389958,-0.149213477355486,0.0804948609339255,"Converged",FALSE,2,23,1,74,"MLE",0.8,0.2
18,0.1,-1.38104242867596,-0.628127162199086,0.124024352323338,"Converged",FALSE,22,28,20,30,"MLE",0.8,0.2
18,0.25,-1.68596745810175,0.294500731440996,0.124220148646507,"Converged",FALSE,19,30,18,33,"MLE",0.8,0.2
18,0.5,-1.56818437338175,-0.0556628849594394,0.12391403901357,"Converged",FALSE,35,12,41,12,"MLE",0.8,0.2
18,0.75,-1.25769842892085,-1.09591796687597,0.124317225005321,"Converged",FALSE,32,17,33,18,"MLE",0.8,0.2
18,0.9,NA,NA,NA,"Singular information",FALSE,NA,NA,NA,NA,NA,0.8,0.2
19,0.1,-1.46046585977752,-0.801177419276374,0.157013894969318,"Converged",FALSE,27,20,23,30,"MLE",0.8,0.2
19,0.25,-2.08954208713873,1.16378996247911,0.156996142091328,"Converged",FALSE,19,30,19,32,"MLE",0.8,0.2
19,0.5,-2.77844630008892,3.11826099703444,0.163614523379586,"Converged",FALSE,38,12,24,26,"MLE",0.8,0.2
